"Germplasm","GNDVI_62","GNDVI_76","GNDVI_90","GNDVI_96","GNDVI_104","yld1","GNDVI_130","GNDVI_138","GNDVI_144","GNDVI_150","yld2","GNDVI_166","GNDVI_174","GNDVI_180","yld3","GNDVI_256","GNDVI_264","GNDVI_270","GNDVI_278","GNDVI_284","GNDVI_292","yld5"
"NUMEX_BILL_MELTON_CA_2019",0.168207077060013,0.204606775524194,-0.320606743544944,-0.028802312632682,-0.208818184865688,1.59205262434826,-0.696855481144732,-0.743348274333722,-0.511420008719074,0.269174783342838,1.01696670297662,-1.28498666679701,-0.992928535925764,-1.05723674234373,-0.389857903786105,0.146917974185311,0.0905662878005485,0.0599102198204747,-0.655338129782731,-1.09190501663051,-0.864795112724734,0.063897652788412
"SW_1011",0.638925796327993,0.914199736511826,0.531947369078626,-0.0345640612946008,-0.341684708179209,0.171409490508556,0.397181799455089,-0.0418668399401758,0.490524229979414,0.143476649449721,0.820304466182912,0.390113472250221,0.248638818905228,-0.194779454407796,0.392889853639178,0.636161614943354,0.497294802311409,0.286475019492583,-0.0332548948928216,-0.212820967565535,-0.641985172417088,0.281734445134145
"SW_8421S",0.45690933216457,0.699475127068412,0.348034909747125,0.292624027030977,0.147951428147651,0.187255834753119,1.01792646969707,0.979239993928322,1.01202955575946,1.13045562456782,0.528735541218326,1.32762697485317,1.06511493894268,1.09063344776934,0.90156286822656,1.36545451375671,1.15820465261438,1.20024968161502,0.777699702153484,-0.164829436274661,-0.445308888040197,0.809416287658726
"SW_8888",-0.55954482229649,-0.667849941069071,-0.536635325666164,-0.658422216623108,-0.0724841689639533,-2.02697003976004,-0.580598606218168,-0.74398770779415,-0.918164528827933,-0.79790075770104,-1.0935322470255,-0.813420933616743,-0.469643591902272,-0.572904652199422,-0.902027351245916,-0.429332973066503,-0.672667130101651,-0.664474209699856,-0.720148166034355,-0.941282677632355,-1.31062075109717,-1.26504730324418
"SW_9720",0.319555669733439,0.238942711858862,-1.0092602352843,-0.805842200149584,-1.3843229209717,0.0272031807486118,-0.0787686002834204,-0.468111404220112,-0.509695072886359,-0.794090486903732,0.374009726656694,-0.429650785926739,-0.939528114605275,-0.831135886348569,-0.0348338685870192,-0.571604966252384,-0.362967103880106,-0.680168419525358,-0.496170301724937,-0.63885440160664,-1.30983054510729,-0.410806466811723
"SW_9812",1.02396109528299,0.738677846288001,1.18397714120016,0.761118431735234,1.34010435593388,0.815464531487292,0.757185065265263,0.768077410163826,0.958840447732708,0.282780648973763,0.7987232567186,0.625377349083937,-0.12577059494362,0.84667722246044,0.81652234520555,0.566975822760338,0.725671086339815,0.543559122521217,0.816905266745478,0.375190284567962,-0.00765684027646785,0.230281852318384
"SW_9813",0.655604909669179,0.40807387845984,0.324036060344851,0.0711585757374596,0.134677000867562,0.206760865225714,0.486611575569268,0.352197480548814,0.0522855792098597,-0.170103884279452,0.783868630232953,0.617864199996303,-0.325124485101473,0.0438211423782955,0.643534900443113,0.339627066151567,0.491472785246567,0.419859747307419,0.327618654284846,-0.182694475958464,-0.497949836177552,0.790627668066107
"DONA_ANA",0.263631885020248,0.12997845784639,0.918305560084245,1.07039618320403,0.95117666340242,0.666188041331203,0.941753427468681,0.810392190731513,0.813680855607583,0.606375767723042,0.215121540024295,1.04194190794125,1.49381949977109,1.2789997640098,0.650833754463056,1.62197529193805,1.45023755301118,1.5384677183922,1.56926655500005,1.05305983538636,0.290081106992921,1.25766214887818
"AFX_779",-0.300938179240154,-0.315118338172408,-0.522373178668621,-0.345278315993164,0.481012989950937,0.0795668888744445,-0.193485893785454,0.665543443916872,0.16007175392375,-0.189974898252458,-0.443316708588828,0.094342963488358,0.672359048596935,2.00814175790148,0.200294125135886,0.691755441790202,0.73003717155789,0.608011806160665,1.8788566471448,2.69289938235359,2.29004752338448,0.813396655882223
"AFX_149092",0.478980903853635,0.686354688681936,0.594865624323224,0.829118506675629,1.64502218852878,-0.0462723069372696,1.3621525937659,1.42713729122801,1.17762765831082,1.11442822232219,0.0267697859601164,1.45592367336379,1.42664861040048,1.29598350212379,0.479033708922806,0.805057921663056,0.594554437898884,0.966833229294565,1.45867138881977,1.51911812394459,1.09721282021742,0.863858445406627
