"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","yld4","yld5","NDVI_62","NDVI_76","NDVI_90","NDVI_96","NDVI_104","NDVI_110","NDVI_114","NDVI_124","NDVI_130","NDVI_138","NDVI_144","NDVI_150","NDVI_160","NDVI_166","NDVI_174","NDVI_180","NDVI_188","NDVI_194","NDVI_200","NDVI_206","NDVI_216","NDVI_222","NDVI_228","NDVI_236","NDVI_240","NDVI_250","NDVI_256","NDVI_264","NDVI_270","NDVI_278","NDVI_284","NDVI_292"
"NUMEX_BILL_MELTON_CA_2019",1,411,14,1,10.7,6.65,8.5,0.95,7.15,0.477473213,0.471818531,0.451847664,0.520219893,0.438664404,0.562149312,0.596042534,0.258772481,0.505355236,0.438421324,0.56288639,0.463584537,0.223468566,0.442759745,0.396438496,0.542614527,0.404637707,0.430249293,0.461619331,0.399719149,0.342598365,0.461965096,0.429301096,0.304884982,0.405963798,0.443202237,0.422214298,0.428373233,0.551496999,0.40110876,0.392351716,0.483715472
"NM1715PAR",1,412,15,1,8.2,4.85,7.3,0.5,6.45,0.497159287,0.456023757,0.499665461,0.507527045,0.438388689,0.559865089,0.574153923,0.270961244,0.488671212,0.414006456,0.5368019,0.435660334,0.263467358,0.452734146,0.386607523,0.545978259,0.422657092,0.451749517,0.463771585,0.421895302,0.330999944,0.493182424,0.524752446,0.393577471,0.416422624,0.434745235,0.442179746,0.385421912,0.507797124,0.39993154,0.440302166,0.534219697
"NM1701PAR",1,413,15,2,9.6,5.6,8.25,1,7,0.481910706,0.464162235,0.466267803,0.520595124,0.436045756,0.541512581,0.584594644,0.273684795,0.511095348,0.442217951,0.555441176,0.462348171,0.185042768,0.456562828,0.384821948,0.554570159,0.423391087,0.44695994,0.462333203,0.409045175,0.348549988,0.504104374,0.510577227,0.356418897,0.375360997,0.432197422,0.465059544,0.429732013,0.539964952,0.398644525,0.441982838,0.522570821
"MESQUITE",2,414,15,3,8.5,6.15,7.4,0.85,6.25,0.487980539,0.460756336,0.458476161,0.490970944,0.436195504,0.562578125,0.541835863,0.272353409,0.487172429,0.448016209,0.531501409,0.479073604,0.157477062,0.43870643,0.351204556,0.541194298,0.417054268,0.429464668,0.425128729,0.400490848,0.343677076,0.489092599,0.544503591,0.387411086,0.414007532,0.440740008,0.399842042,0.381046788,0.527161547,0.396831588,0.456444732,0.504623592
"SW_8888",2,415,15,4,8.8,5.6,7.55,0.7,6.25,0.487665781,0.456588892,0.47726982,0.505997828,0.431540599,0.55861092,0.58207547,0.262952156,0.499353536,0.44487462,0.550278464,0.479156273,0.165106008,0.43341076,0.373437075,0.561176133,0.416932417,0.434149218,0.468760416,0.407673076,0.391320783,0.501273338,0.501024752,0.380465582,0.376652189,0.44558976,0.453353726,0.427470245,0.541135784,0.389199174,0.43266943,0.485251514
"NM1703PAR",3,416,15,5,9.9,5.95,7.8,1.1,7.2,0.482676062,0.462029988,0.473164038,0.520540175,0.445237925,0.533144777,0.595308034,0.251301002,0.502056164,0.450530231,0.56759986,0.498650156,0.177377652,0.436928299,0.386784357,0.570085252,0.418847364,0.426517509,0.458519918,0.401171504,0.426104314,0.506847021,0.515141844,0.417564259,0.366300744,0.460245541,0.497215779,0.449304189,0.549154652,0.416265539,0.469250795,0.556593506
"SW_9812",3,417,15,6,9.2,6.7,8.45,1.2,6.85,0.48287386,0.467933328,0.482793744,0.496077119,0.447505168,0.558165553,0.560344925,0.270072739,0.503478708,0.441472979,0.562085114,0.489328734,0.168072098,0.431917819,0.350404481,0.537942048,0.415109904,0.416722561,0.429477361,0.397943752,0.426778392,0.501927934,0.517111603,0.45972223,0.421173621,0.457689261,0.46371917,0.444160754,0.548515043,0.396313246,0.417312868,0.49330454
"SW_1011",4,418,15,7,10.2,5.9,7.9,0.85,6.8,0.473738863,0.457203751,0.470296077,0.524232433,0.446887644,0.512524817,0.582545193,0.250609127,0.513711416,0.457563983,0.566804145,0.474515405,0.192043079,0.437395125,0.36672797,0.539340288,0.422695943,0.424755186,0.463505655,0.401569558,0.428381468,0.526667913,0.518322486,0.481070049,0.438632837,0.46655581,0.457343156,0.431486801,0.511939406,0.379084298,0.412648052,0.496486175
"NM1705PAR",4,419,15,8,8.9,5.25,7.25,0.65,6.4,0.47217733,0.470798857,0.506102489,0.522458312,0.450653292,0.542927592,0.580841718,0.236288391,0.518715929,0.470752822,0.562562328,0.471421687,0.208607595,0.447618155,0.370312511,0.547769652,0.424077627,0.44841658,0.469020191,0.423608072,0.398563581,0.534505517,0.539027924,0.48165968,0.436528591,0.464814353,0.418401113,0.423506893,0.551740401,0.440726727,0.464821054,0.527547799
"MESQUITE",4,420,16,8,9.05,5.85,7.45,1,6.3,0.47766803,0.473536153,0.500655718,0.513713707,0.478152732,0.472333579,0.572912343,0.274222321,0.508331053,0.490101152,0.55679447,0.486418001,0.213353361,0.432526138,0.377147666,0.533501088,0.431543468,0.429114221,0.470684167,0.420628845,0.382579563,0.529751634,0.563231374,0.476894426,0.43702878,0.455036124,0.357129843,0.433626879,0.54231888,0.453694485,0.467072812,0.497848995
"NM1715PAR",4,421,16,7,8,4.2,5.8,0.35,5.2,0.487249219,0.468714394,0.502493251,0.50230946,0.456120712,0.514975845,0.567592991,0.24941223,0.48918219,0.430762974,0.526605685,0.443233252,0.229536757,0.431329409,0.35647543,0.519985801,0.427690553,0.436589129,0.471619843,0.417834492,0.439673643,0.526482306,0.578033122,0.5038581,0.443275574,0.457439545,0.368713927,0.366486168,0.487803893,0.413788741,0.464725035,0.524971291
"NM1704PAR",3,422,16,6,10.6,7.15,8,1.05,6.85,0.479715298,0.468339558,0.469196814,0.516633392,0.479523264,0.543946968,0.609355943,0.236950339,0.509876356,0.505091362,0.58399757,0.532922112,0.175642786,0.435148757,0.382265981,0.572147443,0.41248969,0.422150959,0.439471372,0.403639039,0.438292421,0.50487502,0.583996951,0.492722217,0.427729222,0.441664495,0.409347772,0.428068399,0.566473943,0.47185361,0.511810878,0.564847175
"NM1701PAR",3,423,16,5,10.3,5.9,7.25,0.8,6.75,0.487057649,0.470243067,0.480163262,0.51700829,0.454611897,0.552986176,0.599010834,0.213984492,0.499012383,0.504301081,0.556545031,0.482973153,0.185663866,0.420177814,0.377008654,0.564178745,0.427584917,0.426398235,0.475908591,0.407953316,0.447860106,0.506760844,0.581025904,0.457677065,0.373362682,0.451600089,0.451640641,0.40750725,0.537189848,0.452018681,0.503066526,0.531262544
"NM1712PAR",2,424,16,4,9.05,4.8,6.85,0.6,5.8,0.485972619,0.46778296,0.495903508,0.506159004,0.454049077,0.566057735,0.590164152,0.221657983,0.49215067,0.475498046,0.535707737,0.44809254,0.183801595,0.434712522,0.366347533,0.548256463,0.418848869,0.441051579,0.47089297,0.414138321,0.423030354,0.494661274,0.585982943,0.411372496,0.355332061,0.443216657,0.386534024,0.365918402,0.512495284,0.443079709,0.512907556,0.546535162
"NUMEX_BILL_MELTON_CA_2019",2,425,16,3,10.3,6.15,7.45,0.9,6.6,0.471978526,0.455568594,0.447568286,0.508376856,0.448679614,0.575270084,0.608121891,0.233882683,0.499870991,0.493220403,0.543141017,0.477008807,0.181095767,0.429431411,0.36904561,0.554251517,0.415743791,0.429819211,0.455696737,0.404706802,0.394877828,0.481723183,0.58810143,0.422664021,0.405340097,0.440701694,0.323083173,0.407160296,0.530043902,0.45727243,0.504242723,0.531495088
"SW_9813",1,426,16,2,10.2,5.3,7.7,0.75,6.8,0.482368376,0.458989586,0.448399458,0.538391934,0.457704293,0.57870211,0.610899396,0.295079701,0.527893841,0.48142299,0.548051574,0.447108077,0.22728027,0.438476486,0.379979517,0.520950874,0.42401943,0.419310398,0.457834864,0.407882316,0.348710596,0.49191153,0.566578145,0.418042985,0.375102174,0.454721053,0.417553605,0.411408217,0.529978872,0.449285781,0.494755509,0.516202022
"NM1702PAR",1,427,16,1,11.1,5.75,8.15,0.85,6.4,0.481220601,0.466019925,0.492017331,0.544885448,0.460392536,0.589352054,0.621049385,0.301644644,0.535471825,0.500543455,0.547984841,0.47041942,0.330205799,0.443978595,0.406397153,0.553876192,0.418411612,0.427808039,0.462299716,0.416718169,0.34559917,0.489766825,0.567734291,0.402437954,0.389038636,0.433076256,0.380259131,0.399584955,0.522354739,0.448411862,0.485271374,0.524899398
