"Germplasm","Plot","Rep","Row","Range","ndvi_62","ndvi_76","ndvi_90","ndvi_96","ndvi_104","ndvi_110","ndvi_114","yld1","ndvi_124","ndvi_130","ndvi_138","ndvi_144","yld2","ndvi_166","ndvi_174","yld3","ndvi_194","ndvi_200","ndvi_206","yld4","ndvi_222","ndvi_236","ndvi_240","yld5","ndvi_256","ndvi_264","ndvi_270","ndvi_284","ndvi_292","yld6"
"NUMEX_BILL_MELTON_CA_2019","133","1","5","2",-0.00150177574534109,0.00453996787524254,0.0215722431650989,9.03582476870657e-09,0.00102943498509674,-2.52681545490464e-08,-0.0408713705159028,-1.68209544327315,0.0941446409162978,-0.00642704339482626,-0.0671982879368219,-0.028785210553159,-2.06039093450203,0.0017788846586325,-0.0468976358282002,-0.945871949434992,-0.0116037919328971,-0.0160538950429283,-0.0463440016685698,-0.509725337036972,-0.00637967567656864,-0.0713620270614797,-0.0740437227411134,-0.507423421946552,0.0223385374128113,-0.0103978325929072,-0.00562826143465832,-0.0765984057480079,-0.0441384695973297,-0.461950095066044
"NUMEX_BILL_MELTON_CA_2019","134","2","5","3",-0.0010534899504981,-0.00309392911649688,0.0218350678147564,-9.15971884628133e-09,-0.00427919204990519,-2.5759685794687e-08,-0.0452933173015982,-2.10256834584158,0.0660619225405408,-0.01014093116726,-0.0717593345001753,-0.0306060003384431,-1.82266702213388,-0.00601582576919919,-0.0373441949532667,-1.09156401612008,-0.0154547942950364,-0.0169340289461722,-0.0430781267553508,-0.597732560411844,-0.00931027338388722,-0.0748538615572447,-0.0787347714158818,-0.993237814463481,0.0249881138002287,-0.0105702088817065,-0.0103326960517172,-0.0751730090270864,-0.0513443610749856,-0.588240591132185
"NUMEX_BILL_MELTON_CA_2019","135","2","5","4",-0.00637042476865055,-0.00475879603784875,0.028816009399312,9.1544114807603e-09,-0.0307654495545801,-2.60775736487451e-08,-0.0581120417378964,-2.81472102522756,0.104517202186416,-0.0133060856200061,-0.0831525717694601,-0.0401396706496251,-1.61838330465049,-0.00845728501480764,-0.0411473348335439,-1.23707448226747,-0.0155667319090588,-0.0170490746365604,-0.0392460086757546,-0.825675748683208,0.00259153933510387,-0.0793956353477774,-0.0755254616070983,-1.39376338786884,0.0364045929908874,-0.00883938246979125,-0.0168373808661999,-0.0644558417490369,-0.0395830032438341,-0.613139023277755
"NUMEX_BILL_MELTON_CA_2019","136","3","5","5",-0.00898823717276402,-0.00977873829165051,0.0349571966882761,-9.28214197124139e-09,-0.0269117830431683,-2.62065518593368e-08,-0.0580317574369782,-3.14934902694255,0.0993924635570953,-0.0136984780368585,-0.0847042435478893,-0.0533592524846215,-2.83749542947792,-0.00617112936910049,-0.0547563348162573,-2.05048790081311,-0.0128499971005245,-0.021397493129768,-0.0547462576836392,-1.41975774112158,-0.00867230109966789,-0.0831115168881482,-0.0793038511715143,-1.87293041838039,0.0407454394724293,-0.010090561030839,-0.0196332186374178,-0.0466841612002993,-0.0403885145161555,-0.753851814313424
"NUMEX_BILL_MELTON_CA_2019","137","3","5","6",-0.0158370057599579,-0.00782050644607779,0.0504931201268697,9.12852958873204e-09,-0.0085875165350713,-2.63243306046876e-08,-0.0515143117033298,-3.33483858769412,0.0699526568731591,-0.01084032458114,-0.0617597690692432,-0.0488811614376077,-2.5401384947624,-0.0172733491419766,-0.0381594972198009,-1.98266114398659,-0.0198018039097469,-0.0237212089500061,-0.0608080212327907,-1.56466932373714,-0.0154957328770271,-0.0869462563990545,-0.0837371408311771,-2.06769290530933,0.0476772291520959,-0.00875350592457973,-0.0264125330777253,-0.0472019203737178,-0.0346159218214053,-0.745913752312931
"NUMEX_BILL_MELTON_CA_2019","138","4","5","7",-0.0124780065941626,0.000570815358403405,0.0620118489935034,-9.118698319063e-09,0.00448564949006724,-2.62121968024175e-08,-0.0395168403364045,-2.37717750852158,0.0750697957606327,-0.00423758262977199,-0.0269920340454101,-0.0407091600490254,-2.04192206388769,-0.0107559351184158,-0.00564234625997708,-1.71527149311063,-0.0130423601100346,-0.0152688366381458,-0.0478688661240083,-1.42530781919607,-0.00295956052680524,-0.0790715153660848,-0.077389668541271,-1.57695359297568,0.0527773255167853,-0.00629321872652706,-0.0206083348714709,-0.0424706146173328,-0.0267463367675166,-0.503359959013324
"NUMEX_BILL_MELTON_CA_2019","139","4","5","8",-0.00587528299602994,0.00328664535909369,0.0652302317703604,8.91947863315839e-09,0.0044787770261692,-2.58909982966309e-08,-0.0324906292386071,-1.98598760704291,0.0651355683224576,-0.00290633654508392,-0.0387823473591973,-0.0407445566109758,-1.47540249373598,-0.012657782344495,-0.0164201820995896,-1.23523144126783,-0.0138714174907505,-0.0159310178068635,-0.0404347882095148,-1.11146870752069,-0.005389641244004,-0.0672702028813328,-0.0715295652700118,-1.35986351302881,0.0461728552951733,-0.00606299855761426,-0.0226974368213555,-0.051917715100937,-0.0347148921469444,-0.520342346111432
"NM1713PAR","140","4","6","8",-0.00511362468060062,-0.00705497420570289,0.0172899393716845,9.39304367619127e-09,0.00162629142078256,-2.08991754019878e-08,-0.0191638565018834,-0.742594659866544,0.0586086287470857,-0.00620634198053911,-0.00603791870969489,-0.00610961153439015,-0.725968952303925,0.0104804890435405,0.00771002722814036,-0.0659299642713158,0.0129910208575611,0.00288620828539692,-0.019638784074204,0.0993341758609532,0.0300829404138577,-0.036904051105732,-0.0344257905566246,0.572650309939473,0.0116960303239983,-0.0085931335382979,0.0165503025024755,-0.050124895167271,-0.0157562401335555,-0.0341783850927156
"AFX_149092","141","4","6","7",-0.00206688308630489,0.00514794870817189,0.0220806813090915,-9.44004671737102e-09,-0.00536949149729171,-2.14661840363541e-08,-0.0228655386898787,-1.49273823666889,0.0738076408719708,-0.00735695086924213,-0.0475105691894547,-0.0198817777599507,-1.65320179816264,0.0130405047087725,-0.0590201228391576,-0.73053788348451,0.00213006204618069,-0.00351363034294622,-0.0332315136555001,-0.207726779895559,0.0115495389784091,-0.0610049318401517,-0.0632158006408166,-0.163725764630996,0.023153842705636,-0.0124255558717453,-0.00613566803601304,-0.0788872178119723,-0.0471970516862498,-0.304203003687581
"NM1705PAR","142","3","6","6",-0.00287822783565042,-0.00279288017331313,0.0238901231691572,9.56741856243019e-09,-0.0115754632116803,-2.19652957800305e-08,-0.0256016715421663,-1.73461651078032,0.0489907777296537,-0.0111452707947654,-0.0424927533380818,-0.0186267988106185,-1.24154270448859,0.00831123977804591,-0.0473664533132772,-0.753236368690618,-0.00121490364639416,-0.00469481907747195,-0.027871403745364,-0.262947620923575,0.00984787375422316,-0.0610352583980219,-0.0653101512494726,-0.600222844269755,0.0299149535856432,-0.012318680389309,-0.0108894785451536,-0.0765037452952716,-0.0469766401671947,-0.414285519423816
