"","GNDVI_62","GNDVI_76","GNDVI_90","GNDVI_96","GNDVI_104","GNDVI_110","GNDVI_114","GNDVI_124","GNDVI_130","GNDVI_138","GNDVI_144","GNDVI_150","GNDVI_160","GNDVI_166","GNDVI_174","GNDVI_180","GNDVI_188","GNDVI_194","GNDVI_200","GNDVI_206","GNDVI_216","GNDVI_222","GNDVI_228","GNDVI_236","GNDVI_240","GNDVI_250","GNDVI_256","GNDVI_264","GNDVI_270","GNDVI_278","GNDVI_284","GNDVI_292","yld1","yld2","yld3","yld4","yld5","yld6"
"GNDVI_144",0.584962652671236,0.756334032652302,0.75522848415214,0.857298186265242,0.783886046350791,0.550866909858645,0.756625162648088,0.22641329742361,0.62581692969332,0.701990211042734,1,0.75498306447134,-0.496471274677432,0.466131939457524,0.565859577581836,0.848892110708173,-0.603104833349857,0.762412018290474,0.425589877399333,0.849838270985438,0.0608476630943379,0.095511002277021,0.299213896288137,0.669687784990073,0.826398692117311,-0.271763161696157,0.440110149872191,0.713194892830349,0.460493459364062,0.303106994763968,0.606566789028474,0.580593769248256,0.921294873525544,0.833007005959241,0.881856466212017,0.802226743973018,0.853213099591515,0.803181115874175
"GNDVI_150",0.330413612358839,0.620279325198675,0.367651618441607,0.492302738705508,0.454433494337281,0.441095927743578,0.538397905488571,0.308859126592069,0.530207432741168,0.553919701516043,0.75498306447134,1,-0.196913194900232,0.416386280304384,0.445666841477816,0.770231519289938,-0.47686141113743,0.458246063942886,0.0825181047667777,0.697265427971966,0.411018091838688,0.00349013835461847,0.285902798734734,0.466063393417538,0.559050365248234,-0.236367606028664,0.186075457134714,0.33843564143613,0.138350707033396,0.201472269195546,0.412914609882801,0.299530583866915,0.714371510536422,0.891628201091965,0.814655315189914,0.798296592011277,0.662955162161218,0.69593426298671
"GNDVI_160",-0.104409152507129,-0.377918867018484,-0.560748916451588,-0.567649300484757,-0.60666430050745,-0.489415652321751,-0.568278190425531,-0.0406645608535907,-0.00947219081919756,-0.381455222519795,-0.496471274677432,-0.196913194900232,1,0.322654444636122,0.0226478460113221,-0.425741439244202,0.614124718345348,-0.338406919693101,-0.0505617400342537,-0.514585211462873,0.285560677164584,0.412137625635617,0.407016864863733,-0.517512918115486,-0.538965092456185,0.500903750515501,0.0506607004376023,-0.172952742231084,0.0103576224101331,-0.239064119003891,-0.363989707248327,-0.631374117988241,-0.573719824562658,-0.342998540264659,-0.288820271316638,-0.199568870156931,-0.342863848623116,-0.295401672176018
"GNDVI_166",0.328889118773924,0.260132193786653,0.111581117747878,0.216168875288119,0.0820013450066226,0.0791594176611735,0.119522827775519,0.357431833715613,0.451541832169753,0.197439330911352,0.466131939457524,0.416386280304384,0.322654444636122,1,0.473297717626369,0.477544639722519,-0.1787184217142,0.613999266839382,0.237752895832957,0.414962823316209,0.122082012064904,0.250213460657035,0.420435294682334,0.14211621928227,0.343709424452759,-0.0214370263689376,0.431218062246112,0.539535868287936,0.488725039843925,-0.0339483694540141,0.227715389894867,0.0888993376714087,0.286242151213579,0.458490774851832,0.575433761018729,0.557237353889719,0.530359054711069,0.45821269703498
"GNDVI_174",0.613827417719088,0.270918286952564,0.61624304557582,0.375595899392902,0.484986628148796,0.22375551881482,0.22268057464885,-0.224046287470762,0.411518326247013,0.727750490705337,0.565859577581836,0.445666841477816,0.0226478460113221,0.473297717626369,1,0.54131267968428,-0.100828273033897,0.269979600986154,0.588577467718156,0.465970940705467,0.39271564359082,0.550922192080618,0.525428496275505,0.611691636787896,0.643360326722563,0.362001462619111,0.59509976357973,0.532111581707447,0.410633481673948,0.535769601476636,0.197345485569845,0.403309708395713,0.421604517663878,0.48112158976931,0.458405422821147,0.380793641874181,0.337943667798662,0.338145250511874
"GNDVI_180",0.245500110294681,0.531168007696102,0.501868358985035,0.583444821733258,0.531751706414361,0.561365199284975,0.543080841605213,0.297396276407697,0.371482608895015,0.669879748238708,0.848892110708173,0.770231519289938,-0.425741439244202,0.477544639722519,0.54131267968428,1,-0.737912776474298,0.746923753858142,0.145867320926751,0.923623164747373,0.184203632761148,-0.133982899725812,0.117278710263876,0.576614719333324,0.769711191718426,-0.336446302844416,0.279625695103878,0.511049876106665,0.224343158560444,0.21178906433811,0.500724010470124,0.548740865601495,0.748574817361185,0.834982827418575,0.838519408340005,0.754404347928448,0.749792478619828,0.701825689590571
"GNDVI_188",0.0322609425402313,-0.40362581048861,-0.302137706967867,-0.441164845535303,-0.291857104812692,-0.518686960156432,-0.454236342639382,-0.283502001609467,-0.0461718576765498,-0.28653116787239,-0.603104833349857,-0.47686141113743,0.614124718345348,-0.1787184217142,-0.100828273033897,-0.737912776474298,1,-0.640581652765273,0.215087070371774,-0.779880656724912,0.234587108390547,0.52815519694052,0.298495968068465,-0.249211036754508,-0.486179707000884,0.594472998618145,0.169735756761845,-0.195052781640408,0.0743267507329618,0.150972306218206,-0.29089896186755,-0.389026693753342,-0.607322961701737,-0.645445748187156,-0.650654511954462,-0.604500404439582,-0.650503962647647,-0.560305618019118
"GNDVI_194",0.267576651098294,0.5335214005761,0.38286591526713,0.61464975221889,0.393714945005861,0.458384959444344,0.471139773464083,0.467050525021209,0.401831566651154,0.322662329613576,0.762412018290474,0.458246063942886,-0.338406919693101,0.613999266839382,0.269979600986154,0.746923753858142,-0.640581652765273,1,0.175046064464111,0.808391451272324,-0.128261573146588,-0.0834014996247576,0.18400613719155,0.306753346405958,0.625651506943507,-0.437218577078786,0.292534868227785,0.672054030134422,0.428184075278691,-0.13299273259734,0.463567513091933,0.339432630480478,0.662901589091206,0.64105765700962,0.787050432346244,0.770041349371871,0.851160784014543,0.745339702318554
"GNDVI_200",0.778688260885012,0.311507510196092,0.694953190541504,0.575526698167558,0.617015852051223,0.117793173167851,0.437394300840226,-0.369410865889743,0.531881483527037,0.595199456210576,0.425589877399333,0.0825181047667777,-0.0505617400342537,0.237752895832957,0.588577467718156,0.145867320926751,0.215087070371774,0.175046064464111,1,0.14790829541703,0.140083561508907,0.735180239001425,0.604873396002921,0.627559361218799,0.547398719971007,0.444828913658492,0.727973235788415,0.751231184992276,0.779644891911767,0.614539544079166,0.346842402575285,0.453673376771858,0.372286582307594,0.08227473776768,0.165356453311266,0.113931055759515,0.229103183247457,0.205252013169893
"GNDVI_206",0.270308440558655,0.590244115007485,0.534810307662815,0.624048072566248,0.52004198743746,0.597378318666252,0.593172505540479,0.314945697423584,0.420519597548463,0.58820679300413,0.849838270985438,0.697265427971966,-0.514585211462873,0.414962823316209,0.465970940705467,0.923623164747373,-0.779880656724912,0.808391451272324,0.14790829541703,1,0.126920908731307,-0.120290728333411,0.0747304082565176,0.574346820857202,0.775390643265467,-0.373653409726216,0.244659414832809,0.516362843586404,0.210140447986711,0.160963083840679,0.414266790745736,0.49873162487208,0.767004973862291,0.809596585721407,0.840249466085768,0.798668478449964,0.807382707904532,0.747442764401647
"GNDVI_216",0.144592969283253,0.0600577904128705,0.0375627091960352,-0.121101557441224,0.0157195951576005,-0.0176708798824078,-0.124435523556938,0.0188638534662541,0.322397220113384,0.44059008650588,0.0608476630943379,0.411018091838688,0.285560677164584,0.122082012064904,0.39271564359082,0.184203632761148,0.234587108390547,-0.128261573146588,0.140083561508907,0.126920908731307,1,0.516012065248235,0.396503405677934,0.369964213183234,0.234116146417544,0.510259514784482,0.398139545368482,0.110289748609625,-0.0406975566055337,0.441834448741416,-0.112336487026598,-0.0621356130973831,-0.0431413906726152,0.19555167862731,0.0918642263649298,0.125623490167963,-0.0894118750948568,-0.0124619666401076
"GNDVI_222",0.638614733173459,0.117795059073293,0.342049025926538,0.151157788988087,0.191327191532588,-0.18145575137611,-0.0142568893334533,-0.307009187161251,0.548055653162603,0.381578119967782,0.095511002277021,0.00349013835461847,0.412137625635617,0.250213460657035,0.550922192080618,-0.133982899725812,0.52815519694052,-0.0834014996247576,0.735180239001425,-0.120290728333411,0.516012065248235,1,0.776254464157056,0.343039797605978,0.216811899703042,0.765495369319488,0.730296333424769,0.513125819320412,0.528054185700007,0.456583718473961,-0.0489624555240367,-0.0836257758833053,-0.00727522046385888,-0.0856660614300973,-0.0101354938378232,0.0159755365828704,-0.0143184633903133,0.00262730955260771
"GNDVI_228",0.569247465296634,0.225201235195802,0.300891668360688,0.21611557482913,0.217205088884658,0.00162885823698835,0.0723025783889763,-0.065901273692562,0.590923388085373,0.367574861274932,0.299213896288137,0.285902798734734,0.407016864863733,0.420435294682334,0.525428496275505,0.117278710263876,0.298495968068465,0.18400613719155,0.604873396002921,0.0747304082565176,0.396503405677934,0.776254464157056,1,0.203020857189761,0.25295806198909,0.436917805923917,0.594491527803156,0.602003756410378,0.578778858626327,0.196011990370656,0.133749412655751,-0.0967774385676228,0.193803217475015,0.218522783111461,0.298193362402912,0.331201686789315,0.272185934171477,0.305967119387325
"GNDVI_236",0.59689848385012,0.500680459977155,0.789560647579564,0.634923674129584,0.766236061212621,0.38155134056286,0.560483042429644,-0.143428767218405,0.482282793716859,0.853937552467574,0.669687784990073,0.466063393417538,-0.517512918115486,0.14211621928227,0.611691636787896,0.576614719333324,-0.249211036754508,0.306753346405958,0.627559361218799,0.574346820857202,0.369964213183234,0.343039797605978,0.203020857189761,1,0.851054321176167,0.12457247481702,0.580750261062036,0.583065542701727,0.397471182191376,0.815377961330848,0.446445515985933,0.706732296942164,0.614425377144081,0.471503836771001,0.426644464086069,0.333159204734167,0.396719715416018,0.364183419242247
"GNDVI_240",0.515876852410923,0.473612182392299,0.762677406099738,0.724238238605442,0.768269034094463,0.544852585856638,0.618849100790465,0.0512489943200949,0.441027490950498,0.818084847561978,0.826398692117311,0.559050365248234,-0.538965092456185,0.343709424452759,0.643360326722563,0.769711191718426,-0.486179707000884,0.625651506943507,0.547398719971007,0.775390643265467,0.234116146417544,0.216811899703042,0.25295806198909,0.851054321176167,1,-0.0624157661611255,0.529389399831777,0.734061940799711,0.504145016643459,0.536459437611091,0.545624508517956,0.768678945418681,0.73154950703912,0.634567686592522,0.632415679082543,0.536398323909636,0.625802622190104,0.562355234647095
"GNDVI_250",0.274893437491155,-0.214913168861915,0.0735361719057902,-0.201661754376204,-0.0818478215820535,-0.35153299158665,-0.306920980962044,-0.458307892496338,0.136371751568237,0.199342914618718,-0.271763161696157,-0.236367606028664,0.500903750515501,-0.0214370263689376,0.362001462619111,-0.336446302844416,0.594472998618145,-0.437218577078786,0.444828913658492,-0.373653409726216,0.510259514784482,0.765495369319488,0.436917805923917,0.12457247481702,-0.0624157661611255,1,0.442737263853047,0.12246164591388,0.163512626525908,0.401628190073412,-0.252573773593291,-0.183050768981053,-0.360014765683271,-0.385044797279146,-0.37976033051733,-0.368090278378277,-0.426038654296573,-0.389857870297359
"GNDVI_256",0.63201112001561,0.291730718669649,0.568369966988169,0.415786563666348,0.494243660385457,-0.00644106493211645,0.23661084830652,-0.104493009298376,0.598064832362723,0.62056169762253,0.440110149872191,0.186075457134714,0.0506607004376023,0.431218062246112,0.59509976357973,0.279625695103878,0.169735756761845,0.292534868227785,0.727973235788415,0.244659414832809,0.398139545368482,0.730296333424769,0.594491527803156,0.580750261062036,0.529389399831777,0.442737263853047,1,0.732309834851455,0.629388356397742,0.525245328983453,0.226806957043761,0.277656120436607,0.290471048160688,0.192339344466745,0.259016037950258,0.208554603032774,0.221933057245346,0.210970501633517
"GNDVI_264",0.634909889961934,0.502936664528625,0.644736004530746,0.699260543286369,0.600695285021466,0.315038933448164,0.502066277724716,0.0820080384981689,0.60331252480749,0.586067280874914,0.713194892830349,0.33843564143613,-0.172952742231084,0.539535868287936,0.532111581707447,0.511049876106665,-0.195052781640408,0.672054030134422,0.751231184992276,0.516362843586404,0.110289748609625,0.513125819320412,0.602003756410378,0.583065542701727,0.734061940799711,0.12246164591388,0.732309834851455,1,0.848586353553437,0.35836370076009,0.59594562390486,0.501346955176674,0.578778217842268,0.388241625539903,0.545776273758199,0.49940324472209,0.614451524530825,0.552750684924298
"GNDVI_270",0.594567401539699,0.336664564349158,0.467863573814583,0.535893905325309,0.426004031777256,0.09870738875696,0.40571443929878,-0.062212798651123,0.504922066804511,0.330996172346248,0.460493459364062,0.138350707033396,0.0103576224101331,0.488725039843925,0.410633481673948,0.224343158560444,0.0743267507329618,0.428184075278691,0.779644891911767,0.210140447986711,-0.0406975566055337,0.528054185700007,0.578778858626327,0.397471182191376,0.504145016643459,0.163512626525908,0.629388356397742,0.848586353553437,1,0.3007788197579,0.526950340819042,0.420157867119146,0.36535448701841,0.156351018706449,0.328221188028671,0.294549007349464,0.428600169452002,0.421214246081188
"GNDVI_278",0.460612456329142,0.222336768580144,0.559331159651949,0.314242681171561,0.565725717178407,0.15493534755854,0.285024329060371,-0.314583370398988,0.329907559927933,0.671308350846502,0.303106994763968,0.201472269195546,-0.239064119003891,-0.0339483694540141,0.535769601476636,0.21178906433811,0.150972306218206,-0.13299273259734,0.614539544079166,0.160963083840679,0.441834448741416,0.456583718473961,0.196011990370656,0.815377961330848,0.536459437611091,0.401628190073412,0.525245328983453,0.35836370076009,0.3007788197579,1,0.298993321900176,0.608579318695971,0.234120945488532,0.105713725273828,0.0311563365055423,-0.0579645324478119,-0.0316180580094592,0.0101404613456177
"GNDVI_284",0.289878669325267,0.522305672966172,0.429466596358989,0.620104985171301,0.554540910278069,0.347270970272638,0.548150769523037,0.171516056953781,0.266896757585214,0.372274258022306,0.606566789028474,0.412914609882801,-0.363989707248327,0.227715389894867,0.197345485569845,0.500724010470124,-0.29089896186755,0.463567513091933,0.346842402575285,0.414266790745736,-0.112336487026598,-0.0489624555240367,0.133749412655751,0.446445515985933,0.545624508517956,-0.252573773593291,0.226806957043761,0.59594562390486,0.526950340819042,0.298993321900176,1,0.655792635277868,0.581240947333199,0.369961609188166,0.453615848683011,0.362247393033113,0.500798613905996,0.527460068879101
"GNDVI_292",0.296158746282981,0.266366477000383,0.622736592401322,0.583682964571525,0.725414998469511,0.498577423760033,0.556381722104146,-0.0786213631968929,0.0897662099347875,0.600975684724122,0.580593769248256,0.299530583866915,-0.631374117988241,0.0888993376714087,0.403309708395713,0.548740865601495,-0.389026693753342,0.339432630480478,0.453673376771858,0.49873162487208,-0.0621356130973831,-0.0836257758833053,-0.0967774385676228,0.706732296942164,0.768678945418681,-0.183050768981053,0.277656120436607,0.501346955176674,0.420157867119146,0.608579318695971,0.655792635277868,1,0.549636931847223,0.357255098215554,0.306197713096027,0.171858789175452,0.31730855404271,0.307103577167339
"yld1",0.615234148498865,0.814961260736976,0.764699324537546,0.902093549910783,0.815106608543814,0.563357202846731,0.803991247753521,0.177063054501784,0.561430712089344,0.617187374993326,0.921294873525544,0.714371510536422,-0.573719824562658,0.286242151213579,0.421604517663878,0.748574817361185,-0.607322961701737,0.662901589091206,0.372286582307594,0.767004973862291,-0.0431413906726152,-0.00727522046385888,0.193803217475015,0.614425377144081,0.73154950703912,-0.360014765683271,0.290471048160688,0.578778217842268,0.36535448701841,0.234120945488532,0.581240947333199,0.549636931847223,1,0.836929189108178,0.845501748798048,0.783378436929177,0.834480205132039,0.814170825107293
"yld2",0.418881336268123,0.659343889312364,0.494639200453187,0.591600200783222,0.535737186629011,0.523852215809047,0.529805654174347,0.307840893947419,0.466209469764668,0.548193311238588,0.833007005959241,0.891628201091965,-0.342998540264659,0.458490774851832,0.48112158976931,0.834982827418575,-0.645445748187156,0.64105765700962,0.08227473776768,0.809596585721407,0.19555167862731,-0.0856660614300973,0.218522783111461,0.471503836771001,0.634567686592522,-0.385044797279146,0.192339344466745,0.388241625539903,0.156351018706449,0.105713725273828,0.369961609188166,0.357255098215554,0.836929189108178,1,0.909931797387469,0.881738596412923,0.792477010923639,0.807186279342613
"yld3",0.43860803545169,0.750289935813603,0.482603537812505,0.66955974507153,0.495651582252853,0.500235904431568,0.603711482338232,0.395929536377236,0.612144084976554,0.465095194336791,0.881856466212017,0.814655315189914,-0.288820271316638,0.575433761018729,0.458405422821147,0.838519408340005,-0.650654511954462,0.787050432346244,0.165356453311266,0.840249466085768,0.0918642263649298,-0.0101354938378232,0.298193362402912,0.426644464086069,0.632415679082543,-0.37976033051733,0.259016037950258,0.545776273758199,0.328221188028671,0.0311563365055423,0.453615848683011,0.306197713096027,0.845501748798048,0.909931797387469,1,0.96129240198203,0.932355476457345,0.904310912762818
"yld4",0.406168554222675,0.730873200493738,0.374154069646467,0.594747202440445,0.383607887504482,0.4722897956335,0.546401130765056,0.40943209280329,0.60721035429208,0.361051989643966,0.802226743973018,0.798296592011277,-0.199568870156931,0.557237353889719,0.380793641874181,0.754404347928448,-0.604500404439582,0.770041349371871,0.113931055759515,0.798668478449964,0.125623490167963,0.0159755365828704,0.331201686789315,0.333159204734167,0.536398323909636,-0.368090278378277,0.208554603032774,0.49940324472209,0.294549007349464,-0.0579645324478119,0.362247393033113,0.171858789175452,0.783378436929177,0.881738596412923,0.96129240198203,1,0.925501376075239,0.909771413608925
"yld5",0.457375172559442,0.743261714404072,0.486123262255658,0.727406783602054,0.485890397829947,0.470208268712418,0.648474539171665,0.384512389564729,0.598227076835894,0.374841705037013,0.853213099591515,0.662955162161218,-0.342863848623116,0.530359054711069,0.337943667798662,0.749792478619828,-0.650503962647647,0.851160784014543,0.229103183247457,0.807382707904532,-0.0894118750948568,-0.0143184633903133,0.272185934171477,0.396719715416018,0.625802622190104,-0.426038654296573,0.221933057245346,0.614451524530825,0.428600169452002,-0.0316180580094592,0.500798613905996,0.31730855404271,0.834480205132039,0.792477010923639,0.932355476457345,0.925501376075239,1,0.928980641419431
"yld6",0.452253463484366,0.764112529005187,0.4553949326387,0.688084509592873,0.473181906872666,0.467106458433325,0.612129291995242,0.346274374413983,0.605224138313322,0.354562942902608,0.803181115874175,0.69593426298671,-0.295401672176018,0.45821269703498,0.338145250511874,0.701825689590571,-0.560305618019118,0.745339702318554,0.205252013169893,0.747442764401647,-0.0124619666401076,0.00262730955260771,0.305967119387325,0.364183419242247,0.562355234647095,-0.389857870297359,0.210970501633517,0.552750684924298,0.421214246081188,0.0101404613456177,0.527460068879101,0.307103577167339,0.814170825107293,0.807186279342613,0.904310912762818,0.909771413608925,0.928980641419431,1
