"","Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","yld4","yld5","GNDVI_62","NDVI_62","GNDVI_76","NDVI_76","GNDVI_90","NDVI_90","GNDVI_96","NDVI_96","GNDVI_104","NDVI_104","GNDVI_114","NDVI_114","GNDVI_130","NDVI_130","GNDVI_138","NDVI_138","GNDVI_144","NDVI_144","GNDVI_150","NDVI_150","GNDVI_160","NDVI_160","GNDVI_166","NDVI_166","GNDVI_174","NDVI_174","GNDVI_180","NDVI_180","GNDVI_256","NDVI_256","GNDVI_264","NDVI_264","GNDVI_270","NDVI_270","GNDVI_278","GNDVI_284","NDVI_284","GNDVI_292","NDVI_292","sca_yld1","sca_yld2","sca_yld3","sca_yld4","sca_yld5","sca_yld1_pred_slr","sca_yld2_pred_slr","sca_yld3_pred_slr","sca_yld5_pred_slr"
"11","NUMEX_BILL_MELTON_CA_2019","3","310","2","6",10,6,6.8,0.7,6.3,-0.043223385791649,0.482727734,-0.0381890213339432,0.456921228,0.0691225624378091,0.424050907,0.255791165247761,0.501390133,0.250194434450316,0.478062849,0.335186794696905,0.572183378,0.243240352312346,0.49092586,0.229212747385693,0.43430032,0.329667192700378,0.570346148,0.246257582215809,0.454494023,0.0260052642738791,0.247147552,0.0311963254558704,0.455256957,0.155444152174509,0.37566972,0.356120724708381,0.558145281,0.0552562519425232,0.291872766,0.152769112336507,0.426553901,0.275427142178512,0.53353396,0.24578527744321,0.193955988772191,0.487317895,0.340519598153022,0.549607263,0.251646021302588,0.19456478282173,0.221063915068133,0.0750851596832828,0.432117559932684,-0.0482956310597071,-0.0514951296630692,-0.0340668316808599,-0.0104113586062902
"12","NUMEX_BILL_MELTON_CA_2019","3","311","2","5",9.95,6.2,7.3,0.95,6.7,-0.0545738615016824,0.481630142,-0.0412088688098534,0.463680835,0.0623736991982485,0.38865787,0.260234916048938,0.507437153,0.219907558225482,0.449814254,0.320411661919276,0.571395227,0.238783002573998,0.498490145,0.216781608311078,0.429582668,0.336364692361561,0.573379807,0.240648785835948,0.440515055,0.0300974165088831,0.16975643,0.0330834221544272,0.450118513,0.172160935238308,0.388948223,0.331912601698418,0.564415208,0.0580247608079654,0.31593219,0.165437827335221,0.445573548,0.300305870236207,0.556786341,0.220287886600734,0.188460671042412,0.478574006,0.315598720204668,0.534089191,0.250387791196076,0.201050275582455,0.237318614705496,0.101901288141598,0.459553595483965,0.0141452400715256,-0.0358836137125497,-0.0502204663312674,-0.0134076341140985
"13","NUMEX_BILL_MELTON_CA_2019","2","312","2","4",9.15,5.75,7.25,0.55,6.35,-0.0473347846712175,0.479784251,-0.028929191171701,0.469405413,0.0551233516626128,0.387974989,0.236521167397718,0.494258547,0.224219710535965,0.455759911,0.324745008450068,0.553478907,0.233977553686753,0.486807631,0.218624153351318,0.426650109,0.32638244132184,0.55614126,0.257322204289737,0.449553191,0.0501129376928102,0.191448731,0.0439884932356611,0.43645347,0.184586373311719,0.406616949,0.3518785031744,0.5674139,0.0919497797559141,0.316952064,0.19266364802533,0.461380339,0.329153076705729,0.564306338,0.203809940185667,0.201160276404612,0.489445564,0.334416652128114,0.539087874,0.230256109491868,0.186457916870825,0.23569314474176,0.0589954826082936,0.435547064376594,0.0356203291217439,-0.0591023249677342,-0.0663100657225489,0.00172539222110779
"14","NUMEX_BILL_MELTON_CA_2019","2","313","2","3",8.65,6.75,7.35,0.8,6.95,-0.038009475438274,0.479934235,-0.0151200820631229,0.459781062,0.058694154722563,0.397688219,0.219307823447054,0.480884567,0.229944687290406,0.456746183,0.298188419603928,0.545057378,0.239860997954959,0.484373774,0.241581965146436,0.460038079,0.33983755788084,0.556427844,0.307321001476706,0.476689526,0.0741790198838516,0.217121376,0.0846990890316,0.4476246,0.205086288684025,0.429741178,0.329199382807704,0.548262364,0.135948894914623,0.316653111,0.245208147906598,0.508555161,0.363119683508002,0.588170874,0.252754678896598,0.213177557101186,0.516100908,0.339144169419897,0.551783711,0.217673808426739,0.218885380674447,0.238944084669232,0.0858116110666089,0.476701117703516,0.0303777027046992,-0.0663162740127939,-0.0465873390395902,0.012889027669842
"15","NUMEX_BILL_MELTON_CA_2019","1","314","2","2",10.3,6.7,8.1,0.95,7.45,-0.0345909668646313,0.465044214,-0.0185877243725612,0.456054695,0.0836090688235315,0.408050001,0.2655923232984,0.509674832,0.296612509307728,0.510215368,0.360197089292788,0.571339541,0.2690551719937,0.496637787,0.267529946346308,0.47890762,0.352169853368873,0.552001386,0.307348691587706,0.481864846,0.0622045210883084,0.221618643,0.071780031530387,0.441464729,0.23251607654369,0.465112386,0.369050192797643,0.581774604,0.149568351921252,0.326887058,0.257522834484124,0.522306973,0.352371620852355,0.578777269,0.251892342131313,0.233669415057463,0.529045887,0.360317327094328,0.574136437,0.259195401941666,0.217264007484266,0.263326134125277,0.101901288141598,0.510996162142618,0.0468276046378677,-0.0858654623531658,-0.0398124707318393,0.0241540234648648
"16","NUMEX_BILL_MELTON_CA_2019","1","315","2","1",8,3.85,6.1,0.2,6,-0.102671699375721,0.447112509,-0.0772711103345296,0.448787512,0.115980984940153,0.449266199,0.299025234917443,0.551275478,0.337846781017825,0.550026986,0.334731968018344,0.566765576,0.179863191416331,0.492155549,0.220165221289811,0.393213322,0.247705176562062,0.513789033,0.145331961941219,0.412741802,-0.018948545630123,0.295624146,-0.0256257364173438,0.456638739,0.16390804274893,0.36822344,0.320397120685659,0.527385114,0.0742066818921708,0.224583334,0.109855028679542,0.419104105,0.141024321870301,0.484472394,0.207880627721396,0.179471868725407,0.445452172,0.3037325169907,0.525232076,0.201316817042071,0.124845735643944,0.198307335575826,0.0214529027666522,0.411540533269223,0.0958201164475602,-0.0838065574627387,0.000559863646674357,0.0495971747648807
"17","NM1703PAR","1","316","3","1",8.75,4.05,6.1,0.4,6,-0.121189333394684,0.438709699,-0.0903715177701982,0.461229854,0.0946747722304935,0.507979307,0.311888242715658,0.548223345,0.270588825955201,0.535301129,0.371060835883829,0.572304156,0.217658937832143,0.494468183,0.197747331639993,0.408406378,0.226391342233996,0.499008834,0.142292437541704,0.42207459,-0.0432800112950594,0.370956618,-0.0151537417225252,0.461657546,0.0970782000256638,0.367093517,0.301978002398266,0.519785608,0.012979919423706,0.361147477,0.0450719944225721,0.438943313,0.118603409713851,0.481551139,0.174995594905985,0.157872566053776,0.437508679,0.295510706860383,0.541058099,0.220190268639765,0.131331228404668,0.198307335575826,0.0429058055333045,0.411540533269223,0.135047345190721,-0.0217966826923512,0.0292385168719397,0.056556682013732
"18","AFX_779","1","317","3","2",10.25,6.75,8.95,1.1,8.05,-0.0548344293050244,0.467537736,-0.0305430618642706,0.458782743,0.0624707449497055,0.499093532,0.267041344534819,0.516861915,0.2431094356479,0.503977383,0.373557461279434,0.577462537,0.28065889140846,0.506713467,0.258869249668997,0.478313262,0.369533108549974,0.561832769,0.30728583755436,0.502908389,0.0726103148028039,0.223534752,0.116782324131177,0.455557764,0.217204192392046,0.434361366,0.353932544250447,0.573443561,0.12232806820557,0.321960506,0.242851911795276,0.508381971,0.3761415017927,0.602735426,0.268532369312406,0.25686243715165,0.528315429,0.381580039579134,0.60066277,0.257937171835153,0.218885380674447,0.290959123508793,0.117990965216587,0.55215021546954,0.0488232228576163,-0.0448354284800221,-0.033936899583527,0.00356842003258207
"19","NM1703PAR","2","318","3","3",8.95,6.8,8.05,1.1,7.9,-0.0466414740359964,0.481103408,-0.00907932766287828,0.463944539,0.0460563007543532,0.479080101,0.252823939149333,0.507523006,0.190290770373328,0.467307094,0.331814981804841,0.567171222,0.255119789949589,0.491755849,0.219224773463164,0.458798625,0.355367657654566,0.565248151,0.317465169485497,0.507534438,0.0811203510367909,0.223756036,0.121340851257005,0.45036355,0.179696453575889,0.393982484,0.309558745759665,0.542674514,0.106389084997806,0.339998936,0.214624423856901,0.468127919,0.372659418365805,0.605893812,0.257521177773789,0.226427905426102,0.515220276,0.354026220051092,0.592901768,0.225223189065817,0.220506753864628,0.26170066416154,0.117990965216587,0.54186170213781,0.0727208439751481,0.00980283147450105,-0.0455602883912855,-0.00579175373080357
"20","SW_9720","2","319","3","4",8.8,6.5,7.95,1.35,7.25,-0.0527314662505951,0.476064003,-0.0101005875081991,0.46914099,0.0221344349594699,0.478785112,0.240247223453091,0.49770531,0.171381950012053,0.439258088,0.322920434427396,0.550311288,0.252154358147379,0.492872946,0.198315724716852,0.427615466,0.335859110194175,0.555943572,0.277167307102807,0.478505157,0.0664562821439724,0.232851911,0.0989254312290438,0.45312441,0.158956030792749,0.367817386,0.311920993526252,0.529452916,0.0806342744766745,0.364402694,0.183858253192259,0.43675555,0.33204711314638,0.571807335,0.203887722057036,0.201324142718956,0.476363024,0.323254742425479,0.543417271,0.221448498746278,0.210778514723541,0.258449724234068,0.144807093674903,0.497278144366977,-0.0116290872967085,-0.0848692394872877,-0.126367860732165,-0.0709159596503946
"21","SW_1011","3","320","3","5",9.7,6.4,8.15,1.25,6.8,-0.0562492693882939,0.47905889,-0.0101746864303703,0.468515275,0.0407279265319777,0.466261079,0.266415009999709,0.516606673,0.18833406107563,0.449337545,0.32401076477556,0.57968493,0.276603564711047,0.514001368,0.193648939503447,0.431329598,0.352104692419104,0.570735474,0.259720151801529,0.459401248,0.0440058161125374,0.223613619,0.0890073041094296,0.450823607,0.154614262792326,0.381563263,0.311337559802425,0.532880117,0.0756560233000454,0.418290309,0.166824259655499,0.430382048,0.301373202703702,0.549905021,0.21403846041478,0.186706181685985,0.447504301,0.303488410804145,0.517224846,0.244096640663511,0.207535768343179,0.264951604089013,0.134080642291576,0.466412604371785,0.073126271486124,-0.00367040069414053,-0.0221345197204384,-0.0322348312721721
"22","NM1715PAR","3","321","3","6",8.35,5.3,6.45,0.45,5.65,-0.115979783445487,0.496862326,-0.0612255615885545,0.461531685,0.0254497079832801,0.487434116,0.225011059039166,0.500678564,0.19627918263379,0.459542458,0.355973557613392,0.56247276,0.194906613644634,0.478333418,0.197796727035324,0.414747547,0.328151020679854,0.541683123,0.239536833955146,0.444580102,0.0252407248886951,0.188657397,0.0505058585340636,0.444955277,0.128697998462094,0.36767465,0.331459181042073,0.567744732,0.0130322751456779,0.318702144,0.11359168248176,0.408581292,0.263580605030963,0.523147533,0.219547846522686,0.189767502701718,0.471118704,0.341828102789889,0.558077886,0.210124427787661,0.171865558159195,0.209685625321979,0.0482690312249675,0.387534002161851,-0.0612578440487687,-0.0628666186750128,-0.0712407481314039,-0.0617411521438673
"23","AMERISTAND_803T","4","322","3","7",10.65,6.45,8.55,1.15,7.1,-0.0381507328707003,0.474019357,-0.0130604586243321,0.471235478,0.0667935106015065,0.475790627,0.271235132468536,0.519134201,0.236597897529904,0.447337225,0.368676295300717,0.580285015,0.308514942739913,0.519395983,0.252445248913461,0.459702047,0.381531587045571,0.576115408,0.305355296370487,0.489560646,0.0332372268393193,0.22022329,0.110532442362299,0.451673307,0.17818790479044,0.389895101,0.37181668417955,0.567561025,0.0733860544191129,0.444737055,0.176394941982589,0.439964332,0.320505481874576,0.555042646,0.246226343059195,0.206918701986769,0.487429844,0.342642631289618,0.547332754,0.268003012687257,0.20915714153336,0.277955363798903,0.12335419090825,0.486989631035247,-0.0318844733695131,0.0294359819923056,-0.048291733386239,-0.0330039599947835
"24","NUMEX_BILL_MELTON_CA_2019","4","323","3","8",9.35,5.2,6.5,0.55,6.15,-0.0697461535380729,0.490737297,-0.0125028424885035,0.479884243,0.0425609848141474,0.43002289,0.239694525742211,0.504701236,0.219047173525453,0.431244651,0.353672826778305,0.573819439,0.220457865442801,0.489675905,0.218708091429121,0.437552353,0.340441705614353,0.553507146,0.239742839337138,0.450831858,-0.0316839483242435,0.253496796,0.0279610765698575,0.448196821,0.118058827891056,0.367375566,0.335379636364385,0.565644753,0.0358043669295533,0.406450809,0.122654995681594,0.40940389,0.24843861513421,0.512844706,0.217903154756387,0.189420438840253,0.473435015,0.316092442353358,0.533987039,0.23528902991792,0.168622811778833,0.211311095285716,0.0589954826082936,0.421829046600953,-0.00860680260852712,0.0608968002223842,0.00782057131534279,0.00616354211122132
"25","AFX_779","4","324","4","8",9.7,4.9,7.25,0.7,7.45,-0.0835681791841519,0.495245808,-0.00667065034112665,0.477970778,0.0319436812362971,0.464934601,0.252086003245849,0.52486886,0.210266598259155,0.477220929,0.371795251081675,0.602845978,0.241641684889786,0.496515808,0.210703639571298,0.422753902,0.350582587998483,0.555018822,0.234581591024763,0.45559615,-0.017206554578435,0.198959184,0.0524856576678584,0.451856115,0.120372136914972,0.375296693,0.357003341941892,0.565459951,0.0667303010870746,0.407577608,0.160318556342839,0.43018883,0.298086036788331,0.536943689,0.248465691071865,0.243162589898828,0.480935397,0.360941095719017,0.565949537,0.244096640663511,0.158894572637747,0.23569314474176,0.0750851596832828,0.510996162142618,-0.0861361954102397,0.0126467075603779,-0.0270423323782386,-0.0382130795244964
"26","NM1702PAR","4","325","4","7",9.45,5.65,7.4,0.8,6.95,-0.0645153753146644,0.491333208,-0.0127689608231255,0.472928233,0.0164433990024638,0.499655728,0.225399195571171,0.506641693,0.170564421847807,0.450178045,0.334733027422398,0.586721545,0.254164620141555,0.499037904,0.186523486779298,0.412605506,0.354911618034245,0.562400965,0.280278330683214,0.484231153,0.0366360553200984,0.23531013,0.0945164778943593,0.440336134,0.120868644712098,0.415176334,0.3071698948616,0.537829902,0.043803925308543,0.49892407,0.137384689935248,0.437398337,0.30976187351898,0.539516979,0.217476988192885,0.196857815967492,0.438894424,0.330783353272337,0.550508086,0.237805490130946,0.183215170490463,0.240569554632969,0.0858116110666089,0.476701117703516,-0.0354356486512336,0.0331522357537168,-0.0591479044460322,-0.0236902876896539
"27","NUMEX_BILL_MELTON_CA_2019","3","326","4","6",10.3,6.45,7.2,0.75,6.7,-0.0653370727824285,0.490056496,-0.0103279445766325,0.473128358,0.0292842721396898,0.472530704,0.2611892807564,0.509355635,0.174214373262287,0.444447387,0.347841892568761,0.60380414,0.229581190273667,0.485060208,0.169324794027675,0.416734417,0.344102955470184,0.559063283,0.284405552748557,0.481228023,0.0257274677273533,0.184450868,0.0590638448222026,0.445010329,0.109048836818774,0.381147981,0.284686338338091,0.538427888,0.0206983578501517,0.43523484,0.133830344625842,0.411337644,0.304800498446817,0.542150935,0.199382750601672,0.175818783669571,0.408549206,0.299091168440958,0.520414211,0.259195401941666,0.20915714153336,0.234067674778024,0.0804483853749459,0.459553595483965,-0.00325996116993199,0.00287877679212431,-0.0263038598881909,-0.0245865748728788
"28","AFX_149092","3","327","4","5",9.75,6,8.3,0.85,7.8,-0.0717712841965082,0.494380757,-0.00639788743159678,0.47669894,0.0320737012824588,0.488526479,0.293964264937772,0.528962986,0.202282813984968,0.452545281,0.330498263432656,0.606903909,0.324533398446936,0.533536561,0.188166504185561,0.428355305,0.383454594289042,0.594073961,0.308368138102083,0.497335916,0.0518067746212845,0.247321995,0.125863101258968,0.45839437,0.158350408579692,0.402190672,0.296708225547246,0.545200685,0.0712724747349693,0.490625493,0.173917759786509,0.445555716,0.345407831649064,0.577242018,0.238684647004071,0.227781522800392,0.447429771,0.334644540621614,0.551165273,0.245354870770024,0.19456478282173,0.269828013980222,0.091174836758272,0.535002693249989,0.0133605124939485,-0.0463742573358867,-0.0744761688945498,-0.0747834148690187
"29","AFX_149092","2","328","4","4",9.45,6.7,8.65,1.25,8.1,-0.0633420992513093,0.488306008,-0.010298789735713,0.469267277,0.02239727750703,0.481562115,0.267062591586133,0.518016449,0.187852241813845,0.455399707,0.325795820771895,0.582062979,0.291493024281369,0.511141699,0.187218298142511,0.419896599,0.366659555469568,0.580367145,0.330484143839315,0.519964305,0.086259620051838,0.254104912,0.153137473777399,0.458300133,0.175634067367828,0.409911342,0.29555228952667,0.536227544,0.0929546090777398,0.497331893,0.191462050450124,0.443984894,0.369660582140411,0.590897914,0.237473599500755,0.219958380264212,0.439931894,0.317341313040909,0.542500191,0.237805490130946,0.217264007484266,0.281206303726376,0.134080642291576,0.55557971991345,-0.0165976356993329,0.019831036648865,-0.0887835201697706,-0.0543800261828134
"30","NUMEX_BILL_MELTON_FG2011","2","329","4","3",8.75,6.05,7.35,0.7,6.6,-0.0830640169321376,0.495753382,-0.0285525470516547,0.46600672,0.0180186763135192,0.48439663,0.234200802079112,0.501600252,0.174838993327496,0.443715478,0.301698413762555,0.581201775,0.197471156103314,0.472039824,0.165838574221156,0.389166148,0.336456335464441,0.560036662,0.265808739179953,0.467595149,0.0569626359565737,0.214451612,0.0416250542877676,0.450376206,0.139604358457219,0.387007362,0.264231477726374,0.538984722,0.0503539884856466,0.479425835,0.161824863904285,0.410741398,0.308596555686727,0.540129614,0.203387924939447,0.19704257410816,0.420571462,0.273892044660914,0.504566969,0.220190268639765,0.196186156011911,0.238944084669232,0.0750851596832828,0.452694586596145,0.0286508916652007,-0.000104548239929508,-0.0306170209180284,0.0028619477782907
"31","NM1704PAR","1","330","4","2",9.5,6,7.9,0.9,8.1,-0.0710836297729928,0.468646674,-0.0361013297167105,0.462649817,0.038131293925154,0.482057775,0.260722049714399,0.51719746,0.194226239723996,0.457906956,0.318975896452597,0.588379304,0.25268724638225,0.496909546,0.200679633146106,0.436697499,0.3522335311217,0.571408221,0.282149901234757,0.48227259,0.0687338324036296,0.215367342,0.0791906453398825,0.45538083,0.168118717593228,0.401944398,0.286475471570777,0.548726176,0.0879951247825236,0.39596284,0.226669016420833,0.496969524,0.370604374565386,0.607400277,0.241810189436954,0.220984814299917,0.468703922,0.309776342442651,0.549082185,0.239063720237459,0.19456478282173,0.256824254270331,0.096538062449935,0.55557971991345,0.0191802193848577,0.0096030881666086,-0.0262219043542502,0.0176348431514213
"32","TMA_990","1","331","4","1",8.45,4.55,6.8,0.75,6.75,-0.109233036823649,0.433935535,-0.080961141228441,0.455740905,0.104910688655519,0.478770247,0.327979958869297,0.548493736,0.232220946414142,0.489048163,0.330504743559626,0.564435787,0.229107846927603,0.493630688,0.189103280738131,0.418695758,0.276467212326152,0.52294781,0.189166431019282,0.422442565,-0.0169635592577471,0.231267055,0.000400670723860172,0.454215491,0.10954832703396,0.366984447,0.275536742618011,0.503308695,0.0547398861569967,0.345176844,0.198881775814446,0.471672198,0.256245188222032,0.525478419,0.219196716429849,0.172714106241575,0.413866349,0.247261838401097,0.458896256,0.212640888000687,0.147544960306479,0.221063915068133,0.0804483853749459,0.462983099927875,0.026773559160431,-0.0123174047494911,0.00860003204771826,0.0572850232100384
