"Germplasm","GNDVI_62","GNDVI_76","GNDVI_90","GNDVI_96","GNDVI_104","yld1","GNDVI_130","GNDVI_138","GNDVI_144","GNDVI_150","yld2","GNDVI_166","GNDVI_174","GNDVI_180","yld3","GNDVI_256","GNDVI_264","GNDVI_270","GNDVI_278","GNDVI_284","GNDVI_292","yld5"
"NM1715PAR",-0.051698855223569,-0.0338784735583508,-0.0200662688450193,-0.0321079238218941,-0.0135436567218713,-0.817404738900778,-0.0556996865309905,-0.0135135179217346,-0.0212826769358025,-0.0282494820816208,-0.745344217241916,-0.0277674438363007,-0.0126733715256235,-0.00589674776951359,-0.879381171427996,-0.0264875267263431,-0.0289917266625253,-0.0359441559868459,-0.00572224371028898,0.00806835176013917,0.0120992949311612,-0.624155924109522
"NUMEX_BILL_MELTON_CA_2019",0.00967556579067457,0.00720659193486532,-0.00319008427202872,0.00107018366730018,-0.00189180721377934,0.740645873404076,-0.0143726783089406,-0.00592831289320034,-0.00362117735050943,0.00906657860336381,0.457189708637835,-0.0239488568494168,-0.00911626576000261,-0.00643645039458946,-0.0521412394008366,0.00612347640126156,0.00403656260003644,0.00523516870863639,-0.00861599091567471,-0.0119727299998777,-0.0107691899745669,0.119077309301778
"SW_1011",0.019080962635612,0.0165632558023529,0.00767405131879186,0.000977585408419866,-0.0029393676039814,0.177448627159363,0.0190888579173854,0.000913399975049427,0.0089912146646277,0.00694370937195162,0.390685755233902,0.0132297732659927,0.003757856621986,-0.00124317251754301,0.344328332894811,0.0171906665475223,0.0141859754056402,0.0126497463738714,-0.000154742637476676,-0.00283118505490181,-0.00807463633102413,0.228227938393385
"SW_8421S",0.0154441047676445,0.013731905852315,0.00533044653707296,0.00623589309989692,0.000921073756535469,0.183730723787995,0.0380745640161875,0.0108724942897487,0.0155558809930291,0.0236124317581611,0.292087841796055,0.0340377637430889,0.0122241016874937,0.00649692833281063,0.601976305206054,0.0336880157434759,0.0306781726790024,0.042554008689271,0.0108754343599297,-0.0023321238550764,-0.00569613024671541,0.492631414278043
"SW_8888",-0.00486559252304045,-0.00429758677729832,-0.0059429462580384,-0.0090485685183401,-0.000816908049308602,-0.694073057742344,-0.0108169186461786,-0.00593454943763345,-0.00874124405630293,-0.00895486502125479,-0.256503606958983,-0.0134825166227465,-0.0036901933171366,-0.00352004958950178,-0.311560189951675,-0.00691190775890308,-0.0150089942000254,-0.0184710937819999,-0.0094975028692014,-0.0104064168775618,-0.0161607855945939,-0.546811939328252
"SW_9720",0.0126996511260316,0.00765934419217603,-0.0119656268429573,-0.0114177856778698,-0.011159846817208,0.120279733287753,0.0045317383153433,-0.00324386317900217,-0.00359946399952353,-0.00889051476888086,0.239765247841295,-0.00496478801792518,-0.00856254343744419,-0.00507498636634631,0.127681987245063,-0.0101302453516739,-0.00728080869080688,-0.0189847037417734,-0.0064510740113687,-0.00726148246445169,-0.016151229232673,-0.118780826272018
"SW_9812",0.0267743252272093,0.0142488313104237,0.0159828961753153,0.0137651639369789,0.0103203728054418,0.432776666178469,0.0300996914000417,0.00881297611036395,0.0148863408575019,0.00929636302911495,0.383387781957413,0.0184514244690623,-0.000124488219075669,0.00502794837799276,0.558902429273351,0.0156256133639536,0.0198848263563823,0.0210631011896316,0.0114086877853471,0.00328351045714543,-0.000403382004525675,0.202446789057871
"SW_9813",0.0194142267986338,0.00988950086283808,0.00502462811444211,0.00267667585610063,0.000816414103566108,0.191463263500761,0.0218241008073865,0.00475680166783758,0.00347470242152104,0.00164776387136431,0.378364492261636,0.0182846711004608,-0.00219163855870994,0.000193558574039276,0.471282557370969,0.0104827526105533,0.0140406940878959,0.0170149055917668,0.00475366917202519,-0.00251790138498036,-0.00633274393821948,0.48321707418327
"DONA_ANA",0.0115822420093592,0.0062225459790889,0.0125974312093567,0.0187356308866583,0.00725394768052715,0.373597758976239,0.0357447832516807,0.00922568208451051,0.0130590838007443,0.0147614411472368,0.186035092359943,0.0276970207721906,0.0166694464852176,0.00763117420979021,0.474979499973594,0.0394907773781511,0.0379654966634282,0.0536225590779323,0.021641909479472,0.0103326372980068,0.00319731403950147,0.717232213862719
"AFX_779",0.000301608196031046,0.000353517764593714,-0.00576120307422957,-0.00401596788288218,0.00354703318516194,0.14103870893558,0.00102306732179196,0.00781293830193506,0.00483150596087722,0.00131216967554175,-0.0366245667543096,0.00666518522258279,0.00815151764371762,0.0120216953858192,0.246776669052507,0.0184482556123879,0.0199937766749406,0.0231723848438847,0.0258527907364963,0.0273852353255725,0.0273839225310708,0.494625841807629
"AFX_149092",0.0158851152527384,0.0135589002864122,0.00847582148914699,0.0148580072581095,0.0127244384476123,0.0911512411664906,0.0486028477637593,0.0152409416246933,0.01764041634507,0.0233417508973327,0.122341439322872,0.0368852923103466,0.0159729347358553,0.00773344161787021,0.387961057659861,0.0210112732672579,0.0166129707002461,0.0349152032941771,0.0201376523207246,0.0151791508894719,0.0129583673196424,0.5199105332152
"NUMEX_BILL_MELTON_FG2011",-0.00876993320128694,-0.00466178273719458,-0.00802120047884406,-0.00798555461979603,-0.00458354529053839,-0.266450411282252,-0.040415130061801,-0.0134982779817832,-0.0146402409318928,-0.0167794705553954,-0.135171984399653,-0.0358227643972968,-0.0159261125749325,-0.00919593538126773,-0.638428169254933,-0.029057450135064,-0.0357802002595974,-0.0459258490037906,-0.0278738146385708,-0.0167015840024724,-0.00917179275034228,-0.654326663979148
"TMA_990",0.0325936875643018,0.0182020975243957,0.0392278172011614,0.0409584362534859,0.0148621899917863,0.430422735664389,0.0432665220150765,0.0134940722548775,0.0178395447032883,0.022276648759453,0.446740521921635,0.0249225153592193,0.00963893940488347,0.00365769213522834,0.619958153829549,0.0382330056842623,0.0531779814253304,0.0563809278428362,0.00709999631153169,-0.0184409666939822,-0.0295597555316239,0.45389381108112
"NUMEX_BILL_MELTON_FG2012",-0.00404397426634132,-0.00303659777386022,-0.00576073098160676,0.000859675435383119,-0.000931441179922664,0.0144767246814353,-0.0367219440013584,-0.0113500330105834,-0.0115712494316388,-0.0100250348790379,0.0913759153407911,-0.0341415228582444,-0.0111463788857012,-0.00629533386039539,-0.347154415654533,-0.0146698170307025,-0.00937458961438024,-0.0109602977569442,-0.0140437302756104,-0.00858945924165605,-0.00271548094344815,0.120396457194806
