"Germplasm","Plot","Rep","Row","Range","GNDVI_62","GNDVI_76","GNDVI_90","GNDVI_96","GNDVI_104","GNDVI_110","GNDVI_114","yld1","GNDVI_124","GNDVI_130","GNDVI_138","GNDVI_144","GNDVI_150","yld2","GNDVI_166","GNDVI_174","GNDVI_180","yld3","GNDVI_188","GNDVI_194","GNDVI_200","GNDVI_206","yld4","GNDVI_216","GNDVI_222","GNDVI_228","GNDVI_236","GNDVI_240","yld5","GNDVI_264","GNDVI_270","GNDVI_278","GNDVI_284","GNDVI_292","yld6"
"NUMEX_BILL_MELTON_CA_2019","114","1","2","2",0.000525511152844151,-0.0395403423260476,-0.0226380541133668,-0.0399979846204167,-0.0137876547331839,0.00226156293547169,-0.0388659180890485,-2.12391767027082,-0.0450075670085701,-0.0277403954903458,-0.0280354221380222,-0.0454505073557593,-0.0559474165876119,-1.84594663150797,-0.0167387822036275,0.0144509534506012,-0.0505576431495917,-1.67569196287025,0.0423524919848371,-0.073672226024077,0.0380102193177634,-0.0704221680238863,-1.59428999933006,0.00849923419919018,0.0175620955376381,0.00884150060905373,-0.00403107931372735,-0.0333980765274479,-1.67640369134828,0.00341314910699408,0.0195264850642962,0.0449002622232158,-0.00263299489644275,0.0180857972928054,-0.6566698100342
"NUMEX_BILL_MELTON_CA_2019","115","1","2","1",-0.0105104156330178,-0.0393603356460747,-0.0130828970706704,-0.0349904246598801,0.000558270671297841,0.0108793804796877,-0.0262202720299969,-1.8119862767576,-0.0391581872225304,-0.0280424029381571,-0.00952182629713915,-0.0457969367768051,-0.0417266138932886,-1.60845124343553,-0.0379315842353898,0.00995211307353194,-0.0373880595846537,-1.56563009171285,0.0282405411285776,-0.0766174047652676,0.0307970888050844,-0.0568294959694062,-1.37844773658054,0.0108754978300874,0.014825810437314,0.0207905469252366,-0.00444842657374594,-0.0302644469263789,-1.51910320703774,0.00332139342051421,0.0061560817528199,0.0375331575303399,-0.00885610274081324,0.00146266577511043,-0.728184417357275
"AFX_779","116","1","3","1",0.0241899429439293,0.0378552875099619,0.0236873374248424,0.0310816456013756,0.00475701648110336,0.0113102122096926,0.0468706764221061,0.291351327239218,-0.0179508711870253,0.00476699133136143,-0.0102792419592936,-0.0113561572561131,-0.0345170321229669,-1.14387177495639,-0.020696409315506,0.0120101432520924,-0.0201960564904835,-0.408821231807527,-0.00533098873572809,-0.0452163705303739,0.0302830379734937,-0.0318512668024839,-0.595624208133851,-0.00765815020784414,0.006304376653459,-0.00854854888932822,-0.00599475209398248,-0.0164094810875371,-0.587888916986333,0.00933202170152064,0.013406833536223,0.0124589927953143,0.00132935609629906,0.0106670373424816,-0.424964406186124
"NM1703PAR","117","1","3","2",0.0205486466056557,0.0295971795016952,0.00500106381335329,0.0024237926875317,-0.0226315325814782,-0.00983813948812279,0.0066527977780361,-0.906241070960286,-0.0181701445319829,-0.00859360317031425,-0.0282502891210454,-0.0394398760053014,-0.051037211455933,-1.91668251823248,-0.0534861757686711,0.00217373680696929,-0.0625808641010257,-1.24849908630146,0.00789945136421825,-0.0637995781450648,0.0148791182366431,-0.0568075368469179,-0.939618482834314,0.00317113664338066,0.0117622464816906,-0.0104326190878005,-0.0248519511691875,-0.0499398708501244,-1.26499892998694,-0.0139017549971508,-0.0131261715469461,-0.00564791975525682,-0.00888073081755969,-0.019970998941242,-0.72900591347625
"SW_1011","118","2","3","3",0.0276729404645476,0.0253008566234811,0.00241427486394953,0.0105397599942044,-0.0141769452012174,-0.0233446283023858,0.0270206530407016,-0.702092813862009,-0.0215732816945844,-0.0058096988662573,-0.0341557421896719,-0.0348914409215174,-0.0146278337551486,-1.21104748449715,-0.0204504630957438,-0.00424494337527374,-0.0599694118404872,-1.31921497085988,0.0193622673176401,-0.0654763718185978,0.019641725366347,-0.059836985402174,-0.811119959294491,0.00803272559844534,0.014031877196246,-0.00836434138655432,-0.0246669604176789,-0.0535563284915608,-1.25302343138593,-0.00901247425843808,-0.00587229748080448,-0.00839503940433148,-0.0114524820042736,-0.0248126681007125,-0.752221278001933
"NM1715PAR","119","2","3","4",0.021410416462753,0.00351949349692056,-0.0301397390640845,-0.0118729984205303,-0.0269242406994546,-0.0301451138593572,0.007131448893202,-1.20067743071403,-0.0357834766941479,-0.0233882210475229,-0.0508054178926551,-0.0446676712224605,-0.00662483433053219,-0.956476915606182,-0.0118100169997567,-0.0171087661666157,-0.0763678212771725,-1.26862890108465,0.0108169958194781,-0.0840071891031212,-0.00080435831209033,-0.0852369817512039,-0.969818737189483,-0.00485723504857032,0.000679875357227955,-0.0101205741438903,-0.0343472679700812,-0.0676087393733549,-1.51735161920795,-0.017720335743289,-0.00362018617270279,-0.00759546633857854,-0.00966310698829426,-0.0220224958007127,-0.740553433583362
"NM1703PAR","120","3","3","5",0.00609245433804402,-0.00653130665635286,-0.0323394892036547,0.00492074040785853,-0.00973104415454649,-0.0274752589562515,0.0232238269732045,-1.36150914063681,-0.0402537255040419,-0.0228276997362256,-0.0574063474038095,-0.0559654043888449,-0.0501168047927261,-1.94477669434642,-0.0143784023520087,-0.0304990128570055,-0.0793794644996865,-1.67810825384381,0.0128546415362952,-0.0820494788162421,0.000517773572069139,-0.0874917500372323,-1.2866227747202,-0.0195093584492448,-0.00398955879512013,-0.0146572366148279,-0.0401029550914769,-0.0726584387620803,-1.61331933917109,-0.0216497145773702,-0.00486382104170312,-0.00687598247935518,-0.0141010361349559,-0.0173488552660781,-0.79386624526986
"SW_9720","121","3","3","6",-0.0158035844277581,-0.0312026630189944,-0.0617171195784371,-0.0419730552683856,-0.0440241515617915,-0.0126862950322369,-0.0294133489646616,-2.51025283820626,-0.0208504999278822,-0.0224157512847964,-0.0516883573616063,-0.0608560799756979,-0.0499435860975882,-2.17661357273394,-0.0222626489618813,-0.0271833012416535,-0.0685127977021407,-1.78329599829743,0.02378078041785,-0.0799865963209296,0.0067949368073212,-0.0750357297685774,-1.48587386340381,0.00776076917909702,-0.00402535850887242,-0.0131261242768044,-0.0341632316243728,-0.0701859054124123,-1.88471392094961,-0.0229196970928572,-0.00615839313766844,0.00803223219340838,-0.00945330141169833,-0.0118693056975516,-0.824870052919691
"NUMEX_BILL_MELTON_CA_2019","122","4","3","7",-0.00950414130949911,-0.00719628178620652,-0.0471406500323861,-0.0261137108108168,-0.0247114021101726,0.000568305949930754,-0.0117585767653972,-1.82019412767685,-0.0196116043025969,-0.0106097403360923,-0.0415732860770487,-0.0469981526250904,-0.0214327125050778,-1.75051902494637,-0.0266040406923322,-0.022923819263278,-0.0613114072878926,-1.50015128022134,0.0270579940946692,-0.0843677273947999,0.0131101784730775,-0.0735868994895139,-1.42192296549504,0.0123370862058516,-0.00262241195022304,-0.00448713844308406,-0.0293581058975681,-0.0575620166527198,-1.52229391526512,-0.0152279334101876,0.00154432468635975,0.017283539826567,0.00171789708861081,0.00679096345102509,-0.556894155325155
"AMERISTAND_803T","123","4","3","8",-0.0163435700831371,-0.010277049633251,-0.0423724457070846,-0.0272308300996057,-0.0153980216371397,0.00585357325053891,-0.00462113169764776,-1.49307009036861,-0.0155979791214378,-0.00920825042709552,-0.0188021523246804,-0.0479328673702214,-0.0051873221864575,-1.36119892622984,-0.0286514392290509,-0.0112218863043912,-0.0341747756358495,-1.28953475196014,0.0148749881112973,-0.0855045115981541,0.00863705333172592,-0.0554361577315273,-1.14804930474655,0.0201056882055703,-0.00235548141582098,0.00732585012352255,-0.0283533631844572,-0.0506266757374865,-1.34352077512514,-0.0162492386313807,-0.0112278702212298,0.0132380117787886,-0.0021882752255386,-0.00265206609493304,-0.588990181519238
