"Germplasm","Rep","Plot","Row","Range","NDRE_62","NDRE_76","NDRE_90","NDRE_96","NDRE_104","NDRE_110","NDRE_114","NDRE_124","NDRE_130","NDRE_138","NDRE_144","NDRE_150","NDRE_160","NDRE_166","NDRE_174","NDRE_180","NDRE_188","NDRE_194","NDRE_200","NDRE_206","NDRE_216","NDRE_222","NDRE_228","NDRE_236","NDRE_240","NDRE_250","NDRE_256","NDRE_264","NDRE_270","NDRE_278","NDRE_284","NDRE_292"
"MESQUITE",2,414,15,3,0.489667946,0.463333468,0.315354567,0.392086495,0.328815287,0.443753513,0.394497745,0.280553608,0.38683972,0.340427771,0.392302876,0.36504216,0.299564741,0.401370344,0.293050378,0.351554234,0.434445158,0.403463535,0.493076387,0.408138838,0.25560248,0.49663628,0.525950471,0.464418049,0.44891227,0.476759548,0.246272174,0.305251458,0.37175539,0.338491645,0.250484894,0.246715235
"SW_8888",2,415,15,4,0.472772679,0.443010393,0.369350856,0.398238509,0.380787792,0.430582406,0.447820675,0.301733486,0.410593752,0.360675492,0.417440122,0.388743864,0.362995176,0.41171645,0.298626163,0.358481438,0.429268755,0.40761797,0.447461657,0.410001126,0.40641547,0.484934425,0.511246673,0.459350482,0.4715861,0.464429994,0.271263427,0.294686809,0.397443022,0.339070474,0.266116582,0.245506938
"NM1703PAR",3,416,15,5,0.449019021,0.437365896,0.367455988,0.426799955,0.381675493,0.424320579,0.449589392,0.268358707,0.414047158,0.349220867,0.435385265,0.407483102,0.375542425,0.400175654,0.312597565,0.351292264,0.429390171,0.41013034,0.437871619,0.400672847,0.368435655,0.494722768,0.503172902,0.480203716,0.476682636,0.469203323,0.290107162,0.295467308,0.428613841,0.331908737,0.278767845,0.298009749
"SW_9812",3,417,15,6,0.47613564,0.452393456,0.357258423,0.407599556,0.354510046,0.437000745,0.407727492,0.269195428,0.398445296,0.341995073,0.412739331,0.378968688,0.265029242,0.375101555,0.296701431,0.331176063,0.430588436,0.373400248,0.470549626,0.396207556,0.432509357,0.498116934,0.516912477,0.476997719,0.454914121,0.470288514,0.290303999,0.314625391,0.408211247,0.305063148,0.235935122,0.230555906
"SW_1011",4,418,15,7,0.453774468,0.435909099,0.396770515,0.429465238,0.394601772,0.413118075,0.440352346,0.290358249,0.417521519,0.400237671,0.439185605,0.412728922,0.362832979,0.407929068,0.300780879,0.339679001,0.434637719,0.398984257,0.450998712,0.409982683,0.3889576,0.536073823,0.515580286,0.477591697,0.49063406,0.470547557,0.24463576,0.298492981,0.403757397,0.33429716,0.256645838,0.25948945
"NM1705PAR",4,419,15,8,0.43117408,0.455202347,0.420426274,0.440785265,0.425821883,0.417073352,0.451314097,0.296101358,0.420188816,0.395577633,0.450410028,0.421876609,0.418468691,0.409236388,0.308659456,0.365864263,0.442551634,0.423500621,0.453286648,0.425219686,0.415099715,0.540207997,0.542979662,0.479022234,0.492892404,0.474396899,0.255350294,0.297706695,0.4361446,0.333436227,0.270271366,0.281593716
"MESQUITE",4,420,16,8,0.430785698,0.455044882,0.388576292,0.438642968,0.394639883,0.382538402,0.445597183,0.327951335,0.420646565,0.41321639,0.449477166,0.433169676,0.418979934,0.393424564,0.312892617,0.342677181,0.443738426,0.406158933,0.436689359,0.422676645,0.413911765,0.53640181,0.564117786,0.486328378,0.477872167,0.470544975,0.256265697,0.309848554,0.431516408,0.341656683,0.255901335,0.258946016
"NM1715PAR",4,421,16,7,0.466645103,0.467248204,0.371183434,0.432528275,0.397464886,0.387195226,0.445354668,0.28627451,0.420039445,0.359576758,0.437444037,0.408147931,0.420618141,0.419339353,0.317877915,0.312071299,0.445282811,0.424140382,0.454865913,0.430826252,0.408286576,0.53651117,0.552594231,0.511605055,0.474752052,0.483121265,0.241310804,0.273951968,0.398829911,0.357960586,0.287287223,0.324083129
"NM1704PAR",3,422,16,6,0.448017951,0.445877143,0.345809057,0.430126044,0.367296897,0.40645489,0.471154736,0.259556711,0.41223046,0.38404952,0.447071353,0.422440806,0.316884489,0.380616823,0.29714299,0.367414838,0.425895095,0.385827848,0.441773925,0.408131001,0.421015837,0.50872568,0.569820316,0.494837496,0.460640295,0.476863817,0.267642195,0.320824369,0.429988151,0.355394508,0.276007155,0.303459748
"NM1701PAR",3,423,16,5,0.43224578,0.449123596,0.351132842,0.412024595,0.380039442,0.408616732,0.457549271,0.256701182,0.41984954,0.386440263,0.433888741,0.393478796,0.365242585,0.405259478,0.313063155,0.330911864,0.441700754,0.412642745,0.429805537,0.408544863,0.418010558,0.508085108,0.556505084,0.484932178,0.481920589,0.474637151,0.258140615,0.293381446,0.423604162,0.333864442,0.265542969,0.267339012
