"","X","Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","yld4","yld5","yld6","GNDVI_62","NDVI_62","GNDVI_76","NDVI_76","GNDVI_90","NDVI_90","GNDVI_96","NDVI_96","GNDVI_104","NDVI_104","GNDVI_114","NDVI_114","GNDVI_124","NDVI_124","GNDVI_130","NDVI_130","GNDVI_138","NDVI_138","GNDVI_144","NDVI_144","GNDVI_150","NDVI_150","GNDVI_166","NDVI_166","GNDVI_174","NDVI_174","GNDVI_180","NDVI_180","GNDVI_188","NDVI_188","GNDVI_194","NDVI_194","GNDVI_200","NDVI_200","GNDVI_206","NDVI_206","GNDVI_216","NDVI_216","GNDVI_222","NDVI_222","GNDVI_228","NDVI_228","GNDVI_236","NDVI_236","GNDVI_240","NDVI_240","GNDVI_256","NDVI_256","GNDVI_264","NDVI_264","GNDVI_270","NDVI_270","GNDVI_278","NDVI_278","GNDVI_284","NDVI_284","GNDVI_292","NDVI_292"
"11",11,"NUMEX_BILL_MELTON",3,110,2,6,5.3,5,4.4937223042,4.05,6.35,5.5,-0.0373083082462242,0.507060839165461,-0.0302589063151538,0.476340424468789,0.0182310370692666,0.374635124798341,0.117661039812151,0.468638768875461,0.169058140542414,0.390081596364036,0.192376581126762,0.439497317,-0.0368785923974981,0.362371820016944,0.10924894934036,0.440287833794891,0.160350504516235,0.368062982768865,0.231535037677082,0.473434337238545,0.215296679588959,0.443306109446669,0.0769987177772129,0.400364755522462,0.142651018377977,0.340028140458557,0.270706803544183,0.476682853253872,0.0302751187543917,0.160261054568455,0.0151374232720752,0.346829883345743,0.135747333632853,0.389953703703704,0.215866704696943,0.451376543515266,0.0199198496100454,0.173480846299571,0.0778641859172338,0.339438914027149,0.126342471748037,0.405870113338719,0.239512737413748,0.471798583125939,0.219137514326786,0.429629312965496,0.0408730808171007,0.332334654522228,0.13222135520344,0.42297669608267,0.289218767101026,0.506525999359949,0.210674801696753,0.490877960018155,0.169752308957741,0.450092483448885,0.276360614943807,0.47287366918456
"12",12,"NUMEX_BILL_MELTON",3,111,2,5,7.55,5.6,4.7881249142,4.45,6.6,5.85,0.0014307516373706,0.578294970161978,0.0106658016031397,0.483388161743811,0.072841601741571,0.38323251,0.18123340813314,0.474376273807014,0.231448657632515,0.425844283791948,0.240274302744543,0.465062943766113,-0.0371655284778057,0.351643300967048,0.140747945821025,0.456698757708396,0.170052685734203,0.398764696858955,0.254602606047811,0.49423214541291,0.226740884149855,0.454356892918498,0.077191283805412,0.437712441373746,0.129259986836183,0.337438812,0.257756452460508,0.482339697605121,0.0209082982670175,0.171251966460695,0.0206013415284855,0.41127308937911,0.12964187428721,0.408973506069094,0.211027996110987,0.479148732663797,-0.011875512755443,0.205326560419817,0.0707366524568083,0.349780365716621,0.134783418589707,0.399869574796211,0.233159758531337,0.458827884387586,0.216817110441304,0.440953163732715,0.0589913223938608,0.362569406164965,0.137787962655259,0.434655522365196,0.288781449095342,0.511862324175125,0.202943506222664,0.476889132292782,0.169744982577601,0.442670992982412,0.27228155053267,0.4683827290507
"13",13,"NUMEX_BILL_MELTON",2,112,2,4,7.2,5.15,4.1551414542,4,6.2,6.05,0.00223832453150583,0.560704578506594,0.00768794442128214,0.477032132878635,0.0777119977233166,0.378304261823413,0.186030414961233,0.486385228342634,0.230633531878578,0.429888401,0.256747612908371,0.47537317851489,-0.0298432178499772,0.321358165994086,0.140616749981484,0.443631907734862,0.175185693912394,0.377780857354028,0.238647299545802,0.472395486097908,0.209720135999137,0.428060537,0.0608729331701248,0.445694610488302,0.116872656446059,0.308534562,0.244857438373451,0.450358126111354,0.0153814108387192,0.173129038144518,0.0134007056150212,0.392858376768429,0.143630611348312,0.37698148582142,0.213674344818397,0.436587014957371,0.00169223534130855,0.216793801452058,0.0771613740513186,0.323000904977376,0.149480045534116,0.422233230134159,0.239456544784629,0.459783017684686,0.228536571157051,0.427022785864117,0.0717260707851518,0.358449970774218,0.156876292802866,0.443434523254467,0.292206881428632,0.518903921746251,0.1895375971841,0.472933181767079,0.188454712603517,0.462725432053163,0.271913892816214,0.497323270314093
"14",14,"NUMEX_BILL_MELTON",2,113,2,3,8.1,5.15,4.2371084442,4.6,7,5.95,0.00905965287228169,0.56627956541565,0.0158132128438726,0.484966876111243,0.109675796833907,0.376925965494991,0.184170355812111,0.501522338900426,0.240634269601201,0.44923182948393,0.252726050490674,0.496861430951249,-0.019278042100474,0.23504640003439,0.147753041354409,0.449645992955513,0.20041324735625,0.40250778268049,0.254434147449601,0.479940808440164,0.204431866184392,0.428556743139796,0.0611819300460838,0.449995698516433,0.140351536447432,0.3407876,0.260669126603334,0.474095206562925,0.0227755792627611,0.165282237791725,0.0388027987395411,0.395605857532887,0.165015964045066,0.391626595082477,0.238234689241122,0.452559136224846,0.0100941396836844,0.22502044984111,0.0993996305862714,0.329296789713945,0.147290265222571,0.427159579936844,0.250697109283259,0.470569770196636,0.237182018814932,0.440679054567563,0.0813461672893656,0.35301782292569,0.161662294849941,0.435882844650206,0.290888497830218,0.520956352,0.180898721709753,0.463477779304544,0.185596106630963,0.461617720994884,0.268383592494437,0.496120065822082
"15",15,"NUMEX_BILL_MELTON",1,114,2,2,7.2,4.45,4.7169582174,4.1,6.5,5.85,-0.00671307208996708,0.537087703298374,0.0201194397323273,0.469926449693262,0.119908839752101,0.402578762940483,0.19249228265847,0.487584433137485,0.256719868173787,0.439425001042231,0.265344593588491,0.491199503294678,-0.031566392718237,0.252738954355836,0.141095358532425,0.445771790966471,0.219068346370883,0.389348651507905,0.262515422313875,0.482518384482747,0.190101104772381,0.413097366924443,0.0274610660654477,0.447131602653669,0.128025200677571,0.32863901,0.266100531053776,0.481351028216165,0.00902175827338889,0.174446606025553,0.0239194237742748,0.415536957061306,0.149245324858295,0.387019919078743,0.234142881280888,0.462781011853391,-0.00791872802827191,0.284595850062468,0.0872658745237899,0.312496732026144,0.131637506672944,0.413649408827201,0.251252334683659,0.475769785526151,0.245905962906385,0.440770202233444,0.0751953683969522,0.360349283845622,0.162451143308981,0.427007903608194,0.285509683630517,0.504900162889289,0.183716699979906,0.450677925874108,0.193096956818153,0.455628815628816,0.28144424135574,0.486915066111696
"16",16,"NUMEX_BILL_MELTON",1,115,2,1,8.9,4.95,5.2052737314,4.7,7.25,6.2,0.00265125032304157,0.504305368,0.0388107779934469,0.468420171636291,0.14572562221955,0.406561275832038,0.236478650423903,0.508774906144837,0.300870012395015,0.469872336189378,0.302926223208689,0.528752372228213,-0.0353971243101055,0.345511260135734,0.173944649547651,0.462675854148722,0.225835925690801,0.428971061963672,0.28389022263878,0.510234179141742,0.191610409109779,0.419779539514987,0.0381411503664069,0.43696507096459,0.123861989331056,0.382995887873937,0.2984669869991,0.513788765036972,-6.0406160161362e-05,0.24311014728472,0.0651865094187376,0.428708729183301,0.175148287229423,0.419762909147723,0.261434552562797,0.493508211620318,-0.0152290446720039,0.416836266477586,0.0902637332894493,0.344027810327318,0.135440081223486,0.429521921128002,0.262394201439637,0.4761460554371,0.265609887656165,0.461969902050266,0.104502112846882,0.358990988917685,0.197421053569426,0.453826482315076,0.320759711601785,0.537808908161785,0.203664665203127,0.486786837053785,0.2004561328848,0.470709912924446,0.302832640777031,0.507389619143916
"17",17,"AFX_779",1,116,3,1,9.3,5.3,6.3925766834,5.05,7.8,6.6,-0.00799051991720703,0.49456386,0.0848040046619892,0.472487671,0.109144585799002,0.479552658854819,0.242932488074895,0.511315762711308,0.248761513246751,0.423613311376996,0.333017009069572,0.532101436671653,0.0410915365304831,0.296311396721497,0.198150647993983,0.477002208673689,0.225984329949305,0.447670972616506,0.304252251968035,0.535745423,0.237067473876397,0.451532296,0.0677962523295786,0.44171450213047,0.133388261816279,0.408621506660722,0.321458631660618,0.535321315713473,0.000812668090783758,0.2801831,0.0956986120649763,0.443544105237032,0.177682777516588,0.434210608546207,0.285432323103284,0.510881985064195,0.000405628444344957,0.364860508276428,0.0825126234608277,0.340740807509029,0.143446655720869,0.412402378495258,0.261890693022116,0.443689772258481,0.270999534776128,0.460133921465017,0.080887140399113,0.380650269925016,0.208222918567112,0.454742533587509,0.326726613247679,0.554049905337123,0.216699274182969,0.454116814,0.225806858791481,0.459212573918456,0.316918751682324,0.514886414924026
"18",18,"NM1703PAR",1,117,3,2,7.45,3.9,4.9663417054,4.55,7.15,5.85,0.00324107511561749,0.523223008,0.0755707056129148,0.468556915519831,0.0768023129514694,0.482247162486645,0.205201430132838,0.499188720159303,0.205503704728123,0.39939069644952,0.266875410891536,0.51361841507248,0.00055347648324966,0.319622888892471,0.178166250531684,0.460100694503086,0.202063331924339,0.389309078440396,0.260008796617445,0.488385152257554,0.220178651518834,0.442100480180112,0.0474776702262353,0.461995948,0.125423700605479,0.338677727501257,0.270810969963315,0.483562929445282,0.00824509517134281,0.225116480724959,0.064812725432884,0.4171385455448,0.155985262046474,0.421001206037971,0.247916636662558,0.503512828432068,0.0249132954913656,0.231479645252959,0.0950120721912702,0.321533634992459,0.135924464508381,0.376207387824043,0.234978846860971,0.41861881238739,0.229963866104946,0.436175522941495,0.0769920476253662,0.384883674130071,0.181855015088136,0.431133491009893,0.297420617464256,0.548002003591544,0.184877512684164,0.429189967202284,0.198948108450077,0.431755157568306,0.274795125213425,0.491196783153007
"19",19,"SW_1011",2,118,3,3,7.65,5.4,4.9954860002,5,7.55,5.7,0.0142698221854887,0.539828661217258,0.0713838675931129,0.472449918595597,0.0767016554684338,0.468468607,0.202581598412091,0.499786057625517,0.214003697340575,0.418364502663811,0.285207019385739,0.506352690996654,0.00420093943848832,0.324729099256687,0.19639938874813,0.453506132452032,0.187337165955398,0.394937720099126,0.273724084468312,0.497978899589033,0.260231867731329,0.45719877,0.0861906968154559,0.444804846140383,0.106789841266828,0.323121627696791,0.261492511975364,0.44988548125803,0.0207630504815135,0.189523727379515,0.0641897365350481,0.412538098783817,0.159172456877024,0.417438530967943,0.24140025616632,0.494913797684292,0.0133429492886803,0.215899443536159,0.0938183341908365,0.32378780503927,0.147569878761942,0.36908531002913,0.233988502418076,0.392830320403651,0.222715072223093,0.416015605208492,0.0739156825146127,0.365953557574791,0.174637586287451,0.429606317235065,0.28302751829665,0.526790220975574,0.173168735402279,0.40514492482064,0.182439935478394,0.409638389292369,0.245461734385323,0.456023770121859
"20",20,"NM1715PAR",2,119,3,4,4.35,3.15,3.1800087862,2.6,5.05,4.4,-0.0777308967306718,0.476949880053133,-0.0178882981316873,0.465580095,-0.0105957962767715,0.488602004325574,0.11779714402222,0.466238883038576,0.153452720939503,0.392046499972538,0.220503093041613,0.460047421184235,0.0104837573951309,0.36979672110006,0.0804494313534109,0.441355116072652,0.112018055301896,0.324634958447254,0.19382830527153,0.448395255538113,0.190831397608867,0.422243459329311,0.0476056957160934,0.454580981114015,0.0556582625407109,0.306155829031646,0.196709170350917,0.41781744036646,0.0202687615892283,0.190126057689763,-0.026241803896073,0.412342245626836,0.0713016387195874,0.363222795094133,0.14142971556956,0.409485891917743,-0.0066495658873455,0.21335249986613,0.0254794046130079,0.356948416289593,0.104437636230788,0.32913759761083,0.18103790602234,0.342111731,0.172280971600188,0.39386681511246,0.015215297722638,0.364712357053486,0.125874418162819,0.37989855664488,0.245939244821865,0.489099182676922,0.160578509050267,0.387117036947149,0.182757976504011,0.398417514818899,0.25514321010286,0.468781267141167
