"Germplasm","Plot","Rep","Row","Range","ndvi_62","ndvi_76","ndvi_90","ndvi_96","ndvi_104","ndvi_114","ndvi_138","ndvi_144","ndvi_150","yld2","ndvi_166","ndvi_174","ndvi_180","yld3","yld4","ndvi_256","ndvi_264","ndvi_270","ndvi_284","ndvi_292","yld5"
"NUMEX_BILL_MELTON_CA_2019","338","4","5","7",0.00614324846927212,5.92492378976112e-05,0.0377102140093561,-0.00932697466525447,-0.0128120492364177,0.00287410736630353,-0.0119916584308789,0.00789186448230839,0.0370890706808739,0.692375111805421,0.00309243620619043,0.0366814869687147,-0.0167097725151214,0.148293422435119,0.0633194513388766,0.136844852784594,0.0202117904353961,0.013956114733458,-0.045840235379644,0.00443485392549458,0.324288907640276
"NUMEX_BILL_MELTON_CA_2019","339","4","5","8",0.0155311308853629,0.00318947783264998,0.0280206544464254,-0.00894069841522815,-0.00666471398924482,0.00253768445706971,-0.038909175638306,-0.00816695535787863,-0.00808428281468605,-0.524480823913201,0.00534397673443843,-0.0190215043875072,-0.00729854174322562,-0.846180499612151,-0.147699116184734,0.114991330355421,-0.0188645689754385,-0.0219242125972128,-0.0276361956660045,0.0108134686842526,-0.0250143411828983
"AFX_149092","340","4","6","8",-0.0116519669893887,-0.00102723467739091,0.0259665772036813,0.00490936659110512,-0.0196817489994097,-0.00569508519359667,-0.0277474224201509,0.00229630949313298,0.00886273988379744,-0.462735832114419,0.0137635803614279,-0.0056446725685311,-0.0162962379869159,-0.20580192507746,-0.136868661019046,0.0549729055597532,0.0138497190023176,0.00584864192457973,-0.0350234367880788,-0.0115482396650309,0.285580361261652
"NM1713PAR","341","4","6","7",0.000269478646464714,-0.00338349424088923,0.0258543647339217,-0.0107835023847385,-0.0394923320320811,-0.00528853545740926,-0.0101207451550298,0.0183237054092039,0.0312202399109701,0.434488788287106,0.00779098851464227,0.00879677159866652,-0.0086943540341271,0.781997654349765,0.127466448943961,0.121235320088382,0.0354930678027138,0.0282847262903286,-0.0389998504575476,-0.0178526931267786,0.681545935798461
"NUMEX_BILL_MELTON_FG2011","342","3","6","6",-0.00318808458161102,-0.00713207540892715,0.030509382616198,-0.00451374857426735,-0.0329819113315083,-0.00394725796357399,-0.0180464969648487,0.0102532054973955,0.0186543120392297,0.0792847125907533,0.0100847741237728,0.00117627951085905,-0.018484250579863,0.248851898017878,0.01920001086015,0.143198949123033,0.0097502591146643,0.0137372515487466,-0.0637305716303053,-0.0286624777998713,0.481708449668446
"SW_8888","343","3","6","5",-0.00349912163579412,-0.00625118910651492,0.036846079605253,-0.00714410792136444,-0.0341277646808725,-0.00847605836285253,-0.0151539408492829,0.00229323655961608,0.0247324227528944,0.31134029618252,0.00996566894091297,0.0118590824818038,-0.0304341665539567,0.143996820004926,0.0490784707687684,0.165031181472851,0.0124535280784705,0.0102913636096896,-0.0714805298539802,-0.0242963105316312,0.179123592182235
"NM1705PAR","344","2","6","4",0.000818041467125964,-0.0081179021693097,0.0388231582476122,-0.00325660667618766,-0.0255275088853118,-0.0139607595337198,-0.0170591721266742,-0.0122487693662972,-0.000863740565361062,-0.635859999058131,0.00836999485718383,0.00539607321836008,-0.0337531318889673,-0.301193782066822,-0.0748518513086575,0.136918395381285,0.0129227330472403,0.00232376419195057,-0.0689894810940184,-0.0162341303739365,0.0376164084452182
"DONA_ANA","345","2","6","3",0.00552657579876468,-0.00803541999762276,0.0392013748493861,-0.0161047059110588,-0.0227430145232152,-0.019615772791525,-0.0270041764425567,-0.0199323976383438,-0.011913072476217,-0.687009562913896,0.00349885485984672,-0.022957104839371,-0.025588709205809,-0.736321827656184,-0.0830518042818824,0.116463601854698,0.0261702763085425,0.0164821369982349,-0.0648605891792779,-0.00956645258361143,-0.123097622462444
"AFX_149092","346","1","6","2",-0.00126290167194747,-0.0101750711010061,0.0388027281411174,-0.0190263551796956,-0.022970605832418,-0.0245982703842381,-0.0328737222142494,-0.0199773630540811,-0.0046833279076396,-0.386719526090736,-0.000486368253781559,-0.0158381016136077,-0.0257224238757185,-0.488131867945644,-0.0270694692952373,0.129205872693223,0.0190030220422263,-0.000342201515897685,-0.0623972364018158,-0.00932535659048701,-0.0640366914787794
"DONA_ANA","347","1","6","1",0.0078631246673654,-0.00390812833655818,0.0389446207915008,-0.0187513149391493,-0.0176354764092511,-0.025473361095797,-0.0619077631878212,-0.031152336115933,-0.0296115021870562,-1.10606115671445,0.00329360021923229,-0.0421082950606379,-0.0159768216251049,-1.315507679599,-0.23759434795613,0.115541086811594,-0.0260138244002317,-0.0221128110331179,-0.0460741941955909,-0.00448384837308786,-0.36581570923875
