"Germplasm","Plot","Rep","Row","Range","ndvi_62","ndvi_76","ndvi_90","ndvi_104","ndvi_114","yld1","ndvi_124","ndvi_130","ndvi_138","ndvi_144","ndvi_150","yld2","ndvi_166","ndvi_174","yld3","ndvi_194","ndvi_200","ndvi_206","yld4","ndvi_222","ndvi_236","ndvi_240","yld5","ndvi_256","ndvi_264","ndvi_270","ndvi_284","ndvi_292","yld6"
"AFX_779","169","3","9","6",-0.011478527424658,-0.00877144340244014,0.05145458100447,-0.00356093593355249,-0.0127390280128471,-1.61190736119982,0.067706930735393,-0.00812779311256949,-0.0134430797233469,-0.0189985318520232,-0.0180145561446247,-0.962886379911347,0.00339375498336671,-0.0147835469457444,-0.256614149312571,0.0201209049203112,-0.00897776988979516,-0.00413982944680029,0.174372691282642,0.0370148848382666,-0.0819778534120436,-0.0375521005722567,-0.127564399283102,0.0493409049782505,-0.00531918776243189,-0.00411916601530336,-0.0582832926157648,-0.0160913783417035,0.208515607625356
"SW_8421S","170","4","9","7",-0.00277505227986078,0.00317601168643275,0.0597973684672775,0.00969003164903055,-0.00177202350179654,-0.399367998627399,0.0809929042503701,-0.00430104476288485,0.00373695949426542,-0.00815334888278256,-0.00956010338055388,-0.109439158727496,0.00306628346522243,0.00673111694787088,0.385069738085836,0.0185452513545197,-0.00375974677380992,0.00358218726231884,0.539020137270323,0.0276551691330739,-0.0743424688059411,-0.0355915569119316,0.482852865300058,0.0510676251361414,-0.00365784766954006,0.00119335689332072,-0.0589818913499843,-0.0196757187832879,0.348929801707932
"SW_8888","171","4","9","8",0.00220643328693925,-0.00330500785870812,0.0606829694029004,0.0148291656710549,0.00465957950478818,-0.0625035043627486,0.086393906522111,-0.00295697235478604,-0.00079772978524869,-0.0073035603761292,0.00447648655211158,0.107810110025229,-0.00617554624820796,0.00417971097540868,0.506170571307077,0.0111756603788898,-0.00741450016221324,0.00374780617255353,0.599020112721359,0.00936609283047186,-0.0710337311601396,-0.0382875453466027,0.333160180606546,0.0478619738858313,-0.00317099912973649,-0.00426665599990732,-0.07056061757146,-0.0302466035257352,0.173693144793869
"NM1703PAR","172","4","10","8",-0.00704452016444278,-0.0149808871205525,0.0254561417333085,-0.0162795664177798,-0.0343046166773561,-2.13353924439641,0.0298185318383677,-0.0188451410831471,-0.0509289558371967,-0.0213889543474154,-0.0194167095460394,-0.770319701954657,-0.00247284472967325,-0.00582183420298631,-0.82085625240627,0.00946555975716646,-0.00900218141923062,-0.0257127149524663,-0.328631936835883,0.0230381032468889,-0.0846261113279446,-0.0246338502284011,-0.525875881896362,0.0387462068093388,0.00118260410075723,0.0130890589528584,-0.0480163519430004,-0.0192065099287044,-0.292333662523406
"SW_9813","173","4","10","7",-0.00355784778513062,-0.0165144455176987,0.0169704791848997,-0.0128132351395698,-0.0342577154406487,-2.12064917323598,0.0357266157752285,-0.0179081686125414,-0.0596889202639359,-0.0216043787524441,-0.026315421929239,-0.922941222333158,-0.00339488358764773,-0.0386515543393123,-0.676573308149389,0.00994075080994267,-0.00980309675516007,-0.020079788902904,-0.0999627113456819,0.00206959053544113,-0.104200686465016,-0.0431225426107456,-0.421784518451747,0.0385402302717752,0.00176514576507049,0.00205229448804426,-0.0679318938221166,-0.0460859279127357,-0.315665112717251
"TMA_990","174","3","10","6",-0.00214083476246156,-0.0233073583537588,0.0163465374334929,-0.0112845224242119,-0.0302325219263764,-1.48456935267963,0.0583865368661192,-0.0175059849231008,-0.0321275464589241,-0.0139047963794159,-0.0111995431458078,-0.393871408262733,-0.00154290429675627,-0.0157683664704033,-0.0850571892790707,0.0162726452963854,-0.00968808494640657,-0.0116500500835027,0.170292068908141,0.00855539756104392,-0.095760637131038,-0.0395031975114614,-0.225365004571846,0.0354270904309291,0.00284751071335759,0.00502305156183132,-0.0603610468600713,-0.0302210268703311,-0.254015190352127
"NM1704PAR","175","3","10","5",-0.00935864073261922,-0.0102217417671151,0.0206794215638766,-0.0203703423539034,-0.0355211175060109,-1.84381434046483,0.0957147567199303,-0.0198077790869328,-0.0265958491885052,-0.0254021389564899,-0.0186554196834028,-0.9402347178716,0.00374275035605345,-0.0225007917040476,-0.632014356793051,0.0132547495392954,-0.012588164057231,-0.0129520758067664,-0.0106195541926636,0.0127457227161344,-0.0967735504748657,-0.040434719624159,-0.693392772287528,0.0313024485131841,0.0049881119275276,-0.00146479948137919,-0.0604559703064845,-0.024343144838434,-0.0952522349749637
"MESQUITE","176","2","10","4",-0.00974598946587369,-8.06732993512432e-05,0.0354581542197333,-0.0160123193102406,-0.025272010329934,-2.04710445511572,0.113496806342047,-0.0200618332026924,-0.0285557169001142,-0.0289301059076754,-0.0213118076027496,-1.40118882328445,0.00687426424546539,-0.0192113595381012,-0.908478756248215,0.0198681710077583,-0.0104220154327714,-0.0186521186829219,-0.113979043638303,0.0177077565048201,-0.100130477879826,-0.0427330325031432,-0.780614355751212,0.0325653013648848,0.00713199709439228,0.000161205378086546,-0.0559126455481651,-0.018093838292222,0.0335543143380851
"TMA_990","177","2","10","3",-0.0121931456626631,-0.0128944981059435,0.0177089630348733,-0.00138919724424606,-0.000767389822335419,-0.774227986801292,0.0910867811904692,-0.0117916573173694,-0.0163962627808265,-0.00727688426684522,-0.0108107901233767,-0.717072130565237,0.0102467698254736,-0.0111997044021995,-0.051638437770968,0.0249419816885841,-0.00686320755163441,-0.0148362070281057,0.255993003569818,0.0339805590579516,-0.0918496887441936,-0.0406107568031271,0.144914308136022,0.0376690145404482,0.0111747001542039,0.00408258465121777,-0.0510623663014975,-0.0152574618303711,0.343652314503424
"AMERISTAND_803T","178","1","10","2",-0.00457587071152621,0.0043471034055074,0.0260108482900233,0.0132558191390656,0.00950043653551537,0.560724229022461,0.0863296764449735,-0.00838680478780876,-0.00106433963852267,0.00471690104124169,0.00171212118800647,0.313286202423605,0.0116161130290372,0.00550469875367555,0.798017803343742,0.0230309298677769,-0.00242377173250737,-0.00712627331585484,0.739025941003997,0.0242018316825879,-0.085405278189663,-0.0384897646779782,0.904323969891594,0.0391637285871902,0.0132752615304373,0.010788312324808,-0.0505298494171582,-0.0191309506005283,0.544535127386628
"NUMEX_BILL_MELTON_FG2012","179","1","10","1",0.00105328289548203,0.000704642641760929,0.0304197243409832,0.0145196090205095,0.00974796537665022,0.589099437571128,0.0868698094889946,-0.00685565540751217,-0.00619063057386481,0.00458533984594431,0.0136123308640655,0.490265027640869,0.00335252601110147,0.00423409277042509,0.953439929635913,0.0162348286425909,-0.00608663863576166,-0.00473509978418054,0.835922358826793,0.00588865683594952,-0.0838375400002852,-0.0413733136354515,0.809294034074612,0.0375775276177069,0.0129270085173414,0.00602014511810064,-0.0603656541326584,-0.0287848714740819,0.40704099776077
"NUMEX_BILL_MELTON_CA_2019","180","1","11","1",-0.00898325174989148,-0.0123828044596901,0.026565205198057,-0.00773931048458635,-0.0305620511249193,-1.39852597655222,0.0765779536872676,-0.0122430097668075,-0.0482392680113001,-0.0165856142635108,-0.0124433022277066,-0.528092350605841,-0.0135799424980829,-0.0257749683906349,-0.758397688384837,0.00720495214791713,-0.0132801679519864,-0.0404461532062367,-0.475970125745306,-0.00589024600817619,-0.091147512492459,-0.0319185937380411,-0.495023849030054,0.0285621196164065,-0.00717305161694264,0.0138640761994186,-0.0399532239331974,-0.0107323111441338,-0.330013983134046
