"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","yld4","yld5","yld6","NDRE_62","NDRE_76","NDRE_90","NDRE_96","NDRE_104","NDRE_110","NDRE_114","NDRE_124","NDRE_130","NDRE_138","NDRE_144","NDRE_150","NDRE_160","NDRE_166","NDRE_174","NDRE_180","NDRE_188","NDRE_194","NDRE_200","NDRE_206","NDRE_216","NDRE_222","NDRE_228","NDRE_236","NDRE_240","NDRE_250","NDRE_256","NDRE_264","NDRE_270","NDRE_278","NDRE_284","NDRE_292"
"TMA_990",1,130,4,2,9.05,5.7,6.3818189194,6.4,8.75,6.75,0.492435086606264,0.449604470371712,0.391204501941039,0.411551962260561,0.392799301092986,0.441548307579562,0.417899947645937,0.445917316,0.407246401288049,0.319257013435839,0.432759308102803,0.434563587220994,0.312414407311696,0.401338898563107,0.307781649245064,0.356755648864688,0.248369999453591,0.320732719909173,0.306554427326486,0.395395835632564,0.305571865048989,0.265251885369532,0.241125166,0.332870312304026,0.310097279221766,0.389359710112938,0.306709302387142,0.33877522845558,0.408204235380093,0.269701822542566,0.207982338234439,0.211103756080437
"NM1704PAR",1,131,4,1,8.45,4.95,6.0681502754,5.2,8.55,6.7,0.452528458953914,0.45045524007012,0.437325422398099,0.424948884279894,0.414018427883974,0.477505331375038,0.423108015135879,0.42091915235081,0.412276730839331,0.332486812167587,0.453814567189406,0.414309004813144,0.463810421320427,0.396377063,0.359481432652164,0.367872015597984,0.322442587,0.328169372052618,0.262565359477124,0.405432147627764,0.445372935,0.272590683019556,0.289824777851215,0.333839409369696,0.348221332747857,0.407416935562189,0.306336106955053,0.327009040970474,0.437852959826924,0.282294146794415,0.251325145442792,0.262511074335958
"NUMEX_BILL_MELTON",1,132,5,1,8.25,5.5,6.2589806194,5.6,9.25,6.95,0.467667215184018,0.441434049941913,0.437434197,0.41656611783077,0.434936597187895,0.492392024096985,0.383685408718977,0.438262967560277,0.423803572534383,0.331381031013418,0.441501564129301,0.405900137389751,0.435566168714321,0.403636978519281,0.352938185617924,0.336412463672148,0.375666806311968,0.348164362588104,0.245868930905696,0.371861160126138,0.490393098571004,0.289967138247704,0.285968617659298,0.353313341160956,0.360086432888784,0.41728635544274,0.282897780611793,0.305876513068599,0.423133155701305,0.28208108754934,0.25356401384083,0.26064437571456
"NUMEX_BILL_MELTON",1,133,5,2,7.05,4.25,5.1416499614,5.05,7.85,6.15,0.464895775872156,0.451864639676215,0.445527741493394,0.419896039392836,0.432529041028176,0.44002198543465,0.391370053,0.450248670381017,0.431377201,0.329770264,0.431005200133581,0.412183324,0.311516213335669,0.435485529908166,0.31537362903376,0.319512379060442,0.222415355542291,0.285825763216679,0.261191677796294,0.316535379687806,0.351970979354116,0.316444628724919,0.314869354483366,0.288790236,0.296559386,0.46446291440602,0.31923073557848,0.291249332,0.406011853905717,0.285679570617799,0.245098799700876,0.24840997609615
"NUMEX_BILL_MELTON",2,134,5,3,5.5,3.55,4.2172668642,4.15,6.3,5.4,0.48026544974341,0.455985824849974,0.410674127590256,0.415713901430057,0.420975277365848,0.438779550753861,0.391321993019561,0.41322844292554,0.427892152171425,0.396820696064896,0.426630652260904,0.382796295485183,0.300164432861752,0.412040000830631,0.322554861116953,0.272467166979362,0.187662993236997,0.318950806651775,0.278471799078197,0.301098296729574,0.321540560851895,0.313439115133233,0.339735722503733,0.256529013331641,0.265566886792186,0.457976860537836,0.320493127192867,0.278781053316388,0.388425351116985,0.270866830486707,0.248939756898234,0.253814920682681
"NUMEX_BILL_MELTON",2,135,5,4,4.65,4.5,4.7657685042,4.55,6.75,6.1,0.495024683280795,0.444635262471946,0.412393857081508,0.421783503429814,0.426382709946724,0.424442306971631,0.411932519352305,0.443997271305977,0.433755028648343,0.385054796329306,0.420895276100994,0.405276555504091,0.179860910360669,0.395445767191843,0.304543011732554,0.29050074875039,0.273497812816698,0.345214792752544,0.273378324606917,0.331152668524657,0.325889333626072,0.313918784389841,0.307671335200747,0.278149119745003,0.299494604043168,0.47485763160799,0.314146695715323,0.283956645539515,0.384337727052089,0.302503758,0.252323664508538,0.257023169901597
"NUMEX_BILL_MELTON",3,136,5,5,5,3.75,3.9032470442,3.75,6.05,5.6,0.478279318492725,0.451755545284582,0.399674154335924,0.414670124365624,0.439005431,0.445345813314746,0.395248509023164,0.446405049642036,0.43042002330648,0.333446847676024,0.420014159509958,0.40958054107719,0.296065439625217,0.417148581153173,0.355989229191844,0.292358275392709,0.256438030133476,0.332990836515583,0.268879775017577,0.325712761652503,0.350674059999741,0.322752246214942,0.237319037477663,0.253920863436185,0.297308478082111,0.470183754552478,0.287931877357989,0.281448759191176,0.380443936239451,0.281818841,0.249709536906769,0.246819952192301
"NUMEX_BILL_MELTON",3,137,5,6,5.15,4.55,4.1677077882,3.85,5.6,5.2,0.466658977316417,0.447871052939505,0.404365486529084,0.4111245066874,0.431439078111755,0.418303707127361,0.415282162208798,0.449768759992603,0.425089182002593,0.282662529165399,0.428384346439306,0.413376055096613,0.189849668,0.382086644734045,0.307156024803084,0.305726740977817,0.246254014802402,0.316653065276744,0.250861216497851,0.330944148521945,0.310166308913431,0.316665965599643,0.240088125137696,0.276332018151623,0.298522609349989,0.441795800649014,0.308090621657457,0.278132597132623,0.403557783760257,0.298309703154993,0.270392368108631,0.277167477391639
"NUMEX_BILL_MELTON",4,138,5,7,5.4,4.55,3.9154834668,4.05,5.9,5.6,0.479444695184127,0.453302853526206,0.446730301,0.41940346855176,0.450303369210932,0.429767742899106,0.430544481936279,0.446968190765847,0.438487586032155,0.31628849607031,0.432841433410347,0.410286793297612,0.236932241250931,0.434033140211554,0.34086990819017,0.298592134790126,0.299752878700247,0.406807048895508,0.273607998755058,0.336265073266013,0.295826939872851,0.310884263448969,0.263129519473208,0.280823381321599,0.310546651429258,0.468780303866387,0.305582066829409,0.281196688792248,0.403310189009021,0.312646165566106,0.2645406880701,0.280347717945529
"NUMEX_BILL_MELTON",4,139,5,8,5.6,5.65,5.0876603808,4.7,6.35,6.05,0.488435535993973,0.439411597546094,0.356162809997919,0.427930268644182,0.425387042071731,0.41470259286556,0.428087799010259,0.451600984240996,0.420508951977767,0.338073912692649,0.432801923182546,0.450269414852555,0.210569255252362,0.409038059724369,0.311983879304141,0.318650624389505,0.312034333998281,0.39091288160834,0.262233666475819,0.347442787181349,0.278503806537449,0.287891570971018,0.258504889675168,0.258649347,0.280851717158017,0.366058382077033,0.300983104531415,0.279366943536674,0.400468746921441,0.299612489938845,0.254662035754473,0.253882620396837
