"Germplasm","Plot","Rep","Row","Range","ndvi_62","ndvi_76","ndvi_90","ndvi_104","ndvi_114","yld1","ndvi_124","ndvi_130","ndvi_138","ndvi_144","ndvi_150","yld2","ndvi_166","ndvi_174","yld3","ndvi_194","ndvi_200","ndvi_206","yld4","ndvi_222","ndvi_236","ndvi_240","yld5","ndvi_256","ndvi_264","ndvi_270","ndvi_284","ndvi_292","yld6"
"TMA_990","155","4","7","8",-0.0200394669476875,-0.689447572395431,0.987649385483185,0.232814798614421,-0.158529355503739,-0.417374530524638,0.10784999720037,0.36845490837711,0.0326291405481898,-0.548458111308397,0.333715151221968,-0.237073392046159,-0.733701797265026,0.18964282335935,-0.182475367567992,-0.874955137691169,-0.854314690743953,-0.636500217042416,-0.22057923661241,-0.124832279691883,-0.107089043415342,-0.501130104659767,-0.441284012015664,0.5905363774246,0.0706309738822647,-1.13749531673674,-0.755662781423571,-0.598000174423187,-0.274993969624645
"NUMEX_BILL_MELTON_CA_2019","156","4","8","8",-0.194551357445195,-1.39608222770929,-0.0920844762840376,0.37997617580444,-0.00117766207670693,-0.416941978291205,0.385462617724481,0.229201115791547,-0.105763627145024,-0.268414212762478,-0.801258956614888,-0.377462674447938,0.57151775312533,1.07131310283138,-0.0108681733082474,0.304430414136101,0.271839609005118,0.0357823764992978,0.329067260097807,2.11157207683022,-0.0516302513707678,0.311690259276585,0.788801132632718,0.268869067505265,-0.280115327179584,1.26125712840848,-0.228999679001402,0.572032961144264,0.423676926461944
"NUMEX_BILL_MELTON_CA_2019","157","4","8","7",-0.0743610530106401,-0.704813156938939,0.00705496090580607,0.185566438589244,0.065718118304311,-0.503319801164854,0.551824724944887,0.340322613798392,-0.877287840084423,-0.391331401646773,-1.0399666558126,-0.685300649235394,0.749061247073384,-1.04008334012425,-0.111017457575315,0.00494120550868383,-0.0980214678742462,-0.0535816653119723,0.347446237928538,-0.415208596135306,-0.447096429356822,-0.418474858286464,0.56908205199034,0.421669258284012,-0.370103920664528,0.280673353689982,-0.759612556742261,-0.46044552744746,0.173507462285273
"NUMEX_BILL_MELTON_CA_2019","158","3","8","6",-0.0640968029720821,-1.42322534274707,0.0596372203391131,0.1307735133759,0.300037221412691,0.0714124849253837,0.442942112722661,0.271621259240728,-0.0990940225159451,0.0323020272428993,0.142203485282641,0.254808200760931,0.431161066026075,-0.167269409981638,0.591827458406999,0.053371341719173,-0.247578608659591,0.358741573646498,0.705377713638531,-0.621689687352358,-0.394573250807229,-0.419771912358277,0.614214291518665,0.450726427800998,-0.30266623352447,0.297756326495599,-0.586495796738385,0.155605672777653,0.249000592683953
"NUMEX_BILL_MELTON_CA_2019","159","3","8","5",-0.401731156770934,-0.642645345257027,0.291943340410953,-0.0321848870477106,-0.128957453566771,-0.238284116605083,0.606106170924911,-0.0224267122867899,0.0790811412425953,-0.261913208134694,0.160107108515154,0.0246710999563279,0.489649722838039,-0.584338516236904,0.259854879831826,-0.0612437318466207,-0.594660462258218,0.388515048381436,0.508357273579908,-0.392448043475691,-0.477082367561481,-0.470590871946456,0.0314981576566771,0.524174956139825,-0.216761980229104,-0.232200166142757,-0.607852777409688,0.0467163972529625,0.235300816548712
"NUMEX_BILL_MELTON_CA_2019","160","2","8","4",-0.349093209901422,-0.385116194424054,0.676170080228093,-0.133740382312357,-0.241462807858053,-0.749146164051991,0.637706165428759,-0.139735853957418,-0.0229068017072563,-0.630632717254924,-0.299308707009172,-0.591707049133102,0.364337199394516,-0.458402747778955,-0.257975918842559,0.264266951413291,-0.81244736601182,-0.0543020311955243,0.0275540370099707,-0.303291837640462,-0.603785353895133,-0.632351857678674,-0.471101199399616,0.614354723689081,-0.175508724001819,-0.432010706207481,-0.53477369555085,-0.322841798296107,0.0888226616264153
"NUMEX_BILL_MELTON_CA_2019","161","2","8","3",-0.507566223673091,-1.19443880223714,0.617033732998044,-0.262175766848633,0.213596900073072,-0.514510606362153,0.151857697281143,0.336512573794981,0.295486482861735,-0.233381983129516,0.177886682632566,-0.211199775332951,0.104514617741293,0.303594044082739,0.0876606143185576,0.295947406599689,-0.920004656067887,-0.0980786221006825,0.0279832719697504,0.631982284240257,-0.537714445634649,-0.689249186584983,-0.240163635673794,0.766796689057344,-0.0220930502343933,-0.815290120360983,-0.535515605918446,-0.221613400854241,0.303440205016472
"NUMEX_BILL_MELTON_CA_2019","162","1","8","2",-0.14182781050714,0.944018297474274,0.992477388556178,0.229276404934103,0.567372286144493,0.106406270469866,0.425967988308712,0.728336206905425,0.790512282159447,0.0172357228569044,0.352834055835912,0.229869080911828,0.224568294762426,1.22177389782176,0.332770594474352,0.223513821020527,-0.468569304480393,0.107110025519425,0.199517786721476,0.651643733297355,-0.395229510016714,-0.600589117233784,0.109986327436621,0.813011088422994,0.0942960133593113,-0.654034188973585,-0.500960882798075,-0.188948536341822,0.473135359847893
"NUMEX_BILL_MELTON_CA_2019","163","1","8","1",0.103272076792676,0.558609814940269,1.06549316273507,0.477010021481094,0.762992200267093,0.368460119427604,0.516603306026966,0.841216268240165,0.519246621813017,0.0019834979248708,0.760937592451925,0.463892110387191,-0.384274800395335,0.972768516895037,0.441651909015249,-0.194031082253486,-0.717304164118618,0.0653503829276014,0.308997442617025,-0.23055112467014,-0.273182766735248,-0.618282683141976,-0.00143301992061651,0.705779606029542,0.145047826603861,-0.865825921407252,-0.72893970952642,-0.571010150161998,0.184310980161741
"NUMEX_BILL_MELTON_FG2011","164","1","9","1",-0.380968044069313,-1.24869358718504,0.351238474288008,0.23344082624212,-0.374823583528323,-0.663919384114385,-0.0938078907239849,-0.530253149968915,-0.44258752680103,-0.378974410293883,-0.542460508497429,-0.195062732159232,-0.0563372733069324,0.850677177705968,-0.340088455641858,0.298858288508814,0.366125273394337,0.129666196847921,0.0301676442532595,2.54241485138551,-0.335502484537388,0.844785430493354,0.278001323285178,0.851845625098113,-0.234890194978978,0.997418890615614,-0.37845025113814,0.175116957098241,0.0388460929163095
"SW_9720","165","1","9","2",-0.167721907338853,-1.20956206375293,0.349983987061151,0.0172279272077786,-0.390538935163356,-0.77465513860271,0.0996861655194188,-0.472577150463966,-0.954512812894725,-0.468900699908933,-0.755028276731261,-0.443937022683335,-0.0241197402844648,-0.955620679697658,-0.350347931677521,0.154074422764019,0.140940279141326,0.206032203304288,0.166894303674332,0.597318186965282,-0.686093615483142,0.247237514818586,0.187500605791011,0.9013548751529,-0.291951658413629,0.243025821218301,-0.829515043267716,-0.817161648553204,-0.126110804957309
"NM1712PAR","166","2","9","3",-0.109810378495506,-2.08442660485119,0.435058670357122,-0.216326161232399,-0.332762890708245,-0.360548823867314,0.320548279839631,-0.52030343942056,-0.174549660932823,-0.17933858476543,-0.0211108961155405,0.203793449507698,-0.139881020685058,-0.113222179027669,0.237550952706688,0.36955376682742,0.00800044099501636,0.516868873328305,0.509806499287278,0.5961263805995,-0.601490701292476,0.278281182176645,0.235552101880996,0.804175770841975,-0.296230536128636,0.354870262624288,-0.653645900894906,-0.0323807031627093,-0.0580710558475844
