,AMERISTAND 803T,MESQUITE,NM1701PAR,NM1702PAR,NM1703PAR,NM1704PAR,NM1705PAR,NM170506PAR,NM1712PAR,NM1713PAR,NM1715PAR,NUMEX BILL MELTON CA 2019,SW 1011,SW 8421S,SW 8888,SW 9720,SW 9812,SW 9813,DONA ANA,N-R-GEE,SW3407,NY2003,ALGONQUIN,LIGHTNING_BOLT,SW5210,GUARDSMAN_II,REGEN,SEEDWAY_9558_SBR,WL_349HQ,SW5606,SW4107,SW315_LH,NY0651,SW4602Z,ONEIDA_VR,SEEDWAY_9558,SW4412Y,ONEIDA_ULTRA,EZRA,NY1517,LANDER,NY1614,PLUSS_III,NY0465,ALFABAR,NY1615
SEEDWAY_9558_SBR,-0.107206882,-0.204238603,-0.154195134,-0.200517658,-0.215186021,-0.220476307,-0.191236931,-0.208775616,-0.176603872,-0.156100672,-0.064633314,-0.100542271,-0.181041924,-0.187935347,-0.114554081,-0.040734644,-0.048824263,-0.063346589,-0.093354971,-0.066950224,-0.080673841,-0.072215714,0.077356598,-0.098113228,-0.110788215,0.024177251,0.113620186,1.457563138,-0.054329259,-0.056329405,-0.040649326,0.022856866,0.213965487,0.027188216,0.142534401,-0.021204921,0.005934469,-0.000216789,0.259066908,0.374504603,0.066470719,0.073203466,-0.067089286,0.190066781,-0.048558232,0.398114448
WL_349HQ,-0.069709187,-0.079436469,-0.078311115,-0.10585756,-0.112308548,-0.088546397,-0.126013276,-0.118271427,-0.007632946,0.037873067,0.063197757,-0.114283143,-0.104819964,-0.076713642,-0.085339013,-0.125462128,-0.115998706,-0.117830199,-0.07314769,-0.035210038,0.030021037,0.030271145,-0.013285951,0.141811416,0.009749891,0.087809841,-0.023114216,-0.054329259,0.864152344,0.019803534,0.094549455,0.049023268,-0.067451073,0.085462316,0.018285329,0.081960431,0.046463782,0.017560879,-0.048081431,-0.047822894,-0.024444919,0.008033399,0.190928977,-0.017518546,0.098530454,-0.044548586
SW5606,-0.049386989,-0.106684829,-0.112390126,-0.127661761,-0.1369474,-0.129428667,-0.133295619,-0.102775833,-0.081555169,-0.061794887,-0.010497641,-0.073797191,-0.093964809,-0.114695839,-0.041252465,-0.061265843,-0.04158884,-0.057021682,-0.064782064,0.082224386,0.174376846,-0.001368075,-0.044514205,0.01371583,0.20607859,-0.006045353,-0.063186788,-0.056329405,0.019803534,1.032744182,0.158290292,-0.059396302,-0.038641718,0.064486075,-0.020426439,0.008487966,0.175940868,-0.007093915,-0.002638077,-0.035766059,0.021480613,0.01224645,0.030438784,-0.00786216,0.014021152,-0.070279419
SW4107,-0.054899043,-0.101841255,-0.104795061,-0.132639502,-0.128632073,-0.126329452,-0.135622446,-0.110290159,-0.074159814,-0.037145354,0.018312718,-0.087924442,-0.093808911,-0.097650709,-0.052504171,-0.051357326,-0.040834792,-0.046861204,-0.077003826,-0.005784466,0.055561477,-0.042712961,-0.061695554,0.053408856,0.095399933,0.028877436,-0.049124248,-0.040649326,0.094549455,0.158290292,1.007829242,-0.062513299,-0.034392872,0.064157258,0.008637098,0.015025867,0.132744404,0.003853471,0.016987698,-0.015642045,0.035211266,0.010442614,0.087762723,-0.004079742,0.040468391,-0.056626147
SW315_LH,-0.213532626,-0.167097453,-0.15441436,-0.147301016,-0.188812662,-0.147181821,-0.191200143,-0.186281049,-0.099634598,-0.057009604,-0.073211919,-0.2408868,-0.2332754,-0.164103719,-0.179947622,-0.242224339,-0.250989996,-0.255846658,-0.137290413,-0.069840887,0.077951717,0.368276253,0.279344294,0.042501137,-0.012294484,0.127168833,0.140067606,0.022856866,0.049023268,-0.059396302,-0.062513299,1.31617442,0.134034768,0.298265135,0.074017144,0.044555822,-0.039958864,0.053812776,0.040153023,0.233619024,-0.042541731,0.06087188,0.024331368,0.102986892,0.021215916,0.105559624
NY0651,-0.116495639,-0.134201181,-0.146381481,-0.156718369,-0.181718322,-0.180964055,-0.180912031,-0.16516296,-0.131021726,-0.119157231,-0.069763066,-0.143672052,-0.168223832,-0.148369628,-0.125057245,-0.137885441,-0.138886289,-0.144596282,-0.048049736,-0.001478946,-0.014704691,-0.002508253,0.133346169,-0.046776289,-0.048560852,0.080446854,0.246520879,0.213965487,-0.067451073,-0.038641718,-0.034392872,0.134034768,1.193369857,-0.043038681,0.118478961,0.0117081,-0.044017956,0.017008852,0.225656228,0.119571327,0.019852645,0.048820339,-0.052147987,0.27367321,-0.039789675,0.23429188
SW4602Z,-0.11845997,-0.20863649,-0.198852936,-0.180314741,-0.194493768,-0.188142432,-0.217919759,-0.212496732,-0.138488544,-0.099181938,-0.010431341,-0.112240919,-0.178419949,-0.207588767,-0.120901915,-0.04211172,-0.040468499,-0.063254772,-0.137370015,-0.090743414,0.033097002,0.127492232,0.088462245,-0.012822606,-0.030699815,0.080142683,-0.077864434,0.027188216,0.085462316,0.064486075,0.064157258,0.298265135,-0.043038681,1.634539699,-0.029438448,-0.014300015,0.123068159,-0.010086568,0.038049262,0.22619272,0.060412329,0.020894122,0.04934775,0.008948856,0.02579242,-0.07722929
ONEIDA_VR,-0.122021595,-0.113427628,-0.091148628,-0.127527444,-0.143259945,-0.116080022,-0.13669349,-0.132948863,-0.068471133,-0.030840973,-0.010191008,-0.144581653,-0.146408932,-0.109461994,-0.107780609,-0.165275504,-0.169922048,-0.163474912,-0.052219344,-0.004732582,0.000158258,0.030812615,0.078088157,0.033021785,-0.007689243,0.071419963,0.127091686,0.142534401,0.018285329,-0.020426439,0.008637098,0.074017144,0.118478961,-0.029438448,0.872134554,0.069088161,-0.007717969,0.088835988,0.102282444,0.043565778,-0.026914494,0.070818064,0.036303467,0.080442311,0.023039963,0.159598774
SEEDWAY_9558,-0.084251847,-0.076015156,-0.066490383,-0.08624296,-0.102972356,-0.085470416,-0.123022375,-0.092770592,-0.027132846,0.005289315,0.013743101,-0.133357945,-0.101898157,-0.062783109,-0.061960512,-0.141130434,-0.154793861,-0.143262978,-0.052128349,-0.009991394,0.025460214,0.050821847,0.016905999,0.095650771,0.026961319,0.0829979,0.047630078,-0.021204921,0.081960431,0.008487966,0.015025867,0.044555822,0.0117081,-0.014300015,0.069088161,0.808584139,0.01265957,0.062379077,-0.023249231,-0.065327054,-0.021164391,0.046420978,0.080436076,0.029659666,0.097378356,0.017116529
SW4412Y,-0.053044597,-0.123588307,-0.119391228,-0.119168198,-0.124645627,-0.141530957,-0.135355112,-0.134178317,-0.105848677,-0.066557709,0.007905936,-0.072701544,-0.106037426,-0.131317484,-0.029783857,-0.008475995,-0.014225478,-0.030971035,-0.066866948,-0.001104729,0.059621049,-0.024422218,-0.045577811,-0.003493543,0.114918318,-0.007041553,-0.072994676,0.005934469,0.046463782,0.175940868,0.132744404,-0.039958864,-0.044017956,0.123068159,-0.007717969,0.01265957,1.012305997,-0.006037101,0.020144166,0.028185836,0.04829265,0.04525562,0.030215625,0.032657727,0.018198677,-0.078457937
ONEIDA_ULTRA,-0.071653821,-0.049543178,-0.057184674,-0.07500588,-0.096327959,-0.07054674,-0.087866192,-0.080657801,-0.051715687,-0.016204313,0.006618822,-0.106119015,-0.076944191,-0.057552683,-0.064013054,-0.125986167,-0.127388839,-0.119979985,-0.031634584,-0.002723487,0.012089589,0.055085916,0.042881403,0.036429835,0.018089908,0.057348659,0.06737615,-0.000216789,0.017560879,-0.007093915,0.003853471,0.053812776,0.017008852,-0.010086568,0.088835988,0.062379077,-0.006037101,0.694664563,0.013056154,-0.046176471,0.005029908,0.074939019,0.026778998,0.02520648,0.030742959,0.028869686
EZRA,-0.086194155,-0.172276402,-0.148095917,-0.193426997,-0.199986792,-0.211826809,-0.201104981,-0.191646219,-0.160856215,-0.138991425,-0.049122129,-0.062929982,-0.167364122,-0.184581113,-0.097042196,-0.029455671,-0.01357571,-0.051022499,-0.078576601,-0.062578399,-0.069837292,-0.042261759,0.122102063,-0.076548938,-0.081474472,0.038200166,0.170088784,0.259066908,-0.048081431,-0.002638077,0.016987698,0.040153023,0.225656228,0.038049262,0.102282444,-0.023249231,0.020144166,0.013056154,1.133404023,0.214074698,0.085602258,0.084795286,-0.076618028,0.235915106,-0.025907834,0.147693132
NY1517,-0.113713765,-0.206129174,-0.191195384,-0.217356479,-0.24167896,-0.238256019,-0.20055791,-0.210851348,-0.173901559,-0.168036456,-0.073698386,-0.070908517,-0.198440074,-0.221503313,-0.129814471,0.033506996,0.021084056,-0.033867413,-0.135340445,-0.111446686,-0.054077689,0.054095061,0.128591571,-0.10359774,-0.107154074,0.013646028,0.027167302,0.374504603,-0.047822894,-0.035766059,-0.015642045,0.233619024,0.119571327,0.22619272,0.043565778,-0.065327054,0.028185836,-0.046176471,0.214074698,1.513035906,0.10658868,0.067879553,-0.057920693,0.132843309,-0.070917596,0.202946223
LANDER,-0.011009788,-0.112137915,-0.10832172,-0.126668619,-0.137056421,-0.134459627,-0.126266715,-0.10096323,-0.093565634,-0.080396598,-0.017197299,-0.004124138,-0.045699324,-0.121028351,-0.060244188,0.081836818,0.07644826,0.022628223,-0.057449132,-0.054375216,-0.064761548,-0.064423326,-0.018647106,-0.06244275,-0.066361456,-0.01153428,-0.021882113,0.066470719,-0.024444919,0.021480613,0.035211266,-0.042541731,0.019852645,0.060412329,-0.026914494,-0.021164391,0.04829265,0.005029908,0.085602258,0.10658868,1.065233602,0.114876905,-0.026768889,0.07948743,0.003697442,-0.050298831
NY1614,-0.09342054,-0.135998037,-0.137575151,-0.14232737,-0.158546262,-0.154613716,-0.162011773,-0.140345155,-0.095793842,-0.084792992,-0.029363054,-0.085283325,-0.128448988,-0.1554044,-0.109493034,-0.064598685,-0.079147056,-0.092754404,-0.086513313,-0.062489488,-0.006447904,0.038528091,0.052648658,-0.02107724,-0.029765107,0.049092888,0.036759565,0.073203466,0.008033399,0.01224645,0.010442614,0.06087188,0.048820339,0.020894122,0.070818064,0.046420978,0.04525562,0.074939019,0.084795286,0.067879553,0.114876905,1.229060201,-0.010818834,0.072714067,0.027439943,0.021288562
PLUSS_III,-0.089354265,-0.077278784,-0.080127801,-0.095658685,-0.091695798,-0.063854428,-0.104829381,-0.095038233,0.020491093,0.074486002,0.080797234,-0.145675503,-0.114245431,-0.080079985,-0.107067286,-0.177114483,-0.161853648,-0.157257317,-0.076108037,-0.022267532,0.051245546,0.035595727,-0.019241099,0.200158819,0.037370162,0.089701421,-0.015318776,-0.067089286,0.190928977,0.030438784,0.087762723,0.024331368,-0.052147987,0.04934775,0.036303467,0.080436076,0.030215625,0.026778998,-0.076618028,-0.057920693,-0.026768889,-0.010818834,0.908597495,-0.073947713,0.11692454,-0.032533906
NY0465,-0.110360116,-0.167755569,-0.170281294,-0.185131289,-0.21510296,-0.201333414,-0.209876323,-0.195255107,-0.140048487,-0.135592626,-0.04058032,-0.121036597,-0.16851908,-0.165691846,-0.108915879,-0.07950431,-0.093136431,-0.094310854,-0.089531779,-0.053100677,-0.048072141,0.005153159,0.101578063,-0.064292288,-0.05615702,0.030164908,0.290031478,0.190066781,-0.017518546,-0.00786216,-0.004079742,0.102986892,0.27367321,0.008948856,0.080442311,0.029659666,0.032657727,0.02520648,0.235915106,0.132843309,0.07948743,0.072714067,-0.073947713,1.241838539,-0.008518171,0.092144757
ALFABAR,-0.081805078,-0.073227209,-0.083276265,-0.098908496,-0.100176035,-0.079735165,-0.104748095,-0.096224879,-0.009247707,0.02556928,0.051409138,-0.113713741,-0.098217954,-0.07941859,-0.055396619,-0.119824668,-0.11395578,-0.112603257,-0.055981255,-0.015899481,0.024238501,0.01952892,-0.008646265,0.10300317,0.007870062,0.072687706,0.011203333,-0.048558232,0.098530454,0.014021152,0.040468391,0.021215916,-0.039789675,0.02579242,0.023039963,0.097378356,0.018198677,0.030742959,-0.025907834,-0.070917596,0.003697442,0.027439943,0.11692454,-0.008518171,0.858454424,0.0032833
NY1615,-0.149971642,-0.119986216,-0.110677153,-0.118781937,-0.14484911,-0.132681694,-0.126946644,-0.142509059,-0.069290578,-0.044216667,-0.059006644,-0.195286047,-0.176717033,-0.133431327,-0.137246729,-0.193726645,-0.204116648,-0.203368124,-0.059189424,-0.017175611,-0.002489523,0.048427699,0.136457632,-0.006900809,-0.023250297,0.095199926,0.176282002,0.398114448,-0.044548586,-0.070279419,-0.056626147,0.105559624,0.23429188,-0.07722929,0.159598774,0.017116529,-0.078457937,0.028869686,0.147693132,0.202946223,-0.050298831,0.021288562,-0.032533906,0.092144757,0.0032833,1.114515507
