"Germplasm","Rep","Plot","Row","Range","NDRE_125","NDRE_136","NDRE_144","NDRE_150","NDRE_152","NDRE_156","NDRE_164","NDRE_166","NDRE_172","NDRE_177","NDRE_179","NDRE_186","NDRE_192","NDRE_195","NDRE_198","NDRE_213","NDRE_223","NDRE_228","NDRE_244","NDRE_248","NDRE_251","NDRE_255","NDRE_263","NDRE_274","NDRE_278","NDRE_300","NDRE_305"
"EZRA",1,2121440,1,5,0.398516561506758,0.359138871006679,0.385046549033239,0.539986509309606,0.488239098819463,0.484049602003566,0.272541301408933,0.277794211147265,0.240824733402133,0.34056319873082,0.282093858564447,0.358755504076924,0.392648381532861,0.391502852465419,0.408510336261201,0.421525216147065,0.331077082503672,0.358856161162458,0.434018586959763,0.389158256969416,0.242383470932233,0.265019211224313,0.413447944980293,0.18717955539729,0.349136389150517,0.21140135560397,0.392767900692615
"SW5210",1,2121450,1,4,0.443795990440564,0.385956744090469,0.441640778252048,0.569747396716534,0.492965787780547,0.487657586111368,0.299448705246291,0.331161335221604,0.307005119825708,0.414668768195577,0.331927281317785,0.37588116783947,0.387516798408516,0.361738736605047,0.395014911104877,0.28623473631877,0.414636066381246,0.387661743111341,0.45776364599894,0.413878559195398,0.297197282421741,0.270167929512021,0.373696537820951,0.215221821623206,0.414480406427491,0.242431249808218,0.313864809712561
"PERSIST_III",1,2121460,1,3,0.436465495289025,0.343886552254438,0.394498797085744,0.551484091394405,0.481004384876313,0.48467015791824,0.273053958652161,0.288557469112146,0.254773311546841,0.353382445489209,0.274607441666265,0.355338659582889,0.347953105496832,0.353401734769593,0.370571251124884,0.394726914334757,0.374173882195273,0.387378645415281,0.450830433183374,0.36782931830966,0.304575448873587,0.273950571378994,0.353670592822818,0.221822376009227,0.408096797671033,0.270085868893637,0.298837717977314
"ALGONQUIN",1,2121470,1,2,0.411489663205349,0.351505290898849,0.384443378038205,0.567664769943852,0.480451996994393,0.48261261427648,0.275164175079222,0.273602947259817,0.235822045923633,0.266293512999914,0.255766202063155,0.335266080177969,0.342880649291557,0.364738292011019,0.337914211789644,0.430320976875599,0.267470594832079,0.350014684287812,0.389535601300307,0.322644043637958,0.247291342831083,0.253751903908073,0.350498064956794,0.165060878915954,0.331168003348841,0.223711408682714,0.365958808896693
"ONEIDA_ULTRA",1,2121480,1,1,0.41816425223288,0.340709723713691,0.32446184069735,0.554389720013566,0.466345935982201,0.482406534950619,0.302967526884055,0.296461029357122,0.247347930283224,0.275226495884697,0.267981992687875,0.340684094369873,0.3319661809678,0.376548288312994,0.326344159285336,0.444608388810069,0.335907398733857,0.365166565892142,0.423896470955294,0.317120301316211,0.238969464177897,0.24018244465928,0.363031818303457,0.168852900941498,0.325328462292243,0.20339304673356,0.422901147923097
"SW5606",2,2122010,2,51,0.382073182808477,0.289301929355524,0.372896433512578,0.520866846738696,0.45298503656708,0.401217503723898,0.315110148863039,0.289946807216309,0.367109259259259,0.354914917508854,0.35409166076069,0.350858975132989,0.26704072886575,0.408799425647646,0.350234940823176,0.350382577273334,0.332126561513918,0.246711391360264,0.202448743625214,0.249586538930006,0.234396156366019,0.171762392272543,0.196495896077285,0.169250422467209,0.227809292081704,0.141249655812066,0.278837226066897
"WL_349HQ",2,2122020,2,50,0.342702586084939,0.289522040520924,0.319589068774783,0.489029907927297,0.437468082429781,0.401306984332194,0.333888681864283,0.294274144545975,0.357003461472308,0.330835276842014,0.341633398103986,0.414958679205391,0.303958604488746,0.386904931857728,0.334687146085477,0.333777632265027,0.283016577720019,0.278452103308284,0.236623330740978,0.296483654039435,0.264235276989153,0.226220470489081,0.240905551796334,0.163402957850964,0.210007991551788,0.168619368049521,0.277552070879551
"VERNAL",2,2122030,2,49,0.319618571334258,0.276386516222011,0.3243112208387,0.434455037620429,0.444912992211214,0.403401191022674,0.399224880324121,0.334794601881457,0.264432244008715,0.218821546317642,0.295946093743164,0.38082684322446,0.386025922590363,0.37141438405055,0.267737653620007,0.368976883682766,0.30809492611196,0.311399038323112,0.270701411877882,0.296541277455188,0.248559511523908,0.221204715907995,0.231150818681928,0.150104451488535,0.231942303850215,0.181738132498696,0.282432645382601
"REGEN",2,2122040,2,48,0.351204859047996,0.298340683948366,0.346501485952904,0.44715077062215,0.447262233110105,0.392770154215532,0.379091640346402,0.290973320141304,0.295401960784314,0.26709551077068,0.305453046629517,0.387227286854986,0.353843793318731,0.380981199063988,0.296534051469936,0.379622879454812,0.294251227406308,0.331134208069193,0.243063843063843,0.276582717531973,0.259149896800826,0.218897895441362,0.216535603648101,0.146376057621732,0.208093348935887,0.17262962962963,0.281105501902253
"GUARDSMAN_II",2,2122050,2,47,0.342789119014609,0.280990725285207,0.335530440886817,0.432989913454171,0.454070037178183,0.293010939046745,0.372365662422174,0.275843565522511,0.308674213106295,0.276652969557867,0.303202113265898,0.37404925401947,0.341745764684719,0.362992342658283,0.288587074469427,0.387781269029351,0.276856939927479,0.326401005825727,0.2356240120946,0.244138003188748,0.262611799105607,0.204950160988683,0.229913716315148,0.136368363381451,0.234934854582299,0.185393164167388,0.358166851933314
