"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","tot23","GNDVI_125","GNDVI_142","GNDVI_145","GNDVI_150","GNDVI_152","GNDVI_156","GNDVI_164","GNDVI_166","GNDVI_172","GNDVI_178","GNDVI_184","GNDVI_187","GNDVI_193","GNDVI_198","GNDVI_213","GNDVI_223","GNDVI_228","GNDVI_251","GNDVI_255","GNDVI_265","GNDVI_277","GNDVI_300","GNDVI_306"
"SW315_LH",2,219,2,22,2.52,1.56,0.96,5.04,0.184105908090941,0.247934554258922,0.301700391826557,0.240117000965306,0.25433892604884,0.211090643624561,-0.0142771917288207,-0.0673730171203814,0.0360608683344926,0.154703069334267,0.202737799109808,0.202918194300988,0.240297924844454,0.250192240135122,0.0617427729279542,0.187842357814967,0.16416931498115,-0.0595184321527335,-0.0671113943790666,0.111202474927322,0.170132416147095,0.14598417562529,0.486860309546069
"SEEDWAY_9558",2,220,2,23,2.46,1.57,0.86,4.89,0.158774756688804,0.216489132308714,0.269669970640063,0.222363079636093,0.238168748725775,0.182695143296258,-0.0149925371749622,-0.0679072335218801,0.0640945310812647,0.166606260630871,0.204657104196961,0.207378273543307,0.235169144940728,0.255088667127601,0.0750026158778084,0.180481003194,0.149931755405043,-0.0567950450462543,-0.0562035472700655,0.150733761570625,0.184635767157735,0.159455080385291,0.505349742667339
"LIGHTNING_BOLT",2,221,2,24,2.43,1.77,1.07,5.27,0.168262893204819,0.234730108489863,0.281032074742503,0.225457345148907,0.240869380404099,0.180661655364993,-0.00714062705718799,-0.043925526584912,0.107696638695331,0.202629588793757,0.217764117797734,0.220528980160561,0.246513456937213,0.249681462569228,0.103160178370372,0.208607802138844,0.171340546720246,-0.0620191328268094,-0.0386710978381242,0.18981747931579,0.212739079696595,0.170475868312624,0.503710754495578
"PERSIST_III",2,222,2,25,2.49,1.51,0.96,4.97,0.169528405561355,0.24609552362533,0.287743499219498,0.240038652912581,0.251926065495942,0.191309707513319,-0.0102067247305509,-0.0473865878440504,0.0706733091968929,0.176173278596306,0.210857530036387,0.219192111679688,0.241611244862727,0.26042596968373,0.0928293650484639,0.198936040581622,0.159330706621723,-0.0603403323515823,-0.0494139344489676,0.161959909793531,0.215135963547998,0.172799642784416,0.511991001250854
"EZRA",2,223,2,26,2.81,1.59,0.96,5.36,0.171382881334538,0.262344754177943,0.294306060146266,0.238195168419199,0.251162811172251,0.187328111943972,-0.00526558149199316,-0.0425512434229059,0.0747150737916276,0.179625041992617,0.215609485223419,0.223651366989536,0.249275372050453,0.267266878727687,0.101636656539846,0.205412997536438,0.158494082212544,-0.0495192940239714,-0.0544257510859574,0.140108363995991,0.201272725162711,0.168595352791169,0.510710564182403
"AMERISTAND_427_TQ",2,224,2,27,2.53,1.67,1.04,5.25,0.175853938688999,0.276411869972833,0.297373840214603,0.24886005752214,0.260902878255761,0.21469835725757,0.00978935289733859,-0.0170141698511961,0.137797459355626,0.231293353892443,0.239310972285604,0.244670941244832,0.268178914129173,0.261125263121189,0.147910435133456,0.244422762597366,0.18365065256406,-0.0532328624522686,-0.0295067612968348,0.180971018769302,0.236119485953264,0.175420116643993,0.511651113288912
"REGEN",2,225,2,28,2.67,1.59,1.01,5.27,0.172468375121594,0.279801044325214,0.29557720471995,0.24675872173109,0.258391324388112,0.214523304973575,-0.00376727029903942,-0.0357252821900655,0.0831954412878324,0.192858322150466,0.22451406791654,0.226544452065078,0.251223111729345,0.277806830843073,0.10581033508844,0.211320663974706,0.164321432429945,-0.0577269969494628,-0.0599643445634242,0.133531207305361,0.199735342715612,0.16349131335131,0.504955126759757
"REBOUND_6XT",2,226,2,29,2.05,1.47,1.07,4.59,0.185690009237442,0.278292968528119,0.292935530657679,0.245190245184193,0.258235238823232,0.222432716527232,0.0145289655626343,0.00967041761908233,0.160168074932434,0.244351167119352,0.25201784171821,0.257308155612915,0.280289407647066,0.283715089134962,0.173404925496714,0.242237373150136,0.189430042458792,-0.0455336097335605,0.00127802211687541,0.208767171597632,0.244171359103114,0.167917499902958,0.516181801193439
"SW4107",2,227,2,30,2.5,1.8,1.11,5.42,0.168852271753623,0.277304557681202,0.29708919001688,0.251489721066219,0.2658947140751,0.235523347280063,0.000678024160217389,-0.00790380533858451,0.147641659737437,0.235493799838981,0.249938158416514,0.250790759745586,0.277433540813265,0.27952795534715,0.162522349982285,0.237767670599892,0.188126434449691,-0.0313399213996511,-0.0143896268774657,0.194872028588582,0.235924392810177,0.161604504442104,0.518022081235946
"FSG_421LH",2,228,2,31,2.04,1.44,0.93,4.41,0.190527572007507,0.296115875581979,0.314078288822653,0.261028733556565,0.278686369672332,0.258844601027408,-0.0113359742349038,-0.0292303481418445,0.0753754333702545,0.198496593583136,0.239681035628101,0.239358301093461,0.281075971750458,0.295278932535697,0.1162469065414,0.207924115882041,0.175764422357047,-0.0306885662887083,-0.0411091140104386,0.133664060980362,0.193118339588508,0.154425488765076,0.509187321435059
"55V50",2,229,2,32,2.68,1.69,1.03,5.41,0.188419843210632,0.289662594779307,0.305725014163467,0.256178970770895,0.264672116899401,0.234815153188104,-0.0162482568150807,-0.0256278093334296,0.119188539870227,0.214596622036318,0.238388248716999,0.23817037785309,0.261468576642784,0.267153744193726,0.129490305037822,0.202737981543277,0.171450578481695,-0.0167034583771703,-0.0219542643783509,0.170100209367735,0.222893853909636,0.154253679357381,0.509344190589085
"ONEIDA_ULTRA",2,230,2,33,2.37,1.4,0.96,4.73,0.16633325917281,0.264561682141534,0.281596447248944,0.234767353235358,0.241708432668598,0.212321317602397,-0.00735526115081879,-0.0334325038601158,0.0830126565816457,0.185065109355628,0.213427433679161,0.213137617956808,0.234355114080522,0.268109224063992,0.102268613604234,0.173929141702966,0.142073398188773,-0.0312044240145561,-0.0481662554958773,0.130191517937457,0.189538439265933,0.136215200856052,0.503536720876751
"N-R-GEE",2,231,2,34,2.55,1.57,1.05,5.18,0.169203840501564,0.270191245313043,0.2862129628129,0.248077334650725,0.256818151734161,0.227396007844644,-0.0166488429363318,-0.052332798877981,0.100759779424987,0.197703065676272,0.222754332476721,0.226945580889953,0.248003327252408,0.281960081165583,0.126553531646879,0.190869667340426,0.160472068800579,-0.0314640667041642,-0.0479789276382807,0.157353337342132,0.205242640729435,0.14597019109872,0.507406970535599
"FSG_415BR",2,232,2,35,2.87,1.68,1.04,5.59,0.177041785832593,0.285380233538865,0.298159955273676,0.254677412761535,0.256981301294404,0.230912638322322,-0.0125081687312957,-0.0642557582941526,0.093624483365239,0.20161742035276,0.220256584164212,0.231188536789871,0.236577752327748,0.275638159129253,0.125585381890601,0.193568386293781,0.165022143873624,-0.0355800241654863,-0.0513777347516977,0.164182329251598,0.214392672661327,0.143753941811256,0.510722786237416
