"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","tot23","NDRE_125","NDRE_136","NDRE_144","NDRE_150","NDRE_152","NDRE_156","NDRE_164","NDRE_166","NDRE_172","NDRE_177","NDRE_179","NDRE_186","NDRE_192","NDRE_195","NDRE_198","NDRE_213","NDRE_223","NDRE_228","NDRE_244","NDRE_248","NDRE_251","NDRE_255","NDRE_263","NDRE_274","NDRE_278","NDRE_300","NDRE_305"
"GUARDSMAN_II",1,133,1,16,1.9,1.56,0.58,4.04,0.367075517075517,0.302943247955031,0.384612010540584,0.396313574757257,0.478743698817533,0.393552497922246,0.267285119737173,0.278883486877004,0.264325657894737,0.361680176495377,0.296786929854494,0.371609435198415,0.37333725817266,0.368040753067491,0.401008447894261,0.395856290342224,0.339819292077042,0.29087180246548,0.373766738472621,0.345580672821269,0.204780701754386,0.219906298802707,0.370027920182176,0.204444229357724,0.318905133620649,0.202357973549357,0.36455754734947
"SW315_LH",1,134,1,15,1.86,1.39,0.49,3.74,0.383420102047553,0.348800830181594,0.435241554042542,0.475917649571039,0.478111318511567,0.364736485452598,0.302314133107576,0.288898538433927,0.243954248366013,0.381204111600587,0.315299470593588,0.41630263919914,0.406990462045683,0.399704573501365,0.423616614066441,0.442331993667032,0.325594870514657,0.301207812559722,0.360504889916655,0.325000739189075,0.201809625357022,0.239008425395724,0.37871554418869,0.182953222941381,0.322016725176242,0.169689723635204,0.388626148942216
"SEEDWAY_9558_SBR",1,135,1,14,2.11,1.46,0.54,4.12,0.388920719803073,0.337674501849421,0.411901009437695,0.453643843187499,0.499387431985684,0.388632006648813,0.281482759042482,0.256906447860852,0.245689106753813,0.375359518256642,0.306208577626012,0.367689655403728,0.354890320942192,0.341825494766671,0.368815008780407,0.42082474729022,0.306290034237313,0.318776391613914,0.372825231648761,0.350774811322479,0.22783423043819,0.235775513745321,0.384980955402893,0.213194925028835,0.318421240403003,0.187823554517838,0.365694566383767
"FSG_415BR",1,136,1,13,2.15,1.5,0.7,4.35,0.413828292259665,0.33420467195086,0.395816891233379,0.48126781179367,0.491094426518849,0.353641175533759,0.267598277394481,0.257378331946616,0.247980843653251,0.390146996851838,0.288375739573997,0.370590694939169,0.375992825624583,0.371725974340353,0.404305867143237,0.387214347018269,0.351266866213618,0.328141525822272,0.412761271584801,0.361276835107208,0.238672713024935,0.244689783484682,0.360660195708881,0.231713910906185,0.369406270514028,0.202439964405167,0.34829277849471
"NY1615",1,137,1,12,1.96,1.53,0.56,4.05,0.3805581491856,0.32053031658911,0.395447259195649,0.450678271308523,0.495709261723166,0.405219072244282,0.260804985749758,0.253160955620769,0.257954466230937,0.398276691207456,0.304973262032086,0.377150381953062,0.358652362368531,0.355896111742154,0.40255411120463,0.397821674124195,0.31891276191984,0.316409136341761,0.386875288836073,0.34564663123108,0.224865841073271,0.21958156714013,0.38889322155066,0.210899653979239,0.344478931795911,0.239593076736868,0.345901773996594
"REBOUND_6XT",1,138,1,11,1.8,1.43,0.6,3.82,0.418998841534053,0.326120838802052,0.391100308736633,0.485674769907963,0.490993816507749,0.391804864643739,0.359715946160739,0.338644436446332,0.314853376906318,0.449110304914918,0.329408552937965,0.383045890268526,0.341903960720824,0.318674106764158,0.355824429319239,0.264181793929693,0.429261979529359,0.382431296105187,0.414780097133038,0.376884079231971,0.219987100103199,0.23349049354255,0.356082101391931,0.237026769668196,0.38906417977186,0.251376945644127,0.361912365436371
"NY0465",1,139,1,10,1.93,1.44,0.75,4.12,0.392154151222779,0.337169570290496,0.399157931957669,0.450109658213061,0.496501434713304,0.464936867054514,0.259123579562829,0.265540128188282,0.25296138630891,0.370620071817273,0.286010053285036,0.384285104165968,0.394510227188555,0.407039954316643,0.434673254569448,0.394744564492464,0.363425666330231,0.34001258653241,0.436790342672696,0.388898972186021,0.26031604747162,0.259734031272293,0.381390835400905,0.182968876547495,0.364079639619069,0.237155518651669,0.370535241123476
"WL_349HQ",1,140,1,9,1.92,1.45,0.72,4.09,0.404780178064492,0.337373556589641,0.395123550330879,0.477239577445328,0.499973819942404,0.467980351560914,0.324496479024315,0.314342024481025,0.300018845315904,0.418502268163903,0.308645758057523,0.383291407565421,0.347731905010191,0.33075743751125,0.380173644118281,0.27191279990257,0.404550901890419,0.371642528768727,0.427639557051322,0.365341355554337,0.226885740100801,0.222593887112367,0.369481622505374,0.225244728358915,0.38138249826039,0.238551044831078,0.376239141822987
"FSG_421LH",1,141,1,8,1.92,1.41,0.56,3.88,0.408137514264965,0.366401682376805,0.453977473985415,0.55054904473,0.473286841694015,0.476747375873426,0.274207307377099,0.256292370509882,0.276394801341589,0.412412186113383,0.325607878135636,0.428566044326779,0.429238754325259,0.445932975746071,0.475492793831894,0.312116131476745,0.431528672924816,0.367542047656067,0.422982034746741,0.359430765755591,0.243511084276471,0.219904756396167,0.371117329755064,0.16318347166098,0.368550984197658,0.209305131929315,0.349895254121549
"SW3407",1,142,1,7,2.1,1.42,0.66,4.17,0.416318884456139,0.345702485850701,0.429986104945925,0.541865822562209,0.474129343084555,0.466846038303839,0.322601418942631,0.318136562757581,0.298787145969499,0.433010279001468,0.323665697783345,0.408042144899926,0.361843010274806,0.352074425871217,0.398812629124048,0.268519303373523,0.409351938228944,0.370716278714215,0.422108574069358,0.359032308170239,0.24260627159796,0.217767036017947,0.374212143311558,0.203383084577114,0.394587983179686,0.212297444507924,0.372004475604124
"SW5606",1,143,1,6,2.06,1.5,0.57,4.13,0.416765578285186,0.363083081440825,0.450554494593294,0.570362889550439,0.482537951900619,0.475282913165266,0.320753544306125,0.329108473371975,0.305456644880174,0.434147509223954,0.326569164357967,0.398151241338136,0.390763395437046,0.364811421495914,0.419851512412066,0.253454146876142,0.419281961971735,0.379491849603277,0.423272929155282,0.360631927054548,0.230671654626763,0.21558650008676,0.373207711628227,0.205024409216491,0.396676013928133,0.210339293270164,0.394660791675717
"EZRA",1,144,1,5,2.26,1.39,0.77,4.43,0.398516561506758,0.359138871006679,0.385046549033239,0.539986509309606,0.488239098819463,0.484049602003566,0.272541301408933,0.277794211147265,0.240824733402133,0.34056319873082,0.282093858564447,0.358755504076924,0.392648381532861,0.391502852465419,0.408510336261201,0.421525216147065,0.331077082503672,0.358856161162458,0.434018586959763,0.389158256969416,0.242383470932233,0.265019211224313,0.413447944980293,0.18717955539729,0.349136389150517,0.21140135560397,0.392767900692615
"SW5210",1,145,1,4,2.3,1.76,0.82,4.87,0.443795990440564,0.385956744090469,0.441640778252048,0.569747396716534,0.492965787780547,0.487657586111368,0.299448705246291,0.331161335221604,0.307005119825708,0.414668768195577,0.331927281317785,0.37588116783947,0.387516798408516,0.361738736605047,0.395014911104877,0.28623473631877,0.414636066381246,0.387661743111341,0.45776364599894,0.413878559195398,0.297197282421741,0.270167929512021,0.373696537820951,0.215221821623206,0.414480406427491,0.242431249808218,0.313864809712561
"PERSIST_III",1,146,1,3,2.38,1.59,0.92,4.89,0.436465495289025,0.343886552254438,0.394498797085744,0.551484091394405,0.481004384876313,0.48467015791824,0.273053958652161,0.288557469112146,0.254773311546841,0.353382445489209,0.274607441666265,0.355338659582889,0.347953105496832,0.353401734769593,0.370571251124884,0.394726914334757,0.374173882195273,0.387378645415281,0.450830433183374,0.36782931830966,0.304575448873587,0.273950571378994,0.353670592822818,0.221822376009227,0.408096797671033,0.270085868893637,0.298837717977314
"ALGONQUIN",1,147,1,2,2.14,1.23,0.59,3.95,0.411489663205349,0.351505290898849,0.384443378038205,0.567664769943852,0.480451996994393,0.48261261427648,0.275164175079222,0.273602947259817,0.235822045923633,0.266293512999914,0.255766202063155,0.335266080177969,0.342880649291557,0.364738292011019,0.337914211789644,0.430320976875599,0.267470594832079,0.350014684287812,0.389535601300307,0.322644043637958,0.247291342831083,0.253751903908073,0.350498064956794,0.165060878915954,0.331168003348841,0.223711408682714,0.365958808896693
