"","Germplasm","Rep","Row","Range","Plot","yld1","yld2","yld3","tot23","GNDVI_125","NDRE_125","NDVI_125","GNDVI_142","NDRE_142","NDVI_142","GNDVI_145","NDRE_145","NDVI_145","GNDVI_150","NDRE_150","NDVI_150","GNDVI_152","NDRE_152","NDVI_152","GNDVI_156","NDRE_156","NDVI_156","GNDVI_164","NDRE_164","NDVI_164","GNDVI_166","NDRE_166","NDVI_166","GNDVI_172","NDRE_172","NDVI_172","GNDVI_178","NDRE_178","NDVI_178","GNDVI_184","NDRE_184","NDVI_184","GNDVI_187","NDRE_187","NDVI_187","GNDVI_193","NDRE_193","NDVI_193","GNDVI_198","NDRE_198","NDVI_198","GNDVI_213","NDRE_213","NDVI_213","GNDVI_223","NDRE_223","NDVI_223","GNDVI_228","NDRE_228","NDVI_228","GNDVI_251","NDRE_251","NDVI_251","GNDVI_255","NDRE_255","NDVI_255","GNDVI_265","NDRE_265","NDVI_265","GNDVI_277","NDRE_277","NDVI_277","GNDVI_300","NDRE_300","NDVI_300","GNDVI_306","NDRE_306","NDVI_306"
"11","FSG_421LH",1,1,26,123,2.57,1.77,1.19,5.53,0.254937797293209,0.418423457,0.48062186,0.298669419202122,0.483707253,0.63095831,0.338851777205843,0.466379933,0.598733424,0.279607690589481,0.44159402,0.539391781,0.276477804704358,0.448771435,0.486230614,0.273347657045232,0.460932933,0.48053472,-0.0927040842413297,0.418406459,0.455790301,-0.136412020799739,0.384939087,0.472869495,0.102669135256957,0.330205714,0.371458946,0.267060465058043,0.364133061,0.547700117,0.258176747533253,0.437102453,0.461559913,0.247047000452656,0.359527183,0.484672351,0.269628653650452,0.454674764,0.482514816,0.267875456548664,0.445194044,0.446280383,0.0884276907875677,0.263497556,0.339475545,0.243457626583684,0.384402634,0.474071014,0.215474536056743,0.325323515,0.454037729,-0.0787650345966366,0.526769263,0.492505482,-0.0675529112899833,0.423302541,0.38851368,0.146770739687218,0.2854877,0.393145449,0.222770850626283,0.334916296,0.474478561,0.157840159910915,0.331007413,0.451171502,0.547174613790417,0.311240125,0.65519176
"12","ONEIDA_VR",1,1,27,124,2.61,1.53,1.03,5.17,0.212469927410278,0.318373641,0.478283413,0.261860737854426,0.432821106,0.630899864,0.300427122443933,0.456375235,0.596024114,0.239245833331955,0.382221771,0.53902667,0.235696451952421,0.393907917,0.494688579,0.234557960747683,0.424054204,0.492960481,-0.109610081106779,0.454716649,0.489635395,-0.158144971893178,0.426507906,0.510721063,0.0703000678957893,0.347411955,0.368287853,0.205871557588637,0.240349621,0.533541268,0.22262494607144,0.35571859,0.459570237,0.205587996192029,0.310732491,0.481976472,0.216077621052412,0.405253797,0.472067323,0.249125410434234,0.460532026,0.479975163,0.0507343542431798,0.305752252,0.324334619,0.20174442707102,0.304669105,0.464942505,0.174133894759601,0.269077572,0.443257771,-0.0759908669489791,0.539648802,0.480731758,-0.0767792837885245,0.43073682,0.419715035,0.128516600846614,0.280207586,0.384271202,0.21029184132918,0.304340435,0.491391417,0.143341082391735,0.269836197,0.466084091,0.532474795457315,0.30550274,0.654798117
"13","PERSIST_III",1,1,28,125,2.71,1.64,1.07,5.41,0.230221054574583,0.347701119,0.488491691,0.283476664146224,0.471240405,0.64637004,0.308669123432853,0.478690726,0.604925484,0.251607478243042,0.404361996,0.555784314,0.243484592666295,0.408883614,0.503290987,0.25425402833685,0.4597168,0.50511332,-0.10387585378894,0.467170685,0.45947595,-0.153209901674087,0.445106262,0.484609266,0.0877767022333463,0.327773656,0.379415458,0.2292653938127,0.279712922,0.563148222,0.242593793074551,0.370025634,0.473168096,0.223416652712684,0.344639012,0.497222237,0.225273781421391,0.410069637,0.48200059,0.234903181895917,0.452304866,0.446559768,0.0658175421786572,0.299077278,0.344096809,0.218891923289153,0.328959028,0.484151859,0.183182491556056,0.258148348,0.452106711,-0.0857396165261719,0.556132197,0.488688323,-0.0674581728686098,0.442192185,0.379266699,0.159176724307969,0.312494531,0.424523712,0.239709413301118,0.342258283,0.528311725,0.139480169962088,0.26091185,0.470782777,0.533478937359557,0.310259136,0.660545126
"14","ONEIDA_ULTRA",1,1,29,126,2.44,1.53,1.05,5.01,0.219208563140796,0.333184275,0.470704121,0.278837208885535,0.464640222,0.64100378,0.294974827298447,0.479325663,0.596872743,0.235165854312466,0.381295047,0.537671644,0.22879858388136,0.390860745,0.487594974,0.242006785494518,0.454018319,0.491725291,-0.0950940415907075,0.456576201,0.477742043,-0.155615646752585,0.427504018,0.505172453,0.0813212187554436,0.338670363,0.374472572,0.225610316932722,0.288478058,0.523176678,0.237565940044002,0.352889771,0.474443333,0.209914402919828,0.349938266,0.48790702,0.214096431675063,0.405051813,0.471786866,0.228266255837272,0.4532558,0.446934771,0.0575699829635119,0.318802178,0.327183913,0.200141753614082,0.303557305,0.465187122,0.161642090947411,0.266755384,0.432695033,-0.0922762487745338,0.553284975,0.494539537,-0.0768272090180937,0.42385445,0.412780554,0.130073968839955,0.296784253,0.391373006,0.207472899755169,0.306445262,0.485869594,0.110989229585149,0.230179042,0.446400249,0.506241450620573,0.288982004,0.632668648
"15","WL_349HQ",1,1,30,127,2.38,1.72,1.09,5.19,0.236380195643211,0.356131952,0.502180037,0.291484993208009,0.469499124,0.636828517,0.304346371504843,0.465811621,0.592575432,0.255268939085546,0.398174743,0.546033055,0.242201621297583,0.394126699,0.492251657,0.250045119564347,0.46298443,0.48487896,-0.0625512161080398,0.45629517,0.421108257,-0.110372268127686,0.458280361,0.400318627,0.15530025952444,0.288132839,0.430075744,0.300204606735567,0.389239548,0.54117484,0.266275740104417,0.377831407,0.488245644,0.226382760689434,0.380702915,0.491575551,0.234486782819948,0.411695772,0.468930256,0.229986806097959,0.417059259,0.427192012,0.102951507268838,0.300629566,0.376053052,0.234543529639012,0.364507099,0.491677453,0.184929229637689,0.269304084,0.447932929,-0.0908710697399897,0.546839288,0.493109288,-0.0287066632689874,0.426409256,0.324535226,0.198322003696612,0.342606954,0.484995585,0.256860173402806,0.371234649,0.554633571,0.122438379513628,0.234313804,0.474433012,0.526322917922801,0.302623457,0.65466539
"16","FSG_415BR",1,1,31,128,2.71,1.51,1.13,5.36,0.237793920956971,0.33503294,0.49826302,0.298146157630495,0.483201503,0.647812817,0.309150923444979,0.482743014,0.599205413,0.257194988896689,0.413046503,0.551194351,0.240658295617268,0.401334551,0.496704491,0.251987503992818,0.473305162,0.496592155,-0.0864719671877539,0.469538849,0.4847816,-0.143971586851833,0.429361344,0.516383743,0.08312981374609,0.358513446,0.382497031,0.265278683016077,0.318415663,0.504800142,0.247432275624581,0.342191099,0.483385225,0.199841844672355,0.356669552,0.473896771,0.222652693997725,0.418762275,0.472419674,0.244563868162464,0.43439114,0.46597923,0.0616254037724321,0.352859965,0.348490214,0.212194796362858,0.313595265,0.47428945,0.170659884461784,0.28566946,0.4365758,-0.1007870796832,0.569757081,0.486684615,-0.0681585079231886,0.447248442,0.389838657,0.142229637298424,0.314614993,0.420942097,0.236244715316435,0.341582929,0.520452074,0.110314125620882,0.250169888,0.444195519,0.513781060837993,0.28830489,0.638325796
"17","GUARDSMAN_II",1,1,32,129,2.49,1.6,1.08,5.16,0.237142368506421,0.335481563,0.492202203,0.294766709224178,0.465974943,0.640169904,0.304667451892164,0.477487092,0.594561883,0.254067572256785,0.405997482,0.544121695,0.237284360377077,0.38626338,0.482816921,0.245837268148262,0.440360214,0.484633941,-0.0872082385675439,0.487870184,0.484323068,-0.13408235833721,0.410693865,0.499507906,0.0756431953232377,0.377704228,0.392211784,0.261049800643196,0.333317772,0.5010831,0.247198058624501,0.347216606,0.479159795,0.201363958666351,0.371624751,0.469039106,0.229363060580305,0.428041507,0.474842393,0.257795016337322,0.443803564,0.470116504,0.0664736402076844,0.345468776,0.346867505,0.220180788473246,0.312861983,0.478905606,0.176173187180014,0.288625302,0.439735794,-0.0806519577102334,0.568798472,0.481341459,-0.0676048049341931,0.439658965,0.380933723,0.125785108235368,0.300049043,0.398655532,0.241336116972498,0.325512097,0.51924503,0.122733118798604,0.331536903,0.448332159,0.530836095107526,0.306518755,0.647367466
"18","AMERISTAND_427_TQ",1,1,33,130,2.32,1.69,1,5.01,0.257517436281044,0.338901909,0.52150895,0.295940899451558,0.473023988,0.63636533,0.307402575609345,0.477984578,0.58920679,0.253848092474206,0.409485369,0.54222657,0.231658147330106,0.387652189,0.477208295,0.255799033661498,0.456958874,0.494066088,-0.0843103697421412,0.481816229,0.440838934,-0.0991104146795268,0.405886306,0.434538267,0.120942122987175,0.346140095,0.394617749,0.295173005131069,0.398974997,0.532529456,0.254606257602665,0.364220015,0.478310839,0.218100669475217,0.386445324,0.476901206,0.246589200557275,0.43119523,0.477150342,0.270453682493694,0.449664362,0.477386056,0.0977220000271533,0.30168605,0.377082647,0.235371457417712,0.359920331,0.496470065,0.179985891985079,0.287705168,0.437738854,-0.0825674039700064,0.563909933,0.473335696,-0.0496934604145277,0.43232517,0.338496313,0.149507950688752,0.303305412,0.438182895,0.260518080061173,0.36548067,0.544357863,0.107762907264811,0.369785786,0.444170356,0.549837094720752,0.324164576,0.662463139
"19","LIGHTNING_BOLT",1,1,34,131,2.57,1.73,1.06,5.36,0.250890253360117,0.327456195,0.513647123,0.297864268420221,0.464838939,0.637905026,0.315594379463566,0.459371325,0.591719939,0.255085339253312,0.404345356,0.543904629,0.229864867926922,0.384429016,0.479162909,0.258031536431335,0.441877949,0.497369418,-0.0814024876665409,0.482087991,0.443741433,-0.0937433941502441,0.417299743,0.436302797,0.099640780663607,0.372698688,0.372153972,0.279160160263116,0.378883405,0.519718258,0.237573198283216,0.335720775,0.479633144,0.214070527054837,0.386600262,0.480461393,0.234792269700011,0.432619733,0.470962878,0.251887226189739,0.416128395,0.449112854,0.0990737626453966,0.31769707,0.357181395,0.22676695296363,0.3553248,0.489835388,0.181343861810053,0.286821044,0.444779905,-0.0800829494053576,0.563617675,0.479884073,-0.0475495240842202,0.433390557,0.337500618,0.140163989253834,0.294266097,0.426434848,0.254178091818115,0.356786783,0.533673787,0.101393877655964,0.38564494,0.447338234,0.548090753504028,0.321984576,0.658182942
"20","VERNAL",1,1,35,132,2.44,1.23,0.84,4.51,0.236336576001026,0.32888463,0.492170045,0.285302760808393,0.461212512,0.629492667,0.299601394495102,0.46521789,0.578066908,0.235028120688295,0.392282323,0.52606596,0.213501574995672,0.3732909,0.465276814,0.243403229442065,0.438648714,0.4862129,-0.0869216582305347,0.46717145,0.466098019,-0.113622151683015,0.39375933,0.49357432,0.0358146836977818,0.420556955,0.370110853,0.222012136816256,0.295969202,0.467721904,0.208673052727208,0.308063941,0.463498591,0.199587936119028,0.353645369,0.475664064,0.198583597836489,0.4215513,0.465996244,0.259746051619363,0.445871169,0.480848947,0.0620284958799384,0.349523649,0.322018088,0.182563381041352,0.308502053,0.444007113,0.151250261815297,0.288995127,0.417407043,-0.0724093986083597,0.572809489,0.464442229,-0.0799035013741552,0.44330036,0.420206566,0.071239874012939,0.332532,0.334660384,0.189276682003953,0.298523102,0.425953986,0.053850727474716,0.321868474,0.38069216,0.516028894715381,0.2800329,0.614551011
