"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","tot23","GNDVI_125","GNDVI_136","GNDVI_144","GNDVI_150","GNDVI_152","GNDVI_156","GNDVI_164","GNDVI_166","GNDVI_172","GNDVI_177","GNDVI_179","GNDVI_186","GNDVI_192","GNDVI_195","GNDVI_198","GNDVI_213","GNDVI_223","GNDVI_228","GNDVI_244","GNDVI_248","GNDVI_251","GNDVI_255","GNDVI_263","GNDVI_274","GNDVI_278","GNDVI_300","GNDVI_305"
"N-R-GEE",1,123,1,26,1.86,1.46,0.55,3.87,0.263214890786127,0.222961313523493,0.205944081815655,0.314819885235069,0.0555557523840482,0.0690083886943766,0.101268788439575,0.108679669356176,0.169588611829035,0.169444541042162,0.154319906780462,0.232669204353234,0.244172275773157,0.253164024866367,0.248586073436782,0.0891834896980231,0.132353142099834,0.171896835095876,0.227546558784644,0.212667460908832,0.16090671227735,0.0791084677388817,0.00821945443583232,0.176316801921493,0.203372915085488,0.170225346640074,0.0660089075884226
"SW4602Z",1,124,1,25,1.73,1.74,0.65,4.11,0.279981289436686,0.231423209895544,0.230179077643392,0.351765309357673,0.0538648503493633,0.071928012315038,0.0970119668532126,0.108795190963286,0.182052486462961,0.188988166347148,0.188585706184056,0.260514879943968,0.247132508778034,0.266847285400542,0.249305006918808,0.127821431485248,0.184808809858611,0.215431586551104,0.275879449772582,0.256451989758263,0.179138914675583,0.102617152131259,0.00342093964507884,0.181248165939451,0.218597521535787,0.183077018150999,0.0862465636485444
"ONEIDA_VR",1,125,1,24,1.93,1.75,0.77,4.45,0.250927339094786,0.199731998194737,0.209190804748614,0.334681321703393,0.0520248422848767,0.0654604316870752,0.0632716837443384,0.0785878936688869,0.156158089207784,0.160180365750988,0.156421786275555,0.220784339721688,0.244527020408833,0.237501666941384,0.226751108598833,0.0861865407319952,0.146931060916403,0.189949524802211,0.259772335000958,0.249605046482908,0.163090654271398,0.100050967967661,-0.0157459995147714,0.165929472341876,0.223054498037803,0.166707318523722,0.079702726825238
"REGEN",1,126,1,23,1.93,1.85,0.71,4.48,0.27119308050085,0.210769736501433,0.209947225647349,0.338746563927823,0.0751708359175155,0.0949331804315224,0.103279337643196,0.101399293813571,0.153191126303995,0.158613675352258,0.156917505141893,0.220393453348575,0.237914571053659,0.229862751097535,0.210422074650745,0.0668258781929086,0.137364738108509,0.192250883136929,0.229759487019733,0.211780444670674,0.154054833349837,0.0817459045234654,-0.0210412421629189,0.16117803314348,0.213512283712169,0.171539583700011,0.0866952425727644
"NY2003",1,127,1,22,1.44,1.14,0.39,2.97,0.256524401497116,0.213978150796658,0.224378422716268,0.35078572831703,0.0782205050701311,0.0951468460542962,0.0798560624922606,0.0735559417248327,0.153954345549488,0.17413280553869,0.163495179096332,0.229067159601407,0.256723992895526,0.220285457989142,0.221111872891399,-0.000491260621139001,0.0761273352778539,0.149225040501003,0.201213783321948,0.204001939644209,0.12396686024617,0.062968138994573,-0.0477635342907686,0.119421793161501,0.144261506614465,0.138293243810656,0.046949472816117
"NY0651",1,128,1,21,2.15,1.62,0.56,4.33,0.274007698792086,0.223551279845508,0.204177696761093,0.351721689465383,0.078552081759606,0.0851630872562658,0.140793193931354,0.138453818160094,0.171511307127089,0.174838757980081,0.16227341003697,0.237239826442411,0.262574202979394,0.223300417838032,0.232821524158332,0.0751390891741269,0.121025805064526,0.173213136519679,0.23808225459638,0.236968316575005,0.146591980179355,0.0861776425396224,-0.00335017355356616,0.163289671163451,0.200847219792332,0.164147643734156,0.0803224654890069
"NY1517",1,129,1,20,2.05,1.55,0.64,4.24,0.275923170676553,0.234582828845131,0.235261357101998,0.359371375917493,0.0823818876876547,0.0758259273537828,0.0495391806294527,0.0596324863874408,0.147161476089005,0.169705959414475,0.171972534332085,0.240776365920605,0.278515310831469,0.236033617635754,0.243186935837982,0.0655953277756893,0.138186123878201,0.186311297626733,0.267981684827451,0.263092509710723,0.171444225290379,0.10926223138691,-0.0399829948829261,0.156742403848824,0.175536571191483,0.164726982291604,0.0718063483496022
"SEEDWAY_9558",1,130,1,19,1.86,1.62,0.6,4.07,0.270318713456622,0.210724736720853,0.204189540972104,0.350879232772076,0.0802922266734139,0.0783208726681473,0.0755340600461136,0.0840627265593098,0.153161058707602,0.171188829798293,0.171111972360641,0.237268974311578,0.257882633685588,0.241911664509096,0.245331574554428,0.0794184905638641,0.144504387412664,0.189375846938662,0.266652373874331,0.25598392800822,0.173029101041815,0.140724002510172,-0.00698511919287859,0.178783219930498,0.174344668519751,0.174825916766433,0.0911703443728099
"ALFABAR",1,131,1,18,1.84,1.49,0.62,3.95,0.271898450833389,0.209938061011667,0.191745132351578,0.345099440580683,0.0667035300541465,0.0821804168629244,0.0835413332802056,0.0961833263018082,0.153309154822333,0.174078373092419,0.149078674548815,0.232334362226972,0.256184084953576,0.223819066655529,0.231708878153703,0.0676092520345466,0.130223639709779,0.169742846488311,0.231560496876612,0.217406985954558,0.141262028553757,0.154601720788232,0.00224773927128072,0.168279904946824,0.158028181984967,0.145767476512323,0.050036397103172
"SW4107",1,132,1,17,1.78,1.47,0.54,3.79,0.285533718753643,0.217069476236698,0.190409817630479,0.357878252063837,0.0294327141758823,0.0702982797049576,0.123988299158607,0.147246586948521,0.180290857225561,0.208083611590098,0.177669323474449,0.240220742708203,0.258296617368657,0.220788980316589,0.221101075421493,0.0844477305953722,0.143650538980433,0.164713718450381,0.219194749120725,0.205764843561453,0.130315362953134,0.174552771693645,0.00207001961704638,0.1719028433141,0.154797236263572,0.134605153795594,0.0483070737859167
