"Germplasm","Rep","Row","Range","Plot","yld1","yld2","yld3","tot23","sca_yld1","sca_yld2","sca_yld3","GNDVI_125","NDVI_125","GNDVI_136","NDVI_136","GNDVI_144","NDVI_144","GNDVI_150","NDVI_150","GNDVI_152","NDVI_152","GNDVI_156","NDVI_156","GNDVI_164","NDVI_164","GNDVI_166","NDVI_166","GNDVI_172","NDVI_172","GNDVI_177","NDVI_177","GNDVI_179","NDVI_179","GNDVI_186","NDVI_186","GNDVI_198","NDVI_198","GNDVI_213","NDVI_213","GNDVI_223","NDVI_223","GNDVI_228","NDVI_228","GNDVI_244","NDVI_244","GNDVI_248","NDVI_248","GNDVI_251","NDVI_251","GNDVI_255","NDVI_255"
"SEEDWAY_9558","2","2","4","245",1.43,1.68,0.89,4,0.170604702767547,0.207892706441574,0.233548457024178,0.344635692243186,0.526727003932886,0.151103082206178,0.432902961725596,0.149799237427872,0.458116865518306,0.354539718231216,0.644478778058308,0.079381573545441,0.366879847135664,0.0798623183176579,0.4146851196619,0.124478109324146,0.4115956600981,0.0883245117580242,0.422761495789576,0.128632294852192,0.452324618736383,0.17530873037895,0.509309344883328,0.189747371974171,0.482457216574864,0.216890322746517,0.520385761785613,0.295313287418109,0.486410204220096,0.0556399199434369,0.320039946413348,0.183178457901485,0.498993990329114,0.191913115484018,0.439148983137063,0.237810511028021,0.458150893445011,0.23881253123674,0.458489574767465,0.220109399545856,0.420054040397552,0.124556304270896,0.426940540227891
"ONEIDA_ULTRA","2","2","3","246",1.95,1.75,1.03,4.73,0.2326427765012,0.216554902543306,0.270286416556071,0.383167528363753,0.582902083392279,0.172992572022378,0.461394573042199,0.17111261516446,0.472528440641587,0.385974418113742,0.656632064590542,0.0782879091703113,0.376273220117269,0.0670649699892615,0.416663176839513,0.113887788805417,0.393905034798223,0.0770224695869357,0.396542712393967,0.11499520298849,0.438254901960784,0.172179516225059,0.51344537815126,0.199668028848487,0.476767199517022,0.235623663978669,0.526211095682429,0.298240235452817,0.479940444646327,0.0644446396823721,0.328705124561902,0.196773187488507,0.489703518505081,0.19168865753492,0.422581226323128,0.247557548700333,0.457618198794669,0.251275047407803,0.459117840385197,0.228725405083954,0.415268317853457,0.135706823339429,0.410820753079993
"SW315_LH","2","2","2","247",2.03,1.76,0.84,4.64,0.242187095537147,0.217792359129268,0.220427757191359,0.422483215906095,0.61275016740703,0.208918548984883,0.491618719991417,0.212043225175847,0.493959658223088,0.423733590255921,0.672529173104219,0.072645295274084,0.363919274449042,0.0583292221766153,0.437685758513932,0.10781560433596,0.359819700806087,0.068013472023321,0.366576372182305,0.122316147910497,0.43015200378397,0.179492231739365,0.523141716863737,0.206049351081031,0.478330737154267,0.251879527870622,0.538258275649688,0.309934307468935,0.478861941369574,0.05309390486418,0.284220679576178,0.203204948182447,0.487737762069313,0.190912555719423,0.402285192829568,0.246956393077268,0.451007921596157,0.2530686786391,0.456247512344458,0.239372641653754,0.396459838321293,0.145240070765738,0.397705670272042
"ALFABAR","2","2","1","248",NA,1.79,1.09,NA,NA,0.221504728887153,0.286031256355454,0.439098118956997,0.646110889938562,0.207579142772329,0.506340717031303,0.199120173973328,0.49836006047835,0.428264580115116,0.669431272509004,0.0288837250456878,0.420103110893511,0.0245312127613144,0.459095584722183,0.1426228078883,0.397823226713651,0.11252782717916,0.406150312197353,0.133927757709985,0.471160348583878,0.187321021022203,0.53464019236013,0.194605537829603,0.493929968238969,0.268087409582406,0.554547995501086,0.32577672242815,0.483825747493568,0.0980977325871259,0.319609304591402,0.229998471344465,0.527483390050235,0.200329064303516,0.428727701606959,0.274909869946751,0.477223288987995,0.277570877632534,0.469068917440541,0.252425561550349,0.418151874785002,0.166390585268865,0.411810812820704
"55V50","3","3","36","313",2.23,1.99,0.85,5.06,0.266047893127014,0.246253860606388,0.223051897157923,0.289205342231373,0.537970272283998,0.233774847919013,0.468821341924194,0.21385976871021,0.467557733269349,0.315181517346758,0.58846239841228,0.106355274616238,0.366993634052662,0.10688674121036,0.420649171949482,0.157076701163928,0.412772533824404,0.164227179652265,0.466793492279016,0.18833112356683,0.516072626418989,0.184405040626502,0.476303508187416,0.25325521177348,0.498964704132434,0.216039870279303,0.528918046862946,0.336879718980902,0.484818728763365,0.119111983097716,0.39664787126972,0.203015729157708,0.463418849652679,0.198536640397105,0.421006689508892,0.262699358608437,0.458371587783352,0.235015340474247,0.443560753381506,0.209501293463573,0.383703522902937,0.0861704215580669,0.374183970540035
"SW4107","3","3","35","314",2.27,2,0.84,5.12,0.270820052644987,0.24749131719235,0.220427757191359,0.305365669491564,0.570190348866819,0.230160834911081,0.481932926990945,0.205177967279974,0.494507060731835,0.314567890248998,0.603848123264077,0.107145187629879,0.38503025873676,0.116652617555884,0.408267899074199,0.204243159062127,0.476663663277127,0.213892373340642,0.512021212160953,0.1973843484092,0.535172222222222,0.185903984530015,0.491560853416256,0.257239232562183,0.494352748470396,0.218978291651227,0.526225853552734,0.341748208684813,0.506672750548183,0.149799113387235,0.434498647944026,0.217185656035786,0.473445082866611,0.199901124471456,0.43339429163736,0.257616908425367,0.457345160286337,0.217483026736565,0.428100158982512,0.21200252171776,0.378973061161569,0.0734751825242778,0.366450509407303
"ONEIDA_ULTRA","3","3","34","315",2.25,1.9,0.92,5.07,0.268433972886,0.235116751332732,0.241420876923869,0.302961072171753,0.559799559554461,0.228935408105362,0.476701687857085,0.181668922130194,0.474899443687615,0.292516004838157,0.589673369347739,0.123723046492106,0.384233004923839,0.119885432143427,0.396284829721362,0.141474501951819,0.415866687409326,0.150603324770095,0.45712614853467,0.141830112878799,0.50562788671024,0.157998155856164,0.474405691480132,0.23029132502057,0.495906387671094,0.205028580803693,0.514262338784553,0.330514253239178,0.506410275822041,0.0997261562462435,0.369973477313631,0.200292687181174,0.469716586068964,0.174427332683542,0.431389271108053,0.238306968864673,0.445420363067422,0.204878766845946,0.415869198368301,0.194948492712689,0.369112917096663,0.0493686932183726,0.394152833208013
"SW5606","3","3","33","316",2.01,2.01,0.76,4.78,0.23980101577816,0.248728773778312,0.199434637458848,0.324066497311692,0.573969306032272,0.248795733789289,0.468513105039176,0.211748493868687,0.476521556442142,0.321490670914656,0.590499199679872,0.127145351431678,0.379410543794105,0.139640272304457,0.404568037741412,0.180962237723994,0.4485348084741,0.199839156527975,0.493139055572589,0.174912519636185,0.50187424750602,0.197790912675185,0.487276110050707,0.264459660294763,0.504698095213096,0.233156442033169,0.517759755287678,0.285225787646303,0.461951285704593,0.164685423622451,0.422458653026428,0.22801855745399,0.474020762280464,0.184857438473373,0.399819565613813,0.245029854698324,0.427531733414086,0.181708178433527,0.373610267677422,0.202257522405092,0.368204764361885,0.0662143934478091,0.347650281351479
"REBOUND_6XT","3","3","32","317",1.91,1.96,0.77,4.64,0.227870616983227,0.242541490848503,0.202058777425412,0.307841109799718,0.569743890822322,0.229263909206846,0.481009127789047,0.198396055952324,0.482508729053248,0.310586797112936,0.589132155104194,0.10748500172076,0.376865555770889,0.152124124710196,0.426282760752407,0.21739216507992,0.47255819358311,0.22003881105015,0.507851637273602,0.181479573061474,0.520728976034858,0.197150042912304,0.492264218462716,0.260433623925259,0.496620684855979,0.233245934474877,0.51166475485165,0.252174538030559,0.432768062179827,0.176978565539984,0.443973693825356,0.229465773090157,0.486762671873729,0.188932345040774,0.417933587531929,0.247074591661279,0.428263557675322,0.190512972217444,0.386448111397401,0.182836161506768,0.336585606070338,0.0469127144289723,0.32005273102358
"NY1615","3","3","31","318",2.28,2.08,0.8,5.15,0.27201309252448,0.257390969880044,0.209931197325104,0.311979921599643,0.57019011308227,0.2276964626052,0.468404901290201,0.202395267298487,0.480210511719956,0.301090907379917,0.58466392835161,0.0964030330049464,0.378683539770454,0.136257716229616,0.365733451275247,0.126946229309796,0.387745928956845,0.141323839905469,0.438389324456514,0.136761625666207,0.490454139433551,0.166964128742547,0.487054874813362,0.241621205814894,0.493974185512102,0.219636332617751,0.510090731088497,0.244610015383556,0.461603699238546,0.108521531267148,0.385674339300938,0.190970422769336,0.45847609874947,0.15789617487583,0.403657155471097,0.234607658692014,0.436584330701978,0.179542174867061,0.393345933664035,0.202695553703822,0.374948721572053,0.0568681039587892,0.39730497508738
