"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","tot23","NDVI_125","NDVI_136","NDVI_144","NDVI_150","NDVI_152","NDVI_156","NDVI_164","NDVI_166","NDVI_172","NDVI_177","NDVI_179","NDVI_186","NDVI_192","NDVI_195","NDVI_198","NDVI_213","NDVI_223","NDVI_228","NDVI_244","NDVI_248","NDVI_251","NDVI_255","NDVI_263","NDVI_274","NDVI_278","NDVI_300","NDVI_305"
"SEEDWAY_9558",1,130,1,19,1.86,1.62,0.6,4.07,0.579347266008409,0.43130924445505,0.480123927630305,0.616076170378465,0.355754342659554,0.382462523470927,0.374510416858209,0.413760432939619,0.487698120915033,0.563298398164944,0.487052786308633,0.547967326969561,0.497390559029872,0.46822316127129,0.464119264953786,0.359898141074612,0.509961364830781,0.53784967731586,0.489736795619149,0.450335782029494,0.340962364417267,0.392464862051015,0.29902158302718,0.378626243931225,0.528445524255311,0.451035992923761,0.389909046656452
"ALFABAR",1,131,1,18,1.84,1.49,0.62,3.95,0.575613747182375,0.439042340602452,0.487413529888841,0.613853041216487,0.354634581105169,0.383850681855797,0.34907351463865,0.386678964979437,0.491897930283224,0.575077678648552,0.4763169586699,0.559719809161358,0.499464905489459,0.453511330587041,0.447507507507508,0.316622810740458,0.498825112640099,0.534933728753371,0.459106623812506,0.403339135518676,0.314478715705544,0.38896110656652,0.279875040937282,0.363548604446985,0.507278733909867,0.419822319051077,0.337088800828924
"SW4107",1,132,1,17,1.78,1.47,0.54,3.79,0.58781783757274,0.448991021357833,0.484368163323724,0.624120148059224,0.38912105141515,0.393405843942928,0.407183593038667,0.443454232742169,0.507706318082789,0.56678317344637,0.484041260511849,0.571185929041476,0.492618752843825,0.439138817213684,0.43532048113363,0.387446596029716,0.505802751738803,0.515184321403549,0.431961538824284,0.389452567942848,0.278234004127967,0.379652283725683,0.276798723648815,0.397192311725184,0.516498867863497,0.420929025131179,0.321669349331772
"GUARDSMAN_II",1,133,1,16,1.9,1.56,0.58,4.04,0.558281696516991,0.440502492410081,0.488570117613383,0.6285151549409,0.380937989606918,0.390195339674331,0.350183329349245,0.387120630332053,0.492074303405573,0.562349470761756,0.479841588576528,0.571172960003935,0.502464472027343,0.461531813403471,0.451100408366844,0.324425283156741,0.518890332851768,0.520525672824196,0.413711496064437,0.380914365514214,0.293555641554868,0.371614982276096,0.232526821087829,0.378710313139379,0.504203056768559,0.424132682807082,0.355116310340191
"SW315_LH",1,134,1,15,1.86,1.39,0.49,3.74,0.533170524101897,0.455206573053298,0.481024964730418,0.627382145683385,0.362562857638287,0.395662853770271,0.319900290517831,0.350306559245859,0.432495860566449,0.55037253667987,0.455502775502776,0.57287903440795,0.511215918008353,0.470106245507315,0.472088926068165,0.28449299719888,0.473767447564239,0.473625444329779,0.397595762301645,0.363243425197477,0.282467702084109,0.380806196618274,0.257473395545259,0.291546644343263,0.42002954020036,0.345235835156926,0.309856976582174
"SEEDWAY_9558_SBR",1,135,1,14,2.11,1.46,0.54,4.12,0.575163516585085,0.475383804637474,0.499660209296256,0.641715340844858,0.402731679343028,0.386320558992828,0.336804153976001,0.371664354994914,0.479859150326797,0.55502412418712,0.483499774499066,0.572802139443986,0.50307609282245,0.443750545354823,0.436833546349117,0.294355864084764,0.505350212306522,0.504434654919236,0.414579132226191,0.386164409845951,0.316280633240411,0.373773084455021,0.267466425057057,0.365600037552641,0.475126295059509,0.411086596969758,0.357621207687055
"FSG_415BR",1,136,1,13,2.15,1.5,0.7,4.35,0.599840138075432,0.47125303438749,0.506649679336455,0.671408547592078,0.39173630070875,0.390742374987899,0.373939742573947,0.408666327637349,0.49297084623323,0.573379936045215,0.493897601305009,0.579196322159837,0.51275356337894,0.470152505446623,0.484866091232873,0.36267059012157,0.539659314260756,0.544851381570739,0.435988777165248,0.392280436005439,0.324244526375739,0.393860739969537,0.252934422615475,0.413971688247369,0.520831668426711,0.430989597717021,0.355387182955225
"NY1615",1,137,1,12,1.96,1.53,0.56,4.05,0.585130954738798,0.474394132230309,0.50165281741722,0.666615146058423,0.406550787942389,0.394275248560963,0.372620087336245,0.412227137566369,0.496458061002179,0.575890533204432,0.492319223417735,0.579791419615197,0.517292084709253,0.459682575150985,0.445968806176419,0.334130258163872,0.531031055463567,0.526648650649687,0.424563091229758,0.383958004962802,0.318068885448916,0.376090329937285,0.293400718966991,0.405011789440855,0.511494634243799,0.456596102638586,0.385063918514314
"REBOUND_6XT",1,138,1,11,1.8,1.43,0.6,3.82,0.597180946642421,0.477223779978523,0.500045748226298,0.673177270908363,0.402168793608555,0.423030019142551,0.487549700980091,0.491349360968594,0.511268300653595,0.579996256946244,0.500242702595644,0.581555792575897,0.479202247547697,0.418269204906823,0.424285841033246,0.439899596202117,0.561263451103023,0.548864809081527,0.444345797286974,0.402607404172665,0.317865927072583,0.369973971889641,0.308694505292856,0.444213674525898,0.545936914309635,0.466892498856449,0.353753003652441
"NY0465",1,139,1,10,1.93,1.44,0.75,4.12,0.565029378754869,0.479879747726724,0.505763476708846,0.65588976397734,0.405694559673909,0.419612398805676,0.370792264504055,0.397613284082558,0.485440316477468,0.580736682338133,0.491057913571497,0.579673046091512,0.522035279303303,0.476591210505517,0.469380279933913,0.32155795651594,0.544714106344568,0.552002862819136,0.465933007109478,0.426992455722574,0.368796869625043,0.402841884049588,0.314881291439043,0.38281097930321,0.508163631779738,0.460258861984568,0.372967983854727
"WL_349HQ",1,140,1,9,1.92,1.45,0.72,4.09,0.591739052523366,0.483281629081653,0.496415518241298,0.660582080365779,0.4180944998079,0.422355751665215,0.466551002932686,0.474222209431718,0.512088126361656,0.589155449790536,0.503603710662534,0.570938175703626,0.482994949255555,0.41962439507828,0.434067708531376,0.434546827426623,0.565281561766795,0.56060004030981,0.445419445419445,0.384215960382289,0.317886429522672,0.367410326962643,0.295790819089708,0.43204953447168,0.54389990943176,0.459853079259873,0.360344906262378
"FSG_421LH",1,141,1,8,1.92,1.41,0.56,3.88,0.584414287600562,0.480421820519959,0.499747175844515,0.663633417492558,0.330415368210106,0.40218659771601,0.348041539760009,0.383423804865704,0.480660259717922,0.585234376936615,0.484819889580107,0.584337166652878,0.520561252023745,0.478565573944544,0.477790766545092,0.369250734110069,0.545951663159376,0.541927713816804,0.443357490416314,0.373078302927225,0.292958048036861,0.365279464784931,0.291677976188201,0.350653998058842,0.475974089296077,0.422186032437666,0.32571992976295
"SW3407",1,142,1,7,2.1,1.42,0.66,4.17,0.616870384517443,0.48938676872938,0.498552924509209,0.674350027006318,0.363467486295137,0.411104678214653,0.430153917769826,0.467314513806216,0.50625,0.588719011833808,0.499901184607067,0.587214317817445,0.505387130567284,0.45578408519585,0.453189855127571,0.420873949579832,0.541678820288446,0.541812865497076,0.449466655349008,0.376586627195146,0.321696234728877,0.356995116630723,0.281429184704744,0.402337151452042,0.521961307570093,0.439679107644432,0.326764124832606
"SW5606",1,143,1,6,2.06,1.5,0.57,4.13,0.615699714229126,0.480813662517069,0.502103058302502,0.67541671377071,0.335516323590457,0.405700249330501,0.415252805717473,0.45524564554042,0.505247930283224,0.59685336689742,0.500619805424908,0.58784175090951,0.530838332288775,0.460141522173608,0.468773444725002,0.435586895627816,0.570802630797749,0.555928380162638,0.450060908884438,0.397575914718051,0.31015694874441,0.359951414193996,0.273349924879291,0.387017113274859,0.517811527813454,0.429266455653183,0.315410838676862
"EZRA",1,144,1,5,2.26,1.39,0.77,4.43,0.619553023229494,0.50963485086237,0.495285802885631,0.664955099686934,0.353890307607303,0.423408997935852,0.375136063405004,0.418853818621258,0.483417505159959,0.583290944696463,0.496104165167346,0.593658016418007,0.54350285176132,0.485546954530912,0.484730217879007,0.351870202626505,0.527303247134189,0.542361291065619,0.477829854300443,0.434478052907742,0.3524935500516,0.408476735827074,0.29682364919712,0.367931765824654,0.510105269667304,0.447373517308158,0.373374914642474
"SW5210",1,145,1,4,2.3,1.76,0.82,4.87,0.629189874840248,0.51945969056994,0.514388486180217,0.675831229352728,0.371029864637795,0.431639855942377,0.456784582828765,0.485247154210406,0.518703376906318,0.592456668016272,0.51342160084187,0.588958876970791,0.536551749679904,0.461837627613029,0.462377775699575,0.402709932457832,0.55581297675513,0.557119411641309,0.488079064549653,0.44704563184745,0.371453818369453,0.409364817706827,0.2772637202018,0.405616586412434,0.541485548610517,0.464429715548191,0.3861401060363
"PERSIST_III",1,146,1,3,2.38,1.59,0.92,4.89,0.632290458270851,0.529089276007901,0.517277580131809,0.680997349612491,0.362595258450309,0.420160197858408,0.437647082942901,0.468884831546629,0.517155773420479,0.597276373104308,0.515216606981313,0.596199177584137,0.544481311192218,0.464108862335713,0.477346413678594,0.367741372643333,0.547306713616874,0.56023439590261,0.490502598345736,0.412529177019803,0.387447383408485,0.41891871792965,0.26671916833283,0.417526622139964,0.549719582156006,0.4926051592368,0.420593376519628
"ALGONQUIN",1,147,1,2,2.14,1.23,0.59,3.95,0.618660696601873,0.540936821034844,0.527013697707507,0.673485824823203,0.337151768400557,0.416003078154339,0.389720807360143,0.427696942266606,0.508317315961472,0.59052011994225,0.502524695732822,0.586558101909306,0.54246055680772,0.468678143009694,0.467090620031797,0.297219008815647,0.494929491365908,0.515561643159466,0.462910733498969,0.392198892604572,0.331277485879698,0.367785875412112,0.238800260469431,0.332364034819065,0.460688462672794,0.413019240709341,0.350292898253829
"ONEIDA_ULTRA",1,148,1,1,2.2,1.39,0.73,4.32,0.638702147525677,0.538408055920137,0.517162570624357,0.668465915514188,0.35440286340723,0.418082165487604,0.401410259657095,0.424696488617989,0.489002287581699,0.576059428176557,0.500722968958263,0.58236747544268,0.52717479868364,0.465583436171671,0.452309788780377,0.347367068039337,0.550175804312978,0.536185732246888,0.492710892710893,0.398514343679706,0.365206890793006,0.372886641382217,0.259959578814303,0.344793326359271,0.475387923243048,0.416253091533953,0.355611814962122
"EZRA",2,213,2,36,1.9,1.79,0.92,4.61,0.520652132907035,0.432790355831312,0.481775525596502,0.594989637110449,0.380196129539307,0.414627266291132,0.383670813303487,0.416934757256466,0.469927330581355,0.492619419449196,0.488503690856632,0.583758292916893,0.501297313312805,0.430998591426399,0.465024242329351,0.41366410912191,0.490531562189316,0.462030825975614,0.480396515690633,0.450164099974754,0.410672084623323,0.391009642795171,0.320717004550569,0.423367424578497,0.561797290483394,0.48061413701283,0.441605087308555
"NY0465",2,214,2,35,1.69,1.78,0.87,4.34,0.487632628809099,0.434181150485887,0.464163686118042,0.587809724786776,0.395017289038036,0.409365173048038,0.392775162835907,0.434234578173215,0.46148082788671,0.481245878882527,0.477776687362744,0.568813489587875,0.496135572415691,0.44737128587396,0.46972619678502,0.393126293995859,0.480140763028464,0.432145559978377,0.459549274255157,0.43172569120845,0.410616185070519,0.418738311450441,0.331214406864975,0.397685129173018,0.548676399235094,0.472006873484918,0.416623498625255
"SW3407",2,215,2,34,1.84,1.64,0.73,4.21,0.52666263475087,0.464489200262868,0.477069404404097,0.599864340354976,0.395556635687561,0.39933110367893,0.411385514904652,0.468093187138345,0.513168409586057,0.503850244943792,0.491330455511887,0.562762564003567,0.45118170694319,0.430018822532192,0.43909147369355,0.44416763338332,0.512569293726238,0.453823193496684,0.440945911534147,0.413411391699703,0.407904371619799,0.356427455938127,0.350448876502573,0.443375325833214,0.585586665525016,0.452400293679822,0.397792376018891
"PLUSS_III",2,216,2,33,1.86,1.72,0.77,4.35,0.544878288015543,0.464066787972796,0.463583798482897,0.606927685872555,0.398155949276422,0.397651983870471,0.443046083677336,0.479543660710339,0.512912689198486,0.492913782252989,0.495484575484576,0.552017244347847,0.456362760970551,0.42108497563043,0.470730072633187,0.464984054227752,0.510849731840701,0.462668591665741,0.451408933761875,0.429324050216545,0.379528880781402,0.375223648948272,0.376262875332755,0.463545237520453,0.562568499015327,0.466510396669832,0.410857843137255
"NY1517",2,217,2,32,2.05,1.87,0.87,4.79,0.516266893962972,0.458553159262353,0.450072498585809,0.585394657863145,0.382986963501552,0.380075383553644,0.370924614922555,0.416009032553205,0.480474945533769,0.483133288713716,0.486801891662511,0.543200534860997,0.44747732876205,0.438051497240915,0.472087405097786,0.369829386299975,0.486666324096793,0.449622335473592,0.460248177895237,0.442428543160682,0.423623151014792,0.418466076696165,0.301080999111804,0.38293501961322,0.552737225409329,0.448596102638586,0.424860654535808
"NY1614",2,218,2,31,2.01,2.14,0.86,5.01,0.518866064944496,0.446772316997935,0.465802456663215,0.596881335493839,0.383970393741209,0.397141872133469,0.394004165415474,0.439885973463427,0.476068409586057,0.473099824000397,0.487097578862285,0.531710377540608,0.402563818973735,0.440359581001292,0.42909068237788,0.395177707446615,0.45095805577089,0.425755565384048,0.425613747182375,0.390254543199706,0.364051427588579,0.405373840785085,0.330735265445621,0.404487230650532,0.526446328167366,0.449820000613704,0.43814278247992
