"Germplasm","Rep","Row","Range","Plot","yld1","yld2","yld3","tot23","sca_yld1","sca_yld2","sca_yld3","GNDVI_125","NDVI_125","GNDVI_142","NDVI_142","GNDVI_145","NDVI_145","GNDVI_150","NDVI_150","GNDVI_152","NDVI_152","GNDVI_156","NDVI_156","GNDVI_164","NDVI_164","GNDVI_166","NDVI_166","GNDVI_172","NDVI_172","GNDVI_178","NDVI_178","GNDVI_184","NDVI_184","GNDVI_187","NDVI_187","GNDVI_193","NDVI_193","GNDVI_198","NDVI_198","GNDVI_213","NDVI_213","GNDVI_223","NDVI_223","GNDVI_228","NDVI_228"
"VERNAL","1","1","35","132",2.44,1.23,0.84,4.51,0.219400915677089,0.21434302604915,0.152663658451752,0.236336576001026,0.492170045,0.285302760808393,0.629492667,0.299601394495102,0.578066908,0.235028120688295,0.52606596,0.213501574995672,0.465276814,0.243403229442065,0.4862129,-0.0869216582305347,0.466098019,-0.113622151683015,0.49357432,0.0358146836977818,0.370110853,0.222012136816256,0.467721904,0.208673052727208,0.463498591,0.199587936119028,0.475664064,0.198583597836489,0.465996244,0.259746051619363,0.480848947,0.0620284958799384,0.322018088,0.182563381041352,0.444007113,0.151250261815297,0.417407043
"REBOUND_6XT","1","1","36","133",2.64,2.11,1.11,5.86,0.237384597289965,0.367694134116835,0.201734120096959,0.282646189841652,0.542072066,0.323099126401511,0.629467197,0.322460589243677,0.579450115,0.276247516818244,0.544731125,0.238012000009889,0.467894092,0.255721898763899,0.47625488,-0.0442480687144288,0.383324221,-0.0443900789659479,0.353974383,0.144163942109653,0.43514113,0.318727365552012,0.545244765,0.262372510891926,0.486046459,0.265413769347617,0.508179667,0.265522751616082,0.471710819,0.276162227149803,0.450721418,0.146039173689119,0.430166625,0.257930898088964,0.512241936,0.202764573232901,0.456293996
"SEEDWAY_9558","1","1","37","134",2.79,1.8,1.01,5.61,0.250872358499622,0.313672721047537,0.183559875043178,0.258707606533638,0.520929084,0.309604660162739,0.629020167,0.316133541846885,0.581358671,0.267692190835537,0.541388889,0.217593971328207,0.463785227,0.263672441141901,0.502112598,-0.0808156543816856,0.462931482,-0.107300086703349,0.486723883,0.044847947485694,0.362397185,0.246282436833183,0.50417856,0.221352397041822,0.470331666,0.221198489954699,0.481650779,0.236909650537658,0.479642209,0.273374320406741,0.486087217,0.0888348044732356,0.347875442,0.218233765249359,0.486057748,0.169746540207984,0.440598864
"NY2003","1","1","38","135",2.44,1.49,0.96,4.9,0.219400915677089,0.259651307978239,0.174472752516288,0.264150245313397,0.497196727,0.346300667253921,0.64029183,0.348754309455805,0.588186312,0.287202974773597,0.537950171,0.238088050325168,0.448554861,0.271329817853435,0.482905023,-0.0827135738931567,0.48455846,-0.117503659573481,0.518237928,0.0288962886709851,0.384306553,0.224326476896027,0.46159901,0.226770548147595,0.450257533,0.233619985111654,0.472613716,0.248777964634297,0.466764448,0.276256438769518,0.472773856,0.074218806020547,0.334921436,0.218353121683044,0.454353168,0.188608949351223,0.419118809
"LANDER","1","1","39","136",2.96,1.79,1.08,5.84,0.266158487870567,0.311930094819495,0.196281846580825,0.254966742444747,0.542284771,0.317861847568809,0.626227791,0.316416046743451,0.580876384,0.274740689444833,0.537526256,0.231930503593705,0.486273292,0.256851338698212,0.491536139,-0.0762487074724202,0.456394564,-0.100395270026543,0.472031662,0.0807249637521221,0.384388298,0.242349906660072,0.52040179,0.220537025629179,0.471886378,0.225178350600864,0.495309184,0.234805240670854,0.488572191,0.254076037744048,0.468762963,0.0883372791235691,0.355809464,0.21336779576281,0.481290937,0.168542482916004,0.452727442
"NY1615","1","1","40","137",3.07,1.9,1.08,6.05,0.276049512757649,0.331098983327955,0.196281846580825,0.262260270686565,0.5333568,0.33794295364932,0.621843599,0.333223892293546,0.581232599,0.289923577756048,0.529485839,0.247666101657666,0.492782401,0.25133722018174,0.470745736,-0.0690204020133161,0.470593902,-0.0910486469737641,0.486205265,0.100775097343213,0.399966919,0.254637545434681,0.531097921,0.23326330130223,0.467815537,0.240096649599319,0.499932621,0.25925086184067,0.498793933,0.284376398143898,0.485552941,0.0945189191108697,0.365268617,0.19957441626613,0.443774356,0.165558902382231,0.425968921
"55V50","1","1","41","138",3.11,1.92,1.19,6.22,0.279646249080224,0.334584235784039,0.216273516139983,0.282359071311206,0.535141728,0.360695100805219,0.630772856,0.37039475340913,0.583767865,0.304091126813815,0.533441566,0.270832193327789,0.493695231,0.272621959649317,0.482549548,-0.0646954107542223,0.432079875,-0.0813617501947402,0.454168406,0.126949006312905,0.411484462,0.273899119809122,0.555159545,0.254941733551421,0.468530572,0.268144054009201,0.500696606,0.285948227595999,0.491861176,0.296986492538551,0.484717502,0.116723395838511,0.378683222,0.243981104794295,0.487557758,0.204480977677304,0.446380884
"SW5210","1","1","42","139",3.21,2.01,1.22,6.44,0.288638089886662,0.350267871836416,0.221725789656117,0.272536878170412,0.525328681,0.368913382243311,0.634800323,0.414622032464893,0.593741272,0.31161830644925,0.538270372,0.278764678828009,0.501860183,0.287694660675683,0.49587142,-0.0639775767327586,0.450800134,-0.0910579170797212,0.464582771,0.12737839354137,0.404224974,0.278799423110608,0.563837387,0.25474073981935,0.473125755,0.273427610828252,0.504762861,0.290812939058839,0.50271906,0.302273262377759,0.487207553,0.147189928890028,0.401471504,0.270666876795499,0.505177554,0.225081794277138,0.462262162
"NY1614","1","1","43","140",3.23,1.87,1.13,6.22,0.29043645804795,0.32587110464383,0.205368969107715,0.206475763190094,0.461465578,0.384092461546954,0.635171928,0.427253027204301,0.604530546,0.287817664318901,0.536988055,0.250913624659235,0.496211121,0.261698204126328,0.485136459,-0.0479092099581923,0.469083686,-0.102851556947367,0.494070051,0.0851521407046759,0.396874377,0.239850242585546,0.543929424,0.230170482963196,0.479602637,0.248776613606966,0.510392727,0.27534911588139,0.513637697,0.306478050632948,0.504538862,0.10695884033798,0.371607875,0.225897199799428,0.483033189,0.18581678921859,0.45857756
"WL_358LH","1","1","44","141",2.8,1.63,1.12,5.54,0.251771542580266,0.284048075170825,0.203551544602337,0.193587110067332,0.427558283,0.44616423574105,0.636147069,0.443505143624872,0.602510073,0.303742210141626,0.540088348,0.264692109966659,0.48638407,0.271491410030789,0.468951867,-0.0412817406437726,0.451305684,-0.098258228919777,0.46662334,0.12882676161935,0.417538287,0.279716810819373,0.563247077,0.260176548134593,0.501221896,0.284968918766942,0.526674325,0.294082558998094,0.50350019,0.326725189818726,0.490984895,0.159103486031764,0.405885619,0.264010488273833,0.507755536,0.215749357988873,0.475010164
