"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","tot22","sca_yld1","sca_yld2","sca_yld3","NDVI_131","NDVI_145","NDVI_154","NDVI_159","NDVI_162","NDVI_164","NDVI_175","NDVI_178","NDVI_181","NDVI_187","NDVI_189","NDVI_192","NDVI_201","NDVI_203","NDVI_210","NDVI_215","NDVI_223","NDVI_236","NDVI_238","NDVI_243","NDVI_259","NDVI_263"
"NY2003",2,219,2,30,1.62,0.95,0.68,3.26,0.192160487687794,0.308608064915883,0.133543105781654,0.459261681717163,0.527782622482955,0.519995706311722,0.423867127920913,0.455026521672195,0.42459455233449,0.511638422,0.482261187886679,0.552294818098514,0.444871267,0.505338504736514,0.505838289196323,0.366597379420046,0.427029998910199,0.396320613367388,0.409462315392107,0.515150353152014,0.447801626002139,0.511035751048179,0.458034711923985,0.352935448,0.359677156101064
"ONEIDA_VR",2,220,2,29,1.48,0.92,0.69,3.09,0.175554025788849,0.298862547076434,0.135506974984326,0.408238873642763,0.540133317477935,0.541770748851041,0.439025444422323,0.471468203760139,0.430979063406465,0.530608188788336,0.484138474347997,0.553913892447118,0.48491988661596,0.543923762215099,0.526632399516869,0.372088555327393,0.406066932,0.380950369163297,0.426888205191002,0.542849331,0.474796966841657,0.524572701807996,0.483714910621783,0.3962468422952,0.414459461293168
"WL_349HQ",2,221,2,28,1.45,1.12,0.7,3.26,0.171995498239075,0.363832666006094,0.137470844186997,0.421830541069787,0.544886369642196,0.514165673,0.424934872615251,0.440234057415063,0.411080088813835,0.583054455756662,0.525537842,0.589218205021181,0.517084946087295,0.569041991871932,0.552237935849049,0.374192316128907,0.392259720349765,0.356411329403588,0.445307454533487,0.561464144,0.454685306616926,0.510576058848636,0.471479101444499,0.350037155594716,0.390357012008956
"FSG_421LH",2,222,2,27,1.8,1.14,0.64,3.58,0.213511652986438,0.37032967789906,0.125687628970969,0.48695670520719,0.548013979176576,0.528800470715456,0.417781106322083,0.440632804935614,0.399129249,0.565439602,0.510674988147551,0.571214683573454,0.503529482816197,0.554831527596574,0.534916383549256,0.396566083398572,0.405444054127293,0.341912954429083,0.406430780197384,0.51663504111322,0.435982932332895,0.497617559187568,0.449491624100621,0.329941993529146,0.347475133998236
"SEEDWAY_9558_SBR",2,223,2,26,1.59,1.02,0.68,3.29,0.18860196013802,0.331347606541264,0.133543105781654,0.447616340415178,0.532878019132181,0.510378957746927,0.433840623251766,0.452395347860772,0.418768653629346,0.535546547678901,0.489721744586202,0.553491583,0.492358956515887,0.516240568162788,0.521428338991876,0.359420705906276,0.392495190794734,0.346032574415487,0.412251530994042,0.522918647523665,0.452357442571034,0.500740159389496,0.461822019952106,0.354557379746842,0.404424958107549
"ALGONQUIN",2,224,2,25,0.96,0.78,0.68,2.43,0.113872881592767,0.253383463825672,0.133543105781654,0.357335476036421,0.466839094128217,0.502803142343718,0.422468277426392,0.449307938202927,0.406987096078682,0.466614426219206,0.428584687814739,0.480003190412451,0.464412687138051,0.504176711668274,0.482683680924062,0.332312760342526,0.415595240059069,0.360687994074117,0.399980994219181,0.47368384988404,0.444813771083099,0.491405424821923,0.45184221633859,0.34248397258141,0.374937297338469
"AMERISTAND_427_TQ",2,225,2,24,2.02,0.8,0.7,3.52,0.23960752168478,0.259880475718638,0.137470844186997,0.576746631220637,0.570106363,0.514081548272188,0.416451500052645,0.4399902794159,0.380194014447884,0.591128973002477,0.539135136792598,0.59624257851646,0.512775058084594,0.566380443209106,0.556381183838967,0.3920557919015,0.394721644204785,0.356913610531911,0.447541443307266,0.5582824933687,0.457794142976449,0.511840132761372,0.480802658318229,0.322060424839205,0.371282317033362
"REBOUND_6XT",2,226,2,23,1.7,0.72,0.58,2.99,0.201649894487191,0.233892428146775,0.11390441375494,0.549662869562573,0.554392209714074,0.506724392920185,0.419312689565693,0.422526054091742,0.375132060240027,0.588941783978549,0.531822352422263,0.566539649870225,0.504633133402921,0.535698634078917,0.524570509318278,0.347383803691387,0.3896449330997,0.335184534312246,0.43529986905951,0.537682238843813,0.435768862797204,0.48077487031259,0.444399787312185,0.303396911841517,0.3862114119004
"SW4602Z",2,227,2,22,1.68,0.77,0.49,2.94,0.199277542787342,0.250134957879189,0.0962295909308978,0.535357414127775,0.555211537445167,0.500960991046865,0.404354052955555,0.41717960560384,0.343233150567477,0.577709453275064,0.514512705118135,0.574912443568081,0.513078044972624,0.567013514663339,0.562376574415397,0.407520376866114,0.386977080676318,0.323726875696515,0.437757470930084,0.534307795698925,0.44246465102613,0.487182777759954,0.459870962083464,0.299375358992826,0.331935680846733
"NY1615",2,228,2,21,1.66,0.63,0.51,2.8,0.196905191087492,0.204655874628428,0.100157329336241,0.489412209222073,0.536915992812219,0.52290841721928,0.444892993212212,0.449784081231329,0.369272539637865,0.542754912457488,0.477442017345853,0.5242362200569,0.491635107962741,0.539829258607975,0.527019553417609,0.385049132956713,0.391705268880799,0.351705254651842,0.438085717195876,0.522196427062204,0.435227169942475,0.476221031580523,0.457002801120448,0.329650789484784,0.350950468977824
"GUARDSMAN_II",2,229,2,20,1.67,0.63,0.61,2.9,0.198091366937417,0.204655874628428,0.119796021362954,0.527153838579908,0.553895275091169,0.516175473420193,0.428533668667212,0.439977683371058,0.386333551448965,0.563517444905313,0.513677136919967,0.56137513973047,0.517155135062698,0.575334286246677,0.564985755164669,0.403426476140863,0.371104387854971,0.355462539895553,0.435567596801927,0.551193469323213,0.45634168334788,0.500392539703809,0.485506755277839,0.359372244900935,0.342322528345411
"SW4412Y",2,230,2,19,2.02,0.6,0.63,3.25,0.23960752168478,0.194910356788979,0.123723759768297,0.512195004735514,0.546086359071931,0.505580204506782,0.431182799351047,0.437622095752843,0.403755349,0.547520346279537,0.493982022016072,0.540960697956697,0.49224862521551,0.559936397413353,0.542604722042548,0.403530528168768,0.38963709632982,0.38286412074949,0.448312631443739,0.530373140635565,0.437104517750113,0.483437729418181,0.461805544135462,0.33220111617802,0.341206801810624
"FSG_415BR",2,231,2,18,1.75,1.15,0.66,3.57,0.207580773736814,0.373578183845543,0.129615367376311,0.510366819439863,0.549673510913799,0.512315729211393,0.425148311023495,0.415799701580271,0.40842868311599,0.549278977082286,0.513386781393659,0.558940831042473,0.508965869232099,0.570889585342334,0.558802177858439,0.399510534392062,0.376234533372116,0.359117538834496,0.433828172846199,0.536607105207675,0.430160212014237,0.481498396785645,0.478473663975394,0.369830073691496,0.361662527986973
"LANDER",2,232,2,17,1.35,0.86,0.56,2.78,0.160133739739828,0.279371511397536,0.109976675349598,0.435497486895284,0.529980963912151,0.525320356853204,0.421835045453282,0.409298298516084,0.395379178784752,0.539990389852522,0.506320480796673,0.535049838379067,0.497448258,0.54006127893236,0.521504572791004,0.359367232852401,0.383661436847267,0.34360529396944,0.42470700484201,0.519241514,0.42656271484751,0.464703840533936,0.46037447135717,0.361054271122838,0.343329398195264
"SW5606",2,233,2,16,1.91,1.08,0.51,3.51,0.226559587335609,0.350838642220162,0.100157329336241,0.526035196,0.565387400243116,0.51566369288997,0.412565718236729,0.410062458569827,0.385704512928038,0.5842274436484,0.559853925932216,0.592707317380966,0.521208788765437,0.562545261595477,0.568211409683976,0.376120368856017,0.375469046352013,0.36703511,0.462067837270814,0.571573381507776,0.431357930342728,0.464892153402797,0.479919967987195,0.33860125198992,0.319480397597441
"VERNAL",2,234,2,15,1.28,0.82,0.66,2.77,0.151830508790356,0.266377487611604,0.129615367376311,0.378562185275832,0.447225965858041,0.505150517627976,0.420705051959168,0.466981822253267,0.43645632798574,0.440570926554382,0.412122638060397,0.448302224622184,0.456958427772607,0.491470364159137,0.474624830181886,0.334905900159714,0.403267464714986,0.379982227160458,0.404134664618536,0.446592257415787,0.412345584051063,0.433346355321621,0.448939418904817,0.38014115480734,0.386045461469827
