"Germplasm","Rep","Plot","Row","Range","GNDVI_125","GNDVI_136","GNDVI_144","GNDVI_150","GNDVI_152","GNDVI_156","GNDVI_164","GNDVI_166","GNDVI_172","GNDVI_177","GNDVI_179","GNDVI_186","GNDVI_192","GNDVI_195","GNDVI_198","GNDVI_213","GNDVI_223","GNDVI_228","GNDVI_244","GNDVI_248","GNDVI_251","GNDVI_255","GNDVI_263","GNDVI_274","GNDVI_278","GNDVI_300","GNDVI_305"
"GUARDSMAN_II",1,2121110,1,41,0.237823781834307,0.188477943225459,0.191913336100238,0.334220422439018,0.0498725992406744,0.073783695640268,0.131881229833095,0.144531219299276,0.187430344199181,-0.0878818578149208,-0.0748980474933457,0.0756640281656534,0.160106891649707,0.261343659155933,0.211547874603698,0.183719319654677,0.184343923221502,0.181223045250974,0.172313939374146,0.148169606126956,0.16377841213585,0.166907794192562,0.195932663700142,0.183407250346026,0.044009564806686,0.129962990909417,0.0375482833624514
"SEEDWAY_9558_SBR",1,2121120,1,40,0.212560757012557,0.185970396000861,0.206718084897579,0.334544054173238,0.0591749724075724,0.0557418002208797,0.105891825656376,0.120849717662165,0.170192478144447,-0.0699362839005334,-0.102412363543619,0.079336327307897,0.180134147647284,0.237187788852977,0.216919619018999,0.117686531016125,0.141817002099259,0.138937279099023,0.182991878638477,0.159098004486214,0.162825739550734,0.178488953770065,0.165912898066843,0.179613799777229,0.0524276708123751,0.116919485243997,0.0382580336643133
"BORDER",1,2121121,1,39,0.251612206425261,0.203587623694699,0.207051209196795,0.352957541401766,0.0420074011863782,0.0760801296461345,0.175082169919188,0.187125541589301,0.214787881933938,0.163038084082923,0.16285065808784,0.250371859174271,0.259462300094354,0.278610411987046,0.258602202472952,0.118024013625674,0.241714917403472,0.218822968963011,0.251992633323489,0.214136958571822,0.187960686883321,0.197847515095445,0.0798766982387257,0.23246940328457,0.2189290481881,0.185101930280808,0.117273201246231
"BORDER",1,2121122,1,38,0.25654991331413,0.199870405411668,0.199482602809769,0.350477116028139,0.0464909586442048,0.093753254745488,0.186461534645158,0.192605105383981,0.216283550558221,0.191579987621174,0.194354624280165,0.276315931253704,0.260001099626127,0.287811099024082,0.248111850096745,0.13884519833992,0.266656077746207,0.227739196287995,0.255534578058812,0.212449809375192,0.194388649768851,0.200391609927233,0.0748805373906189,0.229375445723506,0.224799287075201,0.184486062131245,0.110666036030503
"BORDER",1,2121123,1,37,0.258385190461342,0.19570941584157,0.197337421105563,0.352713524027658,0.0358156864722002,0.0813844207201092,0.154672258414693,0.163204656396916,0.206209364793504,0.178761395737387,0.187134131273977,0.269846438037181,0.264329213587595,0.280490176436468,0.249717954721815,0.135264312196331,0.259908125602377,0.208433152918675,0.256317556184583,0.207674503804813,0.161579254908407,0.190246181192168,0.0473864915216165,0.203786150145405,0.20772656680335,0.155203856880751,0.0620784210561316
"SW4412Y",1,2121130,1,36,0.22474540713312,0.179327230675162,0.197250189717417,0.345251991602462,0.0360286057763347,0.0634109112766034,0.132747436512947,0.139081742740588,0.185369550464465,0.172900432243267,0.184179797492431,0.258701956106475,0.266555580467657,0.27190954573806,0.245267769446071,0.13200035254935,0.264112661756949,0.209973508091252,0.259026674921267,0.213406418505137,0.174142619471057,0.200807947965779,0.0359218635581645,0.191960878143333,0.201630677020522,0.155114000685059,0.0435828749957455
"AMERISTAND_427_TQ",1,2121140,1,35,0.205036273554287,0.167212647711649,0.177443216736161,0.329350129161466,0.0434518487424748,0.0872543624923315,0.143765608066437,0.154670856531102,0.204008372097005,0.171051949622514,0.182759282440018,0.243225937493453,0.247572118062301,0.260698043395455,0.239827289722108,0.154064757653627,0.27227394687772,0.226793226551311,0.271424624279523,0.224177151258712,0.182461703819181,0.198906244589258,0.0814499308876968,0.235214002627259,0.238835344806005,0.182223763546607,0.0623654856439255
"VERNAL",1,2121150,1,34,0.10523312489928,0.108608593073825,0.15755785624138,0.301954266875841,0.0392357452768913,0.0658483203228242,0.0366035301888506,0.0279332703036786,0.0979352197414483,0.126664414387895,0.131828775826549,0.218361932936591,0.251663834172752,0.254367305920777,0.237797709376085,0.0376541772419421,0.183092043619882,0.179281610596804,0.250206158685523,0.220923341138912,0.178526624977134,0.179580911472694,-0.0493866658354076,0.145330917946086,0.142850685981647,0.141850503353836,0.00537955297426601
"HI-GEST_360",1,2121160,1,33,0.203225118211458,0.165005625526473,0.188495442788149,0.348267829335488,0.0591393999421062,0.0974482475837244,0.167136896030997,0.165665119337311,0.202100445406543,0.181454015659184,0.18274503704368,0.253569848843572,0.25623218844724,0.267998768550446,0.259402793560401,0.146702995622765,0.235328538526191,0.228714849699291,0.277428594086442,0.240831534511592,0.209121591694276,0.228484070302399,0.0441037595003295,0.228639117664579,0.221470502099663,0.192080411940185,0.0647634428547662
"55V50",1,2121170,1,32,0.236110479273763,0.188667559609422,0.206113494398347,0.353649910017996,0.0399747484458261,0.069742597607006,0.124272689042424,0.139324316778609,0.19825623185017,0.192713716970496,0.193133350822223,0.261821780553495,0.26923456704388,0.282429420457699,0.267957133018252,0.127304483089102,0.207503163597538,0.235768301523264,0.282374363160264,0.244822875092785,0.224556572609288,0.239414077273406,0.0221017332100772,0.206540192473001,0.226302487722466,0.184156387859458,0.0600900494415054
