"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","tot23","sca_yld1","sca_yld2","sca_yld3","NDVI_125","NDVI_142","NDVI_145","NDVI_150","NDVI_152","NDVI_156","NDVI_164","NDVI_166","NDVI_172","NDVI_178","NDVI_184","NDVI_187","NDVI_193","NDVI_198","NDVI_213","NDVI_223","NDVI_228","NDVI_251","NDVI_255","NDVI_265","NDVI_277","NDVI_300","NDVI_306"
"55V50",1,138,1,41,3.11,1.92,1.19,6.22,0.279646249080224,0.334584235784039,0.216273516139983,0.535141728,0.630772856,0.583767865,0.533441566,0.493695231,0.482549548,0.432079875,0.454168406,0.411484462,0.555159545,0.468530572,0.500696606,0.491861176,0.484717502,0.378683222,0.487557758,0.446380884,0.473459861,0.363540955,0.43546091,0.52314041,0.461398751,0.656018931
"SW5210",1,139,1,42,3.21,2.01,1.22,6.44,0.288638089886662,0.350267871836416,0.221725789656117,0.525328681,0.634800323,0.593741272,0.538270372,0.501860183,0.49587142,0.450800134,0.464582771,0.404224974,0.563837387,0.473125755,0.504762861,0.50271906,0.487207553,0.401471504,0.505177554,0.462262162,0.479944203,0.383195147,0.441474545,0.53221142,0.476383499,0.665235003
"NY1614",1,140,1,43,3.23,1.87,1.13,6.22,0.29043645804795,0.32587110464383,0.205368969107715,0.461465578,0.635171928,0.604530546,0.536988055,0.496211121,0.485136459,0.469083686,0.494070051,0.396874377,0.543929424,0.479602637,0.510392727,0.513637697,0.504538862,0.371607875,0.483033189,0.45857756,0.475089635,0.428797803,0.375175998,0.499114763,0.460624473,0.652399678
"WL_358LH",1,141,1,44,2.8,1.63,1.12,5.54,0.251771542580266,0.284048075170825,0.203551544602337,0.427558283,0.636147069,0.602510073,0.540088348,0.48638407,0.468951867,0.451305684,0.46662334,0.417538287,0.563247077,0.501221896,0.526674325,0.50350019,0.490984895,0.405885619,0.507755536,0.475010164,0.462533274,0.337292154,0.445758204,0.512409622,0.468511438,0.652872484
"SW3407",1,142,1,45,2.97,1.79,1.41,6.17,0.267057671951211,0.311930094819495,0.256256855258299,0.423944862,0.642967724,0.608641148,0.55412844,0.504067475,0.502035506,0.415860866,0.414198512,0.4714094,0.568478206,0.520462326,0.545419311,0.525926654,0.494112854,0.431702665,0.512796977,0.491996416,0.474622429,0.342670593,0.480496804,0.546145128,0.48548745,0.668064292
"ALFABAR",1,143,1,46,3.29,1.46,1.17,5.93,0.295831562531813,0.254423429294113,0.212638667129227,0.419627254,0.634202303,0.601354642,0.553746627,0.500638109,0.500133245,0.496668213,0.515255693,0.404353873,0.537533977,0.524388937,0.547885094,0.544226953,0.516401171,0.355693438,0.504749204,0.494315991,0.475911549,0.424938406,0.39131932,0.520041565,0.492911279,0.662177942
"SW4107",1,144,1,47,3.03,1.69,1.22,5.94,0.272452776435074,0.294503832539076,0.221725789656117,0.434872166,0.639408011,0.611828428,0.552845166,0.487711491,0.494818349,0.461370114,0.459998188,0.480783988,0.55807197,0.532446208,0.572154987,0.562036743,0.527476398,0.426395685,0.514961495,0.492827688,0.481062476,0.363641001,0.455532333,0.537481411,0.501027077,0.670258825
"NY0651",1,145,1,48,2.88,1.63,1.13,5.64,0.258965015225416,0.284048075170825,0.205368969107715,0.432092199,0.642204487,0.618843139,0.55258493,0.48437094,0.493645302,0.466607434,0.442720746,0.441399688,0.55796111,0.543400051,0.584877653,0.588342255,0.552276398,0.389288689,0.502645484,0.484168525,0.492138023,0.414724352,0.398497519,0.519874553,0.495842273,0.659736389
"SW4412Y",1,146,1,49,3.04,2.04,1.43,6.51,0.273351960515717,0.355495750520541,0.259891704269055,0.435115364,0.626887802,0.602950556,0.544679349,0.472977523,0.519294764,0.418495206,0.391044908,0.480355686,0.574129948,0.554277615,0.592893912,0.606437177,0.574007072,0.43764326,0.531044179,0.501230717,0.471905905,0.370388717,0.461656537,0.538722835,0.5029949,0.668526106
"SW4602Z",1,147,1,50,2.62,1.65,1.31,5.58,0.235586229128678,0.287533327626909,0.238082610204519,0.451503258,0.649450722,0.614515176,0.545015291,0.475723338,0.500477084,0.426086411,0.407970428,0.405281752,0.568542825,0.554634751,0.604811212,0.615522782,0.591845137,0.392675105,0.536965715,0.500125017,0.485669885,0.419891324,0.421888638,0.518121598,0.487587685,0.661529511
"REGEN",1,148,1,51,2.86,1.8,1.37,6.03,0.257166647064129,0.313672721047537,0.248987157236787,0.488511536,0.638298809,0.611190168,0.540009294,0.479035868,0.54044766,0.406001351,0.411834598,0.401787779,0.582255272,0.569528837,0.610814631,0.613127467,0.614265069,0.367405165,0.531674228,0.496723701,0.457955736,0.438639952,0.396242823,0.527653139,0.495461591,0.672381495
