"plotNumber","germplasmName","replicate","rowNumber","colNumber","name","value","trait","doy","harvest","GDD_sum","loc","year"
2122320,"LANDER",2,2,17,"GNDVI_124.5",0.282261076672869,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122330,"SW5606",2,2,16,"GNDVI_124.5",0.333622037332966,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122340,"VERNAL",2,2,15,"GNDVI_124.5",0.262518469359237,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122350,"SW5210",2,2,14,"GNDVI_124.5",0.342234926575442,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122360,"55V50",2,2,13,"GNDVI_124.5",0.327023685872168,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122370,"N-R-GEE",2,2,12,"GNDVI_124.5",0.298180165961212,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122380,"WL_358LH",2,2,11,"GNDVI_124.5",0.305334914138058,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122390,"HI-GEST_360",2,2,10,"GNDVI_124.5",0.30626121106719,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122400,"NY0651",2,2,9,"GNDVI_124.5",0.322379486269645,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122410,"REGEN",2,2,8,"GNDVI_124.5",0.339021275762261,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122420,"SW4107",2,2,7,"GNDVI_124.5",0.354076566360556,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122430,"PERSIST_III",2,2,6,"GNDVI_124.5",0.363515196868465,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122440,"LIGHTNING_BOLT",2,2,5,"GNDVI_124.5",0.34631713498317,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122450,"SEEDWAY_9558",2,2,4,"GNDVI_124.5",0.344635692243186,"GNDVI",125,"1",263.75,"NY-mus","2023"
2122460,"ONEIDA_ULTRA",2,2,3,"GNDVI_124.5",0.383167528363753,"GNDVI",125,"1",263.75,"NY-mus","2023"
