"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","tot22","sca_yld1","sca_yld2","sca_yld3","NDRE_131","NDRE_145","NDRE_154","NDRE_159","NDRE_162","NDRE_164","NDRE_175","NDRE_178","NDRE_181","NDRE_187","NDRE_189","NDRE_192","NDRE_201","NDRE_203","NDRE_210","NDRE_215","NDRE_223","NDRE_236","NDRE_238","NDRE_243","NDRE_259","NDRE_263"
"NY1615",1,137,1,12,2.14,0.72,0.54,3.4,0.253841631883876,0.233892428146775,0.106048936944255,0.316423002,0.300025500766344,0.383197843614331,0.431574639209573,0.334117977864042,0.298255952425722,0.327759578724652,0.245048506591377,0.310290677305585,0.264953406659179,0.387209167659349,0.384792042150478,0.261456888388143,0.367312942764251,0.433023451009252,0.44516571416886,0.285937235885734,0.226366303515575,0.316055230844624,0.370005974992737,0.259019852596179,0.275975087593306
"REBOUND_6XT",1,138,1,11,1.74,0.7,0.47,2.9,0.20639459788689,0.227395416253809,0.0923018525255551,0.300505199688675,0.339675624966968,0.395387942687213,0.463582894905176,0.324380090106252,0.320660815,0.392991138763198,0.279002177076773,0.339321991323729,0.28064929609712,0.418917101556148,0.406600141925031,0.287866700588175,0.338960746354371,0.36558195732877,0.452020521470237,0.359232421463209,0.26708655559367,0.341355767819656,0.354233090496473,0.233101026244296,0.254533143361151
"NY0465",1,139,1,10,1.8,0.69,0.53,3.02,0.213511652986438,0.224146910307326,0.104085067741583,0.328005645108354,0.306518947201522,0.37915605171509,0.452946678396546,0.37024450740378,0.308705256903399,0.323722138428021,0.293793326304418,0.275977162141942,0.262085148106833,0.374441755530553,0.366649711021379,0.298362025614893,0.356002431402382,0.441444265673889,0.442799966513999,0.313596866548343,0.282225170770062,0.32335723214179,0.328452761938799,0.269560584970184,0.259281498066355
"WL_349HQ",1,140,1,9,1.74,0.67,0.49,2.9,0.20639459788689,0.21764989841436,0.0962295909308978,0.301309802049922,0.317241179833855,0.393399169886933,0.477449307126015,0.3367933014488,0.315785220627326,0.384149672155187,0.247129820290922,0.299183086496159,0.238571966835709,0.386621357800594,0.377386611738749,0.303101124320033,0.328838088660806,0.390521833656804,0.444013051486533,0.345657547965423,0.274578265645965,0.326234525,0.296699621024881,0.2263384476304,0.268416039079992
"FSG_421LH",1,141,1,8,1.62,0.56,0.46,2.63,0.192160487687794,0.181916333003047,0.0903379833228837,0.281297999831209,0.368366893927382,0.398232590684287,0.437123819992864,0.275053978505295,0.295591933231546,0.395556482764412,0.223640388430122,0.301295115550502,0.236024053298092,0.409201628443992,0.401859050441998,0.322842225192654,0.328791110713336,0.41801028559572,0.450865961724907,0.320521942613252,0.24594288294782,0.31640869559669,0.306662610249579,0.229344432,0.253941290722726
"SW3407",1,142,1,7,1.59,0.57,0.49,2.66,0.18860196013802,0.18516483894953,0.0962295909308978,0.278943618970079,0.379658316156651,0.39073358459361,0.454780593454542,0.261506359730317,0.31039059323889,0.424051685310876,0.258622097,0.316574192681722,0.279109705729115,0.392689574326061,0.389647062955737,0.31582037881696,0.321226362,0.342674656027013,0.44560239396305,0.358676075268817,0.286657200711539,0.327246465977067,0.315655736804526,0.229600745299049,0.263948961937716
"SW5606",1,143,1,6,1.64,0.54,0.47,2.65,0.194532839387643,0.175419321110081,0.0923018525255551,0.26522491349481,0.42906294593309,0.434062306187682,0.474700346100678,0.255700336959866,0.316432573972244,0.440104297595106,0.286128978236308,0.334624850674304,0.320797870774164,0.398931211828994,0.395928133183454,0.343102387450503,0.313270037316309,0.327414544868604,0.45309347782829,0.363881773139363,0.284098498039505,0.339053320323927,0.309031910803537,0.225547218329607,0.271155980731393
"EZRA",1,144,1,5,1.89,0.6,0.55,3.04,0.224187235635759,0.194910356788979,0.108012806146926,0.29329502724093,0.376496089001638,0.430401380341269,0.494640822161905,0.287328378889029,0.32709698122952,0.328900171499995,0.252000646282812,0.264441876075406,0.373932747395371,0.380992091290985,0.378832028167304,0.309970803273426,0.326777752879707,0.360701475351442,0.443540653611538,0.306185832423155,0.285594090001838,0.341381673398289,0.295463171569998,0.257970226573619,0.269038469366986
"SW5210",1,145,1,4,2.11,0.71,0.48,3.3,0.250283104334102,0.230643922200292,0.0942657217282265,0.27033217057256,0.461016595317372,0.471481004405006,0.465268610264552,0.331919777189962,0.298328923914063,0.384683074618736,0.304155197505443,0.290396019,0.277064009581276,0.406435349311143,0.402673235409249,0.318196979712714,0.299573510144517,0.354587268490126,0.442618741485665,0.337104021716213,0.339363184887482,0.381976184230309,0.30934559297345,0.249862547733352,0.272370445756157
"PERSIST_III",1,146,1,3,2.25,0.79,0.54,3.58,0.266889566233047,0.256631969772155,0.106048936944255,0.262833361465102,0.443194070080863,0.478339455814767,0.476551197879695,0.459574584489561,0.334592238171186,0.359424622,0.408886625,0.282515220426316,0.225431244550289,0.41860027,0.435765317122899,0.322956219125027,0.298569537184518,0.333544049878016,0.447259867346867,0.328121830628803,0.376727355886623,0.401086172221142,0.312232767616851,0.260577419292685,0.289956148941263
"ALGONQUIN",1,147,1,2,1.97,0.61,0.47,3.05,0.233676642435157,0.198158862735462,0.0923018525255551,0.257711537066801,0.38153585962687,0.488026016570456,0.494221239509142,0.574338911313191,0.338187283607984,0.307194703,0.46821927856912,0.270907756300465,0.253715045626899,0.405833409990966,0.426313696184142,0.316284348114722,0.289810484863401,0.358911101407187,0.446280358021345,0.30887834703774,0.367375889604384,0.404092826196538,0.316407439688204,0.250751782401006,0.327467710169528
"ONEIDA_ULTRA",1,148,1,1,1.74,0.5,0.48,2.71,0.20639459788689,0.162425297324149,0.0942657217282265,0.323960296696393,0.349356138681888,0.460913283399329,0.488021059330614,0.596919822,0.340725271288739,0.314908035863918,0.474085238570347,0.309279422559334,0.27605684585888,0.375001120380788,0.414657841357959,0.291320197,0.287893904829777,0.345509532158258,0.430128754598379,0.30426716214503,0.364493260211001,0.401218782613947,0.310306255835668,0.225139783,0.344380018933211
"EZRA",2,213,2,36,1.72,0.73,0.62,3.07,0.20402224618704,0.237140934093258,0.121759890565626,0.305489190068105,0.300734633476032,0.478113957667414,0.483233420396278,0.50011010572531,0.333067227772777,0.346490594100888,0.292483896000359,0.377563964171428,0.245859120871064,0.407103706960123,0.412795650981648,0.333120920080523,0.264585147116987,0.446199522369968,0.446642598551638,0.30775716806119,0.256423026876655,0.283135999598303,0.402088616268425,0.325738281927383,0.301942286348502
"NY0465",2,214,2,35,1.57,0.77,0.74,3.08,0.186229608438171,0.250134957879189,0.145326320997682,0.335290015097383,0.295600787484805,0.461702845,0.484014439,0.504568674527108,0.317490241205803,0.354118092215519,0.33544601769494,0.39755909459453,0.248704494480483,0.41698515230586,0.410708222650649,0.330863987097559,0.289999676807454,0.473765323619942,0.442301638323818,0.31465238245836,0.258960018642432,0.3216294881589,0.381556348566824,0.330643966082436,0.295483912210833
