"Germplasm","Rep","Plot","Row","Range","NDVI_125","NDVI_136","NDVI_144","NDVI_150","NDVI_152","NDVI_156","NDVI_164","NDVI_166","NDVI_172","NDVI_177","NDVI_179","NDVI_186","NDVI_192","NDVI_195","NDVI_198","NDVI_213","NDVI_223","NDVI_228","NDVI_244","NDVI_248","NDVI_251","NDVI_255","NDVI_263","NDVI_274","NDVI_278","NDVI_300","NDVI_305"
"GUARDSMAN_II",1,2121110,1,41,0.541295545106647,0.431525673149584,0.488078996018565,0.619736971021592,0.381010844890525,0.410657807491163,0.431949846178708,0.468540653646581,0.49636394335512,0.223154626510418,0.249481138892904,0.415701926796491,0.490871718358147,0.513639895458077,0.50411498536066,0.440948970892705,0.475961669009797,0.454237377212093,0.335201664613429,0.3119826215668,0.301697433723435,0.350085025160507,0.451029835473541,0.294058635766208,0.302524236283548,0.303282710917039,0.31706350922722
"SEEDWAY_9558_SBR",1,2121120,1,40,0.49768306312424,0.414907644937623,0.482943130321881,0.601511348934193,0.373174012864435,0.419819401444788,0.40949267234246,0.430330788061067,0.464279411764706,0.223878379545651,0.325195756287181,0.404527821442689,0.486776081182608,0.48074658555942,0.470742541849808,0.37497990500548,0.420010247005609,0.38597761571589,0.355631006611399,0.312394040089067,0.324333935328517,0.369384497161697,0.408744458334448,0.303690888119954,0.275066358421098,0.285998555618355,0.28852034312965
"BORDER",1,2121121,1,39,0.536915843778589,0.445426105581981,0.490280929890204,0.613656182599656,0.369778726618672,0.415207669642991,0.492625863925741,0.504121149066528,0.513915011179911,0.520661857663419,0.497874781099182,0.54803396099003,0.496124778141179,0.462530630619153,0.454944040964802,0.414137170019523,0.557212594581401,0.510384094900809,0.461828826534709,0.391570443402118,0.350686274509804,0.376598800778915,0.333303004700938,0.448144441647514,0.53931700773468,0.461453619319402,0.413267160589373
"BORDER",1,2121122,1,38,0.536472097256411,0.432115012829976,0.48904528578284,0.620340405220384,0.376905346401064,0.427524202663522,0.477992734211589,0.500722409589301,0.511363507625272,0.568621501698024,0.514489401456092,0.581379145340426,0.487925251050231,0.464004700751251,0.439160094350406,0.45932603344368,0.582940714695657,0.530378706548699,0.471495789142848,0.397185168000619,0.345340127278982,0.367230361171017,0.320176313847824,0.466568802208941,0.562882214991771,0.475976065543588,0.42792617793386
"BORDER",1,2121123,1,37,0.54229526827566,0.42906010366596,0.484177077156897,0.611007903161265,0.360847780531784,0.416339370734309,0.459234282310009,0.484201962387174,0.502551416122004,0.556063130097854,0.508779153485036,0.574164621310315,0.478881622805625,0.46214260738589,0.44099370064768,0.447858658614961,0.561706675075659,0.509960153652104,0.470800670800671,0.387919603521724,0.317953230648014,0.361882796383057,0.311249246562861,0.437708584301475,0.551611867454405,0.444932587472042,0.393764453992724
"SW4412Y",1,2121130,1,36,0.495098275000236,0.404657498557791,0.477897187213228,0.617500596651216,0.351491979949023,0.408974519632414,0.417659440143672,0.440369867480375,0.486480478156175,0.563270524068658,0.497511615087802,0.567185204564207,0.475972184916585,0.448094147440553,0.435186570653699,0.423139437593219,0.563480199750642,0.516856328434458,0.463721475486181,0.395119054145423,0.326323925508181,0.361671748345356,0.320514134034715,0.416027332957807,0.529947626794531,0.434170957661975,0.347568869605744
"AMERISTAND_427_TQ",1,2121140,1,35,0.488780545888389,0.410882632078456,0.478544337443006,0.607993870193817,0.352639753228176,0.40857201258332,0.442176580331376,0.462105508060689,0.526392592592593,0.569227162230531,0.503169051404346,0.557416388838578,0.475783837550131,0.450128794791104,0.456779345222252,0.451149671990008,0.582946431909087,0.541950035031144,0.471866187552462,0.412163640540313,0.336902483203371,0.378101201149093,0.341983365127425,0.461216705560473,0.569401870403669,0.464335696093774,0.382081870061457
"VERNAL",1,2121150,1,34,0.407133072084052,0.339482757899405,0.456745690977121,0.583847458265818,0.367305867613665,0.417926618905889,0.39772590504927,0.399466295968708,0.437220806100218,0.532680895366996,0.462181325710737,0.54439112729011,0.483515338137414,0.452810797266708,0.450547858783153,0.339058918253292,0.509482438259592,0.503766567811657,0.442007630242924,0.403916253648512,0.36047557619539,0.379953397288119,0.329484910231071,0.334689776129636,0.467260681565203,0.393355240861777,0.339686306148115
"HI-GEST_360",1,2121160,1,33,0.492318139376963,0.410558584711961,0.488795157393142,0.614670836944643,0.344216029833405,0.40640375448425,0.458726440247872,0.469999853999679,0.523548976608187,0.567673568935932,0.495613609120578,0.554874904688754,0.49308485145334,0.468042546764406,0.475025442703033,0.440327852880283,0.58107118590399,0.554988092153161,0.47093097681333,0.412854156858196,0.348015995872033,0.41019627123219,0.329923018794832,0.45622676055202,0.538407255187373,0.458163674859615,0.343269980121191
"55V50",1,2121170,1,32,0.511843575814164,0.418685077321026,0.493020200781042,0.61781462360729,0.349780529517165,0.392758857929137,0.391161456279418,0.429124561216892,0.51323082788671,0.578359061686349,0.496738877915348,0.551633092511723,0.486914701120599,0.468030780865005,0.460258409670174,0.396341980270369,0.564452298676898,0.550737682987425,0.476461641167523,0.416920833987231,0.384406219356054,0.419995538038224,0.275876172151794,0.442750194469032,0.558830664725861,0.458063978847215,0.356148058725978
