"plot_name","plot_id","accession_name","plot_number","block_number","is_a_control","rep_number","row_number","col_number"
"CU23-2-2124060","46028","REGEN","2124060","1","","4","4","46"
"CU23-2-2124070","46018","WL_349HQ","2124070","1","","4","4","45"
"CU23-2-2124080","46006","SW5606","2124080","1","","4","4","44"
"CU23-2-2124090","46118","GUARDSMAN_II","2124090","1","","4","4","43"
"CU23-2-2124100","46139","SEEDWAY_9558_SBR","2124100","1","","4","4","42"
"CU23-2-2124110","46021","SW5606","2124110","1","","4","4","41"
"CU23-2-2124120","46002","GUARDSMAN_II","2124120","1","","4","4","40"
"CU23-2-2124121","46117","BORDER","2124121","1","","1","4","39"
"CU23-2-2124122","45996","BORDER","2124122","1","","1","4","38"
"CU23-2-2124123","45997","BORDER","2124123","1","","1","4","37"
"CU23-2-2124130","46086","SW5606","2124130","1","","4","4","36"
"CU23-2-2124140","45977","PLUSS_III","2124140","1","","4","4","35"
"CU23-2-2124150","46047","WL_349HQ","2124150","1","","4","4","34"
"CU23-2-2124160","46079","SW4602Z","2124160","1","","4","4","33"
"CU23-2-2124170","46106","EZRA","2124170","1","","4","4","32"
"CU23-2-2124180","45972","LANDER","2124180","1","","4","4","31"
"CU23-2-2124190","46039","N-R-GEE","2124190","1","","4","4","30"
"CU23-2-2124200","46080","ONEIDA_VR","2124200","1","","4","4","29"
"CU23-2-2124210","46043","PERSIST_III","2124210","1","","4","4","28"
"CU23-2-2124220","46042","NY0465","2124220","1","","4","4","27"
"CU23-2-2124230","46121","ALGONQUIN","2124230","1","","4","4","26"
"CU23-2-2124240","46025","NY1615","2124240","1","","4","4","25"
"CU23-2-2124250","45985","LIGHTNING_BOLT","2124250","1","","4","4","24"
"CU23-2-2124260","46131","VERNAL","2124260","1","","4","4","23"
"CU23-2-2124270","46156","HI-GEST_360","2124270","1","","4","4","22"
"CU23-2-2124280","46027","SW4412Y","2124280","1","","4","4","21"
"CU23-2-2124290","45993","FSG_415BR","2124290","1","","4","4","20"
"CU23-2-2124300","46133","REBOUND_6XT","2124300","1","","4","4","19"
"CU23-2-2124310","45991","NY1517","2124310","1","","4","4","18"
"CU23-2-2124320","45994","NY2003","2124320","1","","4","4","17"
"CU23-2-2124330","46068","WL_358LH","2124330","1","","4","4","16"
"CU23-2-2124340","46127","SEEDWAY_9558","2124340","1","","4","4","15"
"CU23-2-2124350","46095","AMERISTAND_427_TQ","2124350","1","","4","4","14"
"CU23-2-2124360","46034","SW315_LH","2124360","1","","4","4","13"
"CU23-2-2124370","46062","ALFABAR","2124370","1","","4","4","12"
"CU23-2-2124380","46124","REGEN","2124380","1","","4","4","11"
"CU23-2-2124390","46101","ONEIDA_ULTRA","2124390","1","","4","4","10"
"CU23-2-2124400","46032","SW4107","2124400","1","","4","4","9"
"CU23-2-2124410","46104","NY1614","2124410","1","","4","4","8"
"CU23-2-2124420","46098","SEEDWAY_9558_SBR","2124420","1","","4","4","7"
"CU23-2-2124430","45959","GUARDSMAN_II","2124430","1","","4","4","6"
"CU23-2-2124440","46134","FSG_421LH","2124440","1","","4","4","5"
"CU23-2-2124450","46085","NY0651","2124450","1","","4","4","4"
"CU23-2-2124460","46053","SW5210","2124460","1","","4","4","3"
"CU23-2-2124470","46022","SW3407","2124470","1","","4","4","2"
"CU23-2-2124480","46137","55V50","2124480","1","","4","4","1"
