"Germplasm","Plot","Rep","Row","Range","gndvi_138","gndvi_145","gndvi_152","yld2","gndvi_160","gndvi_165","gndvi_173","gndvi_179","yld3","gndvi_187","gndvi_192","gndvi_201","yld4","gndvi_215","gndvi_223","gndvi_228","gndvi_237","gndvi_242","yld5","gndvi_257","gndvi_263","gndvi_278","yld6","gndvi_293","gndvi_299","gndvi_307","yld7"
"NUMEX_BILL_MELTON_CA_2019","137","3","5","6",-0.0465940024705853,-0.0262782603091207,-0.0744102517280661,-1.60033494558705,0.0136603634059286,0.0171139043702668,-0.0702713426259715,-0.0577010988693204,-1.3738275214447,0.0407378207815671,-0.0164339606533382,-0.0475275285180141,-1.11789540293549,-0.0112170429539768,-0.011843839255502,-0.0638841311248089,-0.0392041317339002,-0.155432589043207,-1.29912230691792,-0.032437976738094,-0.0585039742507472,-0.0320744750999825,-1.17878540046697,-0.0213999622812794,-0.0208330862946076,-0.0571943617196541,-0.667039106443072
"NUMEX_BILL_MELTON_CA_2019","138","4","5","7",-0.0209608153098889,-0.00732672310842626,-0.0421658966922492,-0.801707689639814,0.017281869106329,0.0274335408275791,-0.0625020687216699,-0.0424996925498784,-0.833700767722813,0.0537586238910213,-0.0141074058902047,-0.0329865331576559,-0.742021969517115,0.00978118672438445,-0.00311509439202664,-0.057169206662352,-0.0365224978487797,-0.15067352961554,-0.759948193122279,-0.0094410346503907,-0.046007038461484,-0.0170301776775111,-0.665286927112242,-0.00665621411173618,-0.0107936098862064,-0.0552723775269228,-0.277465392970479
"NUMEX_BILL_MELTON_CA_2019","139","4","5","8",-0.0142350546960916,-0.00818621954779034,-0.0393689812666276,-0.879406423657746,0.0247095360319796,0.0346074878279672,-0.0547934901359737,-0.0300820137876934,-0.751930204138736,0.0591860058215131,-0.0207341312134113,-0.0204291867811943,-0.663962209003541,0.0287911656517706,0.00627359740287679,-0.0467189124741155,-0.0247843929519791,-0.143909937565314,-0.689218565109773,0.00022884048555596,-0.0433930321479689,-0.0158318966910654,-0.596290386515209,-0.0101870109879205,-0.0151428446223268,-0.0671545224084209,-0.293509371764224
"NM1713PAR","140","4","6","8",-0.00328464769581827,0.00639577645151204,-0.0257839435509094,-0.743865604044689,0.0295196201591102,0.0447711334733199,-0.048893474647667,0.00909541930355053,-0.242012101541765,0.043544482996495,0.0104461137914282,0.0270671879683913,-0.0444167699077118,-0.00571185706541706,0.0240585385986583,-0.0144922023186095,-0.0326997850493603,-0.0752341420116911,-0.180434309559322,0.0089722155736009,-0.00701717127072607,-0.00462584783994509,0.0622196598226217,-0.00155439655176271,0.0127550163369619,-0.0422145319109632,-0.0333799825860786
"AFX_149092","141","4","6","7",-0.0228683658652946,-0.00586536673560245,-0.0428943537139889,-0.878163230887814,0.0312573770484162,0.0393373590885257,-0.051707553074559,-0.01353969059446,-0.376197615593007,0.0390956204580309,0.00226108944329381,0.00481340792455336,-0.228395113893125,-0.0271281944787695,0.0161072620749979,-0.0273933449612399,-0.0125916799691843,-0.0766075744990151,-0.211945083534392,0.0101264100859376,-0.0164233328893059,-0.00415741092647095,-0.0994650034009514,0.00272728727062297,-0.0042937336083949,-0.0453402362147402,-0.0343540238367623
"NM1705PAR","142","3","6","6",-0.0213890412093503,-0.0019896168906552,-0.0403133600594769,-0.89418400478862,0.02983174015953,0.0342101523949473,-0.0500267100541648,-0.00123287939947366,-0.354160151539607,0.0447379708539293,-0.0016027965128909,-0.000818746182080791,-0.205675552161306,-0.0303253221900106,0.0184540125643898,-0.0317086005679379,-0.00642104832582802,-0.0654580179277151,-0.14673961476665,0.0116998916763919,-0.00701452093526252,-0.000338151226907832,-0.169716505255082,0.00546771721192245,-0.00583844793081779,-0.0467368360354884,-0.157809920430143
"DONA_ANA","143","3","6","5",-0.0400053859084657,-0.0190603068959728,-0.0581995974465854,-1.26735988076921,0.0249493877141712,0.0171855476076721,-0.0620880399852384,-0.0284254931180938,-0.751564292836486,0.0137066010155235,-0.0199423660680517,-0.021015005026727,-0.460266579992014,-0.0166067443636552,0.0110816633181602,-0.0435448329266055,-0.00362901746492061,-0.0762500261528798,-0.394609151935428,0.0192060610844638,-0.0100760787464477,-0.00721703574142575,-0.48240811269764,0.000186787370110637,-0.0172234388761312,-0.0595520254277956,-0.416049755226124
"NUMEX_BILL_MELTON_FG2011","144","2","6","4",-0.0495081620520577,-0.0291827743492756,-0.0780554314897452,-1.70106610479275,0.0132908679453833,-0.000928545244584886,-0.0753309056754436,-0.0533363175611223,-1.49784288244029,0.0148540284597789,-0.0327083850540791,-0.0456428137342778,-1.03540180031222,-0.0205430694436827,-0.00660217538461237,-0.0657764869473468,-0.00386632971640264,-0.0989835706932714,-1.08798071567071,-0.0304214166871601,-0.0398816158607777,-0.0215830965958466,-1.05913807795368,-0.0201748164728641,-0.0284438351253691,-0.0613985158958096,-0.775457962555119
"SW_8888","145","2","6","3",-0.041927551145282,-0.0131755379335483,-0.0616793480011175,-1.34427249248756,0.0131917068652111,0.00474355968274581,-0.0607620510255456,-0.0416071952043991,-1.19157446680013,0.0268436607123897,-0.0219558371773072,-0.0339839475743475,-0.838800983886696,-0.00673708523949443,-0.00944996884209179,-0.0697335257235985,0.0153893308527136,-0.102551683641626,-1.01746524214288,-0.0136909786296115,-0.0393587126816633,-0.0140864447224102,-0.930115662677048,-0.0135955576353753,-0.0176724105710509,-0.0559742913881205,-0.518168045886532
"DONA_ANA","146","1","6","2",-0.0203707572881498,0.00117532305496305,-0.0301904112831092,-0.646321748520153,0.015863525027792,0.0160237530064344,-0.056497723234307,-0.0345230427051378,-0.740187166338683,0.0433878486541207,-0.01669320219678,-0.0270224690681486,-0.563140310431916,0.00964784780906373,-0.00465750663737678,-0.0651539106564483,0.0292908148954854,-0.103987427255033,-0.619099011705571,0.00341673387150045,-0.0304566443910503,-0.00253632115423465,-0.508662576339442,-0.00215809826185239,-0.0120427037221004,-0.0649773124867406,-0.241378089506457
