"","Harvest","Rep1","Rep2","Base","Spa(AR)","PEE","Model","Delta"
"41","YLD5","1","4",0.589354588644439,0.854174963652989,0.987724140736579,"AR",0.26482037500855
"42","YLD5","1","4",0.589354588644439,0.854174963652989,0.987724140736579,"RR",0.39836955209214
"43","YLD5","2","3",0.678981900995884,0.6505699846876,0.981019565370681,"AR",-0.0284119163082837
"44","YLD5","2","3",0.678981900995884,0.6505699846876,0.981019565370681,"RR",0.302037664374797
"45","YLD5","2","4",0.615250001192587,0.616562716713001,0.976907307305518,"AR",0.00131271552041434
"46","YLD5","2","4",0.615250001192587,0.616562716713001,0.976907307305518,"RR",0.361657306112931
"47","YLD5","3","4",0.870733724118894,0.749453422971496,0.982139598913884,"AR",-0.121280301147399
"48","YLD5","3","4",0.870733724118894,0.749453422971496,0.982139598913884,"RR",0.111405874794989
"49","YLD6","1","2",0.809872984836514,0.681114401455851,0.675899394933503,"AR",-0.128758583380663
"50","YLD6","1","2",0.809872984836514,0.681114401455851,0.675899394933503,"RR",-0.133973589903011
"51","YLD6","1","3",0.869540462795462,0.838601672184958,0.763794476151325,"AR",-0.0309387906105033
"52","YLD6","1","3",0.869540462795462,0.838601672184958,0.763794476151325,"RR",-0.105745986644136
"53","YLD6","1","4",0.878558864878068,0.873675708497738,0.848641025784502,"AR",-0.00488315638032966
"54","YLD6","1","4",0.878558864878068,0.873675708497738,0.848641025784502,"RR",-0.0299178390935654
"55","YLD6","2","3",0.881071185784498,0.863323395187924,0.898687112636884,"AR",-0.0177477905965742
"56","YLD6","2","3",0.881071185784498,0.863323395187924,0.898687112636884,"RR",0.0176159268523859
"57","YLD6","2","4",0.889609220402059,0.891086796378791,0.873604321146949,"AR",0.00147757597673204
"58","YLD6","2","4",0.889609220402059,0.891086796378791,0.873604321146949,"RR",-0.0160048992551097
"59","YLD6","3","4",0.931003538267497,0.871481525896689,0.909223503471218,"AR",-0.0595220123708077
"60","YLD6","3","4",0.931003538267497,0.871481525896689,0.909223503471218,"RR",-0.0217800347962791
