"","X.1","Germplasm","Rep","Plot","Row","Range","yld2","yld3","yld4","yld5","yld6","GNDVI_131","NDVI_131","GNDVI_138","NDVI_138","GNDVI_145","NDVI_145","GNDVI_152","NDVI_152","GNDVI_160","NDVI_160","GNDVI_165","NDVI_165","GNDVI_173","NDVI_173","GNDVI_179","NDVI_179","GNDVI_192","NDVI_192","GNDVI_201","NDVI_201","GNDVI_206","NDVI_206","GNDVI_263","NDVI_263","GNDVI_278","NDVI_278","GNDVI_293","NDVI_293","GNDVI_299","NDVI_299","GNDVI_307","NDVI_307","sca_yld2","sca_yld3","sca_yld4","sca_yld5","sca_yld6","GNDVI_153","GNDVI_182","GNDVI_208","GNDVI_279","GNDVI_311","spa_int_yld2","spa_slp_yld2","PEE_153","spa_int_yld3","spa_slp_yld3","PEE_182","spa_int_yld4","spa_slp_yld4","PEE_208","spa_int_yld5","spa_slp_yld5","PEE_279","spa_int_yld6","spa_slp_yld6","PEE_311"
"16",16,"NUMEX_BILL_MELTON","1","315","2","1",9.6,4.9,0.25,2.45,2.7,0.0738833129391168,0.419964573857416,0.177762828131694,0.476596237288279,0.376276209682443,0.601502120145587,0.410061973509363,0.590919701213819,-0.043238374016995,0.343825489117341,0.034865311304521,0.401096114433859,0.174144373241108,0.353598341116275,0.20725247140251,0.445297184224649,-0.0217578696382704,0.467181961222396,-0.0376382090836872,0.43877179460782,0.00783476815315693,0.446946784011367,-0.0856551130332033,0.475246221723606,0.101334829549054,0.445827627702394,0.118246598436018,0.391217727052273,0.0875412730677345,0.445956498406475,0.26642759536778,0.449084061485291,0.225444237515257,0.140196338928681,0.0248090583104039,0.118137330618574,0.186648548724199,0.225444237515257,0.140196338928681,0.0248090583104039,0.118137330618574,0.186648548724199,-0.00348114235742899,-0.00123069334978361,-0.00561276575847637,-0.0460604384660412,-2.07609341387284e-05,-0.0460963974586249,-0.0492214471988225,-0.00290873138451965,-0.0542595177203648,-0.117197143841637,-0.00626560515902951,-0.128049490269818,-0.0227536333686796,0.00254417471433242,-0.0183469935193804
"17",17,"NM1703PAR","1","316","3","1",9.25,5.05,0.35,2.7,3.25,0.0973086316940054,0.436465841380086,0.181356660790433,0.493526128400078,0.379167100401492,0.605941813114872,0.411873700097035,0.595520697942628,-0.0420755422232023,0.39534076154241,0.0729942895143101,0.421800491727258,0.143200062808757,0.389596111949053,0.200973220371664,0.451427763641504,-0.015703706837643,0.466533781637771,-0.0367757998903384,0.442359099640045,0.00694026864600618,0.445209020118939,-0.0885501235151445,0.481594409265632,0.120039281235734,0.463860395976038,0.117764977109866,0.446121009564077,0.117938481210783,0.43796623844101,0.280409387848199,0.481864713756989,0.217224916355847,0.144488063589763,0.0347326816345654,0.130192160273531,0.224669549390239,0.217224916355847,0.144488063589763,0.0347326816345654,0.130192160273531,0.224669549390239,-0.000199070622872772,-0.00283728871889535,-0.00511339881826643,-0.0556417580393813,-1.54833534632972e-05,-0.0556685759941341,-0.0688683598156641,-0.00136731782043616,-0.0712366237404048,-0.115750105575369,-0.00618507389115501,-0.126462967756603,-0.0330220792486007,0.00370591356376995,-0.0266032486957421
"18",18,"AFX_779","1","317","3","2",9.8,10.25,2.25,7.25,5.25,0.104966369997962,0.43157173876183,0.177449825042017,0.508415106615799,0.390908804613227,0.610788117574986,0.418374035941185,0.60575543797766,0.0314811845878653,0.256902649151353,0.172563409651493,0.434630780948332,0.300141874923271,0.49801364823603,0.382868903380892,0.586561636384213,0.105698113815553,0.452970948561062,0.18456025480268,0.419494568159938,0.150023240979244,0.3626281949094,0.0819829884867581,0.464583525080534,0.407986506094074,0.615231776763986,0.233013972435355,0.477040832611283,0.196105078344506,0.486539732258571,0.39369143081268,0.571502780216564,0.230140992463492,0.293267851840608,0.223281524793635,0.349590059993741,0.362927733630386,0.230140992463492,0.293267851840608,0.223281524793635,0.349590059993741,0.362927733630386,0.00872617279127875,-0.00209079838778652,0.0051048037710744,0.040760003366038,3.60958624034814e-06,0.0407662553527733,0.0756223177586761,0.00565722765866187,0.0854209234506435,0.0840892242332293,0.00449746531787648,0.0918790626350296,0.0543210369054305,-0.00610259050856541,0.0437510401329974
"19",19,"NM1703PAR","2","318","3","3",8.6,9.8,2.55,7.15,5.3,0.0879192252903059,0.395422916039054,0.14675946375544,0.495601776155409,0.347298423156591,0.591423320400245,0.402321492929707,0.60646669491905,-0.00644472707318832,0.379954670517541,0.146281095538201,0.435901365392109,0.263920231774976,0.473188033972348,0.364563573079338,0.583935614333984,0.112714510142057,0.451670759718457,0.223060859802794,0.438718928278941,0.192276261555033,0.412716299802169,0.100660842160195,0.468040078675886,0.381446854658797,0.621470020297599,0.236381018255902,0.480591684007545,0.198240959352237,0.516425610862571,0.384282646589334,0.571729411059515,0.201960462774085,0.280392677857362,0.253052394766119,0.344768128131758,0.36638418823639,0.201960462774085,0.280392677857362,0.253052394766119,0.344768128131758,0.36638418823639,0.0094457841854639,-0.00240266779046633,0.00528424151685246,0.0345912927423381,3.3722491997642e-06,0.0345971336492623,0.0596962271283274,0.00736692138582734,0.0724561092081867,0.049212666249968,0.00263195209787173,0.0537713409866484,0.0500534700806944,-0.00562397281734896,0.0403124634632268
"20",20,"SW_9720","2","319","3","4",8.2,8.5,1.95,6.1,4.75,0.0689927744565531,0.380451913785412,0.109696551586604,0.461583414662999,0.320851389566178,0.547965741330226,0.371431655460738,0.574652626482692,-0.0184957386673906,0.378089931879976,0.117706217046335,0.422978904298847,0.234901972558321,0.433849464738991,0.334812555155932,0.551430720247764,0.0757345587937577,0.413754334807098,0.149645110200005,0.402351531407701,0.13055382382224,0.352516019888869,0.0457157494160137,0.447949500724552,0.36324944900135,0.577966867065512,0.188293377022102,0.44655296032734,0.171164339375273,0.462568460708272,0.356573448363625,0.523240415569213,0.192566952877616,0.243197730794651,0.19351065482115,0.29413784358094,0.328363187570349,0.192566952877616,0.243197730794651,0.19351065482115,0.29413784358094,0.328363187570349,-0.00107835600755457,-0.00362299103804522,-0.00735356053339363,0.0144705910464259,-2.57729541010591e-06,0.0144661270398489,0.0239608533983445,0.00380060291771471,0.0305436907224546,-0.000503755513057015,-2.31341931050766e-05,-0.000543825110732018,0.0211174429089768,-0.00237359939539479,0.0170062481773037
"21",21,"SW_1011","3","320","3","5",8.35,9.05,1.9,6.3,5,0.0848451495500128,0.377226254273211,0.14488180409887,0.488146711676123,0.345477771640965,0.564277248575558,0.393637129043965,0.597677011497259,-0.00553779052878137,0.330218530024565,0.153677337595154,0.430876882829778,0.254779839199105,0.442873396272089,0.345317661237282,0.554714401074726,0.0694650967765421,0.417030294035192,0.145694930767387,0.408015648433348,0.116807769572849,0.358029027890008,0.0587680341047269,0.443464651585923,0.369908587294142,0.587861442956832,0.2142263000638,0.460412750644923,0.179731592753004,0.479127193606916,0.365767202632143,0.542030470416586,0.196089519088791,0.258934054551952,0.188548843159069,0.303781707304906,0.345645460600368,0.196089519088791,0.258934054551952,0.188548843159069,0.303781707304906,0.345645460600368,0.00503685733408022,-0.00314080508629144,-0.00040317662827494,0.0216055634500864,-3.31139211612128e-06,0.0215998279507225,0.0284275486290469,0.00206522705387684,0.0320046267998959,0.0373712009104138,0.00200068417046378,0.040836487528413,0.0336208970473479,-0.00377822817491746,0.0270768139143996
"22",22,"NM1715PAR","3","321","3","6",6.5,6.7,0.85,4.1,2.6,0.100138785288923,0.415358187603813,0.125274221295376,0.490421296723818,0.339588863451627,0.551753374414908,0.355821737459392,0.568318981913753,-0.0500922322387088,0.287011363364894,0.0831400431883829,0.430679100908656,0.215119352147717,0.415732443071037,0.297305082941199,0.517166080731306,0.0394845579687393,0.414148969958492,0.0706912862507152,0.417486883121822,0.0976790700421626,0.34666652007967,0.0091132656091873,0.449645109769633,0.322459280913645,0.533548621739247,0.118976403397953,0.451540749702033,0.137693095078707,0.433997461014375,0.327778004717493,0.491440382122998,0.152644535817622,0.191697034861666,0.0843507982553731,0.197699206341288,0.179735639512191,0.152644535817622,0.191697034861666,0.0843507982553731,0.197699206341288,0.179735639512191,0.00304969129093992,-0.00607018323127347,-0.00746417443093389,-0.00103393303721228,-1.63871131834221e-06,-0.00103677136846218,0.0154762914225138,-0.00131872146475366,0.01319219885451,0.00604773400604427,0.000324300930196318,0.00660943969163154,0.013768344084014,-0.00154753074162376,0.01108794222496
"23",23,"AMERISTAND_803T","4","322","3","7",9.1,9.05,1.95,6.05,5.1,0.105791564927785,0.416054528603482,0.175703073443327,0.495286668589004,0.369280627631829,0.581959142652364,0.427510499308855,0.624318066710079,-0.0178978662180388,0.29464021499532,0.145956819309679,0.434521528379312,0.272161515647511,0.454220233305201,0.373885254706829,0.559635621605353,0.07366800713197,0.418168542064055,0.127994975858077,0.412620407475204,0.143517819284556,0.35758191266668,0.0624451732416122,0.455346374440708,0.385279258796351,0.587717011307388,0.228827912987885,0.468499233575989,0.198576021862443,0.49620383249185,0.399767766968535,0.56404934928476,0.213702350144671,0.258934054551952,0.19351065482115,0.291726877649949,0.352558369812375,0.213702350144671,0.258934054551952,0.19351065482115,0.291726877649949,0.352558369812375,0.0188568165505988,-0.00334361969020842,0.0130654973912776,0.0162557542427791,-2.03819922630817e-06,0.0162522239781786,0.0295961979352865,0.00109774762897484,0.0314975525942505,-0.00236900935930577,-0.000122631620797728,-0.00258141355621378,0.0299074331043947,-0.00336042469996828,0.0240870068144749
"24",24,"NUMEX_BILL_MELTON","4","323","3","8",7.9,7.3,1.25,4.6,3.6,0.0907223498475816,0.336687787364127,0.156133977834869,0.494439998221511,0.360337321916189,0.582586777819153,0.424627108368149,0.618598056506553,-0.0528694535011478,0.350616654766234,0.0617627135252168,0.424508127434216,0.222814849173897,0.429553581282419,0.361085820399975,0.54843346065219,-0.00869306133996278,0.360866952144843,0.0563983519087029,0.394559423619929,0.0635124844702854,0.325833734468197,0.0274842978245954,0.44140642136187,0.332332599107236,0.547023104855868,0.162185434425817,0.439543430823713,0.175173947162478,0.471836057102965,0.34705614886853,0.513041062196023,0.185521820455264,0.208863933505994,0.124045291552019,0.221808865651201,0.248864731632265,0.185521820455264,0.208863933505994,0.124045291552019,0.221808865651201,0.248864731632265,0.00959680001196896,-0.00538001178192531,0.000278346301075807,0.00659585385425456,-4.31038820056921e-06,0.00658838804292346,-0.0233290362871016,0.000675650010979091,-0.0221587761450652,-0.0353776716248742,-0.00189070842910184,-0.0386524746720668,0.0258705900550205,-0.0029129290459457,0.020825248970647
"25",25,"AFX_779","4","324","4","8",9.3,8.95,1.8,6.2,4.45,0.099912596027239,0.376784682473443,0.185290579200098,0.49546604966773,0.368381711492009,0.58549572167033,0.448934372799032,0.628575218525295,-0.0420052504649367,0.41917241181665,0.147461199380176,0.435532106640068,0.233303772994775,0.453771842695803,0.397275799315496,0.575820327203496,0.0292320735407433,0.376666648187878,0.0980046760342353,0.405488266921167,0.101614295112135,0.35506284001312,0.0726296089266168,0.460773346565841,0.360395347302569,0.577185037393347,0.188257231619955,0.462544247228227,0.194449974737164,0.492938292427379,0.367006783644032,0.526167003395496,0.218399105092905,0.256072904777897,0.178625219834908,0.298959775442923,0.307624459934327,0.218399105092905,0.256072904777897,0.178625219834908,0.298959775442923,0.307624459934327,0.0259833711696526,3.61043889150657e-05,0.0260459058053564,0.0239863997591833,2.21686812442113e-06,0.0239902394873917,0.00271666757514386,0.00389141084492393,0.00945678884222304,0.0176622000681545,0.000947187482541816,0.0193027769050411,0.0288069406733161,-0.00323591887450017,0.023202164798003
"26",26,"NM1702PAR","4","325","4","7",7.6,7.6,1.45,5.85,4.3,0.0552336400289465,0.391865722292315,0.115769279414466,0.449621216007771,0.32082092910651,0.552132958554057,0.379418193304079,0.588625376076356,-0.0500771126242958,0.404720732965844,0.106489837166932,0.423972076715806,0.195488152526645,0.419182393407644,0.328507122201859,0.528064843513276,0.0539463353223698,0.420106456091731,0.0950432351890143,0.41071665409932,0.122798947265227,0.35291497404494,0.046979041644735,0.453935193957933,0.340984789439911,0.573608212528548,0.180207681580164,0.457514502749381,0.168547630807352,0.495057881652009,0.359031427652043,0.539281533508926,0.178476688032912,0.217447382828158,0.143892538200342,0.282083013925984,0.297255096116316,0.178476688032912,0.217447382828158,0.143892538200342,0.282083013925984,0.297255096116316,-0.0118243346607808,-0.00133566423631497,-0.0141377729698216,0.000208233736190135,-2.06203313726995e-06,0.0002046621900451,0.0260337850165296,-0.000406663857495171,0.025329422556824,0.00162383602608232,9.17538939570252e-05,0.0017827584315137,0.0221662309598792,-0.00249078385396428,0.0178520667929933
"27",27,"NUMEX_BILL_MELTON","3","326","4","6",9.05,8.4,1.85,5.9,4.5,0.0657940691788373,0.369191077577771,0.124360112472825,0.462656712760519,0.335975024124425,0.585803633276876,0.380373353748639,0.594130395085464,-0.0797276047281118,0.369581244391426,0.0763386670547786,0.423448740495752,0.185516233103661,0.420251076040172,0.312288647640897,0.531775571410357,0.047340008059671,0.413451234521527,0.115546199889935,0.406491799690407,0.139765776509064,0.360158079598142,0.0362189791469402,0.450747384961687,0.341179779379661,0.580360714515006,0.146815570607321,0.459135314903347,0.152002396821973,0.470847616648596,0.345679395057332,0.534220601285955,0.212528161407612,0.240336581020596,0.183587031496988,0.284493979856975,0.311080914540331,0.212528161407612,0.240336581020596,0.183587031496988,0.284493979856975,0.311080914540331,-0.00324790953792621,-0.00146928826113709,-0.00579279144605931,0.00383482702232575,-1.43582065216538e-06,0.00383234010801651,0.0278090781323232,0.00339008729171469,0.0336808815380074,0.0108431707900655,0.000583912062046518,0.0118545361442629,0.0211480541054127,-0.00237303378577987,0.0170378390383256
"28",28,"AFX_149092","3","327","4","5",9,9.1,1.6,6.45,5.3,0.0830000713081513,0.383427742686362,0.17698005086766,0.477656353642513,0.363389718177011,0.591792293801327,0.42995801469593,0.620761489781098,-0.0122419034240362,0.354074209915031,0.192844808038454,0.437535337791365,0.241300530754824,0.451198646894486,0.363641574158647,0.573574038040435,0.0904599566654912,0.410353715122243,0.147169970484327,0.406590298008423,0.117505788718017,0.363305759369166,0.0835853381012915,0.458557440948138,0.358396642155427,0.590972044239082,0.234132623533041,0.479312875166128,0.196807474721457,0.509376620473439,0.366802569119848,0.551246219880987,0.211353972670554,0.260364629438979,0.158777973186585,0.31101460509788,0.36638418823639,0.211353972670554,0.260364629438979,0.158777973186585,0.31101460509788,0.36638418823639,0.0161459777394044,0.000478821644577067,0.0169753211519514,0.0388912753422888,-8.09506959272362e-06,0.0388772542705247,0.0415033555200749,-0.00350956674978915,0.0354246076234492,0.0337615057644931,0.00180533681301263,0.036888440835741,0.0531824535598778,-0.00597575298784476,0.0428321458166789
"29",29,"AFX_149092","2","328","4","4",8.6,10,2.3,7,6.1,0.0573611239651172,0.383466263677833,0.15054500373508,0.467826076509035,0.339521189428378,0.576912635587214,0.410611582690584,0.600721986211459,0.0015888745317133,0.393823359251438,0.188116857198342,0.451099561645274,0.240936800334492,0.464331199646838,0.362682483937581,0.578698677838937,0.134656635658733,0.43927706957935,0.205098871286312,0.428527969534155,0.172245708365398,0.394974997755387,0.0828752038824648,0.454131562766313,0.365690374124785,0.59895633008849,0.251322817630343,0.483263011845615,0.211356502548146,0.524873558885433,0.384316611556073,0.567420339831671,0.201960462774085,0.286114977405472,0.228243336455715,0.337535230338784,0.421687461932448,0.201960462774085,0.286114977405472,0.228243336455715,0.337535230338784,0.421687461932448,0.00430119048544912,0.00162021201318941,0.00710747999906345,0.042222246893501,-5.92290129065129e-06,0.0422119881275822,0.0813740815378202,0.000923631635814713,0.0829738584515383,0.0414332793240401,0.0022184721665681,0.0452757858149221,0.0691382541818568,-0.00776299697541705,0.0556923490601881
