"Germplasm","Rep","Plot","Row","Range","GNDVI_73","GNDVI_88","GNDVI_95","GNDVI_101","GNDVI_107","GNDVI_117","GNDVI_131","GNDVI_138","GNDVI_145","GNDVI_152","GNDVI_160","GNDVI_165","GNDVI_173","GNDVI_179","GNDVI_187","GNDVI_192","GNDVI_201","GNDVI_206","GNDVI_215","GNDVI_223","GNDVI_228","GNDVI_237","GNDVI_242","GNDVI_257","GNDVI_263","GNDVI_270","GNDVI_278","GNDVI_283","GNDVI_293","GNDVI_299","GNDVI_307"
"NM1704PAR",1,330,4,2,-0.0109656296386758,0.184438610689181,0.22226102514626,0.303304314545432,0.382590387495164,0.428307185581908,0.0488273268149331,0.132458736218432,0.342690591517043,0.390106094932862,-0.000274974581066644,0.114928594282757,0.234713517399649,0.359157517756791,0.0642389970108589,0.0844026818733296,0.149845345092269,0.139313251344718,0.0528323892602159,-0.00227234049732267,0.0433875218821464,0.0825467482587989,0.107537071311191,0.0475800263812638,0.0987348708701418,0.213433494139796,0.39598822212567,0.077816819377378,0.213624147423803,0.171147763149968,0.348298572520045
"TMA_990",1,331,4,1,-0.0476447154600955,0.195321088885394,0.228801221713098,0.333991255958204,0.409325519297099,0.474984836972825,0.0766386382816179,0.193473465386592,0.39210644711876,0.429823494987879,0.0179105062503483,0.153826421325951,0.220809716276354,0.347000419193034,0.0349641695560698,0.0129466403613004,-0.0111835010974813,0.034381275150696,-0.00411452495112648,-0.0355673265643281,0.0147367189400401,0.0833959758051415,0.0363278970520001,-0.0578242647158484,-0.0268615659518004,0.20252327494144,0.317491138630081,0.00378789178995611,0.239401008982933,0.202631450610266,0.326186744975129
"NUMEX_BILL_MELTON_CA_2019",1,332,5,1,-0.0377659044541567,0.198755732126448,0.227437590019501,0.341458700784879,0.404867418183187,0.479137246017759,0.0890501980111637,0.185918372216576,0.405529343379506,0.441027703672139,-0.00523566873913546,0.118268408695408,0.231447483207693,0.381397853356804,0.0475763023888131,0.0336793411673809,0.0424064288712586,0.078006949758483,-0.00225077814046735,-0.0353108489184587,0.0168471481845701,0.0326286809644487,0.0812466744772917,-0.0419807222460582,-0.0129523807529022,0.186762524313706,0.344138522556543,0.0296655681679482,0.164254598231073,0.172712800547256,0.309640979705169
"NUMEX_BILL_MELTON_CA_2019",1,333,5,2,-0.011114428089191,0.173058416198777,0.206328156257957,0.310155419356478,0.364432043137029,0.44301236062292,0.0705146955096147,0.157281585277287,0.363158705099529,0.410851427090131,-0.0252055987189941,0.0989145948936223,0.21343646437909,0.360671795893229,0.0675631797896927,0.0752230131574187,0.118253859754235,0.141777691933803,0.0522570596021456,-0.00143399747393859,0.0387098494567584,0.0748240451086964,0.115804026713798,0.0394496031258564,0.0856799312770169,0.161172123029647,0.39232358287138,0.0812524133309909,0.175386681538304,0.163953754503762,0.288184528322789
"NUMEX_BILL_MELTON_CA_2019",2,334,5,3,0.0165296757286091,0.179577593206842,0.211288051353053,0.294237924625342,0.352867581319663,0.406218125757058,0.0479974157015256,0.1253690256457,0.315961462108367,0.394138509165836,-0.0628190584792107,0.0841412969337358,0.180377438764967,0.354752691134862,0.0602882135815185,0.0788526226741132,0.163732827951175,0.177092367492567,0.0569339990656526,0.00349716079599951,0.0401609582043101,0.0701750358532031,0.076664551066305,0.00506632861771592,0.0367952305064333,0.143005862390381,0.341462002466377,0.0752224979762811,0.143182693314435,0.154829317858036,0.267981365251008
"NUMEX_BILL_MELTON_CA_2019",2,335,5,4,-0.0132166448474367,0.160389820951961,0.206618661111909,0.281271161019768,0.329521579802554,0.391955957019175,0.0392168872622973,0.106444478354939,0.319446059003244,0.381277580790358,-0.0723131774161878,0.0863863776496064,0.175177977274395,0.330565290263599,0.059152463169366,0.0634471966656443,0.11170627486931,0.138282159797768,0.0533606266405591,4.31241352781337e-05,0.0352673812223465,0.0666317611840115,0.100707970333545,-0.015359641639266,0.0295040239792401,0.153546505160189,0.311967862818762,0.0649064132541908,0.13347442822299,0.1567821547302,0.277443014413146
"NUMEX_BILL_MELTON_CA_2019",3,336,5,5,-0.0137262434793111,0.196942405372785,0.271468668538297,0.365700526993297,0.391520969720636,0.458945818668787,0.064896134742629,0.14608048412366,0.360498914850653,0.42506199297398,-0.0820035713282898,0.0880653661387238,0.188062852921886,0.345468072790987,0.0386798294354295,0.0335904762829226,0.0809464220859971,0.0939482424821401,0.0475092149165049,-0.00653372811810684,0.0266087323723152,0.0627510447258665,0.107109030622729,-0.021171234368126,0.0460410432806144,0.0908474359773669,0.342406047983617,0.0745044204539136,0.162472342370607,0.176390557743772,0.313758159387468
"NUMEX_BILL_MELTON_CA_2019",3,337,5,6,-0.0172851630166528,0.18077222403313,0.263231717598946,0.345739997488419,0.370609623186422,0.43597730018357,0.0630203058558285,0.11180317846272,0.333945558254803,0.379907236194975,-0.0935890242487482,0.0739996338675327,0.166500053931163,0.313205114947779,0.058264677659627,0.0442458620402671,0.0922054848787788,0.143273940149646,0.0143909259235346,-0.009504266031141,0.0243692602799187,0.0648229861590592,0.0898641191561184,-0.00768353293268228,0.0528298386404637,0.101937897554889,0.333020533618768,0.0596647872422916,0.138587993986424,0.150801986107197,0.287219555107157
"NUMEX_BILL_MELTON_CA_2019",4,338,5,7,-0.0149638220981445,0.186349562971026,0.255802219228605,0.327693198300483,0.353983579628775,0.434843971211209,0.0611921124704362,0.123943367796962,0.328442141537829,0.393101533615408,-0.0912037045969803,0.0774313600517667,0.170903085640304,0.323347047436582,0.0604022879824189,0.0361170536589659,0.0679837854321144,0.138003748101072,0.034987068193185,0.00541419482526425,0.0281698483004489,0.0804513756537715,0.0955818918241963,-0.00134028900819114,0.0539441493446205,0.103325900000039,0.333490668037397,0.0476881291385975,0.152018476997267,0.165046324188439,0.309066339177639
"NUMEX_BILL_MELTON_CA_2019",4,339,5,8,-0.0219377746410581,0.189592024912186,0.27103085982604,0.331816431322208,0.35359039872872,0.457257900567927,0.0720929315938774,0.148640519490867,0.347236613685041,0.415832205611062,-0.0871582011508968,0.0896600892846977,0.177419108267905,0.374216471876651,-0.0157044292562984,0.0300681916734005,0.0921147605886973,0.102703607692229,-0.00642173316153924,-0.016671070099387,0.0111516421416893,0.0847617471095346,0.041158353223442,-0.0221234875097402,0.0656125129235685,0.10468733108423,0.338586602659011,0.0397466643315994,0.170660288754508,0.192329981473517,0.31904835652175
