"Germplasm","Plot","Rep","Row","Range","ndvi_145","ndvi_152","yld2","ndvi_160","ndvi_165","ndvi_173","ndvi_179","yld3","ndvi_192","ndvi_201","ndvi_206","yld4","ndvi_263","ndvi_270","ndvi_278","yld5","ndvi_299","ndvi_307","yld6"
"NM1703PAR","373","4","10","7",0.00861923220775429,0.0140964608972882,1.13870511777196,0.0166912224916548,0.00366081948351237,0.0176119153687049,0.0230166091804298,2.28623014455443,0.0114672354143043,-0.00136102201708818,-0.047453997513208,0.716631320176291,0.00243821353721524,-0.0291974835900343,0.0776838022828701,1.72276754963512,-0.00562889695771854,0.0205402502637098,0.61945226261275
"MESQUITE","374","3","10","6",0.0103943642271571,0.0177841159355857,1.24992310778924,0.046144462947271,0.0025111680444317,-0.00154650092809021,0.00127653481587561,1.83579253668221,0.00982097159759801,-0.00665568052876883,-0.016368433645566,0.335417027239487,0.00916320573242256,-0.0250582920637871,0.038592281548936,1.163170590863,-0.00504180843576766,0.00628776360521844,0.469728090749705
"TMA_990","375","3","10","5",0.00064398361188066,0.0048467226006718,0.873007054511073,0.108419322573353,0.000943857949258598,-0.0112573864508204,-0.00815667726061339,1.16206859755048,0.0108019675490207,-0.000443231781549405,-0.0117092063004676,0.035281542823653,0.000153266278898105,-0.028490724620182,0.00823589918240872,0.491614109996403,-0.000975386271650003,-0.008836258354537,0.230715285018769
"TMA_990","376","2","10","4",-0.00212372544593628,0.00621644096017902,1.06463306380911,0.11095781575397,0.00550072300893711,-0.0203313647056739,-0.0401743134946114,0.646388712599018,0.0396508274831609,0.00903632774970613,-0.00274422274347963,-0.168123053762875,-0.00534280176567358,-0.0219380928998369,-0.0153835323959334,-0.175478712833592,0.00072188449965107,-0.0199369016636986,0.167361349176589
"NM1704PAR","377","2","10","3",0.000266829823513022,0.00901970635597034,1.14214741849821,0.0951399721333284,0.00622834239952926,-0.00992798801887879,-0.0287600187194571,1.52404672723975,0.0357667437924393,0.00109836521930046,0.00180049833962561,0.170626917397108,-0.0073736839830921,-0.00665358965104715,-0.0186684347456144,-0.0840291119108033,-0.00960310876410048,-0.023200196753167,0.0271029761894239
"NUMEX_BILL_MELTON_FG2012","378","1","10","2",0.00109664091042248,0.0013434443561734,0.836764078744735,0.0735550278569744,0.00432317280669523,0.00302766229907729,-0.00643581946530486,1.74874882502405,0.0133619070875021,-0.00790729438059268,-0.00875399373810794,0.483275202037397,0.00300375333155936,-0.000538846753936508,0.0280043844703136,1.02419902903219,-0.00661859583900607,-0.00411729073720748,0.287359045085362
"AMERISTAND_803T","379","1","10","1",0.00118625648175105,-0.0130867765690199,-0.0397566328144811,0.129053342188955,0.00276233834268301,-0.0126491661548759,-0.0187195246229171,0.334056361104675,0.0181083052771235,0.00511432996676981,0.0043037678466421,0.526583282922358,0.00762476064545389,-0.00555364631907837,0.0186920735943047,0.74180214806325,-0.00323874439890632,-0.0108409101850786,0.0411879590387267
"NUMEX_BILL_MELTON_CA_2019","380","1","11","1",0.0175852702804921,0.0193048350059941,1.02220317866978,0.00914742378612314,0.00603962964484304,-0.00144600162971646,0.0341825170926902,2.18809973010519,0.0151963671304871,-0.000197071778009578,-0.0197757415735837,0.0581286864514726,-0.00796057960184992,-0.0315356099624318,0.0460706049290697,1.17098137651643,-0.0136262317551571,-0.0120356370876603,0.592694323212392
"NUMEX_BILL_MELTON_CA_2019","381","1","11","2",0.00578019660773134,0.00563469538796494,0.317000046938387,0.0285234635359863,0.00651182108516432,0.00204140622247995,0.011351248779494,1.50563117460385,0.0125991583592896,-0.0020055925658965,-0.0568255242366658,0.372535296971861,-0.00317703470284096,-0.0441232401492346,0.0587341418069859,1.24329041500641,-0.00965056628265405,0.00366687576527511,0.310047823487666
"NUMEX_BILL_MELTON_CA_2019","382","2","11","3",0.00877940625335024,0.0146014569605727,0.608229923674924,0.000658016338213284,0.00472232289618584,-0.0100121155834571,-0.00226805950441137,1.42170103595178,0.0101557599692801,-0.00749004387566788,-0.0287693161276054,0.11083614035308,-0.000585055979354644,-0.0408786495069828,0.0165967503006757,0.402139295685164,-0.0103640469743065,-0.0151279105130444,0.0636675592581677
