"Germplasm","Rep","Plot","Row","Range","NDRE_73","NDRE_88","NDRE_95","NDRE_101","NDRE_107","NDRE_117","NDRE_131","NDRE_138","NDRE_145","NDRE_152","NDRE_160","NDRE_161","NDRE_165","NDRE_173","NDRE_179","NDRE_187","NDRE_192","NDRE_201","NDRE_206","NDRE_215","NDRE_223","NDRE_228","NDRE_237","NDRE_242","NDRE_257","NDRE_263","NDRE_270","NDRE_278","NDRE_283","NDRE_293","NDRE_299","NDRE_307"
"NM1702PAR",1,226,16,2,0.435195729,0.40519958,0.403241645,0.384781264,0.393120838,0.447994174,0.328655996,0.384994611,0.333686137,0.474905702,0.546050204,0.50622435,0.412423083,0.330293093,0.319262475,0.278775263,0.417426375,0.286133904,0.427855011,0.276099568,0.362394735,0.37396095,0.373815197,0.377948966,0.302682783,0.369029681,0.350903815,0.371891175,0.470778286,0.372812228,0.270060851,0.29534244
"SW_9813",1,227,16,1,0.430151687,0.416173587,0.391364593,0.37884419,0.39869204,0.449140673,0.385430398,0.368071861,0.361972619,0.428149548,0.470432815,0.503032376,0.407863507,0.328366599,0.369899953,0.419648496,0.412972583,0.312996502,0.432932051,0.28587312,0.358918993,0.375092466,0.372461966,0.356559072,0.302721381,0.383336141,0.406751004,0.348848199,0.450711777,0.373474441,0.281949549,0.318429019
"NUMEX_BILL_MELTON_CA_2019",1,228,17,1,0.435501091,0.409292099,0.354914781,0.371008913,0.401913184,0.409641772,0.383319063,0.375255396,0.356029302,0.417734555,0.608916043,0.525284998,0.433594159,0.27548644,0.337537258,0.432156352,0.394583475,0.298438912,0.407917892,0.276516083,0.348513419,0.344124876,0.41885205,0.30557096,0.288149925,0.367386012,0.400424702,0.363329075,0.481425854,0.393923319,0.276728183,0.300505351
"NUMEX_BILL_MELTON_CA_2019",1,229,17,2,0.432467389,0.407094799,0.374453138,0.364995037,0.404300962,0.4138575,0.339593621,0.354389967,0.353385626,0.464362945,0.625826792,0.477815777,0.424982022,0.292320016,0.324106582,0.306563936,0.416050959,0.290242091,0.418739166,0.290254814,0.345977883,0.348983462,0.418748873,0.280856086,0.2897002,0.377211951,0.359735326,0.394891837,0.48748104,0.390555939,0.274919479,0.319486562
"NUMEX_BILL_MELTON_CA_2019",2,230,17,3,0.437451414,0.414096445,0.367481456,0.364088891,0.401531426,0.406598136,0.262523191,0.379650756,0.361688829,0.488353589,0.609748726,0.454765162,0.432622611,0.289164289,0.331540521,0.314140208,0.425624176,0.291351742,0.389323413,0.282726505,0.348870671,0.362388186,0.411635222,0.22939849,0.321170241,0.362585614,0.29432377,0.368367997,0.485624399,0.39426009,0.267945584,0.30662566
"NUMEX_BILL_MELTON_CA_2019",2,231,17,4,0.430592079,0.415271942,0.374468109,0.36435779,0.398704469,0.393874675,0.201211201,0.397402331,0.363757322,0.481701255,0.570719854,0.456680347,0.434778681,0.336635383,0.348204139,0.461596589,0.43668649,0.276747955,0.414484447,0.264062083,0.364229383,0.35776065,0.406021348,0.267105235,0.328022781,0.367549844,0.302428813,0.376687328,0.486701297,0.375624682,0.277754125,0.287127605
"NUMEX_BILL_MELTON_CA_2019",3,232,17,5,0.415027813,0.403352839,0.364093593,0.358584752,0.396275438,0.409255795,0.190676932,0.357805034,0.348533916,0.450010937,0.530937118,0.458002736,0.422230193,0.300900044,0.331271361,0.474681751,0.427154179,0.289081101,0.440137786,0.36797056,0.347164621,0.348020886,0.42448401,0.346142434,0.300386432,0.379239526,0.296627869,0.331179819,0.47661918,0.379801057,0.28530696,0.255079121
"NUMEX_BILL_MELTON_CA_2019",3,233,17,6,0.418914698,0.410411174,0.389811902,0.393362233,0.438526949,0.447211039,0.209839269,0.353971343,0.399178369,0.511877861,0.534986119,0.490857273,0.41815477,0.271136188,0.37960496,0.469250988,0.407870622,0.296250099,0.454024751,0.407396336,0.347337134,0.327940528,0.413142414,0.368736685,0.30527989,0.387453868,0.285975253,0.363654875,0.465953717,0.353934027,0.304288742,0.294740651
"NUMEX_BILL_MELTON_CA_2019",4,234,17,7,0.438828184,0.407836639,0.37208479,0.378546628,0.397429103,0.413125552,0.21795605,0.407004885,0.36124478,0.442190724,0.535347875,0.541313269,0.423625657,0.278647405,0.330202163,0.434353335,0.415706171,0.261121367,0.419689276,0.395513659,0.362735748,0.332311234,0.373263119,0.308820165,0.285741924,0.366646609,0.328560136,0.27235199,0.470593984,0.372449866,0.271170317,0.290808214
"NUMEX_BILL_MELTON_CA_2019",4,235,17,8,0.44947324,0.410902198,0.392837763,0.386086143,0.420378738,0.422492963,0.240507905,0.409838893,0.374853752,0.444989743,0.553628224,0.560237118,0.429947748,0.300143195,0.343827622,0.247638209,0.424908824,0.276396858,0.411082081,0.335789282,0.386619296,0.350313089,0.381208682,0.306478885,0.295938756,0.383449358,0.307470666,0.305324737,0.431833305,0.377489337,0.27478292,0.297659125
"SW_9720",4,236,18,8,0.433520467,0.408523679,0.365549805,0.383455693,0.423390029,0.420425496,0.210642165,0.383642967,0.38890787,0.432482785,0.612934872,0.552872777,0.414682325,0.270840967,0.352344496,0.429575856,0.42078665,0.276036152,0.412679592,0.37661489,0.396612505,0.361370541,0.441211419,0.340748047,0.309252728,0.366608917,0.321654609,0.310066858,0.380436412,0.359900351,0.274763702,0.312928704
"NM1701PAR",4,237,18,7,0.420973093,0.404660085,0.359436519,0.379558142,0.408493676,0.438495642,0.225255901,0.378284598,0.40307634,0.436222291,0.563805332,0.537824897,0.416920169,0.288891454,0.361947605,0.472904367,0.427995366,0.267803112,0.425159826,0.393473848,0.336283203,0.31035412,0.466177839,0.359097793,0.299720058,0.38150781,0.330430078,0.311240065,0.480628022,0.395390708,0.296858606,0.313315735
"NUMEX_BILL_MELTON_FG2012",3,238,18,6,0.400720396,0.419280016,0.374871932,0.388512141,0.436037213,0.429301644,0.204533624,0.398095698,0.431249139,0.475071508,0.482018712,0.553488372,0.421101224,0.295012692,0.410347517,0.485441671,0.426542691,0.308590419,0.430381254,0.4055474,0.325173295,0.308293278,0.388592795,0.349209636,0.309897803,0.385915694,0.290807538,0.360041433,0.480119644,0.380922723,0.315615501,0.304925478
"SW_9812",3,239,18,5,0.381630333,0.386197616,0.350727151,0.368421095,0.390850259,0.416400879,0.157174205,0.364621952,0.405662281,0.444258741,0.459012343,0.57619699,0.36773509,0.268744035,0.384490966,0.461398027,0.389570898,0.339505618,0.438696768,0.377372943,0.345003444,0.331070053,0.478095925,0.382344031,0.296951772,0.403615168,0.319313289,0.38024833,0.452471013,0.367521491,0.320531043,0.293272278
"NM1705PAR",2,240,18,4,0.406789229,0.407501357,0.35873795,0.378976282,0.413134011,0.439864454,0.186774301,0.347471783,0.392183004,0.477075413,0.473127923,0.597172823,0.380733278,0.293842843,0.385734005,0.462343369,0.400247801,0.291661631,0.423787955,0.283061826,0.344592671,0.345017035,0.478199547,0.343470574,0.346057644,0.383599614,0.312699087,0.418273152,0.479592085,0.347614862,0.311666029,0.341014117
"NM1713PAR",2,241,18,3,0.446848066,0.420308981,0.360276248,0.37649872,0.402723827,0.45826636,0.21963209,0.386747393,0.386429533,0.43742245,0.555032869,0.594824441,0.423832474,0.303521753,0.367223148,0.46175057,0.437231538,0.293104455,0.366092046,0.262715522,0.37577462,0.379193618,0.460357335,0.277072011,0.381532199,0.372078179,0.301277633,0.327576992,0.502990823,0.431290286,0.298306604,0.266353233
"SW_8888",1,242,18,2,0.423590411,0.405380686,0.343150399,0.365366561,0.407261782,0.42367475,0.253681965,0.367437581,0.391584596,0.466704781,0.596505611,0.581030552,0.395032505,0.328087408,0.383230868,0.457531862,0.431694491,0.300445339,0.421813428,0.296831938,0.342131931,0.351961066,0.439756912,0.358434959,0.302545203,0.390083843,0.334248838,0.412239729,0.483063747,0.387252842,0.296328819,0.327046664
"MESQUITE",1,243,18,1,0.425383933,0.406166069,0.346023375,0.366765609,0.394313583,0.429904781,0.372447194,0.360374101,0.358169192,0.430136252,0.619792749,0.598540812,0.388606592,0.285849539,0.353478784,0.460517107,0.404897032,0.280137749,0.404270812,0.2645564,0.333550834,0.339164352,0.409491688,0.359858383,0.287734923,0.371414359,0.416696498,0.375453667,0.482158883,0.366006311,0.273987409,0.3069221
