"Germplasm","Plot","Rep","Row","Range","gndvi_138","gndvi_145","gndvi_152","yld2","gndvi_160","gndvi_165","gndvi_173","gndvi_179","yld3","gndvi_187","gndvi_192","gndvi_201","yld4","gndvi_215","gndvi_223","gndvi_228","gndvi_237","gndvi_242","yld5","gndvi_257","gndvi_263","gndvi_278","yld6","gndvi_293","gndvi_299","gndvi_307","yld7"
"NUMEX_BILL_MELTON_CA_2019","157","4","8","7",0.72180858018058,-0.116683420357824,0.209133111473012,-0.171577936268245,0.515499641044397,1.50114734013124,-0.453032502482848,0.432923167322006,0.20129707554227,0.455575639508349,-1.47862487460636,0.955450222641782,0.34899939899181,-0.51885024760998,0.916523568336771,-0.206943806814805,1.06114169933911,-0.0638213073496956,0.260371155096117,0.145657577793031,0.148210507550034,0.499408154531398,0.340200854670034,0.0858664677554295,0.356798445098245,-0.270613081521302,0.0384425093479288
"NUMEX_BILL_MELTON_CA_2019","158","3","8","6",1.23403382263955,0.400882550975119,0.902734809609024,0.12460192090864,0.343096987047085,1.5223840719851,-0.0852718769608506,1.38884760730581,0.603175458631081,0.636957812238298,-1.41175614995615,1.17920783126025,0.644931628780522,-0.768444551897846,1.23247537968365,0.179349826074387,1.30575558199328,0.18243036179586,0.852064926651185,1.2775203990872,0.767688011992926,0.960478693062757,0.634424232565272,0.433596967586858,0.568211156951051,0.0097300875625131,0.0793376593140551
"NUMEX_BILL_MELTON_CA_2019","159","3","8","5",0.500840636132441,-0.377960180739532,0.276593563238048,-0.219811311345682,0.294963004810214,1.12675089580823,-0.275126004590197,0.566171831898201,0.251436089016581,0.378505431246446,-1.77111441440875,0.40819249966667,0.34385348669904,-0.707338139208061,0.787461779661695,-0.255997215750613,1.45374002218711,0.0336483297095061,0.534353505134843,1.41986336375418,0.596848120536228,0.329513336296022,0.160508212950934,0.505018510556508,0.35999524124437,-0.13262302205313,-0.27864997902393
"NUMEX_BILL_MELTON_CA_2019","160","2","8","4",0.191045743929365,-0.596587437738135,-0.286996424151119,-0.478318136982098,0.344209006079907,0.982103570565369,-0.323531441041505,0.0992907972848396,-0.24387981281866,0.405107442396216,-1.86075336500804,-0.00404549162531587,-0.181577465360367,0.859705228329049,0.637068067459262,-0.464627483505904,1.26228667548461,-0.0775319067978659,-0.032403858236158,1.14126156950874,0.183977107811908,0.728866981312289,-0.369467259582491,0.220841089435993,0.165764648527072,-0.00481973626275728,-0.666778757584115
"NUMEX_BILL_MELTON_CA_2019","161","2","8","3",0.681688608709565,0.139387419309385,-0.220107368297676,-0.0305598892431272,0.319583299135079,1.31385349216171,0.0777309224127455,0.448671069273615,0.170528842692377,0.267641971802434,-1.49701367333028,0.364568782104387,0.222384041174697,0.626173921204039,0.506567866023442,-0.774798848820448,1.73866405233382,-0.073411447575658,0.246175948199701,1.14093246863285,0.350592864276755,1.09432966351133,0.105621792225443,0.599980780533744,1.02860395299059,0.0296646905041677,0.248121875239173
"NUMEX_BILL_MELTON_CA_2019","162","1","8","2",1.21535128409977,0.362653740698583,0.379441975774259,0.480175043763185,0.451090795900786,1.65389756165102,0.112837817542775,0.371583281526086,0.488411083180824,0.69065625517721,-1.29785421992395,0.331181252930175,0.394928569367695,0.458630207546964,0.476045849731517,-1.154026864996,0.880863383766868,-0.205371814622697,0.495545489110331,0.748169459347661,0.502125094501245,1.39006434607397,0.523334116919078,0.81800293596157,0.987016350659599,-0.503922134583238,0.572628255154335
"NUMEX_BILL_MELTON_CA_2019","163","1","8","1",0.982013016497659,-0.139517678949854,0.449899611750278,0.200068163192624,0.58055194736912,1.7594812840296,0.225053354367856,0.378465908837224,0.30366570853845,0.80395428095812,-1.37171266976943,0.889584029023823,0.138325973702173,0.528744055941288,1.06893213566814,-0.870958211171691,0.789684205921796,-0.27543470090611,0.00407160348626889,0.474991690803663,0.243040785823039,1.12671849602014,0.201324180280236,0.38963762009797,0.274632397457129,-0.66956187341258,0.138850815519349
"NUMEX_BILL_MELTON_FG2011","164","1","9","1",-0.115537837584703,-0.881026253873326,-0.187838505599581,-0.435762187150759,0.218281557528899,0.366417053192713,-1.35516063819994,0.379789953785176,-0.258698589652842,0.847907801778196,-1.39281572965012,1.12543829624717,0.0357528283177052,-0.511853245581351,0.671945020146867,0.109016235803018,-0.442853229064877,0.0644679667758371,-0.239356922227825,0.27340395966146,0.156197735537591,0.239641730035051,-0.0687034341454213,-0.84394325863399,0.266652472042363,0.333470920570342,-0.547166053193727
"SW_9720","165","1","9","2",-0.931552248296159,-1.15611569775314,-0.264537505591947,-0.321092989585535,0.405298410185598,0.537567758227618,-0.980239052637374,0.221386188135518,-0.039347476185968,0.773656120275141,-1.25609878681944,0.459941471856402,0.0966082872770356,-0.699376046133665,0.703415052555202,0.0636944332819317,-0.166715542387707,0.0981492825316666,0.0126293858826018,0.51354015033904,0.00662861222452076,0.481785593150419,0.0549495607586986,-0.527499964282689,-0.652283382735615,0.238010660999726,-0.267835564815314
"NM1712PAR","166","2","9","3",-0.53292755927298,-0.665130631723989,0.416055158755716,-0.0727021796934803,0.191918207993916,0.482816574880964,-0.609514523218548,1.10549602267462,0.338599862608063,0.826033709957012,-1.22957600543035,0.633144807730217,0.347581041837622,-0.502708552628584,0.890508606692904,0.514404745944236,0.158483257936727,0.316157138320731,0.569581586908189,1.10177131852131,0.553149372459849,0.712592974455231,0.324249624044171,-0.297968235118412,-0.509945690273119,0.446116452867569,-0.224558292571183
