"Germplasm","Rep","Plot","Row","Range","NDRE_73","NDRE_88","NDRE_95","NDRE_101","NDRE_107","NDRE_117","NDRE_131","NDRE_138","NDRE_145","NDRE_152","NDRE_160","NDRE_165","NDRE_173","NDRE_179","NDRE_187","NDRE_192","NDRE_201","NDRE_206","NDRE_215","NDRE_223","NDRE_228","NDRE_237","NDRE_242","NDRE_257","NDRE_263","NDRE_270","NDRE_278","NDRE_283","NDRE_293","NDRE_299","NDRE_307"
"NUMEX_BILL_MELTON_CA_2019",3,310,2,6,0.449661860788192,0.392590542099193,0.415736322753423,0.387904730073848,0.459773403695692,0.423792877633708,0.365470540495604,0.38467079139348,0.37214420994046,0.433051154040952,0.311654191227967,0.408147022646697,0.358490400908702,0.39487195123078,0.491141736482683,0.388814412288732,0.377489917563138,0.400194770685342,0.331760335397069,0.440582858132834,0.45227836270695,0.494771074670277,0.18866552834618,0.553615916955017,0.430748679446105,0.26481391593942,0.378179504527863,0.442162966319685,0.350798188392056,0.275497497453645,0.296387657742471
"NUMEX_BILL_MELTON_CA_2019",3,311,2,5,0.447036160660114,0.415184984796057,0.422565138240983,0.423187415433306,0.425626433968879,0.426815214773692,0.379426992020887,0.379776183977865,0.392217123729214,0.405737109658678,0.376842392926362,0.400405981223368,0.360285762294371,0.416229679360108,0.454415599054625,0.415096397577053,0.387392215293951,0.404748694804538,0.32528372832536,0.430458916040902,0.444000534065766,0.471018671748324,0.198648562643086,0.531658016147636,0.432834057885028,0.270651360140574,0.388009916610322,0.437434320707277,0.360848875367686,0.279653005297869,0.298107327508118
"NUMEX_BILL_MELTON_CA_2019",2,312,2,4,0.454237306131333,0.405631624200482,0.437485653237857,0.407461007130125,0.432868319988899,0.426204629664837,0.398147227461807,0.363197415718424,0.389156626506024,0.43233347459525,0.411060242129189,0.400959601374894,0.353040426046962,0.410261717794547,0.474884134629208,0.422202021750797,0.39243937298679,0.408011529067285,0.32209459274895,0.445662775471495,0.445862968331878,0.436725841231633,0.196767646644632,0.507394752772904,0.418840673867338,0.263220715482342,0.409373605877579,0.444505158179185,0.36181241851061,0.265634617280165,0.304774418228101
"NUMEX_BILL_MELTON_CA_2019",2,313,2,3,0.445182662167546,0.391506595365419,0.428741253861622,0.397530632492699,0.432991610522772,0.423656813152611,0.390512641963846,0.342228686346333,0.41117070475321,0.436420271812429,0.416331179455094,0.395327716093131,0.371741897509473,0.417668504758144,0.487096998583739,0.443640414767907,0.38654411533721,0.41076406639658,0.31511293089076,0.443743269977212,0.467129122967016,0.423893635315089,0.21367476776372,0.496243639324242,0.419939195190271,0.278641233516129,0.409547056301254,0.435916006872487,0.349525078261308,0.270472065099285,0.310432257480106
"NUMEX_BILL_MELTON_CA_2019",1,314,2,2,0.451603710286444,0.417930439829209,0.440227719508469,0.421239556968048,0.450164838458311,0.435131659501407,0.39763095902453,0.343047316966002,0.416799000588596,0.455658917933717,0.324404394076988,0.399416226999501,0.382883823994935,0.432214812227784,0.486759762806263,0.45394493093004,0.391682178760535,0.41877663605057,0.331121717073244,0.446986282668631,0.467171740291447,0.468131822208849,0.192752753517247,0.441305041047561,0.425707202007889,0.285922768626103,0.415483719608504,0.440290617971558,0.345528343510196,0.275908747412575,0.306919689292728
"NUMEX_BILL_MELTON_CA_2019",1,315,2,1,0.484004322822458,0.430253035545769,0.442330868617746,0.431219292314627,0.482956900232212,0.444166555511093,0.422381683762414,0.366667258155147,0.422730002762796,0.41439360929557,0.422492745493576,0.430384006178829,0.314167723780349,0.378699333019374,0.493834394833568,0.471312531715349,0.4507416589454,0.453341012863213,0.386179903868162,0.439291406631287,0.478317120622568,0.423382979790382,0.358261097260939,0.543938869665513,0.47017238217495,0.287273348073568,0.385564448610267,0.454960800999757,0.374122276600971,0.324226510563265,0.30480197053946
"NM1703PAR",1,316,3,1,0.484617864684926,0.429383575840484,0.453805070111654,0.445776796645543,0.491926332050265,0.449477842419019,0.421801889581486,0.366165440535188,0.434599214404978,0.429444454614638,0.4129924385734,0.415588979009721,0.330473530342811,0.385545891148845,0.475248819550525,0.480121640911066,0.458225676155709,0.451959506573063,0.396731931952298,0.448290340558996,0.476533722438392,0.483341022683583,0.380872942703929,0.538453273466249,0.477371333642571,0.294387983833726,0.393342617879996,0.447733817403882,0.393304052037581,0.32627564151708,0.31254624136555
"AFX_779",1,317,3,2,0.454669600262331,0.436778218371934,0.440185928787562,0.425796019720933,0.45517946955734,0.437883147225708,0.413524325018396,0.376905754760426,0.417002806840523,0.461615658609123,0.268409880986825,0.393964433108383,0.403096420556966,0.440005147469526,0.43759528125641,0.455066495639455,0.391860462967583,0.391828691106384,0.275231499142386,0.438472363188836,0.446783219220339,0.457780685750236,0.211014796347919,0.436199602012751,0.433792985210651,0.296434112400535,0.440835800688174,0.336967726580936,0.382199500676119,0.319425856360045,0.343736499574954
"NM1703PAR",2,318,3,3,0.441422582339895,0.406535220719304,0.439910426476804,0.417464508530685,0.458136240566903,0.442764114192686,0.405564143212486,0.3553372118078,0.430124085574602,0.49250364352383,0.468506844716327,0.392816763036518,0.382301068575578,0.432939482886052,0.445923588677702,0.440048155724452,0.405818264110904,0.402743855216747,0.287451715085804,0.449363081354342,0.441220269632568,0.464765360137988,0.25155733075123,0.476240755817898,0.444914474133684,0.262114256051398,0.446891405374172,0.287263727993101,0.37259899870537,0.301932142190587,0.34365380750394
"SW_9720",2,319,3,4,0.440132729466013,0.41390944741533,0.409681650078343,0.392853848701914,0.431245856459064,0.416399551273501,0.399359135812834,0.345052410104313,0.38113610974306,0.444513089186292,0.489404190898868,0.382146766565705,0.330562851782364,0.386924224029448,0.435221588753755,0.41624480263701,0.399501943533196,0.375700780288465,0.277476270808078,0.447454347246942,0.44422043623651,0.459219196630059,0.220961826258835,0.487558857453016,0.426582237516316,0.288383279410724,0.387682020814467,0.304830826574271,0.34537564896924,0.264923380809197,0.284351700879357
