"Germplasm","Rep","Plot","Row","Range","NDVI_73","NDVI_88","NDVI_95","NDVI_101","NDVI_107","NDVI_117","NDVI_131","NDVI_138","NDVI_145","NDVI_152","NDVI_160","NDVI_161","NDVI_165","NDVI_173","NDVI_179","NDVI_187","NDVI_192","NDVI_201","NDVI_206","NDVI_215","NDVI_223","NDVI_228","NDVI_237","NDVI_242","NDVI_257","NDVI_263","NDVI_270","NDVI_278","NDVI_283","NDVI_293","NDVI_299","NDVI_307"
"SW_9720",3,121,3,6,0.444856403,0.440991961,0.447052657,0.452113833,0.470869846,0.478120206,0.333497851,0.445436508,0.448840673,0.474075999,0.268584122,0.668399453,0.41654693,0.309173781,0.415952923,0.341851316,0.424441536,0.308706836,0.410809325,0.224948501,0.418622038,0.337630914,0.405555334,0.381296813,0.291255018,0.385867733,0.473725423,0.428488822,0.332755864,0.376864355,0.401538217,0.405419332
"NUMEX_BILL_MELTON_CA_2019",4,122,3,7,0.450278399,0.446042642,0.459068708,0.465429808,0.490357752,0.506359373,0.332333269,0.427876469,0.501844061,0.522251205,0.310473206,0.669129047,0.408262926,0.361948276,0.47994539,0.317144621,0.425244663,0.353174379,0.450231149,0.212260672,0.430089362,0.381162472,0.470752228,0.44729106,0.315570413,0.443536454,0.502574941,0.502243076,0.359912565,0.424071126,0.44155742,0.462918106
"AMERISTAND_803T",4,123,3,8,0.449126973,0.447161463,0.445888625,0.461888503,0.488054527,0.510481146,0.328085929,0.428402029,0.516750156,0.535877016,0.354163465,0.670519836,0.413692452,0.360997598,0.479474315,0.291245119,0.423854638,0.374675743,0.459823619,0.20766455,0.445908335,0.388152539,0.488538076,0.457969675,0.332360949,0.460093843,0.469159462,0.516506414,0.379949517,0.448260086,0.461806689,0.470870786
"NM1702PAR",4,124,4,8,0.457047682,0.449082084,0.463502928,0.473104924,0.485267025,0.524005085,0.34602386,0.427769681,0.477768726,0.489533734,0.456071788,0.658390333,0.421819438,0.391115545,0.444198106,0.34661755,0.422856211,0.346259062,0.438860276,0.201076752,0.422112967,0.357407501,0.493916494,0.427090027,0.295854486,0.412543493,0.508218137,0.48811232,0.378058587,0.450140079,0.449602614,0.444737182
"AFX_779",4,125,4,7,0.453808183,0.454316678,0.472046267,0.47930889,0.494536707,0.504297729,0.358999356,0.433466352,0.495008673,0.50347008,0.431651075,0.653328773,0.424706591,0.368368806,0.459200127,0.350579814,0.431352105,0.338701955,0.44449323,0.24451603,0.432883921,0.350660047,0.505935535,0.394972139,0.307577097,0.412034866,0.479839826,0.471804476,0.375498558,0.440070028,0.442533183,0.455371776
"AFX_149092",3,126,4,6,0.448111724,0.452081722,0.476597554,0.484729955,0.500555691,0.507077009,0.33841146,0.43828627,0.548092106,0.542014507,0.381372105,0.66128591,0.426941152,0.386608866,0.508661563,0.38202716,0.429594847,0.373672345,0.472497544,0.267011784,0.426380045,0.36999544,0.487708084,0.418069867,0.315684669,0.442805013,0.48678552,0.502987064,0.376093099,0.450664789,0.47374663,0.503635535
"NUMEX_BILL_MELTON_FG2011",3,127,4,5,0.445019234,0.436692797,0.459720377,0.459193758,0.460006151,0.505250567,0.332755325,0.440526995,0.446583218,0.446452681,0.391110668,0.669425445,0.401230317,0.337496781,0.402962926,0.319604702,0.429593596,0.363322375,0.412550466,0.273319223,0.429284807,0.334687061,0.479689676,0.38360163,0.322928969,0.379555551,0.531381114,0.442185925,0.377453757,0.390848294,0.416793893,0.416835466
"NUMEX_BILL_MELTON_CA_2019",2,128,4,4,0.445802952,0.444185615,0.463935669,0.46513429,0.494110152,0.469464468,0.373196962,0.418479471,0.477345403,0.473488551,0.46404015,0.676972184,0.412749422,0.355129904,0.430553754,0.332196888,0.432834571,0.393754908,0.443621214,0.286316169,0.438254485,0.375628893,0.424985803,0.439571184,0.320814117,0.432804782,0.526425588,0.507496453,0.363017545,0.441214325,0.451676673,0.481380936
"AFX_149092",2,129,4,3,0.451659491,0.454706466,0.451001075,0.483200553,0.503694182,0.523375344,0.356502628,0.428836951,0.511434193,0.518160989,0.441369916,0.685134519,0.397064846,0.379686796,0.46554757,0.434367195,0.438914322,0.389816894,0.455414671,0.309128003,0.44685871,0.382781353,0.469830429,0.429260503,0.34303067,0.442590798,0.488519451,0.502165999,0.368505337,0.474164279,0.471128186,0.505652933
"TMA_990",1,130,4,2,0.443804741,0.434387358,0.42457366,0.465796326,0.497549555,0.513733328,0.391341173,0.429997906,0.529485527,0.517343798,0.4916922,0.694619243,0.398387622,0.402250251,0.47276208,0.438043577,0.445311422,0.396986849,0.467695056,0.303768131,0.451288108,0.397673847,0.440291077,0.474633712,0.339302297,0.454993999,0.532829703,0.507447827,0.362321794,0.481408836,0.475137898,0.496122957
