"Germplasm","Plot","Rep","Row","Range","ndvi_145","ndvi_152","yld2","ndvi_160","ndvi_165","ndvi_173","ndvi_179","yld3","ndvi_187","ndvi_201","ndvi_206","yld4","ndvi_237","ndvi_242","yld5","ndvi_257","ndvi_263","ndvi_278","yld6","ndvi_293","ndvi_299","ndvi_307","yld7"
"NUMEX_BILL_MELTON_CA_2019","110","3","2","6",-0.0492455999494708,-0.0463951660536467,-1.27618058510902,-0.131269645852625,-0.0329659329904186,-0.0475390104908665,-0.0569206649408404,-1.19956808545501,0.0576587020399909,-0.0315145831637259,-0.0394690496231299,-0.804226787918573,-0.026344676776116,-0.0180921468126219,-0.387176814583482,-0.0165425207505144,-0.0156792626256174,-0.0229159353051346,-0.423812974089771,-0.011812992115853,-0.00323126574784871,-0.0198561850031042,-0.257635322125358
"NUMEX_BILL_MELTON_CA_2019","111","3","2","5",-0.0479938660211512,-0.0442721306995267,-1.52742906111337,-0.175304257215338,-0.0156785492509657,-0.0484250015321438,-0.0645331059788828,-1.43170708416629,-0.00607253088593187,-0.0222290891645426,-0.0385827145148729,-0.928710980345277,-0.0188496783833713,-0.0279484620712482,-0.592681873058766,-0.0205397298854922,-0.022200323530463,-0.040530545058755,-0.702388818808542,-0.0404829448805805,-0.0135936028079764,-0.0388509209049359,-0.540718237675361
"NUMEX_BILL_MELTON_CA_2019","112","2","2","4",-0.0539332759731841,-0.0592991362082681,-1.88875575432747,-0.198369836755263,-0.0146006443509496,-0.0564674349120196,-0.0744456158042572,-1.86096703499396,-0.0134747637072158,-0.0581812837804213,-0.0510756920721036,-1.26653709882054,-0.0104816935800653,-0.0499947250141855,-1.08696994187568,-0.0220330646714008,-0.0406892329100445,-0.0507843364980316,-1.04652689773628,-0.0504831918613468,-0.0241572239256993,-0.0425762021222412,-0.902772552442096
"NUMEX_BILL_MELTON_CA_2019","113","2","2","3",-0.0404603872643709,-0.0380956350306404,-1.63139092506058,-0.192602333003072,-0.00231288262036083,-0.0386064351304222,-0.0540721479934308,-1.55640326555915,0.0224515076177086,-0.0613981335187563,-0.0486243794525364,-1.19165513301618,-0.00268200554063972,-0.0612467924235068,-1.23764790465619,-0.0184177689100821,-0.0465190375930552,-0.0434854262504856,-1.08595052656354,-0.0431726576540079,-0.0185324575952947,-0.033565478896977,-0.770132068252734
"NUMEX_BILL_MELTON_CA_2019","114","1","2","2",-0.021194996060879,-0.0102042300020095,-0.856178907155316,-0.211225656957409,-0.00153765413501106,-0.0213667383090812,-0.031216543266585,-0.927248766450711,-0.0428722494932693,-0.0293640301695391,-0.0372042402592323,-0.746413169928583,-0.00363027164720716,-0.0449645470810659,-0.731239831868909,-0.0175942180295751,-0.0369546849844385,-0.0102474640973495,-0.583845651486522,-0.0312045143365791,-0.00269192303141384,-0.0179063535486625,-0.286203117213928
"NUMEX_BILL_MELTON_CA_2019","115","1","2","1",-0.0163839621874716,-0.000813618068063667,-1.03729441132239,-0.184788551747126,-0.00509405379640765,-0.024195163257412,-0.0297175570025396,-0.976473434913829,-0.0317634597380811,-0.0138196497684027,-0.0356558312787082,-0.741952513305382,0.00601018412801143,-0.0371368916631181,-0.708539052818359,-0.0238934937000154,-0.0306925103257897,-0.000715802630268194,-0.613489005524784,-0.0325573597351143,0.00094559427415709,-0.0212689411096166,-0.349202120708218
"AFX_779","116","1","3","1",0.000949747352198981,-0.0076337228886548,-0.567082691337379,0.0518217244740606,-0.0156158005667286,-0.0248656716779627,-0.012922876145323,-0.565041702885329,-0.0391234382645031,-0.012505490233468,-0.0317988246661835,-0.519911446672809,0.000931972283667219,-0.0532478210495226,-0.462556059184057,0.00235642784561718,-0.0122403238746512,-0.0409697810310781,-0.373132954806687,0.00147864175490667,-0.00604751036574783,-0.0255257362457141,-0.150825131164443
"NM1703PAR","117","1","3","2",-0.0189356399863357,-0.0325229881928528,-0.939273423586729,-0.0233000745244699,-0.00775404727949244,-0.0426355169859306,-0.0319296091542515,-0.924622461461056,0.0325406584953319,-0.0228215199639347,-0.0336326139876803,-0.79354123383462,-0.00728635632133712,-0.0517630952585318,-0.501819038641079,-0.016736205600607,-0.00891861373402762,-0.0351973418149881,-0.604289747887709,0.00727920045202069,-0.00964809662364667,-0.0281086487938149,-0.21599900496036
"SW_1011","118","2","3","3",-0.0309398922649401,-0.0425386526911878,-1.01800172251714,-0.0542113760416166,-0.0114271421610538,-0.0478696503080052,-0.0369165177727485,-0.971718262123236,0.0231777922574383,-0.0208004018621809,-0.0316422933430321,-0.764103076047813,-0.0188252264262718,-0.0436104470512276,-0.441728721113955,-0.00992848626650976,-0.00899374427928629,-0.0371563425862938,-0.577631756549282,0.00917053193691954,-0.00366130769775656,-0.0241637392458242,-0.273732697929684
"NM1715PAR","119","2","3","4",-0.0340459719186065,-0.0510992735734281,-1.32557265020189,-0.0723452434627772,7.87642334870483e-06,-0.0503687157793052,-0.0453372558290459,-1.2577789914791,-0.056500978877926,0.00143063271588902,-0.0301263855370718,-0.919393907655394,-0.0338918633451958,-0.0493356387228461,-0.602620219148415,-0.0129081933733718,-0.012052713013577,-0.0528181692923813,-0.786313487760095,-0.0172391027961532,-0.0137273747697767,-0.0428294317930006,-0.542062174337521
"NM1703PAR","120","3","3","5",-0.0418806448230128,-0.0634939229345389,-1.62455880478181,-0.0905745332512613,-0.00240120544010308,-0.056895367999577,-0.054472944447679,-1.68051121470344,-0.0495221533869857,-0.0296666023922208,-0.0419301582027756,-1.25214365058283,-0.0162868637528949,-0.0672531258843988,-1.05157317038218,-0.0136675138547429,-0.0262591762618307,-0.0569876410045372,-1.07995187744921,-0.0225880898559686,-0.02156167193948,-0.0437898896680301,-0.87707410716158
"SW_9720","121","3","3","6",-0.0272843914698881,-0.037691219455687,-1.30912628681139,-0.134132820108007,0.0134540956093408,-0.0410900574745683,-0.0321993433661631,-1.30124792343252,-0.0372235302413851,-0.0452543928850523,-0.0354776682317166,-1.12896185427837,-0.0295536331842876,-0.075755421138987,-1.13602257168421,-0.0183207762209895,-0.0269597985310802,-0.047523895521455,-1.05834127541423,-0.0137467203203501,-0.0164048972033827,-0.0331558077779618,-0.710107832722481
