"Germplasm","Plot","Rep","Row","Range","gndvi_131","gndvi_145","gndvi_152","yld2","gndvi_160","gndvi_165","gndvi_173","gndvi_179","yld3","gndvi_192","gndvi_201","gndvi_206","yld4","gndvi_263","gndvi_270","gndvi_278","yld5","gndvi_293","gndvi_299","gndvi_307","yld6"
"NM1705PAR","344","2","6","4",0.00183704358915665,-0.0143326084648075,-0.0189123170741625,-0.580680210138127,-0.00663054697233614,-0.00645919913737553,-0.0262121300820677,-0.00444898362341474,-0.135311946836816,0.0282490334306532,-0.0170563060489195,0.0148123261014975,-0.0831444586218451,-0.00863065362283529,-0.046631154563161,-0.0223085228909981,0.0195154519549205,0.0121789982860976,0.01513584709396,-0.0452515423164375,0.199216954148434
"DONA_ANA","345","2","6","3",0.000201295530472055,-0.0283776728837497,-0.0421588319605112,-0.932790581059,-0.021034021748274,-0.0350755307871899,-0.0411917658686096,-0.0343722627372091,-0.575604291680698,0.0253955479710039,-0.0267124912238258,0.0529699500408759,-0.157381157813148,0.0196382667105003,-0.0446342077959957,-7.5494077157888e-05,0.103109930405463,-0.00728654637154196,0.000340385282731494,-0.0520661400891702,-0.0996432091575385
"AFX_149092","346","1","6","2",-0.00970949888518289,-0.0327905616511502,-0.0415615586783595,-0.969571137812528,-0.0166880341444345,-0.0276777179661715,-0.0309633662915011,-0.0267737884134941,-0.20309893080592,0.0384517699302283,-0.0114478040364962,0.0615170355516986,0.0881268739381405,0.020559320691021,-0.0493252446511855,0.0320339503911667,0.579408999513978,-0.00126013043103792,-0.00348810365032618,-0.0412440039807013,-0.0484243330324887
"DONA_ANA","347","1","6","1",-0.0169696442320683,-0.0204557654311199,-0.029147783778843,-1.27510787659538,-0.0170615053175105,-0.010676160242506,-0.0309263100514282,0.0169414303182339,-0.657596201189851,0.0180969140197916,0.0187939145647808,0.00876402194455213,0.258631040291338,0.0266044215452496,-0.0534539922196651,0.0131609760666532,0.103757040187826,0.0124285181286608,0.0196760008562508,-0.0252143118200115,-0.229122731756911
"NM170506PAR","348","1","7","1",0.0113714705921466,0.0173234946103626,0.0176161006365625,1.50619967314115,0.0311315908972561,0.0333119387633542,0.0294243637711507,0.0212667537279134,2.10193327149302,0.0433044416320153,0.0329574469035782,0.0616241184724221,0.344930973601622,0.043557314770913,0.000722757823502713,0.0844691602785126,1.55284420162996,-0.0113709823578919,-0.0311541545097336,-0.0223107376754864,0.985834025717293
"NUMEX_BILL_MELTON_CA_2019","349","1","7","2",0.00175091131574258,-0.00610453036294944,0.00821855823494035,0.534497338533776,0.0101327875980152,0.00745635751854685,0.000418698858405746,-0.00841484631476423,1.84308073826292,0.043760650780208,0.0686678368472623,0.100386424997332,0.740328802544228,0.103648213792865,-0.0114648649593602,0.0786399576206061,2.24718335171179,0.016827799057934,-0.0521233194479144,-0.0355592102384125,0.778380224813028
"SW_8421S","350","2","7","3",-0.000247912503718018,-0.00389928651585597,-0.00446160419843823,0.307117579275805,0.00419354233573877,0.00414955490119256,-0.0245055474023269,-0.0100604230288554,0.992275870610958,0.0353853123929701,0.0469764467692455,0.0852009935530943,0.562329705584471,0.0461322049934394,-0.0111284402830876,0.021896946756062,1.18002775202293,0.00464936073372828,-0.0531653811036269,-0.0538951903316727,0.481345470375764
"NM1713PAR","351","2","7","4",-0.0161539014241848,-0.021396467517694,-0.0242610505099377,-0.292318453234273,-0.0111626755502745,-0.00755922597336345,-0.0360016390459556,-0.0761084327233148,-0.13381831697077,0.0224155830827289,-0.00950642049563501,0.0443919021074908,0.164164165572543,0.00296068277105194,-0.0197952588506199,-0.0490114284384922,0.382438292859368,-0.00176525275942448,-0.023673554152108,-0.0668504442866458,0.295309200634648
"SW_9720","352","3","7","5",-0.0150658293475632,-0.0134755181173645,-0.0162030704404704,-0.278829733544615,-0.0127232719264043,0.00264669187534988,-0.0296266470242542,-0.0389370643017554,-0.0951796638238353,0.0258303067253991,-0.00996093404428066,0.0206600073340357,-0.146799212680951,-0.0157178317330967,-0.0317675421493874,-0.0169825008018395,-0.131702188937793,-0.00685606762835762,-0.00537504620435642,-0.06753777342068,0.0706910174237447
"AMERISTAND_803T","353","3","7","6",-0.0200042860196975,-0.0269363498968446,-0.0302814147815046,-0.560565452532078,-0.0262808094921322,-0.0307814846448283,-0.0426122409667816,-0.0518281009811669,-0.547593485859712,0.00734909796830669,-0.0346291486284958,0.0454095317546198,-0.141551065105268,0.00352265666416938,-0.0318966233720448,-0.0212693157243744,-0.311154754601454,-0.0249112964109589,-0.0158491784374517,-0.070440438490353,-0.302310202645365
"TMA_990","354","4","7","7",-0.028832947020145,-0.0329822962429754,-0.0264462023788736,-0.557843786669906,-0.0206377723640774,-0.0208636867858565,-0.0303928452422958,-0.0481021942922448,0.373084227981991,0.0471210336987021,0.0170448293439764,0.0801661071696234,0.348138029234007,0.0208575717866287,-0.0379798643738522,0.00775592324236382,0.46555445049443,-0.0164400994486815,-0.0258455279383785,-0.0553957919480865,-0.1985712408188
"NUMEX_BILL_MELTON_FG2011","355","4","7","8",-0.0416131322334418,-0.0219909626644255,-0.0181406995432834,-0.889833953517214,-0.0217942726875334,0.00537078380684944,-0.0349187727913581,0.00690445940559573,-0.345623480431302,0.0211289308290731,0.0314341928123332,0.0136531980958371,0.403214192116786,0.0143814339458644,-0.040534107894539,0.0172235872408002,0.0391614626808324,0.00117650350572721,0.00966490104485649,-0.0404243689323789,-0.220343938733452
"NUMEX_BILL_MELTON_CA_2019","356","4","8","8",0.0185016606916504,0.0309657126724612,0.0192087173263563,1.92358132071842,0.0277583022257032,0.0371311389477868,0.0298658500239265,0.0135224232846235,2.63757817441097,0.0675973299363754,0.0538233062458168,0.0702121871761778,0.478899133147469,0.0755342490118969,-0.0033273341054233,0.0920164062196378,1.84710086192581,0.00616631562702668,-0.0261821344908042,-0.0168990150364623,1.15505040058148
"NUMEX_BILL_MELTON_CA_2019","357","4","8","7",0.0125142993419864,0.0108994051636848,0.0115911164634886,1.0622979928443,0.00524504188896114,0.0122514352592963,-0.000383904943605025,-0.00845354870690561,2.40806324407936,0.055450182389524,0.0916834827581409,0.100896878453856,0.864201265086691,0.105848093900727,-0.0160336808534546,0.0945182249195024,2.36065762589195,0.0204520329942987,-0.0443634000931406,-0.0270425027916118,0.860007914818601
"NUMEX_BILL_MELTON_CA_2019","358","3","8","6",0.00334251444925009,0.0124070879297973,-0.00200506883998616,0.639435761979779,0.000916685159462031,0.000652736665079839,-0.0235140342550527,-0.0205559601793564,1.26921936354477,0.0144529456548202,0.0386689614735024,0.0489817027229347,0.456063853841826,0.0654162360863956,-0.0114485274358681,0.0390185247516314,1.44148896568721,0.0049730979543029,-0.0475462282159868,-0.0470490790926749,0.58521351504119
"NUMEX_BILL_MELTON_CA_2019","359","3","8","5",-0.00998582472812234,-0.00843988602858656,-0.0269092411325882,-0.24500229099234,-0.0148692428236983,-0.000934165134458559,-0.0345005927099537,-0.0599386914391716,0.0960617171172888,0.025025263200693,-0.00418940715684272,0.0323754481254083,0.0795435579410639,0.0253734100694109,-0.0191523807833097,0.00111931709518966,0.609771023314432,-0.00302093541903448,-0.0170714884196679,-0.0638909061330061,0.278936004304301
"NUMEX_BILL_MELTON_CA_2019","360","2","8","4",-0.00414014172545275,-0.00781581741600282,-0.0259116149732541,-0.492990648518712,-0.0158589114043033,-0.00228189620232308,-0.0373274587955982,-0.0564358804410767,-0.429027054668346,0.0281112356453919,-0.0249195985037881,0.0107789693732204,-0.285535610457209,0.000969629093635443,-0.0269155955652496,-0.0194414529300215,-0.199391742060768,-0.0180579270882393,-0.0177901869315758,-0.0765234528906443,-0.115828685950899
"NUMEX_BILL_MELTON_CA_2019","361","2","8","3",-0.00818768875968497,-0.0218072858338832,-0.0353378400874645,-0.721186752540469,-0.024864265337577,-0.0276089295887514,-0.0479996217159626,-0.0678645487044175,-0.684993761741561,0.006319130569624,-0.046562404783924,0.0161435854578552,-0.244712886048348,0.00870610935734968,-0.0233537185725717,-0.0297964079850972,-0.514888603020994,-0.0328538546187592,-0.0224405950338908,-0.0781855035818412,-0.36690345504537
"NUMEX_BILL_MELTON_CA_2019","362","1","8","2",-0.0137702177631535,-0.0326197368884134,-0.0333217736652223,-0.773092365998939,-0.0219350535693008,-0.0236547745196747,-0.0426048500956891,-0.0645735423615272,-0.0210056334109199,0.0429581115804371,0.0118095015348101,0.0652916045527729,0.183587489559932,0.0324095263878307,-0.0286700727261158,0.0237467984210522,0.61502072125334,-0.0274507197635773,-0.0319465100132233,-0.0629767398485319,-0.159587452075075
"NUMEX_BILL_MELTON_CA_2019","363","1","8","1",-0.0230178229093756,-0.0227191584551261,-0.0251561459005369,-1.10418296579727,-0.0295850393042632,0.00599357422824717,-0.0455255807875213,-0.00363321041628121,-0.378841532495132,0.000340223319950828,0.0205203988800734,-0.00565431784998657,0.259431204774164,0.0278036680617063,-0.0303826719603569,0.031205693024387,0.361574110857085,-0.0145240341756126,0.00135555353224896,-0.0506875973945257,-0.223877964234774
"SW_9720","364","1","9","1",0.012486412470616,0.0282983433339535,0.00498232155900602,1.29661000504456,0.0204190084629902,0.0248051243434762,0.0117570013931815,0.0058113280592611,1.97941188356182,0.0672211821368152,0.0367698763027486,0.0588460068006212,0.384209710130043,0.0652200886487163,-0.0138305225623513,0.0716187315579132,1.49934963246956,0.00986820521843774,-0.0227120884784313,-0.0296163642763051,0.827802745170933
"NUMEX_BILL_MELTON_FG2011","365","1","9","2",0.0146179774419383,0.0110615709258231,-0.00318229680479315,0.727544187703943,-0.00294642814786853,0.0124401018325464,-0.00842031807248564,-0.00673245989604297,2.15567084194644,0.0633419892087234,0.0930751606408188,0.0891538729698982,0.780897384318082,0.103945543904263,-0.0255072157841637,0.0962331490340972,2.03515926535169,0.0171039886885723,-0.0286912569768579,-0.0350153530472046,0.672852615314044
"NM1702PAR","366","2","9","3",0.0163879014383217,0.0138858858765597,-0.00807144506425815,0.531934000425692,-0.00513748397726282,0.0174993433923293,-0.0210649738520127,-0.019928223226089,1.26664741687276,0.0206720615460066,0.0276318930319254,0.0116734774646366,0.286390495950855,0.0752427086897405,-0.0182038630732041,0.0307007256305988,1.23963763376514,0.000347899601800757,-0.0295694221054581,-0.0530636928693141,0.453446336544947
"AFX_779","367","2","9","4",0.00777733232492808,-0.00395517527547834,-0.0266147627647916,-0.203353143348317,-0.0216727524813383,0.00466514699012492,-0.0320667182536091,-0.0520099669358614,0.0866419205147586,0.0264174880143341,-0.0129867480212152,0.0150020371370202,-0.100551995354833,0.0373043305973188,-0.0233520719875706,0.0239372275534421,0.434181879234911,-0.00776792280347362,-0.00304658075249789,-0.0620052482439762,0.14910230669512
"NM1712PAR","368","3","9","5",0.0054672101107862,-0.00591033428382692,-0.0308779702079228,-0.309982455843186,-0.0228406559666295,-0.00412529644692231,-0.0450367333756632,-0.0764092673254992,-0.569546448636156,0.0255254965922888,-0.0385196259923586,-9.44891366123838e-05,-0.370677091651645,-0.00659335162063528,-0.0252149720198124,-0.0154289948012167,-0.332521381138811,-0.0270837164961862,-0.0164108849489157,-0.0808784165519822,-0.059637519175496
"NUMEX_BILL_MELTON_FG2012","369","3","9","6",-0.00317095705418379,-0.0172487951886486,-0.0347450890837921,-0.362103437453765,-0.0297861876924598,-0.0159789152513786,-0.0437700558831091,-0.0674154995259683,-0.142820665204202,0.0213000609782121,-0.0260634800454521,-0.00108614276639599,-0.163791153981005,-0.00278924780382931,-0.0134071624833029,-0.0371932582549719,-0.436485283416607,-0.0356780277305815,-0.0261340822211865,-0.0872354581891845,-0.235503213532818
"SW_8888","370","4","9","7",-0.00923812390195983,-0.0281175708545792,-0.0417419211313985,-0.668566493592373,-0.0292952122529442,-0.0138520996943007,-0.0387645914142821,-0.0711427365160832,-0.00108813314286573,0.0538683678507538,0.0170887140416159,0.0503006367826374,0.157217390092801,0.0383893130689065,-0.0156034003865697,0.018078197334716,0.641843195905228,-0.0294257032522717,-0.0403411308979544,-0.0729045276875446,0.0267963648827918
"SW_8421S","371","4","9","8",-0.0214435513189595,-0.0176402910347752,-0.0372944594485654,-1.16729863397871,-0.0436036743435508,-0.0200843132056014,-0.0499809386002443,-0.0218574795240158,-0.589971730592912,0.00181974627555236,0.0211179799514731,-0.0178209158321205,0.275033142823009,0.0386893227128417,-0.015617606631897,0.0175617343102588,0.321315441485737,-0.0210690357521393,-0.0101656203530529,-0.0646653273650495,-0.136495570605692
"SW_9813","372","4","10","8",0.0151017671133043,0.0344858064066303,0.0112866473070042,1.58274787399396,0.0143206953448978,0.0237350998366277,0.00269723253933311,0.0106354459863059,2.11483197445477,0.0578987382065368,0.0213885613425767,0.0489372247531323,0.286430069489264,0.061388861562076,-0.016499575644891,0.0750364994396815,1.36517422620007,0.0195081517157948,0.000632809455923178,-0.028323981818288,0.825534615484386
"NM1703PAR","373","4","10","7",0.0167911732611028,0.0153298776206329,-3.56042577560514e-05,1.13870511777196,-0.011678725344138,0.00913681756779275,-0.016029466066446,-0.00409094125950505,2.28623014455443,0.0632042218738818,0.0833560309541322,0.0895474153371672,0.716631320176291,0.094135352907928,-0.0253464007545912,0.0793926702446771,1.72276754963512,0.0178377984870868,-0.00167589288457505,-0.0387070702502485,0.61945226261275
"MESQUITE","374","3","10","6",0.0166438299832751,0.0150120268304287,0.00468684506415565,1.24992310778924,-0.0145475223727816,0.0205159885899068,-0.0255537075399525,-0.0163496289581231,1.83579253668221,0.0262501739957721,0.0276090779867956,0.00907643982462833,0.335417027239487,0.0642673247636668,-0.0169414489652279,0.0267081751857074,1.163170590863,-0.00137641362395227,-0.0117782739975964,-0.059241354552641,0.469728090749705
"TMA_990","375","3","10","5",0.00630922827453527,-0.000792497120459387,-0.00629213951676924,0.873007054511073,-0.0246151644427844,0.0174058990824885,-0.0284154368322825,-0.0376995155485662,1.16206859755048,0.0374750215029859,-0.00332523972112685,0.0188707832339489,0.035281542823653,0.0363514424132525,-0.0214244183374248,-0.0122429881161649,0.491614109996403,-0.00867876310798418,-0.00315964494534422,-0.06436197268836,0.230715285018769
"TMA_990","376","2","10","4",0.00347760894039655,-0.00116534180452568,-0.007022841609711,1.06463306380911,-0.0203406799622217,0.0257139818944514,-0.0378313230844903,-0.0557053582432835,0.646388712599018,0.0260336555423912,-0.0271727997965891,0.00835661488870442,-0.168123053762875,-0.0156458372720455,-0.0190710281271376,-0.0371539194630086,-0.175478712833592,-0.0291643341564962,-0.0239271421137245,-0.0834814622527586,0.167361349176589
"NM1704PAR","377","2","10","3",0.00302998661677543,-0.009088083420814,-0.00595444039095914,1.14214741849821,-0.0221144309495187,0.0231043570276552,-0.0297944650294844,-0.0447401996672648,1.52404672723975,0.0411189929156431,-0.0019740324493303,0.0104000872360813,0.170626917397108,-0.0132318604596338,-0.00347083414536569,-0.054777230352654,-0.0840291119108033,-0.0313950138255226,-0.0264603631434673,-0.0897889746744954,0.0271029761894239
"NUMEX_BILL_MELTON_FG2012","378","1","10","2",0.000228221150928051,-0.0146983311440662,-0.0163496012650518,0.836764078744735,-0.0216071426334153,0.0251200713328084,-0.0228524990703206,-0.0409800260875139,1.74874882502405,0.061993306261624,0.0531041505966778,0.0708746918738681,0.483275202037397,0.0364220572662327,-0.00606177778843188,0.0159184772526516,1.02419902903219,-0.0199982031181533,-0.0292836783082478,-0.0721682084859966,0.287359045085362
"AMERISTAND_803T","379","1","10","1",-0.00371473035124026,-0.00218936108484126,-0.0211672218469262,-0.0397566328144811,-0.0385812320188407,-0.00262418511301432,-0.0450542511434266,-0.0204650773884913,0.334056361104675,0.0233376980627836,0.0222790061222959,-0.0115201162486765,0.526583282922358,0.0404177424231348,-0.00741573690007107,0.0068934793624959,0.74180214806325,-0.0164202090503044,-0.00713436996595921,-0.0654962435895046,0.0411879590387267
"NUMEX_BILL_MELTON_CA_2019","380","1","11","1",0.0375331346779872,0.0415011881120755,0.00763074511700625,1.02220317866978,0.0227782085666884,0.0323077582355511,0.00254596915618597,0.0312242123357092,2.18809973010519,0.0606042665031529,0.02692372108046,0.0575743486609113,0.0581286864514726,0.0531060091836596,-0.0336770433330356,0.0732601081565506,1.17098137651643,0.0143147378202358,0.00629757373977676,-0.0485628065377723,0.592694323212392
"NUMEX_BILL_MELTON_CA_2019","381","1","11","2",0.0324574315711963,0.0176719518647843,-0.0134401911125311,0.317000046938387,-0.00435996987595898,0.0046977380489801,-0.0245710511033133,-0.00923017617514806,1.50563117460385,0.0671286604907181,0.0437633304285207,0.0786559920270336,0.372535296971861,0.0736993599571309,-0.0458095204525718,0.0668229379471039,1.24329041500641,0.00636701428884103,-0.000830500773115282,-0.0691456411769701,0.310047823487666
"NUMEX_BILL_MELTON_CA_2019","382","2","11","3",0.0385466531946381,0.0103961248530536,-0.00374782071454261,0.608229923674924,-0.0121996069900114,0.0181561193291649,-0.0353677128777677,-0.0201390065432483,1.42170103595178,0.0405863188297477,0.000527592509055425,0.0213870206640303,0.11083614035308,0.0231033169437769,-0.040386028768337,-0.00320987596523253,0.402139295685164,-0.0178423489737371,-0.0236330989442405,-0.0879911023008065,0.0636675592581677
"NUMEX_BILL_MELTON_CA_2019","383","2","11","4",0.0384649954287269,-0.00635335571977386,-0.00598758655342078,0.642382707831905,-0.0181629591847608,0.0266619984256283,-0.0278184227400193,-0.0204387340019416,1.24383688452247,0.0327268966119396,-0.0203316372606979,0.0242011839218357,-0.106571894619129,-0.00419640736883233,-0.0419640598825148,-0.0264626248089524,-0.129994621657059,-0.0214062429812801,-0.0199156006711657,-0.0835017740134375,-0.074748035579882
"NUMEX_BILL_MELTON_CA_2019","384","3","11","5",0.0402005892397597,-0.00855009767255313,-0.00400800705471671,0.869347559404778,-0.0154312540212798,0.0211658358965426,-0.0447276132486339,-0.0473278297362735,0.666047213149828,0.0179147342565746,-0.0450748547945027,0.00655100358716971,-0.303241433887553,-0.0244813219283427,-0.0357454678706932,-0.042086059842051,-0.499781243344964,-0.0394738112735105,-0.0423423084382394,-0.0946972058023672,-0.0283977952964712
"NUMEX_BILL_MELTON_CA_2019","385","3","11","6",0.0392123755381393,-0.0122645097456356,-0.00214121749344397,1.14375902511036,-0.0146265496562998,0.0334471708517893,-0.0385843080184236,-0.0517209048212986,1.44859229568375,0.0450526991941203,0.00991102037951593,0.0252314215886128,0.192092908969107,-0.0199007655413939,-0.0155588032211347,-0.0589314445255645,-0.38501961479894,-0.036629351446147,-0.0324363052790275,-0.095666558943595,-0.0643602019653813
"NUMEX_BILL_MELTON_CA_2019","386","4","11","7",0.0369597674506175,-0.00954795012222637,-0.00959110062128176,1.04388829947824,-0.012985694751187,0.03839567788451,-0.0285993842658938,-0.0454524240024123,2.00787670650654,0.0603007839349599,0.0646736992341113,0.0860713155471592,0.525767563977547,0.0250710997820717,-0.0174874936608478,0.00873816530775762,0.865265517265806,-0.0249561588277379,-0.0300426204451996,-0.0749637399945204,0.229353561199985
"NUMEX_BILL_MELTON_CA_2019","387","4","11","8",0.0390500085126787,0.00945856618327452,-0.012184659026248,0.334021762513669,-0.0244139916106605,0.0205308625081316,-0.0416730151705461,-0.00237589953285174,1.02396766267151,0.0410458154616822,0.0593868560193781,0.0261602934157196,0.567379220373822,0.0561122713328802,-0.0203132284166021,0.0304954101272933,1.02713467758622,-0.0206567884795538,-0.00446610001930345,-0.0604167593459071,0.00866357455597706
"NUMEX_BILL_MELTON_FG2012","388","4","12","8",0.016539594425775,0.0413374783229273,-0.00213569125350371,0.278723687047993,0.0201156800902136,0.0233078457570046,-0.0104962941425299,0.0274954419612389,1.17189670496553,0.056474167938108,0.0249857750071974,0.0563583018214425,-0.0116138011275866,0.0239363335972807,-0.035294637210103,0.00329617342341787,0.481849454880221,-1.93696604910176e-05,-0.00391448818239176,-0.0598441835291984,0.307754625959974
"NM170506PAR","389","4","12","7",0.0133036897971901,0.0175902168547274,-0.0221980980298991,-0.270930678197122,-0.00570225693273998,0.00699247370584242,-0.0321404876784064,-0.0129223170843905,1.0796740639169,0.0621267146647934,0.0271970387636775,0.0691977483845336,0.281836820130994,0.0421296585988318,-0.0498609995790007,0.0398117474083303,0.568688051184135,-0.00661219679204809,0.000538495313852215,-0.0762984146299308,0.10812367088912
"NM170506PAR","390","3","12","6",0.0129284373070284,0.0119627068784581,-0.0102048033178533,0.0548801989206533,-0.0133234248223644,0.0147654846584318,-0.0382077952196356,-0.0157911152707008,1.02447015125181,0.0413442110245509,-0.00954245645406782,0.0314254215007591,0.0384860685969056,0.00510758340478688,-0.0453033186207239,-0.0341539231572404,0.0183337494107254,-0.0242699838662292,-0.0187668709134328,-0.0870100484226289,0.0333204810680553
"NM1702PAR","391","3","12","5",0.00420200007627474,-0.00269906850212507,-0.00744385364944181,0.104098942062442,-0.0159280659373539,0.0203088832352905,-0.0280117538278703,-0.0268608018181677,0.900025544143382,0.0371452206355363,-0.0194074671165309,0.029996772037763,-0.12696297187078,-0.0096494838760795,-0.0436565351751125,-0.0425997457138481,-0.212144085937054,-0.0232396552420487,-0.0199609667213219,-0.0827322070535755,-0.0326949171219233
"AMERISTAND_803T","392","2","12","4",0.00995812792091463,-0.00306740667002636,-0.00116647176110974,0.424426587710866,-0.0148895144497682,0.0213213067761647,-0.0383360558053257,-0.0338101328244013,0.781031537809196,0.0315581194556447,-0.0120149264043417,0.032216271614969,-0.247944674986676,-0.00736342584802356,-0.0361042075230364,-0.026343107293852,-0.261015760577056,-0.0320286452104142,-0.0297923396320745,-0.082685398884274,0.070911026916995
"NM1701PAR","393","2","12","3",0.0105875568989516,-0.00499234938368116,0.00113365398226699,0.919177740277326,-0.0114913898827395,0.0424768875830935,-0.0226845041436447,-0.0213403645468929,2.0909665778163,0.063464802474613,0.0463096874841557,0.0627086536173185,0.218576496002092,0.00322700746750968,-0.0125309833294387,-0.0232088110243765,-0.0395573034186578,-0.0247939017286506,-0.0159516124859535,-0.0801640766192113,0.113054332567934
"NM1705PAR","394","1","12","2",0.0081805549169967,-0.000930400648018031,-0.00945516912973437,0.926877839474868,-0.013272374641305,0.0222632360847237,-0.0237544801696576,-0.017785882986083,2.21647153901136,0.0545634512621964,0.0495401365169688,0.0741492856443136,0.391795452479325,0.0250795067962526,-0.0141642468653843,0.0130910107134025,0.83262803212548,-0.013489306580846,-0.0128566096654059,-0.061073804281525,0.319703049264771
"NM1713PAR","395","1","12","1",0.0154244231432031,0.0212172509746217,-0.0110675007116906,0.375629548005896,-0.0234284876023715,0.011303795359817,-0.0408795966288683,0.00459377710333183,0.871712633815197,0.0299470278346816,0.0150924722583571,-0.00635935515735443,0.262020748858696,0.0633863734777993,-0.0169692583624844,0.0367651589168592,1.27741783378038,-0.0120919558052881,-0.00136644871484972,-0.048966080500666,0.106643121699231
