"","Germplasm","Rep","Plot","Row","Range","yld2","yld3","yld4","yld5","yld6","GNDVI_131","NDVI_131","GNDVI_138","NDVI_138","GNDVI_145","NDVI_145","GNDVI_152","NDVI_152","GNDVI_160","NDVI_160","GNDVI_165","NDVI_165","GNDVI_173","NDVI_173","GNDVI_179","NDVI_179","GNDVI_192","NDVI_192","GNDVI_201","NDVI_201","GNDVI_206","NDVI_206","GNDVI_263","NDVI_263","GNDVI_278","NDVI_278","GNDVI_293","NDVI_293","GNDVI_299","NDVI_299","GNDVI_307","NDVI_307","sca_yld2","sca_yld3","sca_yld4","sca_yld5","sca_yld6","sca_yld2_pred_slr","sca_yld3_pred_slr","sca_yld4_pred_slr","sca_yld6_pred_slr"
"52","NM1713PAR","2","351","7","4",6.65,5.95,0.55,3.6,2.55,0.0492735812248685,0.385249752659018,0.0551461339052524,0.452583141099577,0.311221986995133,0.526165079060009,0.336604209277643,0.52242532929531,-0.085962091618679,0.410581033099129,0.0666901267847293,0.431390438740989,0.140849825380736,0.384182809577358,0.215033743279234,0.477752162119735,0.0241980853737044,0.456839461823746,0.00121616371048483,0.425318148639712,0.0762119388028356,0.422905032596265,0.0022440594080312,0.449426743546015,0.246110361701371,0.483027848820688,0.0772679703265327,0.458696479743285,0.0806074943690142,0.433790501529086,0.168649251646951,0.445423094610979,0.156167102028798,0.170238411556256,0.0545799282828885,0.173589547031375,0.176279184906187,-0.0821781024207072,-0.150331988249353,-0.0139055737249343,-0.142653312623812
"53","SW_9720","3","352","7","5",9.15,8.5,1.55,5.7,4.55,0.045067181953268,0.38620339412736,0.0899139972119951,0.4473758613551,0.34838396601253,0.580332296283839,0.386442937043641,0.576891447937199,-0.0729765434571156,0.427708179023036,0.118249503129306,0.429404180647051,0.178211782613261,0.441878931685244,0.284945940262973,0.512165183399558,0.0404688876657991,0.449047710470594,0.0526453547291393,0.410072794710884,0.0933414769053189,0.386240061859713,0.0282371177464522,0.44874642310951,0.324245433881061,0.539070452032425,0.163489394073112,0.459948374919336,0.144765216335264,0.473848664395939,0.251787698349863,0.490514119692113,0.21487653888173,0.243197730794651,0.153816161524504,0.27485011613301,0.314537369146335,-0.0112335622981921,-0.0508132226971176,0.00855170575866864,-0.0336566004959318
"54","AMERISTAND_803T","3","353","7","6",8.25,7.85,1.3,5.65,4.4,0.0533196435856559,0.349484299984594,0.09943960021021,0.447214131504789,0.339445306204915,0.585400625432938,0.384952636362327,0.576380318425033,-0.0839649069469479,0.335707934182201,0.104375135330529,0.429604654870078,0.177766131946576,0.438291211418902,0.288075413589758,0.500858154966821,0.0281550357058913,0.442450213522408,0.0327036354866684,0.410015108640306,0.129526250271611,0.359935758248725,0.0711897570608883,0.453866553039701,0.339409566160011,0.578258192707022,0.160111700531977,0.451396573240008,0.158658113998901,0.461847952827347,0.258696884216395,0.497300817955147,0.193741141614674,0.224600257263295,0.1290071032141,0.272439150202019,0.304168005328324,-0.0133549787391676,-0.0463584732292568,0.0559909048588386,-0.0245984742884088
"55","TMA_990","4","354","7","7",9.35,9.65,2.25,7.2,5.4,0.0435008891426471,0.372887628612711,0.109559964499045,0.471353669672997,0.34927846223673,0.60165527513844,0.409524244507556,0.601904261927886,-0.0676213532552981,0.319705358364018,0.144596092097217,0.434100020660022,0.204358245300544,0.454786999227458,0.316025629766651,0.545126496550934,0.070507017501881,0.435784634384545,0.069876792144601,0.381556700065202,0.1610162235928,0.364296121930159,0.110465591746075,0.466839084799517,0.34140855430263,0.586423486777175,0.207601160142919,0.460802919651205,0.163548028759883,0.479023879147637,0.262739492454397,0.483032569258597,0.219573293829964,0.27610095319628,0.223281524793635,0.347179094062749,0.373297097448397,0.021622267231449,-0.00657183898159489,0.0972750963866078,-0.0192985075000244
"56","NUMEX_BILL_MELTON_FG2011","4","355","7","8",7.75,6.95,1.55,4.4,3.15,0.0206951523452411,0.397681661868005,0.102909887124523,0.4616569704805,0.334081311510388,0.560568695519866,0.39040106184029,0.588387064542914,-0.112935901821115,0.519747020689057,0.0742286471511904,0.434918610624015,0.151971663986905,0.416679130452445,0.33301315352267,0.536612746010711,0.000629943211513749,0.452162799518462,0.0633638830918363,0.407882833375534,0.074322981401234,0.36499451395903,0.0317438402861478,0.45533237685318,0.309551264085125,0.524715002279982,0.1147624010683,0.453913277702394,0.139265923706588,0.437570613704785,0.24957774105896,0.461529711387042,0.181999254244088,0.198849909296803,0.153816161524504,0.212165001927236,0.217756640178232,-0.00559924224162429,0.0176095981198812,-0.0163820470569407,-0.0365539132098946
"57","NUMEX_BILL_MELTON_CA_2019","4","356","8","8",8.25,7.9,1.5,5.8,3.7,0.0450480974475487,0.400649403103777,0.11933389899054,0.453179039338209,0.331027578771834,0.560761490628516,0.395286950221699,0.589805713183182,-0.11963475637547,0.555899279415795,0.0910852947701741,0.42924447244315,0.152577459115201,0.4340329218107,0.337162279960686,0.540506060118893,-0.00882025262650099,0.449337627803925,0.0579734623645303,0.405734234472371,0.0601016578452387,0.377841909588805,0.0701075487528921,0.450828829606297,0.342903650072272,0.560752256419394,0.114274082574268,0.445858143386304,0.146599644246308,0.428162134338003,0.246894277006908,0.466690379053115,0.193741141614674,0.226030832150323,0.148854349862423,0.279672047994993,0.255777640844272,0.0013557327315829,0.0235158056065023,-0.0350265800159136,-0.040072005866018
"58","NUMEX_BILL_MELTON_CA_2019","4","357","8","7",8.5,8.1,1.5,5.95,3.75,0.0538955911883291,0.338455308242011,0.0670718662686197,0.439839622123359,0.320461766326542,0.564316688488751,0.386118197197257,0.590067088563821,-0.112408896068017,0.417656947246164,0.0535645876573494,0.43108941211469,0.149928637451453,0.423331677886915,0.274947497880269,0.530425695865001,0.0345768556556444,0.451352723128313,0.049878151244867,0.396557381762601,0.132970601848113,0.367152419326763,0.0740649526767332,0.445809466276883,0.335401288095843,0.575946768599136,0.100170463467007,0.425055900934097,0.113270455810103,0.432560919948038,0.233186227238198,0.465688713296264,0.199612085299967,0.231753131698432,0.148854349862423,0.286904945787967,0.259234095450276,-0.0116958236779236,-0.0650458271109553,0.0605065412718298,-0.0580436232551892
"59","NUMEX_BILL_MELTON_CA_2019","3","358","8","6",8.1,7.5,0.95,4.8,3.6,0.0624736489670396,0.370737874530217,0.0976282315054443,0.434157423653222,0.347141427294608,0.572610281604984,0.370094448769814,0.58055529714961,-0.111891059472962,0.419796631541993,0.051091480498756,0.420309412165702,0.147618478456919,0.410124970909285,0.256192513355406,0.491549697872286,0.00449180576853643,0.443760792345238,0.0124217234662356,0.403122669495796,0.0904841912772444,0.377030414833735,0.0560303483498503,0.435262115115623,0.311919359012308,0.554502220822766,0.102333177302751,0.417033093352985,0.122253406112113,0.436698537169476,0.233373797340066,0.477011117340301,0.190218575403498,0.214586233054104,0.0942744215795346,0.231452729375166,0.248864731632265,-0.0345053437876922,-0.0917432130949743,0.00480572839896106,-0.057797713869004
"60","NUMEX_BILL_MELTON_CA_2019","3","359","8","5",8.4,7.9,1,5.35,3.65,0.0680932339827487,0.385182093994512,0.102083542916835,0.441126707093094,0.356957183455224,0.57735648476258,0.38599268924668,0.581806549780406,-0.104187555844532,0.489145568368554,0.0776300284744152,0.432978624738606,0.161497556128242,0.421591067946879,0.26890298876683,0.504221290079987,0.0278282302096104,0.449153918178803,0.0357600468373998,0.415248875199292,0.0873039074126117,0.383710307357416,0.0512005301826014,0.43673605659475,0.322224785120491,0.556278510060728,0.114607095894537,0.444227716785397,0.124701341608002,0.448756667417925,0.224254886891524,0.477764016054183,0.19726370782585,0.226030832150323,0.0992362332416154,0.257973354616071,0.252321186238268,-0.0118744820071893,-0.0736500780327022,0.000636291770959073,-0.0697528477029494
"61","NUMEX_BILL_MELTON_CA_2019","2","360","8","4",8.7,8.25,1.3,6.1,4.35,0.0456337305163192,0.387274430689668,0.0748913967661678,0.450883430295195,0.347035583173921,0.587381430007167,0.36258346922528,0.576883176394789,-0.101070530212078,0.484824564703016,0.0718047818677213,0.428873819567395,0.154581674670138,0.429787348937676,0.255313486014148,0.528850009516576,0.0366002319419197,0.453840487694938,0.0444154736965485,0.411425248402185,0.0925771153219043,0.408717294402401,0.0579263160770902,0.44773950658569,0.334177556313636,0.566333807683827,0.124377085140205,0.442521112248897,0.118366950295113,0.439705558974131,0.224862098178726,0.482134574871418,0.204308840248202,0.236044856359514,0.1290071032141,0.29413784358094,0.30071155072232,-0.0451970892142302,-0.0929944928381786,0.00754960741821296,-0.0689567775753891
