"Germplasm","Rep","Plot","Row","Range","yld2","yld3","yld4","yld5","yld6","NDVI_73","NDVI_88","NDVI_95","NDVI_101","NDVI_107","NDVI_117","NDVI_131","NDVI_138","NDVI_145","NDVI_152","NDVI_160","NDVI_165","NDVI_173","NDVI_179","NDVI_187","NDVI_192","NDVI_201","NDVI_206","NDVI_215","NDVI_223","NDVI_228","NDVI_237","NDVI_242","NDVI_257","NDVI_263","NDVI_270","NDVI_278","NDVI_283","NDVI_293","NDVI_299","NDVI_307"
"NUMEX_BILL_MELTON",3,310,2,6,8.3,7.65,1.5,5.35,4.05,0.422685650415534,0.452931697598826,0.500126484102865,0.552068213649096,0.590840598343516,0.591939701974304,0.361204587619617,0.486385494368688,0.572947022386655,0.600308881240073,0.247966584094129,0.407400820996162,0.475109584194552,0.556958280437799,0.300687355023368,0.415621350948023,0.39869702483367,0.355663328668112,0.323432865484187,0.438556861437582,0.441259822995346,0.27495862795246,0.202374107391264,0.377415869461972,0.437345156291015,0.448566237566025,0.55875899852007,0.377129598648256,0.415837979292297,0.45734208038084,0.520276717052583
"NUMEX_BILL_MELTON",3,311,2,5,8.8,8.25,1.65,5.75,4.4,0.417914908955938,0.470082751389326,0.501359654113096,0.559876226843664,0.588977573681269,0.580916553650118,0.380583609482749,0.470572331496701,0.566404801659279,0.594503925026801,0.31737126172677,0.401147421931736,0.456266145218799,0.572435665757645,0.345931247817193,0.404693417029079,0.39717007468992,0.351345911809689,0.297551115368567,0.422031841011459,0.419236858167391,0.226685722882503,0.25842984509022,0.389224336793541,0.450044587796608,0.446911754296112,0.585873305295395,0.33423332516596,0.424837178687729,0.472790537381666,0.529668534080299
"NUMEX_BILL_MELTON",2,312,2,4,7.75,7.9,1.3,5.75,4.1,0.422783710298343,0.449189137045192,0.489339804314576,0.530962407690349,0.565801188572352,0.609791162317114,0.379761741179802,0.462587086116498,0.545182324512407,0.571137434063416,0.329085952458996,0.400919327407307,0.457988752956073,0.559703162590674,0.439346646373416,0.427139211670518,0.409222113707126,0.358927606179375,0.250796153596184,0.449253144177788,0.4231228812801,0.221391605235445,0.252250212388387,0.37130954946081,0.444027322848145,0.450323763681164,0.591763915708169,0.326671918375448,0.426854808740072,0.463254368960394,0.523367052700779
"NUMEX_BILL_MELTON",2,313,2,3,9,9,1.85,6.55,4.7,0.415579790628713,0.443955793226381,0.497512068560844,0.537169563288972,0.576688221757104,0.615621975285841,0.384076837854611,0.47682457598424,0.572468137755409,0.574654355569388,0.321739607267811,0.393653218538643,0.471115035132252,0.57426653522978,0.464078257006412,0.44140404690051,0.407171248482429,0.371987408176989,0.253599104050517,0.44970034485182,0.417212912296702,0.208359861591696,0.265638088199064,0.327024730307348,0.452186060560296,0.46966284836296,0.601569017996841,0.301116070637831,0.440482669135756,0.478787762184586,0.528984977075407
"NUMEX_BILL_MELTON",1,314,2,2,9.5,8.6,1.4,6.7,4.7,0.411905322740673,0.463586121129213,0.502640927111631,0.553106901123439,0.596960096752242,0.628389304439725,0.384797048699423,0.462214910473993,0.586024456750231,0.587479887403916,0.241934131833057,0.392783333770813,0.500462543991956,0.579025465619289,0.463470760088033,0.446014757645886,0.396933938420929,0.361459704263901,0.25335232233836,0.449034390668887,0.430048256656748,0.266585259849891,0.24062458517674,0.253630843340797,0.455966314638821,0.456757408137744,0.605694997918278,0.329177282056281,0.41677807486631,0.469638873981915,0.549591694257275
"NUMEX_BILL_MELTON",1,315,2,1,9.6,4.9,0.25,2.45,2.7,0.414955343763112,0.475764873649995,0.512939315702556,0.563257187932644,0.601273520560641,0.625301060595178,0.419964573857416,0.476596237288279,0.601502120145587,0.590919701213819,0.343825489117341,0.401096114433859,0.353598341116275,0.445297184224649,0.478882684051342,0.467181961222396,0.43877179460782,0.446946784011367,0.277470244907301,0.453217466594676,0.43011673151751,0.357896628387075,0.28708624505167,0.400676606282652,0.475246221723606,0.468232129547508,0.445827627702394,0.419686882232626,0.391217727052273,0.445956498406475,0.449084061485291
"NM1703PAR",1,316,3,1,9.25,5.05,0.35,2.7,3.25,0.425154711560334,0.500441238651909,0.512750191089648,0.558797045184946,0.592473019126583,0.619091727188613,0.436465841380086,0.493526128400078,0.605941813114872,0.595520697942628,0.39534076154241,0.421800491727258,0.389596111949053,0.451427763641504,0.443660167818132,0.466533781637771,0.442359099640045,0.445209020118939,0.332661559603906,0.458075956897721,0.419570649271382,0.337225983317453,0.307423631606032,0.49082324106113,0.481594409265632,0.471036549397136,0.463860395976038,0.408576971344815,0.446121009564077,0.43796623844101,0.481864713756989
"AFX_779",1,317,3,2,9.8,10.25,2.25,7.25,5.25,0.407591383973118,0.502486634842859,0.512955703148293,0.561176197889472,0.59781203683456,0.620412943457926,0.43157173876183,0.508415106615799,0.610788117574986,0.60575543797766,0.256902649151353,0.434630780948332,0.49801364823603,0.586561636384213,0.391737579019922,0.452970948561062,0.419494568159938,0.3626281949094,0.267780575265125,0.44856066957916,0.397538211134,0.229598238439761,0.266320988193107,0.280101567021982,0.464583525080534,0.468739793220325,0.615231776763986,0.318117956189508,0.477040832611283,0.486539732258571,0.571502780216564
"NM1703PAR",2,318,3,3,8.6,9.8,2.55,7.15,5.3,0.418246647697022,0.467084240327147,0.514334731315523,0.55522154316272,0.59868847794414,0.611066819890349,0.395422916039054,0.495601776155409,0.591423320400245,0.60646669491905,0.379954670517541,0.435901365392109,0.473188033972348,0.583935614333984,0.406539472134344,0.451670759718457,0.438718928278941,0.412716299802169,0.27399363453889,0.455130615070187,0.388095325558767,0.229752275025278,0.304431387220058,0.405572460818237,0.468040078675886,0.42924558511732,0.621470020297599,0.282243340297556,0.480591684007545,0.516425610862571,0.571729411059515
"SW_9720",2,319,3,4,8.2,8.5,1.95,6.1,4.75,0.416928984917593,0.441016504141764,0.468124250670828,0.515369222094695,0.558130538460737,0.570251861428332,0.380451913785412,0.461583414662999,0.547965741330226,0.574652626482692,0.378089931879976,0.422978904298847,0.433849464738991,0.551430720247764,0.344760807686208,0.413754334807098,0.402351531407701,0.352516019888869,0.247662025851797,0.451100356788544,0.376772495820033,0.21722197148254,0.280575270078355,0.434033007666735,0.447949500724552,0.384049234049109,0.577966867065512,0.311232905478122,0.44655296032734,0.462568460708272,0.523240415569213
"SW_1011",3,320,3,5,8.35,9.05,1.9,6.3,5,0.415670879154423,0.467660354409143,0.493431284635808,0.553087711953109,0.595352501192173,0.609181963383644,0.377226254273211,0.488146711676123,0.564277248575558,0.597677011497259,0.330218530024565,0.430876882829778,0.442873396272089,0.554714401074726,0.320043757772641,0.417030294035192,0.408015648433348,0.358029027890008,0.287458496873313,0.449713269726792,0.403350881208515,0.220932584457483,0.271207219788592,0.452251194595485,0.443464651585923,0.463871950705673,0.587861442956832,0.324224165413019,0.460412750644923,0.479127193606916,0.542030470416586
"NM1715PAR",3,321,3,6,6.5,6.7,0.85,4.1,2.6,0.42803825206821,0.455066708608577,0.476945003877937,0.53162448887601,0.567877882255752,0.58824053301562,0.415358187603813,0.490421296723818,0.551753374414908,0.568318981913753,0.287011363364894,0.430679100908656,0.415732443071037,0.517166080731306,0.284894791368134,0.414148969958492,0.417486883121822,0.34666652007967,0.295460440985733,0.450677626960643,0.434933175845157,0.197820698332809,0.199233542995238,0.354765664938675,0.449645109769633,0.40687461223606,0.533548621739247,0.343389213973761,0.451540749702033,0.433997461014375,0.491440382122998
"AMERISTAND_803T",4,322,3,7,9.1,9.05,1.95,6.05,5.1,0.411990895980762,0.482192387543253,0.505343628878274,0.563822070400467,0.608465789683993,0.617329936499487,0.416054528603482,0.495286668589004,0.581959142652364,0.624318066710079,0.29464021499532,0.434521528379312,0.454220233305201,0.559635621605353,0.303604834393906,0.418168542064055,0.412620407475204,0.35758191266668,0.298278650461962,0.454636696322455,0.434041747553611,0.219818824058103,0.24848558203678,0.439550342628401,0.455346374440708,0.460757178924518,0.587717011307388,0.37296494089193,0.468499233575989,0.49620383249185,0.56404934928476
"NUMEX_BILL_MELTON",4,323,3,8,7.9,7.3,1.25,4.6,3.6,0.435516605491324,0.464432118724868,0.490492999261307,0.54978412054477,0.600914370723414,0.616024098930673,0.336687787364127,0.494439998221511,0.582586777819153,0.618598056506553,0.350616654766234,0.424508127434216,0.429553581282419,0.54843346065219,0.460121479559687,0.360866952144843,0.394559423619929,0.325833734468197,0.419721249695055,0.472048261483146,0.453202424380605,0.322789896862411,0.387871613451093,0.336565574326616,0.44140642136187,0.469016609829321,0.547023104855868,0.365016842971013,0.439543430823713,0.471836057102965,0.513041062196023
"AFX_779",4,324,4,8,9.3,8.95,1.8,6.2,4.45,0.432713584159547,0.477604110307224,0.510359104168521,0.568232906799083,0.622943117319486,0.621688675470188,0.376784682473443,0.49546604966773,0.58549572167033,0.628575218525295,0.41917241181665,0.435532106640068,0.453771842695803,0.575820327203496,0.438827816490841,0.376666648187878,0.405488266921167,0.35506284001312,0.430677604182856,0.453738107729547,0.435863660639353,0.2924391956271,0.396077340330549,0.320885880747472,0.460773346565841,0.436900969774191,0.577185037393347,0.361865776322316,0.462544247228227,0.492938292427379,0.526167003395496
"NM1702PAR",4,325,4,7,7.6,7.6,1.45,5.85,4.3,0.426650940901446,0.47430866807611,0.496233949873155,0.538025997816806,0.586632372899594,0.610908465950483,0.391865722292315,0.449621216007771,0.552132958554057,0.588625376076356,0.404720732965844,0.423972076715806,0.419182393407644,0.528064843513276,0.269019311049712,0.420106456091731,0.41071665409932,0.35291497404494,0.286103269669303,0.450046498552743,0.427860875867857,0.237678599140191,0.241836224511978,0.468840624485088,0.453935193957933,0.435168201066793,0.573608212528548,0.357191020807481,0.457514502749381,0.495057881652009,0.539281533508926
"NUMEX_BILL_MELTON",3,326,4,6,9.05,8.4,1.85,5.9,4.5,0.424477553306418,0.461694872601447,0.505239187873731,0.559287717027931,0.61054454869522,0.588139641980472,0.369191077577771,0.462656712760519,0.585803633276876,0.594130395085464,0.369581244391426,0.423448740495752,0.420251076040172,0.531775571410357,0.29976544044608,0.413451234521527,0.406491799690407,0.360158079598142,0.330287933975531,0.441625112160393,0.426787403677424,0.2202082810959,0.217063968712867,0.419083491239633,0.450747384961687,0.472059244877253,0.580360714515006,0.330717841846283,0.459135314903347,0.470847616648596,0.534220601285955
