"Germplasm","Plot","Rep","Row","Range","ndvi_145","ndvi_152","yld2","ndvi_160","ndvi_165","ndvi_173","ndvi_179","yld3","ndvi_187","ndvi_201","ndvi_206","yld4","ndvi_237","ndvi_242","yld5","ndvi_257","ndvi_263","ndvi_278","yld6","ndvi_293","ndvi_299","ndvi_307","yld7"
"AFX_779","169","3","9","6",-0.474358287532903,0.152168463751863,0.0488153885363822,0.251662366466528,0.727017187971866,0.699525246978739,0.831450142649329,0.234273508148314,-0.362690115998434,0.694444383757826,0.975962612790552,0.388444456700291,0.317082522476818,0.306749095192917,0.512326400022488,0.50295236468435,1.04185007123936,0.852393172959561,0.5341482662032,0.779995867362621,0.608917350048095,0.583677293334702,0.723103265347623
"SW_8421S","170","4","9","7",-0.191630509087073,0.563485531441972,0.570854472861734,0.269150137127761,0.302104609427673,0.580975814395983,0.968517055720843,0.607449239491422,0.23088245099158,1.27841324681672,1.10277708343904,0.678459398560074,0.892499831500497,0.332066513013247,0.856138143167074,0.91635848294604,1.08128484013898,1.27049977209562,1.06456697107371,0.712621742399919,0.731672916260323,0.667594214489417,1.08886824775965
"SW_8888","171","4","9","8",-0.354713347190567,0.556501871262277,0.213231182640307,0.350045860016141,0.154677909009855,0.294682940259376,0.782714604409545,0.35735189972454,-0.13309618205898,1.32099347520787,0.840565322077535,0.340927844378138,0.840053779850406,0.00977383916823124,0.285656222577511,0.262655730563117,0.822379841301159,1.10654169485683,0.648541603781598,0.173551348278044,0.784296032872577,0.275154357772382,0.553546940507065
"NM1703PAR","172","4","10","8",-1.68596847497184,-0.89546249153171,-0.72230171101108,-0.0726013313007496,0.305850753480908,0.00922068772560178,-0.165115128154414,-0.492889887361216,-1.71883135759801,0.973385069529541,-0.226222313207861,-0.022927377148578,1.76267018139784,-0.215032334784771,-0.547594705086324,1.92561894512411,-0.551533797325448,-0.588042279852371,-0.571345028429428,-0.172494457408811,-0.762509264230671,-0.535866311545309,-1.04247578004303
"SW_9813","173","4","10","7",-1.45068175498557,-0.253208302808449,-0.506573552481818,-0.659991371210149,0.458976021042095,0.218011672227002,0.207169907538371,-0.135891231437692,-1.25225788480912,0.770279057330023,0.154831177353645,0.143483927529373,1.14159421884302,0.162251521123275,-0.0711650421705392,1.3741797150638,-0.126247709689968,-0.233573246432435,-0.241367382224172,0.0166106555775146,-0.497520851039429,-0.44119648374904,-0.56514751907115
"TMA_990","174","3","10","6",-1.07330055782821,0.332741663179308,-0.20970862391958,-0.818669885902918,-0.466354273721597,0.38431988381704,0.565651182338222,0.292234161881806,-1.42165857227795,0.761829604969082,0.585136743259081,0.411006040363919,1.23438506451625,0.500791710242464,0.450124618853298,1.15070004090903,0.19214511419379,0.242923342493716,0.00511238855421488,0.132588425019829,-0.314250476352715,-0.391666978138713,-0.464490526015206
"NM1704PAR","175","3","10","5",-1.04014474603595,0.313182294572118,-0.539649891679197,0.513785631599105,-0.13118639117318,0.160341171407834,0.221953127583569,-0.0941652512794034,-1.78942148406853,-0.312173661070471,0.173764704349799,0.118356463391278,1.18079388700709,0.121984518102991,0.0856945709991452,0.988616180954373,0.171171315663154,-0.450994327251656,-0.389613165356509,-0.216962180284513,-0.957169457688042,-0.571847049558702,-0.559338688883781
"MESQUITE","176","2","10","4",-1.07531174422017,0.202263288486347,-0.545835871604152,0.547946046072559,0.0753874493078128,0.218516709081895,0.263679975530361,-0.237663555325937,-1.74170403530379,-0.0483865091790759,0.254622638283364,0.012493029728717,0.509387504753067,0.143856032411743,0.095379912090862,0.675287871855452,0.399624899471579,0.0610743646692599,-0.314211885457934,0.233417133230894,-0.70157189309163,-0.207050237894036,-0.361009837871861
"TMA_990","177","2","10","3",-0.205029556529198,0.720799035193972,0.270261852650163,0.0288757195728941,0.149522875060787,0.720753656368523,1.03938208168643,0.579262407078655,-0.949008340492708,0.648353604313157,0.895715432252455,0.827098233959,0.824129602794584,0.291117274897251,0.887584217142966,0.206108293132156,0.774576133752111,0.911827684301515,0.939302088850495,0.8960801520119,0.892508056778009,0.736452395439829,1.16747542246585
"AMERISTAND_803T","178","1","10","2",0.0169579445312441,0.978563042234102,0.747941060294657,-0.175220872748654,-0.216209629748679,0.546381056504112,1.16108191693397,0.958915274421396,-0.438411031167099,0.876898772599246,1.00194244190983,1.08595945300992,0.0576508857796616,0.331067930001849,1.21831985500862,0.144640756065654,0.771657466504097,1.15589363882645,1.48818546004931,0.75564572108016,0.810245151605011,0.955623869377332,1.45741786678791
"NUMEX_BILL_MELTON_FG2012","179","1","10","1",-0.181750057342846,0.71980354512817,0.382235794056378,-0.245385456732501,-0.242384125725311,0.272196936797136,0.973175268118067,0.733793501381603,-0.706006250866827,1.14020755024579,0.801992796053861,0.772497649641857,-0.983221167351215,0.0486812387685325,0.708587275942262,-0.329748882421743,0.6231625902107,0.857790079468472,1.08790048301122,0.200995650631055,0.778899684765327,0.577188717540205,0.881838994851539
