"","SW_8421S","SW_1011","SW_9813","DONA_ANA","NM1715PAR","NM170506PAR","NM1704PAR","NM1712PAR","NUMEX_BILL_MELTON","NM1703PAR","SW_9720","AMERISTAND_803T","NM1702PAR","NM1713PAR","NM1705PAR","SW_8888","MESQUITE","NM1701PAR","SW_9812","AFX_779","AFX_149092","TMA_990"
"SW_9720",-0.0995665282871339,0.134232745744305,0.253807487949921,-0.0899562516184166,-0.179986109156897,-0.175496666882572,-0.321598377987489,-0.328460541342943,0.0147427640039366,-0.253182146373883,1.75942005226138,0.0442491611526728,-0.239291264856102,-0.27614410780784,-0.212544398034944,-0.041081479846681,-0.101496838437841,-0.22565945633311,0.338011955853652,0,0,0
"AMERISTAND_803T",-0.0148145513316233,6.52442845663131e-05,0.0771076942825933,-0.0334585517730295,-0.0626815367065809,-0.0520283677496347,-0.189775943564689,-0.204619613303764,-0.0526844307971401,-0.136908916869426,0.0442491611526728,1.02399399434377,-0.120578339436688,-0.14612051413025,-0.108117194826586,-0.00924376619531637,0.0188411945100295,-0.0964031865136078,0.0631776246247095,0,0,0
"NM1702PAR",-0.0261898843787733,-0.10984519735217,-0.170896843421313,-0.0889316765989532,-0.111109605806729,0.0300145362846734,0.112356093888378,-0.0154007945687038,-0.110074092743509,0.192858747595124,-0.239291264856102,-0.120578339436688,0.950995124820611,-0.0500366204045048,0.110657834671536,-0.111492141084251,-0.0301418416095573,0.00133508634757198,-0.214229121346632,0,0,0
"NM1713PAR",-0.0888362209867379,-0.183315675588675,-0.272573293750443,-0.0126717889792836,0.304934400927759,-0.0899512460354398,0.0485204594548749,0.335043978864268,-0.154136318987591,-0.0341742972360527,-0.27614410780784,-0.14612051413025,-0.0500366204045048,1.12975311125237,-0.0624002227552748,-0.0864045229343421,-0.0714893708439264,-0.0139773234595623,-0.276020426599347,0,0,0
"NM1705PAR",-0.0364435187545064,-0.110758615992574,-0.175970002022429,-0.0889022947386507,-0.144882704732149,0.198142519639184,0.0620255371918943,-0.0541690439576805,-0.170640472692524,0.134165622293057,-0.212544398034944,-0.108117194826586,0.110657834671536,-0.0624002227552748,1.03575175420893,-0.0924311587258074,-0.0431043358490989,-0.0593260704313587,-0.181053234491023,0,0,0
"SW_8888",-0.00736824576309521,-0.0264135779452986,0.00173284833089942,0.00496760709560523,-0.0614996766656967,-0.0835129357255198,-0.187146412382043,-0.185359919258303,-0.113700079988276,-0.151025857469159,-0.041081479846681,-0.00924376619531637,-0.111492141084251,-0.0864045229343421,-0.0924311587258074,1.24625645004265,0.00160291099188851,-0.0857283934351503,-0.0121516490421072,0,0,0
"MESQUITE",0.0853003328691809,0.0201121133081934,-0.0576115256557694,0.00617143587766808,-0.126251495298033,0.0161955498069778,-0.0824526757927053,-0.115539093799961,-0.139625600875422,-0.0699545823067397,-0.101496838437841,0.0188411945100295,-0.0301418416095573,-0.0714893708439264,-0.0431043358490989,0.00160291099188851,0.796403669248585,-0.025318377978088,-0.08164146816538,0,0,0
"NM1701PAR",-0.00702423969990216,-0.10821280891455,-0.17103393562373,-0.0226446319221906,-0.111018056242771,-0.0384353878182716,0.0986348860089724,0.0112766416891337,0.0920123658041022,-0.0294498692588607,-0.22565945633311,-0.0964031865136078,0.00133508634757198,-0.0139773234595623,-0.0593260704313587,-0.0857283934351503,-0.025318377978088,1.00565388267894,-0.214681124897566,0,0,0
"SW_9812",-0.123474358098724,0.0587107708721995,0.292803704062869,-0.100990876637901,-0.170093669530634,-0.164292263122289,-0.308268499546184,-0.288278037921857,0.0382625727235645,-0.235259177732769,0.338011955853652,0.0631776246247095,-0.214229121346632,-0.276020426599347,-0.181053234491023,-0.0121516490421072,-0.08164146816538,-0.214681124897566,1.57946727899542,0,0,0
"AFX_779",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFX_149092",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMA_990",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
