"Germplasm","Rep","Row","Range","Plot","yld1","yld2","yld3","tot22","sca_yld1","sca_yld2","sca_yld3","GNDVI_133","NDVI_133","GNDVI_159","NDVI_159","GNDVI_164","NDVI_164","GNDVI_168","NDVI_168","GNDVI_171","NDVI_171","GNDVI_175","NDVI_175","GNDVI_178","NDVI_178","GNDVI_181","NDVI_181","GNDVI_187","NDVI_187","GNDVI_189","NDVI_189","GNDVI_194","NDVI_194","GNDVI_196","NDVI_196","GNDVI_207","NDVI_207","GNDVI_223","NDVI_223","GNDVI_231","NDVI_231","GNDVI_236","NDVI_236","GNDVI_238","NDVI_238","GNDVI_243","NDVI_243","GNDVI_245","NDVI_245","GNDVI_252","NDVI_252","GNDVI_258","NDVI_258","GNDVI_259","NDVI_259"
"PLUSS_III","2","2","45","242",1.84,1.93,1.11,4.88,0.419515596571105,0.249776460753139,0.170810893962241,0.374083601835788,0.590584619771815,0.163531829871082,0.42679074264752,0.177306016545805,0.390284523595371,0.132505951517658,0.330284738708637,0.23543996786348,0.39751502130388,0.293993186829048,0.517723391059587,0.173430546761578,0.462603461249059,0.20711087207218,0.506215880707737,0.264567943983436,0.530351089904047,0.270797732348139,0.542885634020287,0.234565381878894,0.506060864564969,0.279040640918482,0.506561214414748,0.205183803283302,0.336762585720343,0.225902239612204,0.463782599695912,0.25202462808569,0.460540058913474,0.252483985715535,0.403946521306969,0.280863789531655,0.486149887272663,0.240662458358495,0.376676018806769,0.287413230464312,0.423453823216632,0.226973084087542,0.366210750135984,0.248667421210602,0.408446741724469,0.0777958908118918,0.291752284624257
"SW4602Z","2","2","46","243",1.86,1.84,1.17,4.87,0.424075548707748,0.238128853775013,0.180043915257497,0.369449381858395,0.570844866070031,0.171743103470395,0.433915306346353,0.187837541277815,0.410757940246539,0.111733990390894,0.345178053284094,0.185830215867442,0.370502217800439,0.235462858792344,0.449521923202999,0.152854851078589,0.421055524396343,0.179835221199197,0.459606947801952,0.254401400030227,0.512791119107217,0.256581630683449,0.528505424681721,0.212208844326707,0.482085363846156,0.2662571922566,0.491046330036439,0.188906877451049,0.313417701159509,0.210173877096057,0.421773685550775,0.237282273275877,0.430747505777187,0.243266519895795,0.387313938961271,0.275799948891624,0.482993391486169,0.234329253970835,0.352670785828456,0.275398521825483,0.411479632966406,0.228798479865671,0.360653318909716,0.272687022691465,0.408777777777778,0.0928844471118789,0.278604640385566
"NY0465","2","2","47","244",2.04,1.97,1.59,5.6,0.46511511793753,0.254953174965639,0.244675064324291,0.350194763908877,0.571031768386343,0.162182213508854,0.455426632664484,0.200615184175661,0.441933414097905,0.0899009302082752,0.363305049972156,0.157158022506835,0.361177039381153,0.20501618489939,0.428277543400699,0.116730005176649,0.406947431860927,0.150977781897168,0.456570497001241,0.21907595545201,0.507295447434293,0.227708563824923,0.531732252507273,0.17875502720986,0.473697812995646,0.242477796391851,0.501057344830968,0.188564653764472,0.348761671335201,0.179027497433641,0.422667333812845,0.219760052171373,0.443081074349288,0.232552206076867,0.414077146528127,0.259954320717567,0.488643449419569,0.232753525926665,0.382031682729589,0.256899630786619,0.421089839382191,0.205991867061974,0.364377094823458,0.257299116219901,0.441177101065507,0.0731481891897134,0.269555242911644
"VERNAL","2","2","48","245",1.95,1.64,1.33,4.91,0.444595333322639,0.212245282712512,0.204665305378181,0.342199164337253,0.573707238114552,0.145365719569183,0.438676744303343,0.199327161846334,0.431335372069317,0.0767586300113228,0.388589349043055,0.138414615170683,0.36647400023597,0.170375229264316,0.398961576487783,0.0864210294559234,0.356301560559682,0.133806720564795,0.420616502894064,0.201687407018673,0.500212765957447,0.227239905957743,0.544397012359446,0.172748635519586,0.48252345766439,0.226231778333607,0.484255032389896,0.195780586044073,0.360390697945845,0.167731360772355,0.41980485974294,0.210229192203843,0.454478115875849,0.211791780738751,0.390162273012007,0.241642271839765,0.480349364289663,0.211778797649049,0.356965453563894,0.253247782616082,0.449616670489536,0.220820847128176,0.411321593454988,0.251285501138654,0.432326881449257,0.0850884152222233,0.312499674525681
"NY1615","2","2","49","246",2.4,1.89,1.35,5.63,0.547194256397094,0.244599746540639,0.207742979143266,0.373159116531936,0.589336678296422,0.165637105417617,0.432469434397675,0.196633184390188,0.427493553996522,0.0839406046563867,0.387473695008646,0.160612117630227,0.394747714486639,0.243798379203241,0.462057319012791,0.139966958579002,0.420620389969824,0.202258903992239,0.48166472677351,0.231436066988138,0.511827023362536,0.266489926296067,0.555251370690456,0.213306768876186,0.492983830172265,0.243982350037357,0.477368631031387,0.199284847135173,0.332581553454715,0.186564935856395,0.431979487272606,0.223229657030927,0.455084340016882,0.225999144029751,0.395936711181695,0.245535353505937,0.469668557513754,0.216776361748609,0.364199858945035,0.27048014126836,0.440585316012261,0.234643139094114,0.40174182908014,0.280806106666952,0.434834079398104,0.109407272890524,0.304911720344246
"NY1614","2","2","50","247",2.22,1.76,1.4,5.38,0.506154687167312,0.227775425350013,0.21543716355598,0.362199311037732,0.575078022015165,0.180921432946273,0.449519553100116,0.213329281763861,0.431133663230492,0.0840454811747674,0.365548667897652,0.149642415876023,0.379171848443394,0.22075881377776,0.444946205854719,0.114687836338325,0.398857392760008,0.191180794371083,0.463438626404032,0.220618821719042,0.509922037964122,0.264843993547061,0.556641314701236,0.216701817740309,0.503634212305612,0.247052824798601,0.489725183391299,0.205273148653466,0.37921510270775,0.176509829783047,0.437896881240534,0.226088207453527,0.467678331742012,0.235242364137084,0.428196099428527,0.235308096757284,0.461470991852231,0.209624564848952,0.386259671601516,0.253835914915356,0.402331963778554,0.21697866425235,0.374982236488204,0.247392437766616,0.419960995150748,0.0821728932216759,0.276140014829461
"HI-GEST_360","2","2","51","248",1.92,1.87,1.25,5.03,0.437755405117675,0.242011389434389,0.192354610317839,0.38159099829116,0.587658795802289,0.192600625708539,0.440443557579107,0.232476760557582,0.433609578079897,0.100188798004574,0.338545531815118,0.191793827927711,0.389420322453876,0.292490332518897,0.498319459641639,0.169745491284407,0.444107308365885,0.251749818449133,0.503599803183888,0.259951034398335,0.516390279516062,0.310804381762685,0.566528990013796,0.261589351291797,0.512709269239678,0.285947063234722,0.499163335609449,0.222242061736831,0.349937266573296,0.217608342326339,0.472529064789127,0.26262495911231,0.491389984363541,0.251052659026267,0.41760697726384,0.265988217977961,0.477967818447394,0.202549792411116,0.352768241279179,0.290519475746761,0.451410986230721,0.261275138020468,0.43074630394817,0.203971215862838,0.401153142929197,0.0707697218981226,0.283164759116316
"VERNAL","3","3","16","313",1.88,1.85,1.38,5.11,0.42863550084439,0.239423032328138,0.212359489790894,0.306448709203466,0.528654600977224,0.200092720303569,0.495638149858099,0.154823676806864,0.460048719793728,0.0770348933398206,0.350928221811894,0.131943493644428,0.316398380176595,0.107296239055891,0.354016291392155,0.0898007190093648,0.3585172542785,0.129537579616318,0.455657176112454,0.166109834062582,0.492908974760117,0.18488032821069,0.510275096412973,0.208495642786482,0.524713088149881,0.290507391026261,0.561232277918976,0.208216698498368,0.368068897954409,0.160156457504393,0.414717572302712,0.171421837983356,0.413129505860213,0.209690754484395,0.398047176135411,0.245679868225492,0.484232822814034,0.199539465475484,0.366685280515219,0.241782244677984,0.440030999993049,0.214934284048394,0.412448377066299,0.208747110552698,0.453573965491877,0.0514848840643269,0.37016958819727
"ALGONQUIN","3","3","17","314",1.76,1.78,1.35,4.89,0.401275788024535,0.230363782456263,0.207742979143266,0.288375389904213,0.506565243111033,0.21597054375875,0.5051828724463,0.167981036912113,0.462367931882233,0.0915947050584539,0.350087634455875,0.140888345252557,0.323177406511128,0.1265866012838,0.365377695080538,0.0870872270822023,0.361599527534558,0.14645984081391,0.451852948654672,0.179568932890509,0.492315394242804,0.199334946971182,0.509421629388175,0.217174363476367,0.528878283508054,0.290116688991517,0.539820135697425,0.217961969757813,0.355359623342253,0.176047860146037,0.439578000259115,0.19568178984964,0.431903358379343,0.211413828998783,0.383850239807658,0.254554910509488,0.487543589243326,0.203008876678743,0.347824493782187,0.258734353134992,0.463267776465712,0.210786809470843,0.4019353656446,0.228089745055985,0.467702298123551,0.0613347224390156,0.349208968655335
"REGEN","3","3","18","315",2.33,2.01,1.53,5.86,0.531234423918845,0.26012988917814,0.235442043029035,0.33409840537528,0.559037254086457,0.229231890048491,0.50635794062904,0.149861894475657,0.460562901001379,0.0968596210710384,0.351399513467569,0.152852620539097,0.339127855158977,0.17747221245085,0.410743323323692,0.137548735591596,0.40367695876651,0.189262953746756,0.492620660773844,0.205601319305482,0.498760429703796,0.21832907688638,0.514364661741474,0.22013247350614,0.517449986489131,0.282861697247476,0.517344236450967,0.217579024632555,0.376580152894491,0.189257537860828,0.456313689750222,0.204235893868385,0.442999155907952,0.225367802235277,0.402485643195347,0.264669848591313,0.480356634227005,0.214967461889872,0.381313353966822,0.266090016183143,0.435497690537316,0.224244128766447,0.40442556763435,0.250476719118166,0.457144423360742,0.0791051378019735,0.362615562061929
"WL_349HQ","3","3","19","316",1.82,1.95,1.22,4.99,0.414955644434463,0.252364817859389,0.187738099670211,0.347957350381259,0.583616281717601,0.228937990935901,0.501898045120551,0.1488884332377,0.440717968139822,0.151647214653519,0.358279990621062,0.232108464270918,0.392663700988347,0.269797952040462,0.498052725631436,0.193717431621076,0.467987509009196,0.243693270717477,0.54973238579543,0.238134072567868,0.510454604714226,0.2448723076623,0.521446677103215,0.242525708946081,0.514460348558055,0.30195631520154,0.510858697982056,0.215627301661731,0.3410966678338,0.222157634154994,0.482146244994542,0.222224295482573,0.445500435883598,0.232987167295391,0.394083281715328,0.273550414484208,0.473641356951649,0.222231217601159,0.342275365890236,0.263018860278432,0.41962539358175,0.207828397487453,0.353268072378183,0.215658450090652,0.415582666078221,0.0590166735183099,0.314707946336429
"WL_349HQ","3","3","20","317",1.83,1.79,1.14,4.75,0.417235620502784,0.231657961009388,0.175427404609869,0.349028971428995,0.596028781594445,0.222764405580059,0.494393396043384,0.166760342006178,0.435764226179769,0.146371844982555,0.362039332923005,0.230963369568609,0.396838598018489,0.275332029779438,0.505023550290771,0.19646978850508,0.469052183671561,0.248807711125758,0.553874605524895,0.238814673611125,0.513940602836879,0.242949844933814,0.524469293048973,0.237823447762906,0.507542511042445,0.293990035420203,0.505520893938002,0.200249256090338,0.323684056956116,0.218703080411366,0.476620393488465,0.221632886053211,0.447092131003778,0.226346150765953,0.375351935646053,0.279470185110335,0.488256684491979,0.217081742049217,0.325350629894142,0.267452517658856,0.434970216374391,0.203841138863532,0.364688503076841,0.215410812544473,0.405124850003256,0.0551041192099438,0.330184797901061
"SW3407","3","3","21","318",2.27,1.97,1.16,5.4,0.517554567508918,0.254953174965639,0.178505078374955,0.368676624885165,0.601154337748634,0.242774279105103,0.496707053484547,0.191559701662637,0.451147838340229,0.12056224226851,0.348793634045546,0.213799303127289,0.374572892053227,0.277831846874672,0.505487494089399,0.192558554754158,0.460535030201404,0.252594708640131,0.551014642317644,0.246403148813,0.50966598873592,0.249130867946534,0.523777315519719,0.241215212504437,0.505487587082988,0.29811797600496,0.515767115355413,0.223745796876333,0.35188054388422,0.226467599370324,0.468362528424448,0.232838679144501,0.450222784950254,0.24168902458398,0.381787025433811,0.290378482173617,0.486417065001788,0.230810679254467,0.357129819912899,0.291052309910718,0.438767029284622,0.233891805461404,0.381295288088102,0.24151054659161,0.404634007944014,0.087679202616962,0.352088926068165
"N-R-GEE","3","3","22","319",1.77,1.79,1.14,4.7,0.403555764092857,0.231657961009388,0.175427404609869,0.336289942578798,0.582520564888153,0.204542045819581,0.46485079758737,0.138602554582418,0.425325077399381,0.119955577049494,0.349712183827193,0.194302477691279,0.362629529659965,0.234662496670475,0.466579561736004,0.142466812707217,0.420624536327789,0.216658101799073,0.529349240457218,0.210317399016024,0.495898779724656,0.215568601439196,0.507483433767236,0.211551789478576,0.493291912317618,0.264613807459718,0.500354951975585,0.20769524325389,0.353554561272682,0.189824280520524,0.453114217510502,0.199655704469101,0.427873441543166,0.219222230495779,0.374866545583073,0.261976189560379,0.474030606824387,0.213527689620679,0.335720578250132,0.259655052807494,0.435843002602686,0.206434078040397,0.368643293313708,0.242317784061214,0.411703563145688,0.0799436988141342,0.295299694538449
"NY0651","3","3","23","320",1.94,1.79,1.27,4.99,0.442315357254317,0.231657961009388,0.195432284082924,0.306220739470719,0.558186083601544,0.215588265124814,0.481137031009154,0.175226942644148,0.440230407147569,0.111229790967545,0.352796096016882,0.179469390038632,0.3592318534179,0.214541849476882,0.449642731278211,0.120160064386335,0.394786516385867,0.204779233421165,0.507856149324718,0.211083899453593,0.497814325198164,0.210762530749853,0.511367147569928,0.204008195262383,0.492018958700223,0.254603679289939,0.499842322461882,0.205241746223558,0.349822198827331,0.186241602751299,0.452123177819772,0.203239509798369,0.445041720287268,0.209512726327081,0.368995741077084,0.247198172436258,0.470829137425671,0.207037915280178,0.332926120639827,0.273464371154419,0.439780080766798,0.226707221379113,0.392610743154998,0.242457392985486,0.409211693251792,0.0738038395784564,0.328927585933159
"SW4107","3","3","24","321",1.89,1.91,1.15,4.96,0.430915476912711,0.247188103646889,0.176966241492412,0.345058430525551,0.586471802537014,0.219741771844852,0.45645371016215,0.156453673646516,0.414091365048585,0.136105860645211,0.360695946540051,0.217239482632175,0.380254870935716,0.269648450868059,0.512673921307005,0.165282714546828,0.443258535093478,0.239769546599153,0.533261991295374,0.239576150418792,0.49730274822695,0.23231783360057,0.511573416825717,0.222267814661522,0.491389700362781,0.269684807694993,0.498832915192946,0.207477097345065,0.333666564314018,0.212311560887369,0.465943974612705,0.219718659326491,0.441836799645758,0.22145802175292,0.372923579688286,0.258380715544281,0.457438168633954,0.220356108277508,0.337507507711182,0.270707722499518,0.422825424360542,0.218760142896843,0.359734700030148,0.235793869413051,0.389127209297438,0.0857032741762526,0.313608605206789
