"","Germplasm","Rep","Row","Range","Plot","yld1","yld2","yld3","tot22","sca_yld1","sca_yld2","sca_yld3","GNDVI_131","NDRE_131","NDVI_131","GNDVI_145","NDRE_145","NDVI_145","GNDVI_154","NDRE_154","NDVI_154","GNDVI_159","NDRE_159","NDVI_159","GNDVI_162","NDRE_162","NDVI_162","GNDVI_164","NDRE_164","NDVI_164","GNDVI_175","NDRE_175","NDVI_175","GNDVI_178","NDRE_178","NDVI_178","GNDVI_181","NDRE_181","NDVI_181","GNDVI_187","NDRE_187","NDVI_187","GNDVI_189","NDRE_189","NDVI_189","GNDVI_192","NDRE_192","NDVI_192","GNDVI_201","NDRE_201","NDVI_201","GNDVI_203","NDRE_203","NDVI_203","GNDVI_210","NDRE_210","NDVI_210","GNDVI_215","NDRE_215","NDVI_215","GNDVI_223","NDRE_223","NDVI_223","GNDVI_236","NDRE_236","NDVI_236","GNDVI_238","NDRE_238","NDVI_238","GNDVI_243","NDRE_243","NDVI_243","GNDVI_259","NDRE_259","NDVI_259","GNDVI_263","NDRE_263","NDVI_263"
"74","SW4107",3,3,35,314,2.01,1,0.46,3.46,0.238421345834855,0.324850594648298,0.0903379833228837,0.344888864980075,0.35524306847187,0.593967096443637,0.311037558979456,0.402276042492469,0.587155673590191,0.235322443604829,0.43698392252278,0.537581858371897,0.0229036933681047,0.46479102062905,0.37497115827681,0.0410085065566918,0.487711604010886,0.466972661,0.0509517543300961,0.34454851924821,0.373551490133534,0.275358429533718,0.30554383423605,0.529917968,0.250391404598937,0.293556159381833,0.555692359946505,0.326165174107937,0.425929658387613,0.588264018715458,0.334443522969368,0.279160184101837,0.576429965163914,0.322604570600869,0.307277168054759,0.546394614624389,0.330040852540633,0.302056447645782,0.562866508832635,0.332963145445078,0.382382934148267,0.442369076698943,0.0862948610722713,0.39616320726338,0.414503887011886,0.0767281601077124,0.385704818471537,0.395542940454593,0.208741871727096,0.44107193056434,0.435295498127566,0.365038554479434,0.411343443627451,0.552212881381001,0.18358466425364,0.239158514221367,0.424841618938858,0.188662869265288,0.261921862138933,0.437754892389758,0.203780547345746,0.315621244576262,0.446268468171582,0.185667540643297,0.235453988250812,0.316078764653286,0.111947842797311,0.25229513535518,0.361578126060113
"75","ONEIDA_ULTRA",3,3,34,315,2.02,0.99,0.51,3.52,0.23960752168478,0.321602088701815,0.100157329336241,0.295094864464667,0.296835293179921,0.537818475070564,0.287013611381128,0.364313725490196,0.56802547434068,0.225030427792219,0.445778986371515,0.536077318194107,0.0409415017658147,0.425102431988443,0.342360368132472,0.0360032318145315,0.510177858697824,0.466094628104957,0.0233259800853081,0.322945263004831,0.340802916231062,0.258855994075741,0.313172579395006,0.51454300737389,0.227451064567181,0.265878390331232,0.545329309397282,0.314565582594191,0.413494573335602,0.582918888384669,0.311922917077401,0.271393130268172,0.558740399167277,0.326351984306831,0.282882017319946,0.557982585512508,0.31721414515654,0.299049227890153,0.554980982464514,0.298352942631894,0.378456308895714,0.424091943439924,0.0968300193197924,0.367457445727307,0.42046548,0.0455278997632035,0.427519522466168,0.383547617501557,0.183655894408243,0.430787311,0.403017318780982,0.320187288520261,0.36104696520518,0.511798902584907,0.164736745192317,0.22497854238765,0.406843277652096,0.176805759318662,0.278440934588728,0.424709694587194,0.199791640499061,0.316652359573967,0.458441020243714,0.195133369532752,0.278824331368539,0.349038875635772,0.122569450450894,0.290996795499554,0.381420018062719
"76","SW5606",3,3,33,316,1.97,0.72,0.49,3.17,0.233676642435157,0.233892428146775,0.0962295909308978,0.332222435498215,0.383104997139937,0.570764762145891,0.31674448690732,0.430226864330638,0.578865149833518,0.257256622190772,0.464147384825788,0.531409442933702,0.0426600024871342,0.428423176380969,0.378069890341511,0.0522918950768492,0.488091223,0.452490664200098,0.0606023854493443,0.310473436,0.321853431309872,0.289063760976426,0.336320858471594,0.531912628833585,0.254623177538627,0.342667284645122,0.529853312671153,0.32470164207013,0.473933250814395,0.558543348829622,0.29460483027164,0.318114945264017,0.526815854,0.271045388519231,0.322253357014645,0.458958800650057,0.264398606604187,0.326906515782356,0.454367334635359,0.209908338888434,0.314344197340367,0.346800256374219,0.0924607397901718,0.353639179465042,0.403067516625173,0.0511300087948463,0.391741281327937,0.379952645844306,0.168653403290503,0.436304485364273,0.402127882118239,0.343126050896153,0.407574320050601,0.520919249420198,0.188101331833475,0.263141539187462,0.419337469984672,0.194148153320482,0.320438671153276,0.432625302037784,0.21124465805691,0.334860081018709,0.452955319113947,0.207559121497041,0.278514171982234,0.342584685854264,0.140838576697765,0.299245255815978,0.370155709342561
"77","REBOUND_6XT",3,3,32,317,1.68,0.77,0.45,2.9,0.199277542787342,0.250134957879189,0.0883741141202123,0.311789209883951,0.335481399,0.554991331934277,0.298267424980051,0.399009037577295,0.571854288885365,0.246352632675529,0.426558211281268,0.526271806370561,0.0467810388052918,0.433614725649582,0.414452141468697,0.0599863279722263,0.483137458474403,0.457288847665469,0.0695490208148319,0.318101885730369,0.335639365794165,0.290899075344894,0.305109926733006,0.531341714951505,0.244959163371214,0.299269865530718,0.529295480973576,0.326203173484837,0.456543463972327,0.561066653233351,0.262467293594898,0.333066061307963,0.506115401831707,0.223685610754044,0.330323259969369,0.413138862102218,0.239159709957927,0.318430422141196,0.434528316213079,0.181022424787416,0.291901248449639,0.318769968292543,0.0918615684296836,0.367634140398181,0.419454046528372,0.0673047900588685,0.384968266985713,0.392367982258387,0.188402786788001,0.429277214637538,0.401116891314982,0.336718781186076,0.416779575515551,0.51558868428837,0.190506266699487,0.265909445395244,0.424938732167161,0.190937989292224,0.314168054,0.427901329096559,0.196143631620874,0.329403087,0.447320590981491,0.180003063308506,0.266304744615824,0.350841195373855,0.113198498206628,0.290890568,0.371414115035581
"78","NY1615",3,3,31,318,2.13,0.8,0.49,3.42,0.252655456033951,0.259880475718638,0.0962295909308978,0.295585481636112,0.28659169550173,0.539535802364944,0.275182300852629,0.32786137096348,0.557436182019978,0.225035131119891,0.397048486872446,0.524389103573303,0.033520710490828,0.451439142548872,0.429136084250664,0.0152080677936604,0.509280231461866,0.477707290819774,0.015231297468128,0.268876278295489,0.366211632332258,0.260801225183874,0.28242717760181,0.513521372758505,0.200936307340631,0.261240131803955,0.500187398428636,0.294602437649116,0.398726714,0.545184156363793,0.237333265083341,0.301064192264911,0.514857527797659,0.233498706619799,0.325412554124832,0.457254854690189,0.237786779742285,0.319516889706667,0.465533987695644,0.17806993020805,0.294488865466895,0.325086267644737,0.0741999574435402,0.406493435462178,0.411779000937258,0.0175544624349013,0.398417759,0.398217885003464,0.14769969983305,0.43409535,0.394837953396295,0.289068804984605,0.331905439595193,0.475668089816572,0.151772882177296,0.232428567499931,0.389694556,0.172321378950816,0.280275336417091,0.412982607782116,0.180181283151144,0.269392798215176,0.431114802085218,0.197054358096469,0.271537877095438,0.346842659726095,0.140740301439996,0.287082299,0.398252663002917
"79","SEEDWAY_9558_SBR",3,3,30,319,1.98,0.74,0.49,3.21,0.234862818285081,0.24038944003974,0.0962295909308978,0.291315161369087,0.276647926799881,0.535241009660039,0.278532618611801,0.33207969980445,0.551281513,0.216834217972819,0.386543421910532,0.527006822193598,0.0369590610938795,0.437925920309535,0.427200080876035,0.014128264877538,0.516195693656669,0.480231541624288,0.0153637557445602,0.272734292540696,0.398799361196978,0.245626445370787,0.291448093,0.488903714016836,0.181372728564988,0.275804728242795,0.492855508617497,0.295228056925532,0.390595959450577,0.539479794854081,0.220755908460316,0.350201402697829,0.497006812777518,0.236105875579854,0.322711533789505,0.457814125289235,0.239007143578463,0.30602553394583,0.467497388621297,0.173168199780696,0.312406937255101,0.340513007602512,0.0661773272020015,0.414578718516695,0.400092204,0.011587743484656,0.391734066372777,0.394789118885626,0.13765527130368,0.441668599780296,0.390192691488485,0.285935049994118,0.339103041539892,0.475648532581136,0.149861350570878,0.23872704614436,0.372809550482923,0.17615772267683,0.274058249177948,0.413492038029238,0.175468774039589,0.270140056,0.445950654234296,0.181297378343524,0.248422983247956,0.341891253619871,0.141709606311099,0.287289232648077,0.403517470656083
"80","ALFABAR",3,3,29,320,2.17,0.85,0.53,3.55,0.25740015943365,0.276123005451053,0.104085067741583,0.279274189830683,0.291146346152043,0.543734117271969,0.28383697983832,0.351696131282702,0.551942286348502,0.216659480608957,0.415276147766487,0.549248445525818,0.0378829966919476,0.423574358434407,0.423999936599156,0.0179645978829008,0.519115706758987,0.479017788414438,0.0251866333233418,0.317589767645495,0.396000875629359,0.24245834850407,0.277316491371709,0.504302467775119,0.16171861074666,0.293578802867231,0.494747536931289,0.283656552276929,0.432030421662181,0.530509218612818,0.229411968401304,0.316275883466081,0.502418829592472,0.216027371026267,0.325098795545219,0.444034332633729,0.225818553844001,0.324347469317609,0.455744195831423,0.198150588725725,0.318344381,0.339625152769088,0.0696223366455869,0.402464964684999,0.404610341664243,0.030998179473634,0.388498601806587,0.386283622025067,0.145062086040756,0.445268553134073,0.400103113136488,0.322373464268237,0.371775560978702,0.518283045977011,0.193445367666738,0.276662946864728,0.430932396580098,0.210908368666534,0.341958614881032,0.460656061969207,0.190772041602483,0.300966042313087,0.467897071,0.175980268668507,0.25785462,0.352095893200188,0.140401971524938,0.316190072033253,0.425474418402211
"81","SW4412Y",3,3,28,321,2.07,0.92,0.5,3.49,0.245538400934403,0.298862547076434,0.0981934601335692,0.297671031846689,0.320146918164683,0.551610778218509,0.285315195029442,0.378606838962,0.54838948787062,0.215647484802197,0.438103302959464,0.536407455115055,0.0490648781333584,0.395586547847754,0.416271180287904,0.0349222955728294,0.506737993360994,0.453244753874556,0.0629390490954055,0.300407775947612,0.379226742480652,0.263088508562551,0.321656742290933,0.518313091796548,0.174845548734321,0.349573783561301,0.501241028,0.30345758778276,0.446208686557569,0.54229899202157,0.243496972477365,0.336531618991646,0.502500061595633,0.226793055347122,0.348736220621325,0.46219025942103,0.241010744411323,0.346847296621221,0.473961990048502,0.222753447820552,0.36188457,0.375504898721219,0.0658094359397503,0.388180795641099,0.395092204457267,0.0517239321478698,0.357762450006373,0.385614942653131,0.175732776368746,0.447557693387009,0.416468572857194,0.333817214669455,0.405172491039426,0.524943732869492,0.196141609071506,0.285247728677357,0.423356448211528,0.220254723104069,0.344681838855726,0.458156954591006,0.188381640145634,0.288096718139311,0.449665674488974,0.158046481435608,0.23746190054382,0.306170328,0.123509173831396,0.305157803965093,0.38865680289874
"82","GUARDSMAN_II",3,3,27,322,2.11,0.96,0.55,3.63,0.250283104334102,0.311856570862366,0.108012806146926,0.30817411049421,0.311849865826297,0.558133126,0.286543650939806,0.358490169652767,0.557351487764917,0.21625381161325,0.409349108662118,0.53146351160091,0.0492364279389956,0.385340713855041,0.423847615936073,0.0203659377372128,0.513447741045675,0.469915937304777,0.0417873545519311,0.314550318273326,0.401136583005533,0.255442154763018,0.294109529495559,0.50923254985755,0.154242851267031,0.316376075270719,0.479416717968313,0.297612658185557,0.430661063055024,0.542070985477626,0.240344575472093,0.309847669491653,0.515701478114921,0.238633740226749,0.328774209070131,0.469903977,0.242439949444792,0.329386017244519,0.474125999,0.219806239301658,0.356571585487248,0.361258710053891,0.0673930677611045,0.391241606,0.39421274,0.0301930751815912,0.389306354211009,0.393951823,0.129670963607474,0.444476311529729,0.388856957899022,0.323223925118434,0.373490058739013,0.512341399,0.190411971446749,0.264453167404114,0.410626041218879,0.211314845099609,0.315359844088426,0.450862628088869,0.204138449355183,0.298930860015239,0.440404216,0.168053768860552,0.243487303826532,0.330509612285145,0.141905763162667,0.309134050401515,0.398105182694609
"83","NY0651",3,3,26,323,2.08,1,0.52,3.6,0.246724576784328,0.324850594648298,0.102121198538912,0.324057846162291,0.319631520709671,0.583261362890446,0.288346596249514,0.354387515555107,0.554491911344298,0.229993731060778,0.424419120286621,0.525452655634469,0.060276570067261,0.35436328004266,0.417194308868533,0.033754417184379,0.51174195780137,0.464369674489374,0.055964540435832,0.291965682423794,0.371885464319271,0.255228129038084,0.296236013141873,0.506610430574799,0.166864642069249,0.288924033465184,0.492526116665841,0.305597016340818,0.413521753928186,0.551182592130391,0.22659409708298,0.318604122407509,0.511732140615637,0.234898257740469,0.324279242,0.468068594361563,0.251207676106764,0.314689554694516,0.492355621,0.239144397232669,0.362673423292353,0.385243756313819,0.0677750759811503,0.396405126716895,0.396032267899978,0.0613166824373962,0.381749144102085,0.384094971321862,0.136555681433186,0.444051634990914,0.379638665502043,0.330986284390564,0.367365672489012,0.528042946,0.190952297919734,0.247071500860705,0.425021063599607,0.2035750639153,0.270682836771072,0.448317545199898,0.207100667031835,0.309905640687648,0.44769956610095,0.145428506384457,0.214964829974612,0.30224474,0.132127113288143,0.323343239025714,0.371368749575955
