"plotNumber","germplasmName","replicate","rowNumber","colNumber","name","value","trait","doy","harvest","GDD_sum","loc","year"
2122170,"NY1517",2,2,32,"GNDVI_130.5",0.297594438807125,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122180,"NY1614",2,2,31,"GNDVI_130.5",0.252982063874839,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122190,"NY2003",2,2,30,"GNDVI_130.5",0.23504389774349,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122200,"ONEIDA_VR",2,2,29,"GNDVI_130.5",0.180192685438198,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122210,"WL_349HQ",2,2,28,"GNDVI_130.5",0.191744249905078,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122220,"FSG_421LH",2,2,27,"GNDVI_130.5",0.273365751443211,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122230,"SEEDWAY_9558_SBR",2,2,26,"GNDVI_130.5",0.222938228596118,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122240,"ALGONQUIN",2,2,25,"GNDVI_130.5",0.0620727487337556,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122250,"AMERISTAND_427_TQ",2,2,24,"GNDVI_130.5",0.310486466014435,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122260,"REBOUND_6XT",2,2,23,"GNDVI_130.5",0.290403566746142,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122270,"SW4602Z",2,2,22,"GNDVI_130.5",0.285593717460172,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122280,"NY1615",2,2,21,"GNDVI_130.5",0.221987335814127,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122290,"GUARDSMAN_II",2,2,20,"GNDVI_130.5",0.274649314928824,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122300,"SW4412Y",2,2,19,"GNDVI_130.5",0.28738073513995,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122310,"FSG_415BR",2,2,18,"GNDVI_130.5",0.258443600550733,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122320,"LANDER",2,2,17,"GNDVI_130.5",0.159495767461824,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122330,"SW5606",2,2,16,"GNDVI_130.5",0.284383332092143,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122340,"VERNAL",2,2,15,"GNDVI_130.5",0.063685265453464,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122350,"SW5210",2,2,14,"GNDVI_130.5",0.257764625118863,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122360,"55V50",2,2,13,"GNDVI_130.5",0.236401247207744,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122370,"N-R-GEE",2,2,12,"GNDVI_130.5",0.189019367353452,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122380,"WL_358LH",2,2,11,"GNDVI_130.5",0.195642994797959,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122390,"HI-GEST_360",2,2,10,"GNDVI_130.5",0.194205781551958,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122400,"NY0651",2,2,9,"GNDVI_130.5",0.200865613399155,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122410,"REGEN",2,2,8,"GNDVI_130.5",0.214718377124563,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122420,"SW4107",2,2,7,"GNDVI_130.5",0.20261884514673,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122430,"PERSIST_III",2,2,6,"GNDVI_130.5",0.17509658210394,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122440,"LIGHTNING_BOLT",2,2,5,"GNDVI_130.5",0.0930937739181246,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122450,"SEEDWAY_9558",2,2,4,"GNDVI_130.5",0.0567587275153515,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122460,"ONEIDA_ULTRA",2,2,3,"GNDVI_130.5",0.11672795697946,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122470,"SW315_LH",2,2,2,"GNDVI_130.5",0.254262812045108,"GNDVI",131,"1",269.85,"NY-mus","2022"
2122480,"ALFABAR",2,2,1,"GNDVI_130.5",0.260365929795147,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123010,"GUARDSMAN_II",3,3,51,"GNDVI_130.5",0.308939822352141,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123020,"SW5606",3,3,50,"GNDVI_130.5",0.332108160332276,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123030,"VERNAL",3,3,49,"GNDVI_130.5",0.293383398893285,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123040,"SEEDWAY_9558_SBR",3,3,48,"GNDVI_130.5",0.291200149168096,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123050,"REGEN",3,3,47,"GNDVI_130.5",0.282082602363601,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123060,"VERNAL",3,3,46,"GNDVI_130.5",0.246882022924275,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123070,"GUARDSMAN_II",3,3,45,"GNDVI_130.5",0.297452486445502,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123080,"WL_349HQ",3,3,44,"GNDVI_130.5",0.316850137722636,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123090,"REGEN",3,3,43,"GNDVI_130.5",0.318946889364113,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123100,"WL_349HQ",3,3,42,"GNDVI_130.5",0.311362574551932,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123110,"SEEDWAY_9558_SBR",3,3,41,"GNDVI_130.5",0.293891197347337,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123120,"SW5606",3,3,40,"GNDVI_130.5",0.314720010830221,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123121,"BORDER",1,3,39,"GNDVI_130.5",0.325722113079151,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123122,"BORDER",1,3,38,"GNDVI_130.5",0.329726238028321,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123123,"BORDER",1,3,37,"GNDVI_130.5",0.315985122054564,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123130,"55V50",3,3,36,"GNDVI_130.5",0.308061076009748,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123140,"SW4107",3,3,35,"GNDVI_130.5",0.344888864980075,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123150,"ONEIDA_ULTRA",3,3,34,"GNDVI_130.5",0.295094864464667,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123160,"SW5606",3,3,33,"GNDVI_130.5",0.332222435498215,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123170,"REBOUND_6XT",3,3,32,"GNDVI_130.5",0.311789209883951,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123180,"NY1615",3,3,31,"GNDVI_130.5",0.295585481636112,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123190,"SEEDWAY_9558_SBR",3,3,30,"GNDVI_130.5",0.291315161369087,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123200,"ALFABAR",3,3,29,"GNDVI_130.5",0.279274189830683,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123210,"SW4412Y",3,3,28,"GNDVI_130.5",0.297671031846689,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123220,"GUARDSMAN_II",3,3,27,"GNDVI_130.5",0.30817411049421,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123230,"NY0651",3,3,26,"GNDVI_130.5",0.324057846162291,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123240,"VERNAL",3,3,25,"GNDVI_130.5",0.29806858879459,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123250,"SW5210",3,3,24,"GNDVI_130.5",0.342326808350153,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123260,"EZRA",3,3,23,"GNDVI_130.5",0.301130673634298,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123270,"SEEDWAY_9558",3,3,22,"GNDVI_130.5",0.250821749030227,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123280,"REGEN",3,3,21,"GNDVI_130.5",0.276375657842237,"GNDVI",131,"1",269.85,"NY-mus","2022"
