"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","tot22","GNDVI_131","GNDVI_145","GNDVI_154","GNDVI_159","GNDVI_162","GNDVI_164","GNDVI_175","GNDVI_178","GNDVI_181","GNDVI_187","GNDVI_189","GNDVI_192","GNDVI_201","GNDVI_203","GNDVI_210","GNDVI_215","GNDVI_223","GNDVI_236","GNDVI_238","GNDVI_243","GNDVI_259","GNDVI_263"
"SEEDWAY_9558",1,130,1,19,2.04,NA,0.58,NA,0.228408932901336,0.23998069931659,0.167959636755382,-0.0209609473854492,0.00651218898206122,0.00870213287854311,0.26469318578902,0.113829010351085,0.233034675837199,0.140341810678171,0.263441483685011,0.252924268168265,0.128220557272078,0.07334485349054,0.0447567808547298,0.176533585373237,0.280822687908733,0.148530580327569,0.203268444220259,0.189121835085437,0.175600809305697,0.136706513332534
"ALFABAR",1,131,1,18,1.82,0.55,0.46,2.82,0.232122196683695,0.229249537929613,0.151672545619048,-0.012586107861479,0.0194662055519234,0.0155865425621854,0.253033539946213,0.113033838441528,0.211212789737627,0.1069669934709,0.203923709464048,0.201420696420978,0.080019068400134,0.0558708272044376,0.0536805855371656,0.159754799436021,0.262486828018345,0.118355668231972,0.178468217910529,0.160116815156322,0.16127094115159,0.1027446902376
"SW4107",1,132,1,17,1.62,0.5,0.41,2.54,0.228668761928576,0.228500396270219,0.129104222658225,-0.0134657757954235,0.0222603480031235,0.0249336541364877,0.267312031473362,0.127072245220054,0.199241790783685,0.1045248958781,0.20169728943171,0.188074505452458,0.0543447693307214,0.0444571930887349,0.075830505440471,0.183734226277132,0.268100110434089,0.122000709412445,0.168778343430507,0.148113632338731,0.163067797479116,0.103267996507285
"GUARDSMAN_II",1,133,1,16,1.89,0.65,0.45,2.99,0.218559657367483,0.226912499277722,0.164007511704478,-0.0107126842572359,0.016472835002326,0.00666884840338183,0.264367986038611,0.163990017235057,0.236523071204245,0.129589690186433,0.226100571937904,0.232451335444704,0.0764946923505308,0.0476455360255408,0.0909207985745936,0.161303679263206,0.274112534274182,0.145248260411007,0.184875189582387,0.159835332289393,0.175967226902169,0.114071447065062
"SW315_LH",1,134,1,15,1.76,0.56,0.42,2.74,0.228195198181702,0.233233388279972,0.152917753688146,-0.00517386000524974,0.00622568841272351,-0.0212383796757003,0.187381313602048,0.102855827712656,0.177091609722845,0.102243032696064,0.210269325212194,0.208073339608554,0.0645517125737249,0.0466756014102141,0.0758388692731861,0.126698779986492,0.204869041095746,0.126072958718615,0.15355619056744,0.143293136713035,0.181858425063134,0.108891554150932
"SEEDWAY_9558_SBR",1,135,1,14,1.88,0.6,0.47,2.95,0.245725790259288,0.232158553641612,0.167105725014651,-0.00400066557345751,0.0159465611339593,-0.00942713276569334,0.259410346993643,0.136063111311638,0.218380376612317,0.111414225296925,0.212163631124686,0.217078334373311,0.0598261442255832,0.0509013839981072,0.0809265104526084,0.156588567754669,0.243150957638784,0.126434944963729,0.155437938986823,0.147734467097081,0.183891268314283,0.107340173329292
"FSG_415BR",1,136,1,13,1.93,0.65,0.55,3.13,0.239434354623463,0.240355459788119,0.168165325713287,-0.00206998182446606,0.027771604241549,0.00680415668323771,0.28845854803709,0.142734044534221,0.250948260068179,0.143988650106272,0.24493845196119,0.255339167802694,0.0817287456801021,0.056156709749991,0.105226291181755,0.185468284523554,0.269559172234707,0.147322826635656,0.175943343446957,0.186524181752117,0.204101329191799,0.123854522091957
"NY1615",1,137,1,12,2.14,0.72,0.54,3.4,0.221444508258228,0.231037909684619,0.163393010467551,-0.0135485496559053,0.0218304740732575,8.53832783715738e-05,0.285740148153823,0.140600893519608,0.254463003860575,0.153986200645181,0.274607018372062,0.27341742129166,0.105470824961472,0.0524849024181918,0.0793972306389843,0.173278146399809,0.258851596839743,0.142593183479876,0.169264382004174,0.189565636267567,0.218712306043747,0.145152316763874
"REBOUND_6XT",1,138,1,11,1.74,0.7,0.47,2.9,0.231251220334771,0.247091153432662,0.17564991739008,-0.0166506528504501,0.0460762679084801,0.0402950642003239,0.30904579941021,0.148189067393147,0.25633904082169,0.156275876181038,0.292154943138165,0.278641018099407,0.116690350864676,0.059059340959983,0.119292574532086,0.208636740615171,0.298571901562398,0.166774931474541,0.189437587824206,0.190330666197887,0.188536048223335,0.122229466314152
"NY0465",1,139,1,10,1.8,0.69,0.53,3.02,0.218164056624848,0.221338182750588,0.153025010933343,-0.0292630734006881,0.00618324002488234,-0.0092149232099626,0.236274557686118,0.108479654611188,0.219437544589231,0.120152487933629,0.237008389601714,0.23972864455006,0.108831509716121,0.0507512492098521,0.0355421130730509,0.13475309003725,0.23422402851213,0.151634305406074,0.1863409580474,0.176147920461445,0.2011277757571,0.121360285580713
