"Germplasm","Rep","Plot","Row","Range","NDRE_131","NDRE_145","NDRE_154","NDRE_159","NDRE_162","NDRE_164","NDRE_175","NDRE_178","NDRE_181","NDRE_187","NDRE_189","NDRE_192","NDRE_201","NDRE_203","NDRE_210","NDRE_215","NDRE_223","NDRE_236","NDRE_238","NDRE_243","NDRE_259","NDRE_263"
"PLUSS_III",1,2121180,1,31,0.392467836,0.309861925902436,0.482369956904092,0.390171737035943,0.440670560787196,0.25567125712323,0.376736372967991,0.290549411151445,0.356244692640942,0.307879253328718,0.400035571123338,0.420160157582837,0.343856573,0.382802309220201,0.381063388191042,0.447582566724322,0.320191071052077,0.2497146463221,0.281811805218735,0.334387892143159,0.211943219377359,0.282362032702354
"WL_358LH",1,2121190,1,30,0.407267372,0.343341789546007,0.506075568913697,0.325310177973228,0.436939237443079,0.238315771264394,0.362656662928156,0.255660989284442,0.346980903727598,0.311035362327078,0.407892080205112,0.437766816,0.347771328550738,0.35157779439985,0.372101572138729,0.457557963054204,0.317359312425235,0.241562201022728,0.26523022183303,0.340335915,0.267392489622731,0.295680575344325
"NY1614",1,2121200,1,29,0.425006681295187,0.320772554304741,0.467928056867516,0.357830060830845,0.461402410552178,0.247870531944835,0.31514449262611,0.240951097147628,0.317020766441978,0.283445797945891,0.396893967326564,0.412275991852917,0.333531114516615,0.347855235268403,0.376892208735346,0.44289317856303,0.285987813767748,0.253525402024527,0.260216688041959,0.309154983727819,0.289468172470699,0.321194451698548
"LANDER",1,2121210,1,28,0.478439108785552,0.308898181914275,0.466535629661435,0.330504208973358,0.455764257187422,0.258652045398136,0.301321853527736,0.249299231300845,0.296917994878849,0.322200929162618,0.408245764554616,0.415195921434657,0.328589114462317,0.309314657776386,0.337337188638896,0.449523069701469,0.290282521610795,0.255707869624561,0.270657056816759,0.309710843241406,0.26882351378923,0.3759319710126
"LIGHTNING_BOLT",1,2121220,1,27,0.389451045899806,0.400751545901379,0.485665760221363,0.35048640995928,0.424802630155949,0.264637564525874,0.37290422846489,0.291604102244771,0.363948586575517,0.366403420892454,0.436146550524456,0.448395179572843,0.342131724484666,0.309241143531665,0.341778077599248,0.44712132221138,0.321167437880325,0.26886612620984,0.317081514501274,0.349276806613056,0.27936289221024,0.377521027833997
"N-R-GEE",1,2121230,1,26,0.320927457544472,0.404941983654525,0.500372755752747,0.31519922016962,0.397462851210175,0.256880428,0.35433399321267,0.27932024728573,0.354353233830846,0.368105600755733,0.453845581144705,0.466406680105586,0.329942088197243,0.304754408880652,0.356148559973208,0.448666455829644,0.29000619333755,0.27040065306406,0.300467787114846,0.377833470643159,0.268543562080951,0.335019200759889
"SW4602Z",1,2121240,1,25,0.280659568444965,0.469825458485281,0.494120191466692,0.292524588,0.387572920284849,0.259283485004847,0.406252755384809,0.331202604944299,0.376674486775381,0.384213661307016,0.44225415897142,0.462074512734527,0.34549491139141,0.334641584105071,0.375150491939693,0.44235186757948,0.317582879056795,0.274667135622242,0.313130852853305,0.405770418,0.268595112333835,0.297697944229595
"ONEIDA_VR",1,2121250,1,24,0.363055791461078,0.357958221024259,0.467052939586216,0.358876449998554,0.457827125864568,0.26904801301674,0.303157339324619,0.231476331661018,0.306232578668854,0.277757366,0.371345494771949,0.367926303648394,0.299739937660795,0.406420219920097,0.392687282198541,0.445154673891414,0.272523060299389,0.264960623653019,0.256505736737717,0.388603222110762,0.278255983560928,0.324321052988669
"REGEN",1,2121260,1,23,0.352189472154237,0.368360551767877,0.445147019067156,0.395438052567783,0.461127078824522,0.269937017231135,0.337866599631306,0.251690005967502,0.313442191165676,0.314112010307203,0.425798164010059,0.422442261841216,0.31831143433171,0.371503055728005,0.402797919167667,0.454523207132315,0.289150590343664,0.246124831829503,0.290863127069009,0.386631360635942,0.231744677793036,0.306704424278035
"NY2003",1,2121270,1,22,0.298750090657907,0.375868611595582,0.409721069287407,0.375862001487222,0.43102533077341,0.263845889232886,0.316807451690938,0.260130483084609,0.306371721784181,0.297925178043195,0.404285515481304,0.392172457752184,0.333500259391953,0.395498549362689,0.425382332498804,0.449424059947611,0.295984682997868,0.242194856831047,0.280723180437348,0.351922557258197,0.195282202860694,0.28126564166177
"NY0651",1,2121280,1,21,0.30855827,0.336081206067333,0.358841976368812,0.368443701748844,0.39559865366454,0.270679994283866,0.304567962334506,0.26230060170345,0.292441840939948,0.246050938687406,0.359877748765812,0.345024146094864,0.326638883336261,0.379509062,0.398969944901792,0.44399481103917,0.298752503689648,0.235111167077003,0.278444929828526,0.307777247885456,0.204334837,0.30476056720266
"NY1517",1,2121290,1,20,0.262943024722119,0.362039929179219,0.396911406898526,0.423451632515123,0.453859797114615,0.270047721800044,0.312040048391151,0.257900217707677,0.300938772866622,0.268784474775537,0.377386101499423,0.360386692017762,0.33842174041396,0.358714514080008,0.453603291760304,0.448961763888522,0.29764013902975,0.215295912415309,0.282441431117902,0.311872686329434,0.242034408111637,0.322107877060859
"SEEDWAY_9558",1,2121300,1,19,0.308749833306428,0.340944453252999,0.388226865766582,0.408788787868991,0.429780103592926,0.255583075335397,0.311718520384599,0.265912473494149,0.297057384245599,0.291368072775674,0.422366102702358,0.3882843817574,0.342562016562288,0.343343582358941,0.432910777459518,0.438905088447036,0.319806688804554,0.235421777775848,0.312327332981848,0.347477563574449,0.230009222502907,0.31230151299274
"ALFABAR",1,2121310,1,18,0.321702487786124,0.344365784049469,0.375205699473626,0.406125061613063,0.377630060524632,0.257984160292425,0.304648352396514,0.254847121093114,0.28076181292189,0.248441089635768,0.392125727952675,0.348542651821057,0.335873206248826,0.365761230319439,0.435361946929309,0.450385983172868,0.31449894882522,0.240511537899282,0.269561647962642,0.340207206170139,0.195778166258137,0.280663505690845
"SW4107",1,2121320,1,17,0.303107402130402,0.333750594577454,0.363473116740613,0.405764268869393,0.343975549886291,0.250381075585841,0.307629592969666,0.252343718673563,0.2746123528932,0.234581531285474,0.359160923289277,0.344498521090939,0.337163297020298,0.366148992236411,0.421464251099679,0.446352624292198,0.322753840221433,0.217204445814644,0.270782658517953,0.310092036814726,0.199368537152731,0.288825596831407
"GUARDSMAN_II",1,2121330,1,16,0.32079898913176,0.361199329,0.383528298586263,0.422070852707386,0.354614287477369,0.235623492444896,0.319623194566906,0.252884921561551,0.304071733905209,0.26116207081939,0.394149843264625,0.377616559594907,0.322979997199023,0.366684566561505,0.430845497,0.443871592352788,0.30617765654649,0.231573677017209,0.303174035299139,0.333670581737252,0.217675023160408,0.272865594680779
"SW315_LH",1,2121340,1,15,0.313966698718624,0.36645380793827,0.374670578693765,0.375935983262177,0.35202293752489,0.240332714085506,0.320221242877493,0.299031637194755,0.300341590024804,0.288587020207574,0.358913107190803,0.368651628,0.283885904,0.370395132386309,0.442821720863005,0.440550013963151,0.315004067359703,0.218577154047564,0.314122668273455,0.312437303688599,0.227275174803143,0.266619852093086
"SEEDWAY_9558_SBR",1,2121350,1,14,0.297085260544977,0.330937714708525,0.374235644,0.417998558155074,0.344621934,0.249734375274211,0.308746412560751,0.25697667013395,0.283702269750572,0.334462125896667,0.336025394,0.338286265717988,0.250315995000616,0.378845431921976,0.447261067502624,0.443955754344749,0.27823265865486,0.228674028111281,0.294539470333588,0.309215521825168,0.22313728614703,0.263489653300767
"FSG_415BR",1,2121360,1,13,0.297652872722499,0.330525210084034,0.380307534445313,0.393599997237359,0.326414407368624,0.272937799043062,0.354358071959882,0.237616372183422,0.333817075567997,0.284196727368324,0.395629807318091,0.396358827506662,0.21099145424132,0.356778622271365,0.414359326526309,0.447141388250376,0.317358272221355,0.243548459466462,0.351334502166871,0.389364859669358,0.265444984463389,0.28965814128093
"NY1615",1,2121370,1,12,0.316423002,0.300025500766344,0.383197843614331,0.431574639209573,0.334117977864042,0.298255952425722,0.327759578724652,0.245048506591377,0.310290677305585,0.264953406659179,0.387209167659349,0.384792042150478,0.261456888388143,0.367312942764251,0.433023451009252,0.44516571416886,0.285937235885734,0.226366303515575,0.316055230844624,0.370005974992737,0.259019852596179,0.275975087593306
"REBOUND_6XT",1,2121380,1,11,0.300505199688675,0.339675624966968,0.395387942687213,0.463582894905176,0.324380090106252,0.320660815,0.392991138763198,0.279002177076773,0.339321991323729,0.28064929609712,0.418917101556148,0.406600141925031,0.287866700588175,0.338960746354371,0.36558195732877,0.452020521470237,0.359232421463209,0.26708655559367,0.341355767819656,0.354233090496473,0.233101026244296,0.254533143361151
"NY0465",1,2121390,1,10,0.328005645108354,0.306518947201522,0.37915605171509,0.452946678396546,0.37024450740378,0.308705256903399,0.323722138428021,0.293793326304418,0.275977162141942,0.262085148106833,0.374441755530553,0.366649711021379,0.298362025614893,0.356002431402382,0.441444265673889,0.442799966513999,0.313596866548343,0.282225170770062,0.32335723214179,0.328452761938799,0.269560584970184,0.259281498066355
"WL_349HQ",1,2121400,1,9,0.301309802049922,0.317241179833855,0.393399169886933,0.477449307126015,0.3367933014488,0.315785220627326,0.384149672155187,0.247129820290922,0.299183086496159,0.238571966835709,0.386621357800594,0.377386611738749,0.303101124320033,0.328838088660806,0.390521833656804,0.444013051486533,0.345657547965423,0.274578265645965,0.326234525,0.296699621024881,0.2263384476304,0.268416039079992
"FSG_421LH",1,2121410,1,8,0.281297999831209,0.368366893927382,0.398232590684287,0.437123819992864,0.275053978505295,0.295591933231546,0.395556482764412,0.223640388430122,0.301295115550502,0.236024053298092,0.409201628443992,0.401859050441998,0.322842225192654,0.328791110713336,0.41801028559572,0.450865961724907,0.320521942613252,0.24594288294782,0.31640869559669,0.306662610249579,0.229344432,0.253941290722726
"SW3407",1,2121420,1,7,0.278943618970079,0.379658316156651,0.39073358459361,0.454780593454542,0.261506359730317,0.31039059323889,0.424051685310876,0.258622097,0.316574192681722,0.279109705729115,0.392689574326061,0.389647062955737,0.31582037881696,0.321226362,0.342674656027013,0.44560239396305,0.358676075268817,0.286657200711539,0.327246465977067,0.315655736804526,0.229600745299049,0.263948961937716
"SW5606",1,2121430,1,6,0.26522491349481,0.42906294593309,0.434062306187682,0.474700346100678,0.255700336959866,0.316432573972244,0.440104297595106,0.286128978236308,0.334624850674304,0.320797870774164,0.398931211828994,0.395928133183454,0.343102387450503,0.313270037316309,0.327414544868604,0.45309347782829,0.363881773139363,0.284098498039505,0.339053320323927,0.309031910803537,0.225547218329607,0.271155980731393
"EZRA",1,2121440,1,5,0.29329502724093,0.376496089001638,0.430401380341269,0.494640822161905,0.287328378889029,0.32709698122952,0.328900171499995,0.252000646282812,0.264441876075406,0.373932747395371,0.380992091290985,0.378832028167304,0.309970803273426,0.326777752879707,0.360701475351442,0.443540653611538,0.306185832423155,0.285594090001838,0.341381673398289,0.295463171569998,0.257970226573619,0.269038469366986
"SW5210",1,2121450,1,4,0.27033217057256,0.461016595317372,0.471481004405006,0.465268610264552,0.331919777189962,0.298328923914063,0.384683074618736,0.304155197505443,0.290396019,0.277064009581276,0.406435349311143,0.402673235409249,0.318196979712714,0.299573510144517,0.354587268490126,0.442618741485665,0.337104021716213,0.339363184887482,0.381976184230309,0.30934559297345,0.249862547733352,0.272370445756157
"PERSIST_III",1,2121460,1,3,0.262833361465102,0.443194070080863,0.478339455814767,0.476551197879695,0.459574584489561,0.334592238171186,0.359424622,0.408886625,0.282515220426316,0.225431244550289,0.41860027,0.435765317122899,0.322956219125027,0.298569537184518,0.333544049878016,0.447259867346867,0.328121830628803,0.376727355886623,0.401086172221142,0.312232767616851,0.260577419292685,0.289956148941263
"ALGONQUIN",1,2121470,1,2,0.257711537066801,0.38153585962687,0.488026016570456,0.494221239509142,0.574338911313191,0.338187283607984,0.307194703,0.46821927856912,0.270907756300465,0.253715045626899,0.405833409990966,0.426313696184142,0.316284348114722,0.289810484863401,0.358911101407187,0.446280358021345,0.30887834703774,0.367375889604384,0.404092826196538,0.316407439688204,0.250751782401006,0.327467710169528
"ONEIDA_ULTRA",1,2121480,1,1,0.323960296696393,0.349356138681888,0.460913283399329,0.488021059330614,0.596919822,0.340725271288739,0.314908035863918,0.474085238570347,0.309279422559334,0.27605684585888,0.375001120380788,0.414657841357959,0.291320197,0.287893904829777,0.345509532158258,0.430128754598379,0.30426716214503,0.364493260211001,0.401218782613947,0.310306255835668,0.225139783,0.344380018933211
"SW5606",2,2122010,2,51,0.280027887542083,0.327483805872263,0.483132484137207,0.543217072035812,0.561980499317244,0.305762514697734,0.413930262275851,0.259874564525678,0.371898930279151,0.38323937745744,0.430638286831634,0.428980723766549,0.331949012742776,0.304377270116871,0.346955048424374,0.452346315,0.340245756904912,0.267905346,0.306332272072742,0.369866796805545,0.286250659401147,0.333311162977955
"WL_349HQ",2,2122020,2,50,0.297337679691676,0.305590349347286,0.445320039,0.538876265328003,0.55281750621214,0.322794758732839,0.374079573068544,0.281384932175685,0.332555605833617,0.386449441402722,0.432238546334638,0.435332529510149,0.31477967103231,0.306426763548734,0.342676200180114,0.447633964774516,0.340631734913793,0.261025015306189,0.315866209809664,0.354886801779535,0.2944348886608,0.347567925616417
"VERNAL",2,2122030,2,49,0.379561262519565,0.303458194598594,0.453533069351017,0.521426598352031,0.567464543406098,0.348243299871783,0.327986739567622,0.399351594360829,0.336107301961732,0.392849022686741,0.421848368843508,0.409784663304844,0.334805256566426,0.30676665746811,0.355625260039009,0.452352762598664,0.342576558,0.258488602497912,0.324588722203245,0.359270939748448,0.299784461098066,0.352692855688988
"REGEN",2,2122040,2,48,0.296333492746692,0.31108939802336,0.474150883386607,0.495304588322644,0.533362851337407,0.321896176959468,0.381257986634825,0.261623891707531,0.35120339839635,0.40705447277443,0.396355106459762,0.401427937460882,0.310807688435549,0.306825445412016,0.336327460016265,0.450137379392211,0.320911775270453,0.272961092608594,0.328010674255907,0.35455288964901,0.280289412660398,0.341296967229798
"GUARDSMAN_II",2,2122050,2,47,0.312775574122523,0.298363062206014,0.455247364152474,0.483858031924589,0.506333178546116,0.302832410795259,0.36932843702462,0.290962418890328,0.383969376838085,0.434986701529265,0.419798461814813,0.415815849132436,0.352174635847865,0.302430532248401,0.36976354986439,0.451871622966126,0.33415770609319,0.258604596173583,0.342909719696535,0.365415719,0.290350949824064,0.332225795508515
"SEEDWAY_9558_SBR",2,2122060,2,46,0.295206945682461,0.30549363141483,0.437853155860884,0.466692027004231,0.509351481816528,0.295328435223265,0.348089492207139,0.263463321091699,0.331322294026492,0.458658513207606,0.404024053985843,0.405006729925877,0.314543606945835,0.290302242173332,0.363467796047648,0.444395080436546,0.34385752688172,0.240630947883693,0.286396677442834,0.324122260668973,0.29308760127959,0.332916585057997
"GUARDSMAN_II",2,2122070,2,45,0.297188112452059,0.301037207335765,0.463455550941209,0.447770443767197,0.494679506998439,0.288298096377024,0.357557058614044,0.228663822078814,0.379168765622226,0.399066871224263,0.425495149340862,0.412494007958687,0.339283832161224,0.306070799056278,0.361563649131921,0.446110685664633,0.307290610209601,0.253805125800228,0.3507551180503,0.35695299922014,0.309008630408847,0.364952068507758
"WL_349HQ",2,2122080,2,44,0.307156944629659,0.31681213995032,0.4645517866514,0.438012636279019,0.468716386690943,0.300653594771242,0.375398087500525,0.232479013498819,0.356044872071657,0.401193901887364,0.439669365817687,0.43478011040009,0.368222272293408,0.286402836910696,0.369054660309413,0.445481726388187,0.308697554290533,0.249907149690909,0.341803947,0.340816938540122,0.294737236779821,0.348552411968247
"SEEDWAY_9558_SBR",2,2122090,2,43,0.298938729006667,0.310994001374135,0.474610308032378,0.482414525,0.493430441945707,0.29938393220127,0.338850003142283,0.25249856709194,0.325681380944842,0.395100232621168,0.428338793715489,0.430433499331194,0.360031374967129,0.287615191581789,0.390751844823951,0.440161474099792,0.328559071796822,0.252319376115398,0.292361502976499,0.291295545669248,0.283450476305041,0.32269706221589
