"Germplasm","Rep","Plot","Row","Range","GNDVI_133","GNDVI_159","GNDVI_164","GNDVI_168","GNDVI_171","GNDVI_175","GNDVI_178","GNDVI_181","GNDVI_187","GNDVI_189","GNDVI_192","GNDVI_194","GNDVI_196","GNDVI_207","GNDVI_223","GNDVI_231","GNDVI_236","GNDVI_238","GNDVI_243","GNDVI_245","GNDVI_252","GNDVI_258","GNDVI_259"
"LIGHTNING_BOLT",1,2111110,1,11,0.389214095949347,0.209460593073404,0.211250277172374,0.0667580235943347,0.140629826430818,0.192785404255526,0.195660167385322,0.306507109455255,-0.0236247623209005,-0.0511985958616328,0.0247348146061211,0.0677226724635623,0.145777000038461,0.220238182516664,0.319325364114109,0.29238026051453,0.248854961832061,0.287974202450366,0.212382725018113,0.237102283884058,0.215698981158471,0.177663423727726,0.113358666493284
"SW3407",1,2111120,1,12,0.42128727840987,0.219962757929576,0.231346765382183,0.0763617363707411,0.158714483210441,0.239913933103682,0.231344140188304,0.335716854748822,0.00149596012497192,-0.0257751762897514,0.0637651302096706,0.108000255426587,0.178970610424665,0.223110845803286,0.322941563802813,0.30415962907173,0.270473916197236,0.315141155585152,0.228236947672151,0.264137470633297,0.238213435394649,0.155458621177103,0.10693331042421
"BORDER",1,2111121,1,13,0.406451421928933,0.203654088352733,0.206094032376625,0.0797937616085328,0.163807861796481,0.224250341204721,0.21860657262838,0.325170433492829,0.254046435561984,0.254052213527143,0.251783144130115,0.299568149527941,0.29409135975454,0.277181433529584,0.269175637546282,0.283475496507895,0.278818893126498,0.327830225963672,0.25231023990703,0.290565628108923,0.255189517067281,-0.0801070572587963,-0.00197331884958288
"BORDER",1,2111122,1,14,0.397508678126901,0.21138075321776,0.200527159587147,0.0677095350206003,0.157015767864319,0.20926110328763,0.210484565087801,0.316333889281919,0.290181818951207,0.30840813424883,0.295998377379838,0.321212757384393,0.302190302602193,0.272656912427799,0.261547684482635,0.279500986724138,0.274776526950124,0.331433485852449,0.25131046149941,0.303897597459199,0.25901414591134,-0.0652472941706412,-0.0277839975877866
"BORDER",1,2111123,1,15,0.39533016211553,0.218673158118587,0.201584068808816,0.0753361733932103,0.165359702430049,0.206125387417195,0.209868460210702,0.317462910174241,0.301059357572536,0.317184530690477,0.317610814552812,0.326324215567439,0.304520126868831,0.278744705090491,0.263440050973428,0.278068970974992,0.281329642472021,0.33494257907453,0.258962522054546,0.314698258596481,0.275179399179129,-0.0319695154961613,-0.0431798546621437
"ALGONQUIN",1,2111130,1,16,0.349609145320225,0.212780024144719,0.226449764257024,0.054023437019382,0.121476266054482,0.102063296355222,0.128348830186426,0.255567894428851,0.249092601834381,0.274576977132246,0.295864706774399,0.293908662930202,0.270357373858996,0.271572411149354,0.217008783393612,0.24188112645492,0.251287469005697,0.304577983342423,0.222279790742012,0.286949166694842,0.263976625129675,0.200977947851692,0.11838209839094
"SW315_LH",1,2111140,1,17,0.343449511341316,0.227812338262245,0.215091181611321,0.0606071681103992,0.11833545797526,0.0688884741600339,0.107153023194021,0.235273054211516,0.252443593808769,0.283005450742102,0.28431422295601,0.301300295960136,0.269774876577799,0.267049019761893,0.218384709081565,0.261916954545442,0.255183103697013,0.316203771763053,0.204053901605889,0.301365813803388,0.274576376905004,0.229404184450404,0.127227139446366
"NY0465",1,2111150,1,18,0.360638926676845,0.218107115207192,0.211161322712557,0.0608849328456958,0.143376177080708,0.124628669018647,0.136540070700092,0.260496788268997,0.242354792160272,0.278867602341572,0.272748710765438,0.288393477561205,0.253369848025773,0.269780441101735,0.223988864821445,0.265808740107775,0.257293645767363,0.318041505401187,0.189845157813932,0.300616609909854,0.264110413887522,0.231652466863097,0.131189294110306
"HI-GEST_360",1,2111160,1,19,0.380428572429714,0.226851788801968,0.21133724054857,0.0608787110734913,0.188393401565184,0.206500017178612,0.184521731873657,0.308321162693385,0.274793938289389,0.310069934361478,0.310029804946447,0.31875682022971,0.291755127386985,0.285829387115457,0.261273938280701,0.28155608791692,0.291450963173535,0.335337247110881,0.201243455816462,0.313650335908352,0.268942669414326,0.220456999015225,0.120646107423274
"N-R-GEE",1,2111170,1,20,0.369925839212102,0.211144398963747,0.219373068129695,0.0579024914078899,0.183526159865132,0.207923681134205,0.178313932855919,0.296058567746789,0.252217430771435,0.282447291313153,0.286861635152924,0.292027553176869,0.255599189827993,0.252296231429563,0.239269272302897,0.258079004112691,0.271315954232723,0.316489687739794,0.18231171482615,0.300133356929114,0.257185208080659,0.210563378492695,0.115315317354325
