"Germplasm","Rep","Plot","Row","Range","NDRE_133","NDRE_159","NDRE_164","NDRE_168","NDRE_171","NDRE_175","NDRE_178","NDRE_181","NDRE_187","NDRE_189","NDRE_192","NDRE_194","NDRE_196","NDRE_207","NDRE_223","NDRE_231","NDRE_236","NDRE_238","NDRE_243","NDRE_245","NDRE_252","NDRE_258","NDRE_259"
"SEEDWAY_9558",1,2111340,1,37,0.347721075185041,0.339732854055105,0.407267494153625,0.313988979747355,0.283133221643088,0.300426791449433,0.291245020261702,0.366654701544996,0.288607243429287,0.385476185370247,0.299447950532288,0.297972437826707,0.358836857816103,0.270944422511734,0.307793807444262,0.323530795522161,0.288888935549233,0.311691607322863,0.204624991759156,0.309948843060798,0.29485242393611,0.255645793801392,0.271544145431452
"NY2003",1,2111350,1,38,0.37161683626005,0.389679894794984,0.44460499490316,0.266585040593218,0.289960696223521,0.365764110216589,0.293218328073464,0.367679663780081,0.288993533583646,0.39734397003424,0.264162996116321,0.313510802322863,0.382128640107787,0.213794505124943,0.305471194325684,0.339466284749609,0.232196385676778,0.323442005657985,0.193785687533017,0.369028041324057,0.318584593921982,0.247344219574218,0.26853492528233
"LANDER",1,2111360,1,39,0.325494210865394,0.320631134385101,0.383693333931589,0.313291128110437,0.260724719740217,0.346239175365618,0.279085791799126,0.361036052168204,0.307934266791823,0.407580760384723,0.271151009265821,0.308189450340567,0.370912165759649,0.194784109020193,0.332520546762033,0.352910180303596,0.228876407246818,0.313482241615191,0.176008181050198,0.365536313781096,0.32736751257633,0.212116722358826,0.284787634510818
"NY1615",1,2111370,1,40,0.318779856057341,0.344517886205866,0.393683780462893,0.312153199097277,0.271266788956597,0.35169277506152,0.269037365291455,0.363083561418465,0.333054469128077,0.404384493863167,0.263839158851947,0.307206740307438,0.370796026771215,0.241792194879443,0.318712110043379,0.333788451160281,0.261150745892113,0.30981826098122,0.211938786814161,0.291363443640483,0.261117002725118,0.260915452997919,0.265727724913495
"55V50",1,2111380,1,41,0.38721590660142,0.325740660779024,0.360853870600228,0.273703068671415,0.287754999218748,0.3542468270567,0.284796777746605,0.433930702172658,0.324093006883604,0.456393022256296,0.28599825773683,0.344112591862398,0.397010594971982,0.210138468511939,0.375903960733682,0.370687035576404,0.255166664916904,0.317932299287874,0.185023011087674,0.34306514168943,0.297061247169956,0.207766181741514,0.259117567674843
"SW5210",1,2111390,1,42,0.383467469858402,0.35855701264537,0.382813000104695,0.254966734077787,0.299777395135269,0.343681429875144,0.292566578870354,0.43784836004417,0.330318888193575,0.460217880808904,0.319992752871412,0.355069368429289,0.413381900849932,0.206395285929435,0.367205893521683,0.351135234616076,0.254604212055192,0.310696111441209,0.179362743214046,0.359521772023167,0.337335532343779,0.238628922094025,0.291610200641343
"NY1614",1,2111400,1,43,0.320432316449532,0.348381267307099,0.397890058163938,0.283931973387262,0.305287744061684,0.300011482478644,0.291486301066702,0.339548017528903,0.347756049228202,0.410945921615092,0.286643042759272,0.308685775309157,0.37502717273162,0.268324871615313,0.308682046672659,0.325507354670873,0.278253736618688,0.300805549091957,0.213234565856994,0.287141344368623,0.253547323059462,0.261553285837379,0.244231593089725
"WL_358LH",1,2111410,1,44,0.368482360702693,0.315057704208302,0.371112760088745,0.254484744570474,0.311218535409945,0.342777859656233,0.31960315273982,0.433654012594383,0.346925323320818,0.472219053133466,0.303340294786728,0.347585592133258,0.400051290688061,0.205507119514472,0.386374581730619,0.378824082914747,0.240506031432741,0.318403788733523,0.194433630325953,0.340851700481682,0.303097412615936,0.211401130655907,0.25507446417481
"SW3407",1,2111420,1,45,0.3722291663491,0.353170137620266,0.415435040444416,0.244774758931973,0.298188709944866,0.363361182243019,0.319600197212138,0.435229205837586,0.339042422820192,0.470694173403959,0.300219111741082,0.348150587982534,0.400633727904398,0.250811595471522,0.396459211010295,0.393944504407268,0.270721821738609,0.326305596201997,0.183686346691449,0.299218049502679,0.290663072585079,0.253773809894132,0.259673632610939
"ALFABAR",1,2111430,1,46,0.335839689556598,0.32488174892267,0.40268796458324,0.289649315630587,0.270224854182179,0.292090387674017,0.296886722362501,0.383166419886032,0.344209819566124,0.428918809822507,0.302412602185265,0.311354410289381,0.387964206159835,0.222000320961718,0.33055157203764,0.355261045843885,0.236819870398302,0.297651221019088,0.189774567699616,0.330608142364857,0.310933692741492,0.252847235357165,0.27440244876231
"SW4107",1,2111440,1,47,0.354488249534065,0.341768428734501,0.421614199196498,0.254395058471819,0.282873709737595,0.303329839902369,0.306138805375592,0.423201719043782,0.33237653838131,0.456125324355043,0.323214327899835,0.329589940357637,0.392533027864573,0.244823880335132,0.382035004326026,0.363572446621556,0.240165737542563,0.305553719676216,0.206174838982299,0.297905589034621,0.272955008955647,0.246201164281361,0.258666996210249
"NY0651",1,2111450,1,48,0.327169631649569,0.32361220289609,0.420295766624693,0.235116210908878,0.284666552112568,0.292357542656023,0.306996961578417,0.393188471116331,0.345221109720484,0.403116868785429,0.300639010300846,0.29922797672082,0.374823927488747,0.194489040955681,0.317231730544424,0.341756956840605,0.178612577995682,0.302111115081114,0.181478090294498,0.328069590118926,0.309662207562153,0.23910367147931,0.267156292381206
"SW4412Y",1,2111460,1,49,0.354354256019201,0.347433782472146,0.432480692479138,0.248111316275389,0.305856184968702,0.310312854440889,0.310305388795292,0.427098906687007,0.336353254067584,0.431768851908244,0.324061835577605,0.324417246702261,0.396476763532066,0.243106402889269,0.359898041636781,0.370827210206595,0.21669348045764,0.302126621792996,0.191594645521044,0.31918385220093,0.291127465758688,0.246083702298124,0.262196207430341
"SW4602Z",1,2111470,1,50,0.37036547734876,0.322418682009475,0.420236909409073,0.226096163428002,0.293225934888723,0.325422789789332,0.290771480823384,0.428490315456472,0.327856435127242,0.429350054595298,0.30034792231439,0.323889120585392,0.399331850095995,0.20093433346493,0.341447051973368,0.366793142098053,0.182270403888051,0.308240106656261,0.190751705578653,0.299784147685248,0.260196137544557,0.250469285248933,0.254116506331039
"REGEN",1,2111480,1,51,0.345852408511128,0.308814241550814,0.424305330694969,0.240353761833582,0.277318477496484,0.338945333849168,0.301004516368871,0.387347270719551,0.350637515644556,0.370360918702151,0.318422661233168,0.291603693592121,0.381948995110798,0.168548347004723,0.303045641435734,0.358971729835194,0.207904168985103,0.301578642734042,0.201262727313147,0.348700745807008,0.318657303138319,0.294611941239518,0.277999670456418
"ALGONQUIN",2,2112010,2,1,0.306600748883231,0.324910904194792,0.426254272351142,0.34859579706322,0.401380098452883,0.414392935574669,0.361987982792481,0.306515355000448,0.302475787041494,0.344963793756657,0.343951278847556,0.393147681244589,0.388605226882719,0.189773946864354,0.348233030585972,0.346514038219381,0.24378480715863,0.347993626638052,0.268869129572733,0.299157231130666,0.263573857372648,0.232796376857281,0.301032485392347
"NY2003",2,2112020,2,2,0.316918249527792,0.304054674131401,0.416015320501289,0.340525220551599,0.386850334742777,0.372282164572917,0.381153190064516,0.296395207968771,0.369949415936587,0.377039628055014,0.334339121190645,0.452459599394961,0.404584090914806,0.157839481803161,0.373772815878079,0.362354878436908,0.199337329791813,0.383847819724905,0.204151566464627,0.3752289530613,0.294603084525942,0.208234873799466,0.268850399888462
"SW5210",2,2112030,2,3,0.348441102134298,0.327686309026314,0.445889083322116,0.32601439080864,0.333221513816497,0.314915257367369,0.342099192618224,0.328782194765273,0.389073451188986,0.39512627508167,0.311986780756318,0.448990867335832,0.417571143501648,0.17314149522598,0.409819658686132,0.401855341995655,0.241690323716468,0.393278726243015,0.292749868308905,0.292989386196831,0.230790875288916,0.233192316583654,0.236686439281595
"SW3407",2,2112040,2,4,0.328138700852578,0.342372943907471,0.431894530475851,0.29737360415018,0.309424073418601,0.305814946652077,0.356500989938107,0.344547258781747,0.396924280350438,0.413372798764055,0.280994566501299,0.444405477305328,0.408341836799935,0.174764077144654,0.404661237168977,0.383805194625486,0.228154665042887,0.372583564556361,0.237989583780782,0.31470657742005,0.218506446292717,0.231763230023192,0.221643059855521
"LIGHTNING_BOLT",2,2112050,2,5,0.287296524009994,0.287117183280866,0.392917191341368,0.322729710718368,0.338153465500124,0.289470840011545,0.3975240811746,0.308269693842449,0.368961853358365,0.381726891266897,0.351171944891752,0.430500108067406,0.401522933155395,0.176032080244477,0.394959770191968,0.352992652247914,0.227801212935647,0.350871723773685,0.245871375370071,0.268092249306671,0.22731301022067,0.232688144925709,0.259624573811425
