"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","tot22","NDRE_133","NDRE_159","NDRE_164","NDRE_168","NDRE_171","NDRE_175","NDRE_178","NDRE_181","NDRE_187","NDRE_189","NDRE_192","NDRE_194","NDRE_196","NDRE_207","NDRE_223","NDRE_231","NDRE_236","NDRE_238","NDRE_243","NDRE_245","NDRE_252","NDRE_258","NDRE_259"
"VERNAL",1,132,1,35,1.78,1.51,1.2,4.49,0.320621472109242,0.321759428409045,0.41625634157786,0.269548198950731,0.354168217920079,0.352840312448186,0.246825889144108,0.312899448108763,0.309202779516062,0.333582666752447,0.244158857652834,0.283666328132928,0.329407161325467,0.255763331432498,0.268967874231032,0.340869276433227,0.24713023506527,0.317471596556716,0.204860080392307,0.335463887788366,0.298188772041828,0.264972784397789,0.289866406121272
"REBOUND_6XT",1,133,1,36,1.7,1.82,1.21,4.74,0.397457510694075,0.318307542604218,0.396216945493794,0.369003487792725,0.376722552128674,0.381128141829861,0.377689211390306,0.453707732712568,0.336970040675845,0.439173578199052,0.286655921426542,0.350188937966421,0.352757680612352,0.202157155181237,0.392249042094243,0.385140243818064,0.260770245631717,0.361439231830952,0.179923871620211,0.363807349196563,0.30895573182544,0.219262131433495,0.275416682510108
"SEEDWAY_9558",1,134,1,37,2.08,1.87,1.54,5.49,0.347721075185041,0.339732854055105,0.407267494153625,0.313988979747355,0.283133221643088,0.300426791449433,0.291245020261702,0.366654701544996,0.288607243429287,0.385476185370247,0.299447950532288,0.297972437826707,0.358836857816103,0.270944422511734,0.307793807444262,0.323530795522161,0.288888935549233,0.311691607322863,0.204624991759156,0.309948843060798,0.29485242393611,0.255645793801392,0.271544145431452
"NY2003",1,135,1,38,1.79,1.65,1.19,4.63,0.37161683626005,0.389679894794984,0.44460499490316,0.266585040593218,0.289960696223521,0.365764110216589,0.293218328073464,0.367679663780081,0.288993533583646,0.39734397003424,0.264162996116321,0.313510802322863,0.382128640107787,0.213794505124943,0.305471194325684,0.339466284749609,0.232196385676778,0.323442005657985,0.193785687533017,0.369028041324057,0.318584593921982,0.247344219574218,0.26853492528233
"LANDER",1,136,1,39,1.97,1.88,1.42,5.27,0.325494210865394,0.320631134385101,0.383693333931589,0.313291128110437,0.260724719740217,0.346239175365618,0.279085791799126,0.361036052168204,0.307934266791823,0.407580760384723,0.271151009265821,0.308189450340567,0.370912165759649,0.194784109020193,0.332520546762033,0.352910180303596,0.228876407246818,0.313482241615191,0.176008181050198,0.365536313781096,0.32736751257633,0.212116722358826,0.284787634510818
"NY1615",1,137,1,40,2.18,1.91,1.37,5.46,0.318779856057341,0.344517886205866,0.393683780462893,0.312153199097277,0.271266788956597,0.35169277506152,0.269037365291455,0.363083561418465,0.333054469128077,0.404384493863167,0.263839158851947,0.307206740307438,0.370796026771215,0.241792194879443,0.318712110043379,0.333788451160281,0.261150745892113,0.30981826098122,0.211938786814161,0.291363443640483,0.261117002725118,0.260915452997919,0.265727724913495
"55V50",1,138,1,41,2.19,2.02,1.27,5.47,0.38721590660142,0.325740660779024,0.360853870600228,0.273703068671415,0.287754999218748,0.3542468270567,0.284796777746605,0.433930702172658,0.324093006883604,0.456393022256296,0.28599825773683,0.344112591862398,0.397010594971982,0.210138468511939,0.375903960733682,0.370687035576404,0.255166664916904,0.317932299287874,0.185023011087674,0.34306514168943,0.297061247169956,0.207766181741514,0.259117567674843
"SW5210",1,139,1,42,2.14,1.91,1.26,5.31,0.383467469858402,0.35855701264537,0.382813000104695,0.254966734077787,0.299777395135269,0.343681429875144,0.292566578870354,0.43784836004417,0.330318888193575,0.460217880808904,0.319992752871412,0.355069368429289,0.413381900849932,0.206395285929435,0.367205893521683,0.351135234616076,0.254604212055192,0.310696111441209,0.179362743214046,0.359521772023167,0.337335532343779,0.238628922094025,0.291610200641343
"NY1614",1,140,1,43,2.16,1.87,1.34,5.38,0.320432316449532,0.348381267307099,0.397890058163938,0.283931973387262,0.305287744061684,0.300011482478644,0.291486301066702,0.339548017528903,0.347756049228202,0.410945921615092,0.286643042759272,0.308685775309157,0.37502717273162,0.268324871615313,0.308682046672659,0.325507354670873,0.278253736618688,0.300805549091957,0.213234565856994,0.287141344368623,0.253547323059462,0.261553285837379,0.244231593089725
"WL_358LH",1,141,1,44,1.65,1.68,1.07,4.4,0.368482360702693,0.315057704208302,0.371112760088745,0.254484744570474,0.311218535409945,0.342777859656233,0.31960315273982,0.433654012594383,0.346925323320818,0.472219053133466,0.303340294786728,0.347585592133258,0.400051290688061,0.205507119514472,0.386374581730619,0.378824082914747,0.240506031432741,0.318403788733523,0.194433630325953,0.340851700481682,0.303097412615936,0.211401130655907,0.25507446417481
"SW3407",1,142,1,45,1.87,1.73,1.17,4.78,0.3722291663491,0.353170137620266,0.415435040444416,0.244774758931973,0.298188709944866,0.363361182243019,0.319600197212138,0.435229205837586,0.339042422820192,0.470694173403959,0.300219111741082,0.348150587982534,0.400633727904398,0.250811595471522,0.396459211010295,0.393944504407268,0.270721821738609,0.326305596201997,0.183686346691449,0.299218049502679,0.290663072585079,0.253773809894132,0.259673632610939
"ALFABAR",1,143,1,46,2.03,1.93,1.24,5.2,0.335839689556598,0.32488174892267,0.40268796458324,0.289649315630587,0.270224854182179,0.292090387674017,0.296886722362501,0.383166419886032,0.344209819566124,0.428918809822507,0.302412602185265,0.311354410289381,0.387964206159835,0.222000320961718,0.33055157203764,0.355261045843885,0.236819870398302,0.297651221019088,0.189774567699616,0.330608142364857,0.310933692741492,0.252847235357165,0.27440244876231
"SW4107",1,144,1,47,1.74,1.85,1.2,4.79,0.354488249534065,0.341768428734501,0.421614199196498,0.254395058471819,0.282873709737595,0.303329839902369,0.306138805375592,0.423201719043782,0.33237653838131,0.456125324355043,0.323214327899835,0.329589940357637,0.392533027864573,0.244823880335132,0.382035004326026,0.363572446621556,0.240165737542563,0.305553719676216,0.206174838982299,0.297905589034621,0.272955008955647,0.246201164281361,0.258666996210249
"NY0651",1,145,1,48,1.72,1.81,1.11,4.63,0.327169631649569,0.32361220289609,0.420295766624693,0.235116210908878,0.284666552112568,0.292357542656023,0.306996961578417,0.393188471116331,0.345221109720484,0.403116868785429,0.300639010300846,0.29922797672082,0.374823927488747,0.194489040955681,0.317231730544424,0.341756956840605,0.178612577995682,0.302111115081114,0.181478090294498,0.328069590118926,0.309662207562153,0.23910367147931,0.267156292381206
"SW4412Y",1,146,1,49,2.01,1.99,1.27,5.27,0.354354256019201,0.347433782472146,0.432480692479138,0.248111316275389,0.305856184968702,0.310312854440889,0.310305388795292,0.427098906687007,0.336353254067584,0.431768851908244,0.324061835577605,0.324417246702261,0.396476763532066,0.243106402889269,0.359898041636781,0.370827210206595,0.21669348045764,0.302126621792996,0.191594645521044,0.31918385220093,0.291127465758688,0.246083702298124,0.262196207430341
"SW4602Z",1,147,1,50,1.47,1.82,1.04,4.33,0.37036547734876,0.322418682009475,0.420236909409073,0.226096163428002,0.293225934888723,0.325422789789332,0.290771480823384,0.428490315456472,0.327856435127242,0.429350054595298,0.30034792231439,0.323889120585392,0.399331850095995,0.20093433346493,0.341447051973368,0.366793142098053,0.182270403888051,0.308240106656261,0.190751705578653,0.299784147685248,0.260196137544557,0.250469285248933,0.254116506331039
