"Germplasm","Rep","Row","Range","Plot","yld1","yld2","yld3","tot22","sca_yld1","sca_yld2","sca_yld3","GNDVI_131","NDVI_131","GNDVI_145","NDVI_145","GNDVI_154","NDVI_154","GNDVI_162","NDVI_162","GNDVI_164","NDVI_164","GNDVI_175","NDVI_175","GNDVI_178","NDVI_178","GNDVI_181","NDVI_181","GNDVI_187","NDVI_187","GNDVI_192","NDVI_192","GNDVI_201","NDVI_201","GNDVI_210","NDVI_210","GNDVI_215","NDVI_215","GNDVI_223","NDVI_223","GNDVI_236","NDVI_236","GNDVI_238","NDVI_238","GNDVI_243","NDVI_243","GNDVI_259","NDVI_259","GNDVI_263","NDVI_263"
"FSG_421LH","3","3","3","346",2.19,0.8,0.55,3.54,0.259772511133499,0.259880475718638,0.108012806146926,0.288101502957771,0.533970635,0.309260693523956,0.569284525,0.257690886749798,0.512074646565845,-0.0310955522035772,0.484147432251728,0.0151842407182903,0.393334208962692,0.252282932054361,0.51302240447461,0.238248901757093,0.495486988251333,0.276682277627957,0.512402115524563,0.256954538000215,0.487543963110066,0.247914862685335,0.413312065511589,0.177218210752405,0.329386878331827,0.0418458171806777,0.434433253247331,0.154398233814362,0.39940913822753,0.266040567331327,0.464180823191346,0.20903029265605,0.405894076830555,0.221837723793875,0.448145876464738,0.230797391750103,0.434165101334652,0.202527616718452,0.354157859462804,0.15238160748474,0.356792289612848
"AMERISTAND_427_TQ","3","3","2","347",2.21,0.87,0.61,3.69,0.262144862833348,0.282620017344019,0.119796021362954,0.293810253286521,0.569396697946569,0.29956910705118,0.595110062893082,0.244336495535015,0.521326749677973,-0.0358970575921769,0.479500255101716,0.0220807049664497,0.373055825066249,0.271093402166641,0.533284497025306,0.258619522700162,0.509887066,0.291608580752418,0.523565768211726,0.24744581759343,0.490082381906148,0.240230740899473,0.414488598898511,0.178472947375501,0.341348416749649,0.0731471419657494,0.436147826261895,0.185029179937214,0.414430539240786,0.30854579999702,0.507523719165085,0.237564538643623,0.444373473904214,0.252820781205906,0.476549836335445,0.241253296230974,0.461091395462294,0.167771834176252,0.351538064565852,0.137775302412369,0.358218401122935
"WL_349HQ","3","3","1","348",1.91,0.83,0.56,3.3,0.226559587335609,0.269625993558087,0.109976675349598,0.275391395782135,0.52166955017301,0.290602620003194,0.585833597589979,0.260308683280233,0.512754003466756,-0.0310431313317839,0.468239772711369,0.00723268505283848,0.362066360196391,0.265110408064643,0.53189594092455,0.25127990146293,0.498500576701269,0.290602764686483,0.514003962552259,0.242662578482755,0.48225282573724,0.236711562238844,0.405053933605042,0.17291463410865,0.327337833031573,0.0813455692679654,0.430746771908813,0.178582831324804,0.413096641206574,0.289597401210741,0.498007125802907,0.236162811203541,0.447077205430042,0.253230635395548,0.47040215296873,0.227014214175343,0.439595540176855,0.143996231375,0.343727005581932,0.119044376719245,0.360078534743531
"SW5606","4","4","36","413",1.38,0.46,0.36,2.21,0.163692267289602,0.149431273538217,0.0706992912961698,0.331406763239764,0.585886260004539,0.367401362292764,0.594419296,0.254327406146824,0.502521985274239,0.0429288513428295,0.415032552505786,0.0309349411893344,0.376448114355006,0.244457738493768,0.475498182713256,0.179827332354169,0.450816698627003,0.278219331784233,0.506504603309393,0.26057893866834,0.489314750080976,0.167194349921259,0.362306345,0.160245672552772,0.315276793,0.0997038388205814,0.378399867244825,0.176315877704106,0.415838429259987,0.237128422871741,0.467383076614266,0.170092068045641,0.383491171621819,0.228097017333402,0.458473174160829,0.159620437808289,0.42730001589677,0.188536939246154,0.351501820285653,0.082835345784737,0.28492211812583
"PLUSS_III","4","4","35","414",1.29,0.44,0.37,2.1,0.15301668464028,0.142934261645251,0.0726631604988412,0.323028325415232,0.599041292748568,0.366056642217089,0.596171713968606,0.243294170857382,0.521772339105959,0.0321986527682069,0.426033352799948,0.0362953161135524,0.385567138247704,0.253320011398165,0.495489515250545,0.19275939364987,0.462714317051252,0.278468669912238,0.508749526235745,0.270239372896061,0.50683759605163,0.168533412798866,0.375450946899524,0.18235281381129,0.313752004792563,0.095111796151082,0.390733004312836,0.186165085661726,0.434485085628946,0.261143041859053,0.480915367,0.191587055259328,0.419090255132096,0.235215423023827,0.480225617519735,0.190456899715261,0.451559144205627,0.189026106426402,0.366794823525246,0.0770783353468196,0.282623609932319
"WL_349HQ","4","4","34","415",1.31,0.51,0.41,2.24,0.15538903634013,0.165673803270632,0.0805186373095268,0.308902345895334,0.58049942563829,0.346427201884776,0.58749093599704,0.222765581667816,0.517898637151535,0.047415072322757,0.378197061,0.0421760763574672,0.364873753009976,0.25475802937929,0.498486375278163,0.206811482846816,0.471097477845944,0.270691366255056,0.506596957354021,0.239970428512929,0.482711396,0.14536882210043,0.342622201010222,0.177600817507998,0.304036831833602,0.0872683917909868,0.377769159914671,0.192627413422401,0.424258136770191,0.236428837895725,0.479126212312882,0.178734051538678,0.409546864438549,0.216985219852817,0.472847781878436,0.192860986837039,0.432518811446147,0.173800390339921,0.350497707913803,0.0748444040546986,0.29062433000882
"SW4602Z","4","4","33","416",1.25,0.46,0.35,2.05,0.148271981240582,0.149431273538217,0.0687354220934985,0.306694590756287,0.570301873,0.346172971328551,0.577135457956768,0.213391021289473,0.498292861345674,0.0377209265254646,0.374452040241182,0.0166559063932289,0.355640366513432,0.22991401144591,0.462001686,0.180985443487731,0.432101268271052,0.247707364459243,0.476686360866833,0.220943019811431,0.464298269493215,0.127719715727196,0.323899086697773,0.167231879431151,0.317191046277216,0.0555760075654003,0.356775564389867,0.157772369793686,0.404801928467148,0.189042932883204,0.433198635057471,0.147040552454669,0.356714531977994,0.176888251525578,0.409264894177902,0.175873576418466,0.407444059976932,0.180459701996901,0.340041337226469,0.0823820542702046,0.281177691837981
"EZRA","4","4","32","417",1.5,0.44,0.42,2.36,0.177926377488698,0.142934261645251,0.0824825065121982,0.286166850101351,0.564434996858619,0.328911187367805,0.57152410020612,0.205097788978679,0.502369975152919,0.0345624729871524,0.425138015753962,0.00873455814428744,0.403629243539891,0.205525128974941,0.457067255320932,0.173468389436404,0.442612444953923,0.235860590123879,0.477790891252513,0.207440666880239,0.452788479393106,0.122840436179304,0.328176305218361,0.154238532766597,0.310965430348846,0.0407102437616704,0.366031296337715,0.142733199294386,0.418088401116366,0.198537574944754,0.435365538688594,0.158288520152878,0.384105300790132,0.186448995103761,0.437087471352177,0.16770937710892,0.434615536355387,0.178647470174529,0.365977140065917,0.0784034696496797,0.297853992808196
"LANDER","4","4","31","418",1.27,0.4,0.41,2.08,0.150644332940431,0.129940237859319,0.0805186373095268,0.275293287761709,0.559167210614111,0.322330339194381,0.58604183182707,0.196769020107891,0.519205349617544,0.0319800797176135,0.430219979583127,0.00604578920847842,0.374929855833881,0.22480354010917,0.466512496326154,0.146213368311573,0.407122555506023,0.230133765088772,0.450836943536896,0.204554770488198,0.440879356936639,0.116452365157852,0.325180389226257,0.154486154597395,0.305335860257468,0.0664780314180165,0.365836826574123,0.159887505290917,0.403719885764168,0.205640030674296,0.430004569176809,0.166112296016721,0.402072530003611,0.180588322019247,0.431914589139113,0.148970723509681,0.426243642555061,0.169985870895763,0.373519491455255,0.0663006879772738,0.3080358697308
"N-R-GEE","4","4","30","419",1.68,0.53,0.37,2.57,0.199277542787342,0.172170815163598,0.0726631604988412,0.279812506631861,0.564400183794226,0.341265827379773,0.582167697267586,0.22587781654094,0.502533276084156,0.035105045325715,0.436648001618401,0.0210161813872977,0.379093973793664,0.251622911762988,0.500837426357788,0.185067020041795,0.466470776931006,0.280361550339222,0.5287606087211,0.233657141216896,0.478383658468138,0.175497399223821,0.356675814,0.18774851710718,0.345183093911825,0.0810124659664736,0.384512394204994,0.194664144076589,0.427118535586277,0.207429459260681,0.453540480708412,0.179195709796084,0.40964760304358,0.19642474310869,0.445598654314479,0.154058820977894,0.41614939309057,0.194432799769917,0.357781246,0.104181519300732,0.276737992644339
