"Germplasm","Rep","Plot","Row","Range","NDVI_131","NDVI_145","NDVI_154","NDVI_159","NDVI_162","NDVI_164","NDVI_175","NDVI_178","NDVI_181","NDVI_187","NDVI_189","NDVI_192","NDVI_201","NDVI_203","NDVI_210","NDVI_215","NDVI_223","NDVI_236","NDVI_238","NDVI_243","NDVI_259","NDVI_263"
"NY1517",1,2121290,1,20,0.52875739,0.532887532371439,0.531449835,0.480271015964559,0.412446419097131,0.253998561466054,0.503713261479806,0.463317199849987,0.512930285889741,0.434944134262856,0.443566117382343,0.453512505869027,0.355679181389425,0.398842100552659,0.376327041167122,0.426161940438331,0.488685873,0.404713727227069,0.443116246498599,0.457293678255616,0.354330540544904,0.371165479340525
"SEEDWAY_9558",1,2121300,1,19,0.494690838989217,0.53934490777443,0.513347168551119,0.492822709227751,0.408274329133379,0.243411451981111,0.513822847126002,0.4701882,0.504608467,0.446633106679077,0.457635336102443,0.457089448355407,0.359417668795024,0.396198187012268,0.390291195590219,0.432680121228819,0.508610188699136,0.425206506903344,0.472773467901885,0.460595595100785,0.363815606182983,0.356876314539657
"ALFABAR",1,2121310,1,18,0.498033589332433,0.534139051847154,0.509319211869663,0.492692704956668,0.348805984011929,0.244567291179354,0.490860409,0.453242853739595,0.476121681851111,0.411031807985078,0.391368468474843,0.404257436934419,0.345502169563119,0.383480635,0.377200686726303,0.428788017939416,0.484146277045301,0.388294926740165,0.433468152946198,0.420959945622084,0.343663994692504,0.336775587038367
"SW4107",1,2121320,1,17,0.503375398602347,0.545359917551926,0.504825151471781,0.495496388982292,0.330865260546994,0.234116669299097,0.516700969917882,0.464643023093996,0.473312919491261,0.386464705,0.386100317658404,0.386318259555343,0.325404870910796,0.385673621332121,0.405696084940102,0.441058519219911,0.495861989731237,0.383634463603113,0.40086427298192,0.40267690637899,0.340272342437626,0.353638930599987
"GUARDSMAN_II",1,2121330,1,16,0.471842326122223,0.542683923,0.518366967224846,0.487864625612356,0.340162679827625,0.237311646103846,0.516678475,0.495775928559804,0.522643652518507,0.426486219563318,0.419800312763142,0.445041415733583,0.303829982740745,0.382881858207972,0.42568656310801,0.434850734465006,0.513730497575374,0.420447680724972,0.42850869925435,0.440485187170698,0.345091061150246,0.349004545762942
"SW315_LH",1,2121340,1,15,0.464453795,0.53062324929972,0.492595773102428,0.471451052850264,0.335284447956069,0.269872841093988,0.444247004357298,0.427824833770871,0.466977072208869,0.380616425061551,0.391461275927922,0.409091575137581,0.277507448508355,0.392755518494165,0.424819565996397,0.415992249652199,0.449713303963827,0.40470142438019,0.388160478019633,0.410353292001732,0.33158100570587,0.309335911527241
"SEEDWAY_9558_SBR",1,2121350,1,14,0.510596798,0.53389448232123,0.503002083233942,0.475867361610964,0.349111978838645,0.246772766132409,0.504865562678063,0.458851244094414,0.498066202257757,0.399269025088352,0.403314732353887,0.422654521400746,0.261342504255332,0.376554618297173,0.418808926189825,0.423950332821301,0.477682769344297,0.413556868824152,0.404306468041762,0.427091165233217,0.341039929636104,0.321648551462107
"FSG_415BR",1,2121360,1,13,0.514260345458126,0.551465699487342,0.527992735924093,0.458211144032581,0.297215772754818,0.222370078493917,0.545332920808034,0.490095244160457,0.537877549860384,0.437338387462728,0.442717996617629,0.456188182543221,0.266379768720862,0.375393277275939,0.423894942923406,0.431076798610459,0.50763275602018,0.450424013999192,0.442411294781957,0.488436975,0.385499684164426,0.368447911906161
"NY1615",1,2121370,1,12,0.481528246664374,0.537484673114529,0.526532290126107,0.449963601122648,0.331378656192865,0.227015877313718,0.538889019817329,0.49157237777825,0.544102052847251,0.44575179423573,0.487677028381266,0.491108334013652,0.282583425708869,0.381483011373715,0.411573509570638,0.431974274571152,0.500522153904665,0.436188606984833,0.435256121120847,0.478857734874772,0.372474864643757,0.365266262
"REBOUND_6XT",1,2121380,1,11,0.49784053506625,0.546188494265631,0.530982936564731,0.384849575837033,0.314576677468729,0.237325852,0.565845745349422,0.502037324011765,0.548444514953918,0.450480656,0.49610171214098,0.484562617616706,0.283972188401671,0.388283539,0.411394300009822,0.439942195516199,0.527326982,0.45186894718026,0.455177734,0.459632291272673,0.348424805876989,0.350036230409119
