"Germplasm","Rep","Plot","Row","Range","NDVI_133","NDVI_159","NDVI_164","NDVI_168","NDVI_171","NDVI_175","NDVI_178","NDVI_181","NDVI_187","NDVI_189","NDVI_192","NDVI_194","NDVI_196","NDVI_207","NDVI_223","NDVI_231","NDVI_236","NDVI_238","NDVI_243","NDVI_245","NDVI_252","NDVI_258","NDVI_259"
"PLUSS_III",1,2111180,1,21,0.577353147732949,0.448168692158462,0.436655172098384,0.285828717137079,0.379521359283671,0.486171649994166,0.482377592693659,0.573716815482867,0.553472569879015,0.5511403715697,0.519249202693125,0.590495914769388,0.505397055830591,0.36674036057376,0.479670805057802,0.496038302406354,0.458496387375874,0.520857152147758,0.336588875906218,0.523867388146325,0.421160982934024,0.390420738499044,0.333296439628483
"SEEDWAY_9558_SBR",1,2111190,1,22,0.544409893179004,0.476310910837765,0.445673832224021,0.279774612386061,0.337054273186068,0.402743189733314,0.41257436096638,0.522721968543886,0.528489648518982,0.53638752475106,0.502920953674009,0.572499013861841,0.48800563432036,0.371338772645524,0.434382003731849,0.464201502760596,0.467876794592481,0.509943144229071,0.34934231994815,0.511166566563374,0.434505665998688,0.42681924216632,0.359154086974156
"NY1517",1,2111200,1,23,0.547117660829255,0.493545121166605,0.452842237812556,0.28768691931182,0.348201534842267,0.393065770378476,0.382845024877565,0.511584630801215,0.524491421568627,0.544321653424403,0.491192564375148,0.580812031659489,0.493018179440559,0.414397216007954,0.434517666715809,0.473788312784535,0.461985280994425,0.511587776097143,0.366474273325149,0.50458518394951,0.426676440046424,0.444240590126726,0.321054792957907
"SW5606",1,2111210,1,24,0.563154580608978,0.519601802748007,0.459175752680935,0.287466367713004,0.377018827045586,0.474425930799288,0.465794767550694,0.562772468255037,0.546122887984981,0.566667238532307,0.510898508625136,0.60095164072719,0.512299337368963,0.425223348101358,0.482893657197063,0.487397567354394,0.471395785871014,0.508985269729782,0.360727040345328,0.497329899701816,0.404944463163619,0.396135989879823,0.302644080256537
"EZRA",1,2111220,1,25,0.553088895648919,0.503571336307909,0.459311177070216,0.294109147395879,0.370784754176512,0.428255546783504,0.429437612352837,0.542696600710299,0.532745880267,0.562993245283896,0.506393219938578,0.590364570623793,0.508076758810998,0.407935254638768,0.461109547487256,0.484755559245575,0.475794829800562,0.507393880271843,0.356031527488585,0.513787003635201,0.435857111611603,0.419204968160898,0.340713376200683
"FSG_421LH",1,2111230,1,26,0.529252678772504,0.494727447412869,0.473097526990893,0.272928280430259,0.358383132545456,0.405589549735752,0.400715318639838,0.517549563361783,0.515943134045762,0.560059902925808,0.49035816151474,0.573638730387418,0.482032556513692,0.358000408496732,0.446498037399865,0.465440519185797,0.455341404238463,0.507179417989315,0.333341305871007,0.49506487556305,0.407360182541512,0.420826135384486,0.323055306681496
"ONEIDA_VR",1,2111240,1,27,0.53865204782364,0.509404236002701,0.471496372249205,0.2941344998388,0.354813352402272,0.405935625111303,0.411452532148167,0.53219819739159,0.52818953379224,0.575415127543909,0.499381939522797,0.585590114392026,0.496278107807412,0.437950513538749,0.466388788370213,0.498869055032034,0.469491763865996,0.515508400614509,0.363355587055915,0.50621702775403,0.426916006076835,0.439399785637728,0.351348340241074
"PERSIST_III",1,2111250,1,28,0.557088075016294,0.496305276612182,0.469255470304064,0.294447668454527,0.351031583519484,0.42568163814226,0.435206189508209,0.553019816754708,0.542219180225282,0.584775364028222,0.51785921024341,0.591774405540495,0.503354969221287,0.413254843604108,0.494726120113117,0.508795715886919,0.482240676388349,0.520422462849153,0.364256437038092,0.523920387013366,0.439348809164908,0.442068943706515,0.354538322116177
"ONEIDA_ULTRA",1,2111260,1,29,0.507865281314241,0.500689960379977,0.4755249745158,0.271274070166183,0.322010892094681,0.386104407312565,0.38049619688893,0.523090441363426,0.522478358364622,0.569670569649661,0.49507412000945,0.577286675798151,0.487222924775167,0.414300449346405,0.485570134486543,0.510061023703765,0.460632644276701,0.511167755991285,0.345865653229277,0.513152999696948,0.421105031836203,0.423322825378812,0.338378344050171
"WL_349HQ",1,2111270,1,30,0.545155626316176,0.493812070282658,0.456339269652815,0.308372314546147,0.369292292338877,0.462236780749503,0.4658234521193,0.570438863521055,0.539168231122236,0.583517688519082,0.502714215047264,0.57787058405204,0.489519857917139,0.394171455308447,0.528137336806067,0.524983879225649,0.452593709848612,0.510246096909661,0.341129596848155,0.523211030142607,0.424019223607441,0.384699997898409,0.325203112919376
